DateTime,Entries,UniqueIPs
1509018514,70883,70883
1509040037,69825,69825
1509061716,69970,69970
1509072476,70109,70109
1509094001,70633,70633
1509115731,71079,71079
1509137307,69888,69888
1509158930,69979,69979
1509180662,70636,70636
1509202007,71290,71290
1509223588,70575,70575
1509245206,71229,71229
1509266787,71384,71384
1509288418,72886,72886
1509310018,72003,72003
1509331617,72792,72792
1509353236,73987,73987
1509373032,74660,74660
1509393360,73652,73652
1509414447,74183,74183
1509436021,75194,75194
1509449615,75195,75195
1509470268,73464,73464
1509490085,73914,73914
1509504403,74023,74023
1509526024,75164,75164
1509545833,75734,75734
1509567552,73592,73592
1509589043,73970,73970
1509605236,74397,74397
1509625305,75694,75694
1509646641,74063,74063
1509668360,75336,75336
1509689804,77345,77345
1509711522,79156,79156
1509733327,78500,78500
1509753948,79950,79950
1509774440,79954,79954
1509796230,82237,82237
1509817621,81456,81456
1509839189,82548,82548
1509860827,82638,82638
1509882640,84071,84071
1509904101,82288,82288
1509925660,82887,82887
1509947321,83188,83188
1509969116,84108,84108
1509990745,82153,82153
1510012145,82735,82735
1510033695,83325,83325
1510055570,84005,84005
1510076944,81943,81943
1510098405,82290,82290
1510120220,82444,82444
1510142007,82997,82997
1510163393,81133,81133
1510181352,81700,81700
1510202950,81718,81718
1510224642,82446,82446
1510246114,79967,79967
1510267800,80368,80368
1510289408,80575,80575
1510311167,81162,81162
1510330728,78957,78957
1510350742,79133,79133
1510372090,79383,79383
1510393669,79816,79816
1510411666,80211,80211
1510433254,78265,78265
1510454897,78599,78599
1510474767,79125,79125
1510496314,79481,79481
1510517869,77340,77340
1510537900,77413,77413
1510559294,78133,78133
1510580855,78331,78331
1510602695,76317,76317
1510624046,76633,76633
1510643876,76869,76869
1510665524,77595,77595
1510687122,75430,75430
1510708651,75792,75792
1510730263,76554,76554
1510751924,77441,77441
1510773511,75600,75600
1510795063,76237,76237
1510815108,77101,77101
1510836481,77745,77745
1510858062,76565,76565
1510879693,76989,76989
1510899511,76997,76997
1510921301,77966,77966
1510942647,76043,76043
1510962319,76613,76613
1510984063,77152,77152
1511004870,78264,78264
1511025461,76478,76478
1511045247,77262,77262
1511066866,78341,78341
1511088464,79282,79282
1511108263,76754,76754
1511128048,76964,76964
1511149738,77711,77711
1511171248,78673,78673
1511193139,79643,79643
1511214508,77897,77897
1511236055,78541,78541
1511257652,79290,79290
1511279237,79881,79881
1511300879,77664,77664
1511322488,77740,77740
1511344039,78660,78660
1511365644,79224,79224
1511387274,76345,76345
1511408874,76893,76893
1511430497,77655,77655
1511452048,77708,77708
1511473863,75454,75454
1511495226,76112,76112
1511516822,76920,76920
1511538450,77740,77740
1511560055,75243,75243
1511581679,76155,76155
1511603267,77225,77225
1511624850,77936,77936
1511646460,75391,75391
1511666288,75494,75494
1511686101,76829,76829
1511707643,77502,77502
1511729254,74575,74575
1511750854,74811,74811
1511768899,75480,75480
1511790499,76310,76310
1511812235,74349,74349
1511833734,75019,75019
1511855334,75726,75726
1511876906,76373,76373
1511896779,74862,74862
1511918317,75563,75563
1511939926,76466,76466
1511961539,77188,77188
1511983179,75428,75428
1512004716,75435,75435
1512026365,75505,75505
1512046086,76677,76677
1512065956,75305,75305
1512086596,75916,75916
1512107223,76662,76662
1512129101,77696,77696
1512150478,76409,76409
1512172222,77270,77270
1512193631,78127,78127
1512215726,79176,79176
1512236843,78609,78609
1512254881,78610,78610
1512274675,79545,79545
1512296274,80669,80669
1512317853,79872,79872
1512339426,80960,80960
1512361117,81170,81170
1512382642,83003,83003
1512404324,81791,81791
1512425954,82898,82898
1512447445,84023,84023
1512469082,85479,85479
1512490922,84500,84500
1512512262,85360,85360
1512533849,85639,85639
1512553636,86817,86817
1512575277,88213,88213
1512600470,86852,86852
1512622124,87755,87755
