DateTime,AddedIPs,RemovedIPs
1516327768,1,1
1516331370,1,1
1516334965,1,1
1516345759,1,0
1516417786,0,3
1516428583,1,1
1516432156,1,0
1516471773,0,1
1516475364,1,0
1516504214,0,1
1516507765,0,1
1516514969,1,1
1516522170,2,0
1516525747,0,1
1516536589,1,0
1516572591,1,0
1516583383,1,1
1516590561,0,1
1516597783,0,1
1516644583,0,1
1516648167,1,0
1516676944,0,2
1516680542,2,0
1516698535,0,1
1516702155,0,1
1516709352,2,0
1516712946,2,0
1516716559,0,1
1516759737,0,1
1516763336,1,1
1516770538,1,0
1516799338,0,1
1516802930,1,0
1516806552,0,2
1516810144,2,0
1516842554,0,1
1516846183,1,0
1516856959,0,1
1516860547,0,1
1516864141,2,1
1516867789,1,0
1516871369,1,0
1516882164,0,2
1516885754,2,0
1516889345,0,1
1516892968,0,1
1516896540,2,0
1516925381,1,1
1516928972,1,0
1516943375,0,2
1516946942,1,0
1516950542,1,0
1516975768,0,2
1516979332,2,0
1517011777,1,0
1517040570,0,1
1517044207,1,0
1517069323,0,1
1517076550,0,1
1517083766,1,1
1517087358,2,0
1517090953,0,1
1517126955,1,0
1517155735,0,1
1517159365,1,0
1517180940,0,1
1517184626,1,0
1517188229,0,1
1517195368,1,0
1517209788,0,1
1517213390,2,0
1517220587,0,1
1517231389,0,2
1517235005,2,0
1517271012,1,0
1517281810,0,1
1517285364,0,1
1517288990,1,0
1517292616,1,0
1517296186,1,0
1517303372,0,1
1517306975,1,2
1517310566,0,1
1517314288,2,0
1517332181,0,1
1517339375,1,0
1517353805,0,1
1517360973,2,0
1517364568,1,0
1517368173,0,1
1517382563,1,0
1517389784,0,2
1517393343,1,2
1517396947,1,1
1517400577,1,0
1517404164,0,1
1517407779,1,0
1517411360,1,2
1517414989,0,2
1517418578,1,1
1517422160,2,0
1517425768,0,1
1517429361,1,0
1517447398,1,0
1517454579,0,2
1517458190,1,0
1517468972,1,0
1517479786,0,1
1517512190,0,2
1517515782,1,0
1517548179,0,1
1517569799,1,0
1517656276,0,1
1517710140,1,0
1517720978,0,1
1517760570,0,1
1517775013,0,1
1517785812,1,0
1517793056,1,0
1517850554,0,1
1517883067,0,1
1517911765,0,1
1517933355,1,0
1517954958,0,1
1517958554,1,0
1517990961,0,1
1517994548,1,0
1518008991,0,1
1518016186,0,1
1518019753,0,4
1518091829,2,0
1518098983,2,0
1518109756,1,0
1518116947,1,0
1518235838,0,2
1518257357,1,0
1518260964,1,1
1518268178,1,0
1518275376,0,1
1518278944,1,0
1518307762,0,1
1518315059,1,0
1518372542,0,1
1518376147,1,0
1518383411,0,1
1518386972,1,0
1518394187,0,1
1518397795,1,0
1518419333,0,2
1518423002,1,0
1518426538,0,1
1518430168,1,0
1518437361,1,0
1518462611,0,1
1518466183,0,1
1518469778,2,0
1518473344,0,1
1518487764,1,0
1518502187,0,1
1518505732,1,0
1518624534,0,2
1518639021,1,0
1518653412,1,0
1518664148,1,0
1518692916,0,1
1518696580,1,0
1518700129,0,1
1518703737,1,0
1518707323,0,1
1518710954,1,1
1518714545,0,1
1518721722,1,0
1518728928,1,0
1518739783,1,1
1518754124,0,1
1518775819,2,0
1518790286,0,1
1518800977,1,0
1518829744,0,1
1518908927,0,1
1518916140,1,0
1518941347,0,1
1518948555,1,1
1518952144,1,0
1518962991,0,1
1518970157,1,0
1518995384,0,2
1518999004,1,0
1519009730,1,0
1519042198,0,1
1519045756,1,0
1519060138,0,1
1519063740,0,1
1519067351,1,0
1519074589,0,1
1519085389,1,0
1519092542,1,0
1519096193,0,1
1519110565,0,1
1519114136,0,1
1519121341,2,0
1519139349,0,1
1519160949,1,0
1519168166,0,1
1519171800,1,0
1519182558,0,1
1519186136,1,1
1519189771,1,0
1519200536,0,1
1519207774,1,0
1519229375,0,2
1519232964,1,0
1519251005,1,0
1519265364,0,1
1519279755,1,0
1519283384,0,1
1519294161,1,0
1519340947,0,1
1519344558,2,0
1519358975,0,1
1519362533,1,0
1519366143,0,1
1519373333,1,0
1519387721,0,1
1519391343,1,1
1519402166,1,0
1519409363,0,1
1519412929,0,1
1519416523,2,0
1519420130,0,1
1519427329,1,0
1519430937,1,0
1519445313,0,1
1519448940,1,0
1519463330,0,1
1519470531,1,0
1519474142,0,1
1519477722,1,0
1519488542,0,2
1519499338,1,0
1519510157,1,0
1519517349,4,1
1519524544,1,0
1519538934,0,1
1519546191,0,1
1519549778,1,0
1519553383,0,1
1519564149,2,0
1519589337,0,1
1519592974,1,1
1519603762,1,0
1519607375,0,1
1519610994,1,0
1519693770,0,1
1519697367,0,1
1519700978,1,1
1519704560,1,0
1519722594,0,1
1519726158,2,0
1519740592,0,2
1519747803,1,0
1519758565,1,0
1519772977,0,1
1519776599,1,0
1519787390,0,2
1519794588,1,1
1519801795,2,0
1519816183,0,1
1519819777,1,0
1519834154,0,1
1519837749,1,0
1519844966,0,1
1519852207,0,1
1519863002,2,0
1519873753,0,1
1519877387,0,1
1519888159,1,0
1519902615,0,2
1519906171,1,0
1519909794,1,0
1519942183,0,1
1519945791,0,1
1519949334,2,0
1519952986,0,5
1519956581,3,0
1519992539,0,1
1520017774,1,1
1520021361,1,0
1520024991,0,2
1520028542,2,0
1520042958,0,2
1520046553,2,0
1520082533,0,1
1520089740,1,0
1520107714,0,2
1520111330,1,1
1520114933,1,0
1520122129,3,1
1520125726,0,1
1520129371,1,0
1520132969,0,1
1520136524,1,0
1520143767,1,0
1520150925,0,1
1520154575,0,1
1520158134,1,0
1520172512,1,0
1520194171,0,1
1520197760,1,2
1520201341,2,0
1520204924,0,1
1520215752,0,1
1520244537,1,0
1520258931,0,1
1520266175,0,1
1520273346,1,0
1520280584,1,0
1520287733,0,1
1520291361,1,0
1520298535,1,0
1520302225,0,1
1520312931,1,1
1520323732,1,1
1520327365,0,1
1520330938,1,0
1520338184,0,1
1520341746,2,0
