DateTime,AddedIPs,RemovedIPs
1515650672,1,1
1515654267,1,0
1515657873,1,0
1515679469,0,2
1515683070,2,0
1515719063,0,1
1515733474,0,1
1515744273,1,1
1515747874,1,0
1515755152,0,1
1515758753,0,8
1515762311,0,90
1515942279,84,0
1515945862,7,0
1515949462,6,0
1515960270,1,0
1515963870,0,2
1515967491,1,0
1515971069,0,2
1515974678,2,0
1515978261,0,3
1515981877,2,0
1515985444,1,0
1515989076,0,2
1515992660,1,0
1515996263,1,0
1516003461,0,2
1516007153,0,1
1516010749,0,3
1516014347,0,16
1516017909,0,75
1516089850,79,0
1516093430,13,0
1516097027,5,0
1516107807,1,1
1516115026,0,2
1516118620,0,1
1516122214,1,0
1516190663,1,0
1516219466,0,1
1516223062,0,2
1516226662,3,0
1516374293,0,1
1516381484,1,0
1516431877,0,1
1516435485,1,0
1516496688,1,0
1516511087,0,1
1516536293,1,0
1516547070,0,1
1516572276,1,0
1516579513,2,0
1516583081,1,1
1516597491,0,3
1516683859,0,1
1516687461,1,0
1516705463,3,0
1516716274,0,1
1516788256,0,1
1516791853,1,0
1516827850,0,1
1516831474,1,0
1516842263,0,1
1516845871,1,0
1516856661,0,1
1516860265,1,0
1516871063,1,1
1516881864,1,0
1516885458,0,1
1516889064,0,1
1516892662,1,1
1516896249,1,0
1516899851,2,0
1516903484,2,0
1516907071,1,0
1516910663,1,0
1516917867,0,1
1516964680,0,1
1516968261,1,0
1516986272,1,0
1516997064,0,1
1517011482,1,0
1517025877,0,1
1517043866,1,0
1517083465,0,1
1517087063,1,0
1517184306,0,1
1517187885,1,0
1517238292,1,0
1517245483,0,1
1517249083,1,0
1517252684,0,1
1517328276,0,1
1517331891,1,0
1517342683,0,1
1517346291,1,0
1517407480,1,0
1517414688,0,1
1517418297,0,2
1517706350,0,1
1517709864,1,0
1517756765,0,1
1517760270,1,0
1517778275,4,0
1517785504,2,0
1517850259,2,0
1517853900,0,1
1517857477,0,1
1517871949,0,3
1517890010,1,1
1517911478,0,1
1518015951,0,8
1518019511,0,96
1518091515,94,0
1518098690,6,0
1518109471,3,0
1518134676,0,1
1518156272,0,1
1518159886,1,2
1518170706,2,0
1518174313,1,0
1518188704,0,2
1518195858,1,0
1518199521,1,0
1518206760,0,1
1518210302,1,0
1518213904,0,1
1518231911,1,0
1518246358,0,1
1518257059,1,0
1518300319,1,2
1518303839,2,0
1518354278,0,1
1518357909,0,1
1518365089,1,0
1518368674,1,1
1518375882,1,0
1518411868,0,1
1518419067,1,0
1518422686,0,1
1518426263,1,0
1518437084,1,0
1518498264,0,2
1518501903,2,0
1518523503,0,1
1518527052,0,1
1518530706,1,0
1518588254,0,1
1518591921,1,1
1518599051,1,0
1518638707,1,0
1518645848,0,1
1518649474,1,0
1518656696,0,1
1518696268,0,2
1518699864,1,0
1518703467,2,0
1518710658,0,2
1518721455,1,0
1518725065,1,1
1518728654,1,0
1518779083,0,1
1518789983,1,0
1518797072,1,0
1518833061,0,1
1518836671,0,1
1518854677,1,0
1518858261,1,0
1518869094,1,1
1518876278,1,1
1518879886,0,1
1518897952,0,3
1518905053,2,0
1518908649,1,0
1518912233,1,0
1518926663,0,1
1518930274,1,0
1518933862,0,1
1518937468,0,2
1518941078,2,0
1518948278,1,0
1518973467,0,1
1518977066,1,0
1518998717,0,1
1519002269,0,1
1519005867,1,0
1519009463,1,0
1519041883,0,1
1519049069,1,0
1519056270,1,0
1519070663,0,1
1519074273,0,1
1519077880,1,0
1519088671,1,0
1519095883,0,1
1519106669,0,1
1519110271,2,0
1519121077,0,1
1519131879,1,0
1519203874,1,1
1519207467,0,4
1519214677,3,0
1519218278,1,0
1519221877,1,0
1519225480,0,1
1519232678,1,0
1519236270,1,1
1519239869,0,1
1519243472,0,2
1519247074,2,1
1519250689,1,0
1519261457,0,1
1519265054,1,0
1519279480,0,1
1519286681,1,1
1519293884,2,0
1519301081,1,0
1519304670,1,0
1519308633,0,1
1519319079,1,0
1519326264,1,1
1519329861,0,2
1519333482,2,4
1519337062,1,0
1519347862,0,1
1519351452,0,1
1519369460,0,1
1519373059,1,0
1519376648,0,1
1519380244,2,0
1519409057,0,1
1519423449,0,3
1519427059,2,0
1519434236,1,0
1519452263,0,1
1519455841,0,1
1519459461,1,0
1519463059,1,0
1519495448,0,1
1519499061,1,1
1519506255,1,0
1519513457,0,1
1519517038,1,0
1519520667,0,1
1519527868,1,0
1519538662,0,1
1519553074,1,0
1519556664,0,1
1519560279,0,2
1519563866,3,0
1519596285,1,0
1519599865,2,0
1519603476,1,0
1519625082,0,1
1519628688,1,1
1519643089,1,0
1519653887,2,0
1519657464,1,0
1519661073,2,0
1519664679,0,3
1519668270,2,0
1519671876,0,1
1519675444,1,0
1519679075,0,2
1519686275,1,0
1519689891,1,0
1519693480,0,2
1519704269,0,1
1519707871,1,0
1519711482,0,1
1519715078,2,1
1519718669,1,0
1519729473,0,2
1519733066,1,0
1519736674,0,4
1519740282,1,0
1519743869,4,0
1519747486,0,1
1519758281,1,0
1519779866,0,1
1519797869,0,1
1519801480,0,4
1519805076,2,2
1519808670,1,1
1519812266,3,0
1519815880,2,0
1519819477,1,1
1519823070,0,1
1519826680,1,0
1519830275,2,0
1519833869,1,0
1519837463,1,0
1519844683,0,1
1519851890,0,1
1519855471,0,1
1519859081,1,3
1519862709,1,0
1519866279,1,0
1519880682,0,1
1519884284,1,0
1519902293,1,0
1519905880,1,0
1519909479,0,3
1519913069,1,0
1519916691,3,0
1519920284,1,0
1519927481,0,2
1519938282,0,1
1519941888,1,1
1519945466,1,0
1519956280,0,1
1519959869,1,0
1519977860,0,1
1519981471,2,0
1519992263,1,0
1520003074,0,2
1520006681,2,0
1520010285,0,2
1520039054,1,0
1520049859,0,1
1520053457,1,0
1520060643,0,1
1520064242,1,0
1520078667,2,3
1520082249,2,0
1520085868,1,0
1520089443,0,2
1520093040,0,2
1520096650,1,0
1520100255,1,0
1520103861,1,1
1520107441,1,0
1520125454,1,0
1520129058,1,0
1520139851,1,1
1520147059,0,1
1520150655,2,0
1520154268,0,2
1520157863,0,1
1520161466,2,0
1520165066,0,1
1520168663,0,1
1520172243,0,2
1520175868,2,1
1520179474,1,2
1520183047,2,0
1520186672,3,0
1520190255,1,1
1520193862,1,0
1520197457,1,0
1520201064,0,1
1520204657,2,0
1520219067,0,1
1520244260,0,2
1520247851,2,0
1520258649,0,2
1520265869,2,0
1520309065,0,1
1520312663,1,0
1520330655,0,1
1520334266,1,0
1520337859,0,1
1520345067,1,0
1520348636,1,1
1520352261,0,1
1520355849,2,0
1520359464,0,2
1520373852,0,3
1520377465,1,1
1520381033,4,0
1520384666,1,0
1520406264,0,1
1520409872,0,1
1520413449,1,0
1520417047,0,1
1520420648,1,0
1520424286,1,3
1520427856,3,0
1520435060,1,1
1520442251,0,1
1520449457,1,1
1520453061,1,0
1520478282,0,1
1520481879,0,2
1520485470,2,1
1520489085,0,3
1520492678,2,0
1520496269,2,0
1520539475,0,1
1520557469,0,1
1520564678,0,1
1520593461,0,1
1520597060,1,0
1520618664,0,1
1520633053,1,0
1520636658,0,1
1520640303,1,0
1520647454,0,1
1520658271,0,1
1520690656,1,1
1520694253,2,0
1520701456,1,1
1520705051,1,0
1520715872,0,3
1520719474,0,1
1520723069,2,3
1520726681,3,0
1520730275,1,0
1520733869,0,2
1520737458,2,0
1520741077,0,1
1520751875,1,0
1520773478,0,2
1520777062,0,2
1520780668,3,2
1520784268,3,0
1520795072,0,3
1520798687,1,0
1520802255,2,0
1520823870,0,1
1520827467,1,0
1520834667,0,2
1520838269,1,0
1520841871,1,0
1520881484,0,1
1520885069,0,1
1520888659,2,0
1520895857,0,1
1520899486,1,0
1520924664,0,1
1520935459,1,0
1520939054,0,1
1520942646,0,1
1520946260,1,1
1520949858,1,0
1520967858,0,3
1520971454,2,0
1520975057,1,0
1520982259,1,0
1520989446,0,1
