DateTime,AddedIPs,RemovedIPs
1520553134,132,145
1520555075,88,248
1520557000,180,136
1520558894,115,117
1520561800,160,4619
1520563838,159,1046
1520565642,90,119
1520567688,147,111
1520569693,135,115
1520571494,215,155
1520573322,84,344
1520575308,252,149
1520577185,97,215
1520579134,107,183
1520580988,103,182
1520582975,151,173
1520584822,122,220
1520587065,142,146
1520588923,82,171
1520590890,204,113
1520592787,151,106
1520594784,100,116
1520596621,98,172
1520598591,104,2332
1520601370,278,168
1520603467,116,112
1520605451,154,121
1520608578,174,233
1520610503,137,98
1520612421,138,106
1520614342,140,104
1520616271,106,101
1520618192,107,99
1520620100,131,111
1520622052,157,98
1520623951,152,105
1520625876,146,92
1520627781,117,137
1520629858,100,147
1520631871,90,95
1520633672,56,101
1520635550,77,163
1520637439,86,96
1520639433,64,144
1520641276,140,81
1520643151,276,184
1520645140,91,105
1520648197,182,156
1520650096,90,94
1520652032,83,150
1520653945,84,162
1520655880,75,161
1520657803,126,243
1520659714,98,93
1520662600,169,290
1520664549,84,123
1520666443,88,100
1520668384,95,139
1520670264,229,139
1520672258,95,155
1520674109,98,102
1520676199,60,189
1520678168,106,113
1520680010,117,159
1520682010,82,115
1520683866,83,107
1520685855,104,109
1520688187,390,143
1520689989,88,96
1520691874,100,175
1520693800,102,79
1520695705,205,81
1520698587,159,158
1520700505,127,110
1520702427,90,111
1520704343,154,105
1520706251,143,98
1520709384,261,235
1520711306,233,155
1520713217,417,154
1520715178,154,117
1520717059,96,113
1520718885,96,99
1520720694,126,75
1520722633,137,79
1520724841,123,100
1520726915,119,66
1520728808,123,76
1520730988,156,84
1520733009,112,94
1520734822,109,331
1520736996,110,100
1520738908,91,66
1520740860,143,77
1520742748,146,84
1520744699,101,145
1520746583,281,133
1520748510,159,104
1520750665,307,98
1520752582,95,101
1520754501,77,92
1520756416,98,254
1520758351,94,96
1520760255,76,98
1520762173,80,88
1520764105,91,94
1520766061,82,154
1520768188,108,97
1520770123,91,95
1520772021,97,89
1520773960,91,418
1520776226,154,105
1520778273,114,108
1520780197,84,89
1520782101,115,208
1520784126,105,118
1520785966,143,105
1520787947,107,99
1520789791,121,167
1520791729,128,112
1520793868,126,211
1520796039,91,340
1520797940,89,493
1520799888,80,176
1520801786,92,160
1520803736,89,107
1520806579,173,178
1520808534,124,129
1520810424,102,128
1520812685,139,126
1520814510,512,109
1520816562,2244,146
1520818837,1438,129
1520820748,111,119
1520822681,148,94
1520824586,97,86
1520826546,118,149
1520828421,87,133
1520830360,95,110
1520832265,118,118
1520834198,161,271
1520836096,126,93
1520839015,96,125
1520840961,102,74
1520842809,89,93
1520844993,102,213
1520846902,90,71
1520848848,205,77
1520850745,109,88
1520852665,98,73
1520854594,117,94
1520856536,143,181
1520858433,139,149
1520860354,147,79
1520862265,104,91
1520864335,202,111
1520866742,164,107
1520868745,159,125
1520870790,124,85
1520872761,100,92
1520875451,155,135
1520877396,88,159
1520879509,128,140
1520881452,101,103
1520883317,91,85
1520885291,89,89
1520887855,396,117
1520889870,70,107
1520892999,136,177
1520894923,83,122
1520897073,81,122
1520898975,89,114
1520901158,104,763
1520903233,78,2236
1520905209,127,1176
1520907026,122,98
1520908833,147,119
1520910853,159,98
1520912678,101,99
1520914733,92,98
1520916981,190,119
1520918904,99,165
1520920849,135,95
1520922749,119,134
1520924668,88,72
1520926586,109,98
1520928499,78,104
1520930442,98,87
1520932350,147,96
