DateTime,AddedIPs,RemovedIPs
1518246072,0,1
1518251729,0,1
1518261859,1,0
1518269567,0,1
1518271723,0,1
1518279885,0,1
1518293567,1,0
1518295491,1,0
1518311823,0,1
1518349483,1,0
1518379955,0,1
1518382134,0,1
1518405394,1,0
1518413328,1,0
1518415269,1,0
1518437306,0,1
1518441159,1,0
1518452913,1,0
1518456979,1,0
1518471646,0,1
1518473581,1,0
1518491560,1,0
1518495390,285,0
1518497293,1,0
1518499228,0,2
1518501130,0,1
1518528059,0,1
1518530343,1,0
1518532146,1,0
1518538358,0,1
1518542212,1,0
1518544125,1,0
1518546035,1,0
1518557795,1,0
1518559707,0,1
1518579637,0,1
1518581757,0,285
1518583690,0,1
1518591682,1,0
1518615131,0,1
1518619218,0,1
1518627158,0,1
1518631002,0,1
1518632925,0,1
1518643010,0,1
1518653012,1,0
1518655018,1,0
1518679473,0,1
1518685274,1,0
1518700855,1,0
1518704647,1,0
1518706573,0,1
1518724607,1,0
1518739904,0,2
1518741863,1,0
1518743932,1,0
1518772161,0,1
1518785542,0,1
1518792548,0,1
1518796897,1,0
1518808595,1,0
1518815329,1,0
1518821196,1,0
1518827335,0,1
1518829324,0,1
1518839352,1,0
1518862346,1,0
1518882038,1,0
1518889933,0,1
1518894224,1,0
1518896170,0,1
1518900037,1,0
1518902213,0,1
1518908198,0,1
1518947859,2,0
1518968551,0,1
1518970499,2,0
1518972635,1,0
1518974443,1,0
1518980667,0,1
1518986425,0,1
1518990287,1,0
1518992215,1,0
1519008268,0,1
1519019784,1,0
1519033228,1,0
1519035394,0,1
1519039213,1,0
1519041136,0,1
1519053141,1,0
1519057009,1,3
1519061060,0,2
1519062974,2,0
1519065230,1,0
1519071399,1,0
1519076435,0,1
1519078264,0,1
1519080520,1,0
1519086528,1,0
1519094199,1,0
1519096113,1,0
1519098004,1,0
1519100199,1,0
1519105974,0,1
1519119380,0,1
1519121333,1,0
1519138874,0,1
1519142653,1,0
1519149730,0,1
1519151807,0,1
1519153958,1,1
1519157830,1,1
1519159709,1,0
1519161526,0,1
1519163554,2,0
1519167377,0,2
1519169295,0,1
1519171347,1,1
1519177033,1,0
1519178917,1,0
1519182972,1,2
1519187062,0,1
1519205320,1,0
1519207300,1,1
1519209149,1,0
1519211065,1,0
1519213222,1,0
1519223556,1,0
1519229552,2,1
1519233616,1,0
1519240852,1,1
1519242747,1,0
1519244922,0,2
1519248748,1,1
1519250665,0,1
1519254742,2,0
1519256925,0,1
1519262192,0,1
1519264054,1,0
1519266009,0,1
1519273934,1,0
1519288103,2,0
1519291322,1,1
1519296994,1,1
1519301126,1,0
1519302979,1,0
1519309009,1,0
1519311172,1,1
1519315310,1,0
1519317336,0,1
1519327474,0,1
1519333300,1,0
1519347400,2,1
1519349344,0,1
1519352184,1,0
1519356016,1,0
1519357962,1,0
1519362096,0,1
1519367783,0,8
1519369727,1,0
1519375697,0,3
1519387273,0,1
1519389368,0,1
1519391292,1,0
1519398973,1,0
1519400962,0,1
1519410999,0,1
1519421086,0,2
1519426291,0,1
1519434277,0,2
1519443860,0,2
1519455881,0,1
1519478204,0,1
1519484172,2,0
1519486445,0,1
1519496561,1,0
1519498577,0,1
1519515369,0,1
1519517458,1,0
1519562410,1,0
1519570089,0,2
1519573712,2,0
1519578081,1,0
1519581965,1,1
1519584038,1,0
1519586204,2,0
1519588125,0,1
1519594087,1,0
1519601083,2,0
1519613298,1,0
1519624868,1,0
1519640187,1,0
1519642099,1,0
1519647860,1,0
1519649777,0,1
1519653863,1,0
1519660091,0,1
1519669928,0,2
1519671854,0,3
1519680426,0,1
1519687463,0,1
