DateTime,AddedIPs,RemovedIPs
1520551232,5,8
1520553134,7,13
1520555076,7,9
1520557000,12,8
1520558894,31,12
1520561800,49,31
1520563839,36,27
1520565643,16,17
1520567688,27,16
1520569694,29,11
1520571494,26,20
1520573322,15,28
1520575309,155,17
1520577185,18,19
1520579134,20,21
1520580988,21,24
1520582975,55,23
1520584823,22,26
1520587066,23,29
1520588923,18,25
1520590890,18,19
1520592788,54,19
1520594784,11,13
1520596622,12,14
1520598592,16,4
1520601371,16,18
1520603468,13,10
1520605451,58,10
1520608579,8,8
1520610504,8,9
1520612422,7,11
1520614343,7,6
1520616272,5,12
1520618193,10,9
1520620101,5,4
1520622990,9,14
1520624899,2,6
1520626816,4,7
1520628757,1,10
1520630665,2,4
1520632594,4,8
1520635551,11,14
1520637439,5,6
1520639434,12,12
1520641277,8,2
1520643152,20,10
1520645140,14,13
1520648198,32,27
1520650097,19,22
1520652032,20,17
1520653946,22,23
1520655881,11,20
1520657804,21,17
1520659715,15,19
1520661674,45,136
1520663559,12,23
1520665477,13,20
1520667403,18,28
1520669325,11,58
1520671223,14,26
1520673163,12,33
1520675064,17,25
1520677012,6,15
1520678900,24,61
1520680845,41,15
1520682757,8,16
1520684687,14,18
1520686585,8,10
1520688524,9,21
1520691437,13,68
1520693328,6,30
1520695286,10,8
1520697175,9,16
1520699133,5,24
1520701005,9,7
1520703017,11,16
1520704868,12,15
1520707095,4,11
1520708917,10,8
1520710975,9,4
1520712983,10,3
1520714794,5,2
1520716607,7,1
1520718550,8,6
1520720695,4,13
1520722634,9,3
1520724842,9,8
1520726915,10,8
1520728809,17,12
1520730988,15,16
1520733010,21,13
1520734823,17,5
1520736997,13,19
1520738908,17,7
1520740866,51,18
1520742748,25,11
1520744699,10,21
1520746583,12,42
1520748510,16,26
1520750666,17,25
1520752582,17,20
1520754501,16,19
1520756417,11,16
1520758351,8,18
1520760255,8,25
1520762173,13,14
1520764106,12,24
1520766981,15,76
1520768886,12,14
1520770819,6,16
1520772731,1,16
1520774666,2,20
1520777792,20,21
1520779692,11,5
1520781629,11,7
1520783555,4,13
