DateTime,AddedIPs,RemovedIPs
1519960137,1,1
1519962021,1,1
1519963944,0,1
1519965881,1,0
1519971645,2,0
1519979548,0,1
1519992078,0,1
1519995865,2,2
1519997791,0,1
1519999856,0,3
1520001853,2,0
1520003770,2,0
1520007633,0,1
1520011474,0,2
1520013381,2,0
1520017275,2,2
1520019163,1,0
1520021067,2,0
1520022974,0,1
1520024925,3,3
1520028761,1,1
1520030655,1,0
1520032600,0,1
1520034991,3,1
1520036932,1,0
1520038878,0,2
1520040781,1,1
1520042687,1,2
1520044626,1,2
1520046526,2,1
1520048478,1,1
1520052294,0,1
1520058039,0,2
1520071579,1,0
1520081413,0,1
1520083335,0,1
1520087166,1,0
1520088997,3,2
1520090917,1,2
1520099052,0,1
1520103144,0,1
1520105068,1,2
1520106984,0,1
1520108902,0,1
1520110901,0,2
1520112763,2,1
1520114672,1,1
1520116603,0,1
1520118515,2,0
1520120574,0,3
1520122610,1,1
1520124501,1,0
1520128445,0,2
1520130281,0,1
1520132228,0,2
1520134120,1,1
1520137961,1,0
1520139926,1,0
1520143781,2,0
1520159361,0,1
1520167092,1,0
1520168918,1,0
1520172756,1,0
1520174743,0,4
1520176603,1,1
1520178621,2,0
1520184528,1,0
1520186502,1,0
1520188347,1,0
1520190340,2,1
1520192426,1,0
1520198434,1,0
1520200356,0,3
1520204193,1,1
1520206361,0,1
1520210470,1,1
1520212383,0,1
1520214324,2,0
1520216222,2,0
1520218148,1,0
1520220066,1,1
1520221968,1,0
1520225834,1,1
1520227733,0,1
1520229756,0,2
1520231840,1,0
1520249111,1,0
1520251012,1,0
1520254887,0,1
1520258708,0,1
1520260872,1,0
1520262784,2,1
1520264699,2,2
1520266858,1,0
1520270724,1,0
1520272682,0,2
1520274697,2,0
1520276754,0,2
1520280592,0,1
1520282463,1,0
1520284851,1,1
1520290593,2,1
1520292561,1,1
1520296573,1,1
1520298526,0,1
1520300477,1,2
1520302361,3,1
1520304320,0,2
1520306207,3,1
1520308165,0,1
1520311993,0,1
1520313874,1,0
1520317714,0,1
1520333558,1,0
1520335466,0,1
1520337378,0,1
1520341282,4,1
1520343162,1,0
1520347243,0,1
1520349152,2,2
1520351083,1,2
1520353012,1,1
1520356913,1,1
1520358766,1,0
1520360902,0,2
1520363818,2,0
1520366482,3,0
1520368350,3,1
1520370153,0,1
1520371954,2,0
1520373974,1,0
1520375798,0,1
1520377775,2,2
1520379624,5,0
1520383472,1,1
1520387303,1,1
1520389276,0,3
1520391150,0,1
1520393131,1,2
1520397037,1,0
1520401708,0,1
1520419225,0,1
1520426906,1,3
1520428827,3,1
1520430752,0,1
1520432678,1,0
1520434584,1,2
1520438496,2,1
1520440359,0,1
1520442273,3,0
1520444426,2,1
1520446449,1,1
1520448268,0,1
1520450193,1,1
1520452112,0,2
1520454029,0,3
1520455959,1,1
1520457854,1,0
1520460076,1,3
1520463861,0,2
1520465791,1,4
1520467985,1,1
1520469943,1,1
1520472074,1,0
1520474102,1,1
1520475932,1,0
1520477906,2,1
1520481778,2,0
1520483595,0,1
1520491295,2,0
1520495311,1,0
1520503886,1,0
1520513787,0,2
1520515945,0,2
1520517883,0,1
1520519954,0,1
1520523990,0,1
1520526017,0,1
1520528183,0,3
1520530108,0,1
1520532079,0,1
1520533943,0,1
1520537775,0,1
1520541614,0,1
1520543534,0,1
1520545469,1,0
1520547398,0,1
1520553136,0,1
1520555077,0,2
1520558896,1,2
1520561802,1,1
1520563841,1,2
1520567690,2,2
1520569695,2,0
1520571495,1,0
1520575310,1,0
1520577187,0,2
1520580989,0,1
1520590892,0,1
1520596624,1,0
1520604747,2,0
1520610505,1,0
1520612423,2,0
1520614343,1,0
1520616273,1,0
1520618193,1,0
1520620102,1,0
1520623952,2,0
1520625876,1,0
1520627782,1,0
1520631872,0,1
1520635552,1,0
1520639435,1,0
1520641278,1,0
1520643153,1,0
1520645141,0,1
1520647328,0,1
1520651304,0,1
1520653209,0,2
1520655433,1,2
1520659257,0,1
1520661154,1,1
1520663078,1,0
1520679396,2,0
1520683270,0,1
1520690906,0,2
1520694748,1,0
1520696675,1,1
1520698588,0,2
1520700506,0,1
1520702427,0,1
1520704344,0,1
1520706251,0,1
1520709386,0,2
1520711308,1,0
1520713219,0,2
1520715179,1,0
1520717061,3,0
1520722635,1,1
1520724843,0,1
1520728810,0,2
1520733011,2,0
1520734824,2,0
1520736998,2,0
1520738909,1,0
1520740878,2,1
1520748511,0,2
1520766108,0,2
1520768190,1,0
1520770124,1,0
1520780198,1,0
1520782102,2,1
1520784128,1,1
1520789793,3,0
1520793870,1,0
1520797942,2,1
1520799890,3,0
1520801787,1,2
1520803738,2,2
1520805671,1,0
1520807556,2,0
1520809473,2,1
1520815475,1,0
1520817401,1,0
1520819325,0,2
1520821252,1,2
1520823158,2,2
1520825084,0,1
1520827003,0,2
1520828926,1,0
1520852202,1,0
1520854098,0,1
1520856071,1,1
1520857952,2,0
1520859874,1,0
1520861795,2,0
1520865638,3,1
1520867794,1,1
1520869713,3,1
1520871648,3,1
1520873781,1,0
1520876649,2,3
1520878739,4,0
1520880746,2,1
1520882675,3,1
1520884579,3,1
1520887857,2,3
1520889873,0,2
1520892100,0,1
1520893960,0,2
1520896152,1,2
1520898013,2,0
1520900191,1,0
1520902100,1,1
1520904016,0,1
1520905966,1,0
1520908006,1,1
1520910093,2,2
1520911935,2,0
1520916025,0,1
1520917955,1,0
1520933300,1,0
1520935292,1,0
1520937148,1,1
1520939076,2,0
1520940999,0,1
1520942905,0,2
1520944826,2,1
1520948686,0,2
1520950594,0,2
1520952518,1,2
1520954421,0,2
1520956338,1,1
1520958266,2,3
1520960209,1,1
1520962105,1,0
1520964069,0,5
1520966030,0,2
1520968127,1,3
1520970267,1,3
1520972430,3,3
1520974356,1,0
1520978179,1,0
1520980093,1,0
1520982107,1,1
1520983965,2,2
1520985873,2,1
1520989713,0,1
1520993549,2,2
1520995457,1,2
1520997383,2,2
1521003154,2,0
1521005064,0,1
1521014666,1,0
1521018522,0,2
1521020438,1,1
1521024523,0,2
1521026434,0,1
1521030262,2,2
1521036179,2,0
1521038171,2,1
1521041793,0,1
1521043621,2,1
1521045472,1,1
1521047484,1,2
1521049452,2,0
1521051268,1,0
1521053305,1,1
1521055109,1,1
1521056982,2,1
1521058918,1,2
1521060757,0,1
1521062822,1,0
1521064883,3,1
1521066737,1,1
1521068539,1,1
1521071082,2,3
1521076813,1,0
1521078741,0,1
1521080691,2,1
1521082559,3,1
1521084496,0,2
1521090238,0,2
1521101668,0,1
1521103476,1,0
1521107552,0,1
