DateTime,Entries,UniqueIPs
1519960137,30,30
1519962021,30,30
1519963944,29,29
1519965881,30,30
1519971645,32,32
1519979548,31,31
1519992078,30,30
1519995865,30,30
1519997791,29,29
1519999856,26,26
1520001853,28,28
1520003770,30,30
1520007633,29,29
1520011474,27,27
1520013381,29,29
1520017275,29,29
1520019163,30,30
1520021067,32,32
1520022974,31,31
1520024925,31,31
1520028761,31,31
1520030655,32,32
1520032600,31,31
1520034991,33,33
1520036932,34,34
1520038878,32,32
1520040781,32,32
1520042687,31,31
1520044626,30,30
1520046526,31,31
1520048478,31,31
1520052294,30,30
1520058039,28,28
1520071579,29,29
1520081413,28,28
1520083335,27,27
1520087166,28,28
1520088997,29,29
1520090917,28,28
1520099052,27,27
1520103144,26,26
1520105068,25,25
1520106984,24,24
1520108902,23,23
1520110901,21,21
1520112763,22,22
1520114672,22,22
1520116603,21,21
1520118515,23,23
1520120574,20,20
1520122610,20,20
1520124501,21,21
1520128445,19,19
1520130281,18,18
1520132228,16,16
1520134120,16,16
1520137961,17,17
1520139926,18,18
1520143781,20,20
1520159361,19,19
1520167092,20,20
1520168918,21,21
1520172756,22,22
1520174743,18,18
1520176603,18,18
1520178621,20,20
1520184528,21,21
1520186502,22,22
1520188347,23,23
1520190340,24,24
1520192426,25,25
1520198434,26,26
1520200356,23,23
1520204193,23,23
1520206361,22,22
1520210470,22,22
1520212383,21,21
1520214324,23,23
1520216222,25,25
1520218148,26,26
1520220066,26,26
1520221968,27,27
1520225834,27,27
1520227733,26,26
1520229756,24,24
1520231840,25,25
1520249111,26,26
1520251012,27,27
1520254887,26,26
1520258708,25,25
1520260872,26,26
1520262784,27,27
1520264699,27,27
1520266858,28,28
1520270724,29,29
1520272682,27,27
1520274697,29,29
1520276754,27,27
1520280592,26,26
1520282463,27,27
1520284851,27,27
1520290593,28,28
1520292561,28,28
1520296573,28,28
1520298526,27,27
1520300477,26,26
1520302361,28,28
1520304320,26,26
1520306207,28,28
1520308165,27,27
1520311993,26,26
1520313874,27,27
1520317714,26,26
1520333558,27,27
1520335466,26,26
1520337378,25,25
1520341282,28,28
1520343162,29,29
1520347243,28,28
1520349152,28,28
1520351083,27,27
1520353012,27,27
1520356913,27,27
1520358766,28,28
1520360902,26,26
1520363818,28,28
1520366482,31,31
1520368350,33,33
1520370153,32,32
1520371954,34,34
1520373974,35,35
1520375798,34,34
1520377775,34,34
1520379624,39,39
1520383472,39,39
1520387303,39,39
1520389276,36,36
1520391150,35,35
1520393131,34,34
1520397037,35,35
1520401708,34,34
1520419225,33,33
1520426906,31,31
1520428827,33,33
1520430752,32,32
1520432678,33,33
1520434584,32,32
1520438496,33,33
1520440359,32,32
1520442273,35,35
1520444426,36,36
1520446449,36,36
1520448268,35,35
1520450193,35,35
1520452112,33,33
1520454029,30,30
1520455959,30,30
1520457854,31,31
1520460076,29,29
1520463861,27,27
1520465791,24,24
1520467985,24,24
1520469943,24,24
1520472074,25,25
1520474102,25,25
1520475932,26,26
1520477906,27,27
1520481778,29,29
