DateTime,AddedIPs,RemovedIPs
1519239685,1,0
1519241548,23,0
1519243713,128,0
1519245629,9,1
1519247788,0,26
1519249708,1,44
1519251626,0,1
1519253805,1,0
1519255697,3,0
1519257749,2,0
1519266010,2,0
1519267979,1,0
1519269883,0,2
1519281884,3,0
1519285964,0,1
1519292181,2,1
1519296035,0,12
1519297941,0,15
1519301127,1,1
1519302980,0,1
1519304919,1,0
1519307152,1,0
1519309010,1,0
1519311173,2,0
1519321470,3,0
1519323636,1,0
1519325557,0,10
1519327475,0,39
1519329388,0,183
1519331378,2,9
1519335447,0,1
1519337559,1,0
1519339563,0,1
1519341565,0,3
1519343568,1,2
1519347401,46,0
1519349345,9,0
1519352185,2,2
1519354125,0,1
1519359860,1,0
1519367784,0,3
1519371619,0,1
1519377644,0,1
1519379533,0,1
1519385362,1,0
1519387277,0,1
1519391293,4,1
1519393232,0,1
1519395133,0,1
1519397070,2,0
1519398974,41,2
1519403068,2,0
1519407140,0,1
1519409190,0,6
1519415060,6,0
1519417137,0,1
1519419130,0,1
1519423276,1,0
1519426292,0,1
1519428254,2,0
1519430177,0,1
1519434278,1,36
1519438112,0,1
1519440043,1,1
1519441949,1,0
1519443861,1,0
1519445794,1,1
1519455882,1,0
1519457806,1,0
1519465947,1,0
1519471962,0,1
1519478205,0,5
1519484173,0,32
1519486446,1,28
1519488806,0,2
1519500445,2,0
1519502481,0,6
1519510090,0,1
1519513376,0,1
1519515370,34,2
1519517459,1,0
1519519466,18,1
1519521289,2,0
1519525475,0,1
1519529307,0,1
1519531270,2,2
1519533396,1,0
1519539414,1,0
1519541315,1,1
1519543210,0,1
1519550668,1,0
1519552752,0,1
1519558570,1,0
1519562411,1,0
1519570090,8,0
1519571912,1,1
1519576031,1,0
1519588126,0,2
1519592105,2,0
1519601084,0,23
1519603351,0,11
1519605379,1,18
1519607311,1,3
1519611393,1,0
1519615217,1,0
1519617142,0,2
1519619065,1,1
1519624876,0,1
1519626744,1,0
1519628670,0,1
1519636338,1,1
1519640188,1,0
1519642100,1,0
1519644020,0,1
1519647861,0,1
1519649778,1,0
1519652014,1,0
1519655774,1,0
1519658099,0,9
1519662008,0,1
1519666097,2,0
1519674053,1,0
1519678579,0,2
1519680427,1,0
1519692013,0,1
1519693957,0,1
1519695993,1,0
1519697805,0,1
1519701856,0,1
1519705692,13,1
1519707696,2,0
1519711381,0,1
1519715538,1,0
1519721543,0,1
1519725677,0,1
1519727919,0,1
1519729735,1,0
1519734039,1,0
1519735873,0,1
1519737878,0,1
1519744011,0,1
1519753215,1,2
1519755411,1,0
1519761152,0,1
1519767158,0,1
1519782743,0,1
1519791419,0,9
1519793345,0,6
1519801277,0,1
1519807032,2,0
1519812769,2,0
1519814697,29,1
1519816616,1,0
1519820469,0,1
1519834144,1,0
1519840097,0,1
1519842059,0,1
1519845744,1,0
1519847591,3,0
1519853339,1,0
1519855295,6,0
1519867039,5,0
1519872755,1,0
1519878695,1,0
1519892419,0,2
1519898185,0,1
1519900099,1,30
1519903951,0,1
1519905888,1,0
1519911626,1,0
1519913547,4,0
1519917408,1,0
1519919306,1,1
1519921266,1,0
1519925070,1,0
1519932991,2,1
1519934903,1,3
1519938750,1,0
1519940669,2,7
1519950275,1,0
1519952194,2,4
1519954346,1,1
1519960138,3,1
1519963945,1,0
1519965881,0,1
1519981486,1,0
1519985305,0,1
1519989145,2,0
1519992079,1,1
1519997792,1,1
1519999856,1,4
1520003770,0,1
1520005709,0,1
1520007633,0,1
1520009556,1,0
1520011474,0,1
1520013381,2,0
1520017276,1,0
1520019163,0,2
1520021068,0,1
1520024925,4,1
1520026812,0,2
1520032600,30,0
1520034991,7,0
1520036932,0,1
1520038896,1,2
1520040782,0,1
1520042687,1,0
1520044626,1,0
1520046526,0,3
1520048478,1,0
1520050367,0,1
1520052294,1,0
1520054208,1,0
1520067734,0,1
1520069663,1,0
1520071579,2,0
1520075422,6,2
1520077328,236,1
1520079248,30,0
1520085157,0,2
1520097065,0,1
1520101225,0,2
1520103145,3,1
1520110902,0,3
1520112763,1,1
1520118515,1,14
1520120574,0,21
1520122610,0,2
1520126446,0,1
1520128445,0,1
1520130281,0,1
1520136085,0,1
1520137962,0,1
1520139926,0,1
1520149709,1,0
1520153545,1,0
1520155521,0,1
1520157396,2,2
1520159361,1,0
1520161316,0,1
1520163221,1,164
1520165082,1,107
1520172756,1,0
1520176604,2,0
1520180678,1,0
1520186503,1,0
1520194349,2,0
1520210470,5,0
1520212384,31,0
1520214324,2,0
1520216222,1,0
1520237611,0,6
1520239495,0,1
1520245302,0,3
1520247183,1,0
1520249112,0,1
1520252974,14,1
1520254888,17,0
1520256808,2,0
1520258709,0,1
1520262785,1,2
1520266858,0,1
1520268806,22,0
1520270725,5,0
1520274698,0,1
1520276754,1,0
1520280592,0,2
1520296573,0,2
1520298526,0,34
1520300477,0,2
1520302361,0,1
1520311993,1,0
1520322029,1,0
1520325873,1,0
1520329709,2,0
1520333558,1,1
1520335466,1,0
1520339325,0,14
1520341283,9,17
1520343163,193,2
1520345412,1,0
1520349152,0,1
1520351083,4,0
1520354927,1,22
1520356913,3,5
1520363818,0,1
1520375798,1,0
1520379625,1,0
1520385456,1,0
1520387303,1,0
1520393131,2,0
1520399794,0,1
1520403632,2,0
1520407466,0,1
1520411306,1,1
1520413297,1,0
1520417322,7,2
1520419225,0,1
1520421154,0,1
1520423076,1,0
1520424997,3,0
1520428827,0,125
1520430752,0,77
1520432679,0,1
1520436506,1,3
1520438496,0,1
1520440359,2,0
1520442273,1,4
1520444427,1,0
1520446449,1,0
1520452113,1,0
1520454029,1,0
1520460076,1,0
1520461951,0,1
1520463862,1,0
1520465791,1,0
1520467986,0,1
1520472074,0,1
1520474103,3,1
1520475933,2,0
1520477907,1,0
1520479744,0,2
1520485576,39,0
1520487422,152,0
1520489419,2,0
1520491295,24,2
1520493298,5,0
1520497509,4,0
1520499463,1,2
1520503886,1,7
1520507781,0,1
1520509952,2,0
1520511878,0,3
1520519954,1,0
1520523991,1,1
1520526018,0,1
1520528183,1,2
1520532080,0,2
1520537776,2,0
1520539715,0,2
1520547399,0,1
1520551233,2,2
1520561802,0,5
1520563841,4,0
1520565644,0,1
1520567690,1,0
1520571496,0,27
1520573324,0,136
1520575310,1,30
1520577187,0,24
1520579136,1,5
1520580990,1,0
1520582977,2,4
1520587067,0,1
1520588925,1,1
1520590892,4,0
1520592789,1,0
1520594786,1,0
1520596624,0,2
1520604747,0,1
1520608580,1,0
1520610505,0,1
1520614344,0,1
1520618194,1,0
1520623952,0,1
1520625877,0,1
1520639436,0,2
1520649282,0,4
1520655433,0,1
1520661155,0,1
1520666925,0,2
1520669793,0,2
1520673615,0,1
1520677473,0,4
1520679397,0,2
1520694748,0,1
1520698588,24,0
1520700506,32,0
1520702427,1,0
1520704344,9,1
1520739861,2,0
1520741791,2,0
1520768190,1,0
1520770124,1,0
1520773962,1,0
1520784128,0,9
1520785968,0,47
1520787949,1,0
1520789793,0,10
1520791731,13,0
1520793870,7,0
1520801787,11,0
1520803738,1,0
1520805671,4,0
1520827004,0,2
1520828927,1,2
1520834667,1,0
1520836598,1,0
1520840454,1,0
1520844520,1,0
1520848372,2,0
1520852202,1,0
1520854098,0,1
1520856075,0,1
1520859874,0,1
1520867794,1,0
1520873781,0,1
1520878739,1,20
1520880747,8,0
1520882675,7,0
1520887857,2,8
1520892100,1,5
1520893961,16,0
1520914117,0,1
1520921783,0,1
1520923711,0,1
1520927570,0,1
1520931382,0,1
1520933300,0,1
1520935292,2,1
1520939076,0,1
1520952518,0,1
1520960209,1,0
1520964070,0,1
1520966031,0,2
1520968127,0,16
1520974356,0,2
1520978179,0,1
1520980094,0,6
1520982118,24,10
1520983965,31,0
1520987777,4,0
1520989713,1,0
1520991616,1,0
1521022357,0,2
1521047484,20,1
1521055109,1,0
1521066737,0,2
1521068539,1,22
1521071083,0,31
1521072981,7,1
1521074856,17,2
1521076813,1,0
1521078741,10,1
1521088334,20,0
1521094108,1,0
1521131070,8,0
1521133319,4,15
1521135154,0,6
1521140915,1,1
1521154350,17,1
1521156428,8,0
1521158546,5,0
1521160633,0,21
1521162682,0,2
1521164990,0,5
1521174496,0,18
1521180294,0,1
1521187993,1,0
1521203321,1,0
1521205277,4,0
1521216987,0,3
1521218908,0,10
1521226590,0,1
1521232356,1,0
1521240027,1,16
1521241900,0,3
1521243851,0,9
1521245683,0,3
1521274575,0,1
1521282268,1,0
1521289959,0,1
1521291986,0,12
1521299691,15,0
1521318886,0,1
1521323062,1,0
1521326942,4,1
1521328888,40,0
1521367945,0,1
1521369869,1,0
1521385276,1,8
1521387144,4,7
1521390991,1,0
1521408493,0,1
1521413731,0,34
1521415691,0,4
1521443078,1,0
1521452919,1,0
1521454823,0,1
1521466348,1,0
1521472118,0,11
1521477882,0,1
1521483899,13,0
1521487747,72,0
1521490710,12,0
1521492821,10,0
1521528039,0,1
1521532097,1,0
1521539768,0,1
