DateTime,AddedIPs,RemovedIPs
1520485577,2,0
1520487423,2,121
1520489419,1,113
1520491296,1,366
1520493299,0,1
1520495312,2,0
1520497509,1,1
1520499464,3,2
1520503887,5,1
1520507781,2,1
1520511879,1,1
1520513787,2,0
1520515946,0,1
1520517884,1,1
1520519955,2,2
1520521936,0,1
1520523991,2,2
1520526018,2,3
1520528184,0,29
1520530108,0,2
1520532081,30,0
1520533944,12,76
1520535854,1,1
1520537776,6,7
1520539715,1,1
1520541615,2,2
1520543534,1,1
1520545469,0,24
1520547399,0,1
1520549307,25,1
1520553136,52,4
1520555078,1,221
1520557002,0,3
1520558897,1,0
1520561803,1,60
1520563842,0,2
1520565645,0,2
1520567691,2,2
1520569696,0,2
1520571496,219,1
1520573324,2,118
1520575311,32,1
1520577188,1,2
1520579137,1,0
1520580990,0,2
1520582977,1,0
1520584824,0,2
1520587068,2,0
1520588925,0,1
1520590892,1,2
1520594787,3,1
1520598594,2,1
1520600512,1,2
1520602723,133,0
1520604748,1,2
1520606677,1,79
1520608581,0,1
1520610506,0,1
1520612424,3,2
1520614344,4,1
1520616274,3,0
1520618194,3,2
1520620102,37,1
1520622075,4,1
1520623952,3,6
1520625877,1,3
1520627783,3,1
1520629860,2,1
1520631873,3,0
1520633673,0,33
1520635553,0,14
1520639436,1,53
1520641279,2,0
1520643154,1,0
1520645142,0,1
1520647329,1,1
1520651304,1,0
1520653210,1,1
1520655434,2,1
1520657307,0,1
1520659259,1,218
1520661155,4,32
1520664991,0,2
1520666925,1,0
1520668876,2,1
1520670778,123,0
1520672665,2,2
1520676516,0,1
1520680364,1,1
1520682307,0,2
1520684197,0,2
1520686145,11,0
1520688189,1,1
1520689991,2,1
1520691875,3,1
1520693802,26,1
1520695706,2,1
1520697699,1,0
1520699547,0,3
1520701497,2,5
1520703660,1,5
1520705544,1,2
1520707482,1,5
1520709386,1,4
1520711309,116,1
1520713219,315,2
1520715180,1,2
1520717061,0,2
1520718887,0,3
