DateTime,AddedIPs,RemovedIPs
1520391154,1,1
1520393134,0,6
1520394985,1,1
1520397042,0,2
1520398894,0,5
1520400807,0,2
1520402674,0,1
1520404672,1,3
1520406505,1,0
1520408488,0,3
1520412362,0,4
1520416340,0,1
1520418264,0,3
1520420179,0,3
1520422102,0,1
1520424077,0,2
1520425943,1,0
1520427873,0,1
1520429793,1,1
1520433624,1,2
1520435551,0,1
1520437624,0,2
1520439619,0,2
1520441776,0,3
1520444431,1,2
1520446453,0,3
1520450197,1,1
1520452116,1,0
1520454032,0,1
1520455962,1,0
1520457858,0,1
1520460081,0,1
1520461954,0,2
1520463865,1,0
1520465794,4,1
1520467988,0,3
1520469946,0,1
1520472077,0,1
1520474106,0,1
1520475936,0,1
1520477909,0,1
1520479746,0,1
1520483598,1,0
1520487425,1,0
1520489422,1,0
1520491298,2,1
1520493302,1,0
1520495315,1,0
1520497512,1,0
1520499466,2,0
1520501476,2,0
1520503889,2,1
1520505866,5,0
1520507784,2,0
1520509955,4,0
1520511881,2403,0
1520513790,2,0
1520515948,3,1
1520517886,5,0
1520519958,6,0
1520521938,7,0
1520523994,6,0
1520526021,2,0
1520528186,6,0
1520530111,7,0
1520532083,4,0
1520533946,6,0
1520535856,5,0
1520537778,6,1
1520539718,4,0
1520541618,2,1
1520543537,1,0
1520545472,2,0
1520547402,2,0
1520549310,2,0
1520551237,10,1
1520553139,3,2
1520555081,2,0
1520558899,3,1
1520561805,1,0
1520563844,3,0
1520569698,0,1
1520571498,2,0
1520573327,0,2
1520575313,0,1
1520577189,3,2
1520579139,0,2
1520582979,0,1
1520587071,0,2
1520588927,2,2
1520590894,1,3
1520592792,5,4
1520594789,2,4
1520596626,3,40
1520598596,3,2368
1520600515,4,2
1520602725,0,3
1520604751,0,5
1520606680,3,7
1520608583,0,7
1520610508,0,5
1520612426,1,2
1520614346,2,6
1520616276,1,5
1520618196,1,5
1520620105,0,7
1520622078,0,6
1520623955,1,5
1520625879,1,5
1520627785,1,1
1520629862,2,2
1520631874,0,2
1520633675,1,2
1520635555,1,2
1520637443,0,8
1520639438,0,4
1520641281,0,2
1520643156,1,0
1520645144,0,2
1520647331,0,2
1520649284,0,2
1520651306,0,1
1520657309,0,1
1520659261,1,0
1520661158,0,2
1520663081,0,2
1520670781,2,0
1520674624,0,1
1520676519,0,1
1520678448,0,1
1520680367,0,7
1520682310,2,0
1520684200,1,6
1520686147,0,3
1520688191,0,2
1520689993,1,0
1520691877,0,1
1520693804,0,2
1520697701,0,1
1520699549,1,1
1520701499,0,2
1520709388,2,0
1520711311,0,1
1520713221,0,1
1520715182,1,2
1520717063,0,1
1520720699,0,1
1520722638,1,1
1520724846,1,0
1520728813,0,1
1520734827,1,0
1520737001,1,0
1520738912,1,0
1520742752,1,0
1520746587,1,2
1520756421,1,1
1520758358,1,1
1520760259,5,0
1520764110,3,0
1520766111,1,0
1520768193,2,2
1520770127,1,1
1520772025,4,0
1520773965,1,0
1520776230,8,0
1520778278,1,0
1520780201,1,0
1520782106,3,0
1520784131,4,0
1520785971,11,0
1520787952,9,0
1520789797,5,0
1520791734,1,0
1520793873,7,0
1520796043,0,2
1520797944,2,0
1520799893,7,0
1520801790,9,1
1520803741,5,0
1520805673,7,0
1520807560,2,0
1520809476,1,1
1520811636,1,1
1520813562,7,0
1520815478,4,0
1520817404,5,0
1520819328,1,0
1520821254,3,1
1520825087,0,1
1520827006,3,1
1520828929,0,1
1520830887,3,0
