DateTime,Entries,UniqueIPs
1520391154,71,71
1520393134,65,65
1520394985,65,65
1520397042,63,63
1520398894,58,58
1520400807,56,56
1520402674,55,55
1520404672,53,53
1520406505,54,54
1520408488,51,51
1520412362,47,47
1520416340,46,46
1520418264,43,43
1520420179,40,40
1520422102,39,39
1520424077,37,37
1520425943,38,38
1520427873,37,37
1520429793,37,37
1520433624,36,36
1520435551,35,35
1520437624,33,33
1520439619,31,31
1520441776,28,28
1520444431,27,27
1520446453,24,24
1520450197,24,24
1520452116,25,25
1520454032,24,24
1520455962,25,25
1520457858,24,24
1520460081,23,23
1520461954,21,21
1520463865,22,22
1520465794,25,25
1520467988,22,22
1520469946,21,21
1520472077,20,20
1520474106,19,19
1520475936,18,18
1520477909,17,17
1520479746,16,16
1520483598,17,17
1520487425,18,18
1520489422,19,19
1520491298,20,20
1520493302,21,21
1520495315,22,22
1520497512,23,23
1520499466,25,25
1520501476,27,27
1520503889,28,28
1520505866,33,33
1520507784,35,35
1520509955,39,39
1520511881,2442,2442
1520513790,2444,2444
1520515948,2446,2446
1520517886,2451,2451
1520519958,2457,2457
1520521938,2464,2464
1520523994,2470,2470
1520526021,2472,2472
1520528186,2478,2478
1520530111,2485,2485
1520532083,2489,2489
1520533946,2495,2495
1520535856,2500,2500
1520537778,2505,2505
1520539718,2509,2509
1520541618,2510,2510
1520543537,2511,2511
1520545472,2513,2513
1520547402,2515,2515
1520549310,2517,2517
1520551237,2526,2526
1520553139,2527,2527
1520555081,2529,2529
1520558899,2531,2531
1520561805,2532,2532
1520563844,2535,2535
1520569698,2534,2534
1520571498,2536,2536
1520573327,2534,2534
1520575313,2533,2533
1520577189,2534,2534
1520579139,2532,2532
1520582979,2531,2531
1520587071,2529,2529
1520588927,2529,2529
1520590894,2527,2527
1520592792,2528,2528
1520594789,2526,2526
1520596626,2489,2489
1520598596,124,124
1520600515,126,126
1520602725,123,123
1520604751,118,118
1520606680,114,114
1520608583,107,107
1520610508,102,102
1520612426,101,101
1520614346,97,97
1520616276,93,93
1520618196,89,89
1520620105,82,82
1520622078,76,76
1520623955,72,72
1520625879,68,68
1520627785,68,68
1520629862,68,68
1520631874,66,66
1520633675,65,65
1520635555,64,64
1520637443,56,56
1520639438,52,52
1520641281,50,50
1520643156,51,51
1520645144,49,49
1520647331,47,47
1520649284,45,45
1520651306,44,44
1520657309,43,43
1520659261,44,44
1520661158,42,42
1520663081,40,40
1520670781,42,42
1520674624,41,41
1520676519,40,40
1520678448,39,39
1520680367,32,32
1520682310,34,34
1520684200,29,29
1520686147,26,26
1520688191,24,24
1520689993,25,25
1520691877,24,24
1520693804,22,22
1520697701,21,21
1520699549,21,21
1520701499,19,19
1520709388,21,21
1520711311,20,20
1520713221,19,19
1520715182,18,18
1520717063,17,17
1520720699,16,16
1520722638,16,16
1520724846,17,17
1520728813,16,16
1520734827,17,17
1520737001,18,18
1520738912,19,19
1520742752,20,20
1520746587,19,19
1520756421,19,19
1520758358,19,19
1520760259,24,24
1520764110,27,27
1520766111,28,28
1520768193,28,28
1520770127,28,28
1520772025,32,32
1520773965,33,33
1520776230,41,41
1520778278,42,42
1520780201,43,43
1520782106,46,46
1520784131,50,50
1520785971,61,61
1520787952,70,70
1520789797,75,75
1520791734,76,76
1520793873,83,83
1520796043,81,81
1520797944,83,83
1520799893,90,90
1520801790,98,98
1520803741,103,103
1520805673,110,110
1520807560,112,112
1520809476,112,112
1520811636,112,112
1520813562,119,119
1520815478,123,123
1520817404,128,128
1520819328,129,129
1520821254,131,131
1520825087,130,130
1520827006,132,132
1520828929,131,131
1520830887,134,134
1520832765,134,134
1520834670,135,135
1520840457,136,136
1520842350,135,135
1520844523,135,135
1520846441,133,133
1520848374,134,134
1520850286,133,133
1520852205,133,133
