DateTime,AddedIPs,RemovedIPs
1518427968,1,1
1518429882,3,0
1518431805,5,0
1518435018,9,1
1518437092,6,0
1518446932,0,1
1518450994,0,1
1518452918,8,0
1518456985,1,0
1518458936,1,0
1518462769,1,0
1518464692,0,1
1518469514,1,1
1518473586,1,1
1518475458,1,0
1518483719,1,1
1518485572,0,1
1518489623,1,0
1518491564,0,2
1518495394,0,1
1518501135,1,0
1518504982,3,1
1518509919,1,0
1518515719,1,2
1518517687,0,7
1518519694,1,6
1518521861,0,3
1518524131,10,6
1518538364,0,5
1518540278,0,3
1518544130,0,2
1518549880,0,1
1518555697,0,1
1518557801,1,0
1518559712,0,1
1518561900,0,2
1518566394,1,0
1518569237,0,1
1518571505,2,0
1518577832,0,1
1518587564,0,1
1518591689,0,3
1518597892,0,2
1518599813,1,0
1518601736,1,1
1518607469,0,2
1518609404,0,1
1518611302,0,9
1518613286,2,0
1518623063,1,0
1518625226,1,0
1518629093,1,0
1518631008,1,0
1518636993,2,0
1518638934,12,0
1518641084,7,0
1518643017,0,1
1518650926,0,1
1518655025,1,0
1518659086,0,1
1518663163,1,0
1518665328,2,0
1518673493,1,0
1518675408,1,0
1518685292,1,1
1518689337,0,1
1518699691,1,0
1518705420,2,0
1518709280,0,1
1518711165,0,1
1518713347,2,0
1518715221,0,1
1518717195,0,1
1518723271,0,1
1518725090,0,1
1518733012,1,0
1518739394,1,0
1518741406,0,1
1518743350,1,0
1518749075,0,1
1518751003,1,1
1518759319,1,1
1518761544,0,1
1518767358,1,0
1518771291,0,1
1518773291,0,1
1518785548,0,1
1518789687,0,1
1518791577,0,2
1518796423,0,1
1518798302,0,1
1518800241,0,23
1518816304,1,0
1518820149,0,1
1518822304,1,0
1518824241,0,1
1518828288,0,1
1518838360,0,1
1518840279,1,0
1518844124,0,1
1518853715,0,1
1518857551,1,0
1518867398,2,0
1518886078,1,0
1518889937,8,0
1518891877,8,1
1518894228,11,0
1518896174,8,0
1518898059,7,0
1518900041,10,0
1518902217,12,1
1518904131,11,0
1518906293,8,0
1518908203,11,0
1518910956,14,1
1518912770,9,0
1518914682,11,0
1518916610,9,0
1518918769,9,0
1518920659,8,0
1518922878,10,0
1518925158,13,0
1518927405,11,1
1518929335,10,0
1518931227,6,0
1518933166,9,0
1518935063,9,0
1518937000,10,0
1518938920,11,0
