DateTime,AddedIPs,RemovedIPs
1520543538,8,1
1520545473,2,1
1520547404,3,0
1520551238,2,0
1520553140,4,2
1520555082,2,1
1520557006,4,4
1520558901,6,2
1520561806,2,3
1520563844,0,1
1520565648,4,3
1520567693,1,5
1520569698,2,16
1520571499,1,8
1520573328,1,5
1520575314,0,2
1520577190,5,0
1520579140,1,1
1520580993,3,6
1520582980,1,3
1520584827,1,1
1520587072,1,4
1520588928,2,3
1520590895,1,3
1520592793,1,4
1520594790,3,2
1520596627,5,6
1520598597,0,2
1520600516,3,1
1520602726,3,4
1520604752,10,2
1520606682,2,1
1520608584,3,2
1520610509,1,3
1520612427,2,3
1520614347,4,6
1520616277,0,2
1520618197,2,2
1520620105,2,2
1520622078,3,2
1520623955,2,1
1520625880,2,3
1520627786,0,5
1520629863,3,9
1520631875,0,2
1520633676,1,3
1520636667,5,2
1520638489,1,2
1520640513,3,4
1520642421,1,2
1520644362,4,6
1520646264,2,3
1520648199,0,3
1520650098,2,0
1520652033,1,3
1520653947,1,1
1520655882,1,2
1520657805,0,1
1520659716,1,1
1520661689,1,0
1520663561,3,3
1520665479,3,2
1520667405,0,4
1520669327,1,2
1520671228,3,1
1520673164,2,2
1520675067,4,3
1520677013,4,1
1520678901,2,1
1520680847,3,2
1520682758,3,5
1520686587,3,2
1520688525,3,4
1520690473,2,4
1520692368,1,9
1520694283,1,2
1520696361,29,1
1520698589,11,0
1520700507,2,4
1520702428,0,2
1520704345,0,1
1520706252,1,1
1520708480,0,3
1520710353,0,1
1520712267,0,1
1520714187,2,0
1520716109,1,3
1520718024,3,0
1520719960,1,1
1520722106,0,2
1520724022,0,5
1520725938,1,2
1520727864,2,2
1520729774,2,2
1520731950,0,3
1520733860,4,1
1520735769,1,1
1520737691,1,1
1520739862,1,1
1520741792,1,1
1520745617,4,0
1520747543,2,1
1520749460,2,3
1520751369,1,2
1520753289,2,2
1520756168,3,3
1520758359,2,4
1520760260,3,1
1520762178,2,3
1520764111,3,1
1520766112,5,2
1520768194,2,4
1520770128,2,2
1520772026,3,3
1520773966,4,2
1520776231,0,2
1520778278,2,2
1520780202,0,1
1520782106,3,1
1520784132,4,39
1520785972,0,2
1520787953,0,2
1520789798,2,0
1520791735,5,0
1520793874,2,1
1520796044,2,0
1520797945,2,3
1520799894,0,5
1520801791,3,1
1520803741,4,1
1520805674,0,2
1520807561,1,1
1520809477,2,0
1520811637,2,0
1520813563,2,2
1520815478,69,3
1520819329,7,1
1520821255,2,4
1520823162,4,1
1520825087,3,1
1520827007,2,1
1520828930,2,0
1520830888,1,4
1520832766,1,1
1520834671,4,2
1520836602,2,1
1520838503,1,1
1520840458,1,3
1520842351,2,0
1520844524,1,3
1520846442,1,2
1520848375,4,3
1520850287,8,4
1520852206,0,3
1520854102,7,2
1520856082,17,3
1520857957,1,3
1520859878,3,2
1520861799,1,1
1520863723,4,2
1520867798,4,4
1520869717,1,3
1520871652,1,1
1520873785,1,1
1520876652,5,1
1520878743,2,5
1520880750,4,3
1520882679,1,1
1520884582,5,1
1520887862,2,3
1520889877,9,4
1520892104,3,0
1520893965,3,1
1520896156,4,2
1520898018,1,1
1520900195,4,2
1520902104,5,69
1520904020,4,1
1520905969,2,7
1520908010,0,4
1520910099,8,2
1520911940,2,3
1520914120,5,1
1520916029,2,2
1520917959,2,1
1520919877,6,1
1520921787,5,4
1520923714,8,2
1520925629,1,1
1520927573,4,1
1520929496,6,2
1520931385,4,2
1520933304,3,2
1520935296,3,4
1520937153,2,5
1520939080,2,1
1520941003,11,10
1520942909,4,14
1520944830,2,1
1520946752,0,3
1520948690,4,1
1520950599,1,3
1520952523,1,1
1520954426,4,2
1520956342,4,2
1520958271,1,2
1520960213,1,1
1520962110,4,3
1520964075,1,4
1520966035,2,2
1520968131,2,2
1520970272,2,4
1520972434,3,2
1520974360,0,3
1520976276,2,8
1520978183,2,1
1520980098,68,3
1520982130,3,3
1520983969,1,0
1520985877,2,4
1520987782,3,5
1520989717,3,5
1520991620,3,2
1520993553,3,0
1520995461,2,4
1520997387,0,4
1520999301,3,3
1521001227,3,6
1521003158,2,1
1521005067,2,4
1521006977,1,5
1521008905,0,6
1521010894,5,3
1521012764,0,3
1521014669,4,8
1521016609,4,3
1521018526,1,2
1521020442,7,5
1521022360,4,0
1521024527,3,4
1521026438,3,13
1521028348,4,1
1521030267,7,4
1521032359,0,1
1521034338,2,4
1521036183,7,1
1521038175,2,2
1521039985,2,2
1521041797,19,3
1521043627,2,4
1521045476,23,0
1521047489,13,2
1521049457,3,4
1521051273,1,0
1521053310,2,3
1521055113,2,1
1521056987,3,3
1521058923,2,3
1521062827,3,2
1521064892,1,1
1521066741,4,36
1521068544,1,2
1521071087,9,1
1521072986,2,6
1521074860,0,2
1521076818,1,4
1521078745,4,1
1521080695,4,3
1521082563,3,0
1521084500,1,2
1521086365,1,2
1521088337,0,4
1521090242,2,2
1521092178,1,2
1521094112,4,0
1521096014,1,2
1521097862,2,5
1521099859,6,0
1521101672,3,5
1521103480,4,2
1521105479,1,8
1521107557,5,1
1521109463,1,4
1521111391,2,4
1521113296,5,3
1521116515,2,10
1521118599,1,1
1521120965,5,3
1521122932,2,7
1521125010,90,3
1521127232,1,0
1521129177,4,18
1521131073,1,34
1521133322,4,17
1521135157,4,2
1521137108,0,4
1521138993,0,1
1521140919,2,2
1521142824,1,4
1521144749,2,0
1521146675,2,3
1521148595,3,3
1521152433,1,4
1521154353,0,1
1521156431,0,7
1521158559,1,4
1521160636,1,1
1521162685,3,0
1521164993,3,4
1521166830,4,3
1521168793,1,4
1521170662,2,2
1521172642,9,1
1521174500,2,0
1521176532,1,2
1521178357,0,2
1521180300,2,4
1521182188,3,0
1521184177,5,1
1521186022,3,5
1521187996,3,3
1521189874,2,4
1521191823,2,1
1521193705,3,4
1521195703,0,1
1521197550,4,1
1521199475,4,6
1521201479,8,0
1521203325,1,1
1521205281,4,3
1521207153,2,3
1521209063,3,3
1521210994,3,80
1521212899,2,26
1521215073,3,3
1521216991,2,5
1521218912,1,5
1521220833,3,3
1521222757,0,1
1521224678,0,1
1521226595,1,2
1521228512,3,1
1521230495,2,2
1521234283,1,3
1521236203,3,0
1521238130,43,0
1521240031,2,2
1521241905,1,0
1521243856,1,0
1521245687,1,1
1521247494,1,1
1521249437,3,4
1521251319,5,4
1521253440,4,4
1521255374,3,1
1521257361,3,2
1521259325,3,10
1521261306,4,0
1521263294,2,1
1521265098,2,0
1521266925,5,2
1521268876,1,4
1521270757,1,3
1521272737,4,2
1521274578,4,4
1521276560,2,0
1521278433,2,4
1521280392,3,2
1521282272,2,1
1521284271,2,3
1521286097,1,4
1521288132,0,7
1521289964,3,4
1521291992,14,4
1521293796,2,2
1521295832,1,5
1521297638,2,2
1521299695,5,4
1521301589,1,0
1521303522,2,2
1521305429,2,2
1521307357,2,3
1521309284,1,0
1521311191,1,0
1521313117,2,1
1521315042,1,2
1521316974,0,2
1521318889,2,2
1521320924,0,3
1521323066,4,12
1521325006,0,33
1521326946,2,1
1521328892,1,1
1521330750,4,1
1521332660,1,1
1521334575,2,1
1521336494,4,6
1521338489,1,2
1521340336,3,4
1521342274,0,3
1521344430,1,4
1521346351,1,3
1521348289,2,1
1521350188,4,2
1521352104,2,3
1521354021,1,5
1521356076,1,1
