DateTime,Entries,UniqueIPs
1520565648,1418,1418
1520567693,1505,1505
1520569699,1595,1595
1520571499,1649,1649
1520573329,1642,1642
1520575315,1780,1780
1520577191,1784,1784
1520579140,1790,1790
1520580993,1784,1784
1520582980,1819,1819
1520584827,1826,1826
1520587072,1816,1816
1520588928,1805,1805
1520590895,1798,1798
1520592793,1830,1830
1520594790,1830,1830
1520596628,1839,1839
1520598597,1873,1873
1520600517,1865,1865
1520602726,1874,1874
1520604752,1876,1876
1520606682,1908,1908
1520608584,1913,1913
1520610510,1905,1905
1520612427,1904,1904
1520614348,1905,1905
1520616277,1898,1898
1520618197,1897,1897
1520620106,1906,1906
1520622079,1959,1959
1520623956,2021,2021
1520625881,2080,2080
1520627786,2090,2090
1520629863,2086,2086
1520631876,2087,2087
1520633676,2079,2079
1520635556,2080,2080
1520637444,2092,2092
1520639439,2091,2091
1520641282,2097,2097
1520643157,2009,2009
1520645145,2010,2010
1520647332,2012,2012
1520649285,2013,2013
1520651307,2019,2019
1520653213,1986,1986
1520655437,1899,1899
1520657310,1847,1847
1520659262,1825,1825
1520661158,1756,1756
1520663082,1734,1734
1520664995,1712,1712
1520666929,1699,1699
1520668894,1655,1655
1520670782,1634,1634
1520672668,1613,1613
1520674624,1605,1605
1520676519,1597,1597
1520678449,1584,1584
1520680368,1588,1588
1520682311,1575,1575
1520684201,1569,1569
1520686148,1558,1558
1520688192,1554,1554
1520689994,1546,1546
1520691878,1480,1480
1520693805,1473,1473
1520695709,1470,1470
1520697702,1462,1462
1520699550,1446,1446
1520701500,1444,1444
1520703663,1455,1455
1520705547,1448,1448
1520707485,1428,1428
1520709389,1369,1369
1520711312,1348,1348
1520713223,1350,1350
1520715183,1402,1402
1520717064,1421,1421
1520718889,1421,1421
1520720700,1432,1432
1520722638,1446,1446
1520724847,1434,1434
1520726921,1432,1432
1520728814,1435,1435
1520730995,1441,1441
1520733016,1448,1448
1520734828,1465,1465
1520737002,1458,1458
1520738913,1461,1461
1520740882,1496,1496
1520742753,1516,1516
1520744704,1495,1495
1520746588,1481,1481
1520748516,1478,1478
1520750670,1468,1468
1520752587,1467,1467
1520754506,1463,1463
1520756421,1458,1458
1520758359,1459,1459
1520760260,1442,1442
1520762178,1443,1443
1520764111,1428,1428
1520766113,1372,1372
1520768194,1363,1363
1520770128,1356,1356
1520772026,1349,1349
1520773966,1334,1334
1520776232,1320,1320
1520778279,1326,1326
1520780202,1330,1330
1520782107,1336,1336
1520784132,1326,1326
1520785972,1331,1331
1520787953,1327,1327
1520789798,1320,1320
1520791736,1318,1318
1520793874,1315,1315
1520796044,1300,1300
1520797945,1246,1246
1520799894,1188,1188
1520801791,1128,1128
1520803742,1115,1115
1520805675,1113,1113
1520807561,1093,1093
1520809477,1136,1136
1520811637,1150,1150
1520813563,1149,1149
1520815479,1159,1159
1520817406,1151,1151
1520819329,1176,1176
1520821256,1166,1166
1520823162,1206,1206
1520825088,1229,1229
1520827007,1198,1198
1520828930,1207,1207
1520830888,1231,1231
1520832766,1246,1246
1520834671,1235,1235
1520836602,1229,1229
1520838503,1238,1238
1520840458,1244,1244
1520842351,1251,1251
1520844524,1257,1257
1520846442,1276,1276
1520848375,1290,1290
1520850288,1301,1301
1520852206,1316,1316
1520854102,1328,1328
1520856082,1341,1341
1520857957,1248,1248
1520859878,1253,1253
1520861799,1267,1267
1520863723,1261,1261
1520865642,1259,1259
1520867799,1270,1270
1520869717,1268,1268
1520871652,1267,1267
1520873785,1268,1268
1520876653,1269,1269
1520878744,1279,1279
1520880750,1279,1279
1520882679,1276,1276
1520884583,1288,1288
1520887862,1288,1288
1520889877,1283,1283
1520892105,1277,1277
1520893965,1275,1275
1520896156,1229,1229
1520898018,1225,1225
1520900195,1222,1222
1520902104,1239,1239
1520904020,1246,1246
1520905970,1313,1313
1520908010,1376,1376
1520910099,1433,1433
1520911940,1453,1453
1520914121,1477,1477
1520916029,1479,1479
1520917959,1464,1464
1520919877,1479,1479
1520921787,1474,1474
1520923714,1474,1474
1520925629,1481,1481
1520927573,1483,1483
1520929497,1469,1469
1520931385,1474,1474
1520933304,1458,1458
1520935297,1459,1459
1520937153,1467,1467
1520939080,1508,1508
1520941003,1549,1549
1520942910,1581,1581
1520944830,1588,1588
1520946752,1586,1586
1520948691,1578,1578
1520950599,1569,1569
1520952523,1563,1563
1520954426,1559,1559
1520956343,1586,1586
1520958271,1602,1602
1520960213,1602,1602
1520962110,1594,1594
1520964075,1593,1593
1520966035,1590,1590
1520968131,1612,1612
1520970272,1604,1604
1520972434,1655,1655
1520974361,1680,1680
1520976276,1691,1691
1520978184,1687,1687
1520980098,1697,1697
1520982130,1691,1691
1520983970,1769,1769
1520985878,1807,1807
1520987782,1865,1865
1520989718,1936,1936
1520991621,1973,1973
1520993553,1962,1962
1520995461,1939,1939
1520997388,1914,1914
1520999302,1933,1933
1521001228,1962,1962
1521003158,2094,2094
1521005067,2091,2091
1521006977,2103,2103
1521008906,2114,2114
1521010895,2127,2127
1521012765,2132,2132
1521014670,2131,2131
1521016609,2124,2124
1521018526,2126,2126
1521020442,2124,2124
1521022360,2126,2126
1521024527,2103,2103
1521026438,2066,2066
1521028348,2035,2035
1521030267,2047,2047
1521032359,2032,2032
1521034339,2036,2036
1521036184,2042,2042
1521038175,2082,2082
1521039986,2090,2090
1521041798,2108,2108
1521043627,2137,2137
1521045477,2176,2176
1521047489,2186,2186
1521049457,2185,2185
1521051273,2188,2188
1521053310,2165,2165
1521055113,2159,2159
1521056987,2150,2150
1521058923,2134,2134
1521060762,2109,2109
1521062827,2111,2111
1521064892,2147,2147
1521066742,2147,2147
1521068544,2150,2150
1521071087,2063,2063
1521072986,2022,2022
1521074860,1966,1966
1521076818,1920,1920
1521078746,1903,1903
1521080695,1911,1911
1521082564,1934,1934
1521084501,1925,1925
1521086365,1887,1887
1521088337,1841,1841
1521090243,1697,1697
1521092178,1707,1707
1521094112,1707,1707
1521096014,1695,1695
1521097862,1704,1704
1521099860,1703,1703
1521101673,1698,1698
1521103481,1693,1693
1521105479,1718,1718
1521107557,1711,1711
1521109464,1740,1740
1521111391,1771,1771
1521113296,1810,1810
1521116516,1806,1806
1521118599,1807,1807
1521120965,1801,1801
1521122932,1789,1789
1521125010,1746,1746
1521127232,1739,1739
1521129177,1710,1710
1521131074,1666,1666
1521133323,1652,1652
1521135158,1656,1656
1521137108,1663,1663
1521138993,1669,1669
1521140919,1684,1684
1521142825,1688,1688
1521144750,1687,1687
1521146675,1731,1731
1521148596,1728,1728
1521150506,1690,1690
1521152434,1696,1696
1521154354,1711,1711
1521156431,1701,1701
1521158559,1701,1701
1521160636,1711,1711
1521162686,1727,1727
1521164994,1737,1737
1521166830,1743,1743
1521168793,1762,1762
1521170662,1790,1790
1521172642,1802,1802
1521174500,1812,1812
1521176532,1824,1824
1521178357,1821,1821
1521180300,1818,1818
1521182188,1823,1823
1521184177,1817,1817
1521186023,1821,1821
1521187996,1833,1833
1521189875,1820,1820
1521191823,1791,1791
1521193706,1792,1792
1521195703,1774,1774
1521197551,1746,1746
1521199475,1699,1699
1521201480,1651,1651
1521203325,1627,1627
1521205282,1626,1626
1521207154,1619,1619
1521209063,1605,1605
1521210994,1603,1603
1521212900,1590,1590
1521215074,1580,1580
1521216991,1577,1577
1521218912,1581,1581
1521220833,1574,1574
1521222758,1572,1572
1521224679,1573,1573
1521226595,1560,1560
1521228513,1554,1554
1521230495,1583,1583
1521232361,1590,1590
1521234283,1564,1564
1521236203,1557,1557
1521238130,1546,1546
1521240032,1546,1546
1521241905,1523,1523
1521243856,1523,1523
1521245687,1523,1523
1521247495,1516,1516
1521249437,1522,1522
1521251320,1519,1519
1521253441,1538,1538
1521255374,1542,1542
1521257361,1546,1546
1521259325,1539,1539
1521261308,1521,1521
1521263295,1508,1508
1521265098,1492,1492
1521266925,1482,1482
1521268876,1464,1464
1521270758,1473,1473
1521272737,1514,1514
1521274579,1502,1502
1521276560,1500,1500
1521278433,1465,1465
1521280392,1449,1449
