DateTime,AddedIPs,RemovedIPs
1520564681,24,27
1520566597,11,20
1520568521,13,24
1520570419,19,22
1520572358,38,56
1520574277,13,162
1520576201,22,18
1520578127,19,46
1520580044,25,19
1520581940,24,38
1520583878,29,44
1520585791,26,35
1520587954,18,40
1520589879,28,20
1520591785,30,26
1520593724,27,33
1520595616,23,30
1520597551,25,1297
1520599455,25,1192
1520601373,19,33
1520603469,16,30
1520605454,18,37
1520607670,16,29
1520609545,11,30
1520611468,17,27
1520613389,31,23
1520615308,23,27
1520617234,15,34
1520619143,12,29
1520621085,21,21
1520622992,13,16
1520624901,19,17
1520626818,12,18
1520628759,19,18
1520630667,6,23
1520632596,6,15
1520635556,34,49
1520637444,9,29
1520639440,7,17
1520641283,73,12
1520643158,202,15
1520645146,27,18
1520647332,12,15
1520649286,12,20
1520651308,14,21
1520653213,8,12
1520655438,9,17
1520657311,18,22
1520659263,18,32
1520661159,11,14
1520663082,15,23
1520664995,9,21
1520666929,14,26
1520668895,27,21
1520670782,19,24
1520672669,16,31
1520674625,17,15
1520676520,13,34
1520678450,26,31
1520680368,12,27
1520682312,16,23
1520684201,16,24
1520686149,12,24
1520688193,9,20
1520689994,23,15
1520691879,12,21
1520693805,14,16
1520695710,133,14
1520697702,21,15
1520699550,57,13
1520701501,17,29
1520703664,28,14
1520705548,50,14
1520707486,33,22
1520709390,51,16
1520711312,35,20
1520713223,42,11
1520715184,34,18
1520717065,20,8
1520718890,22,7
1520720700,27,17
1520722639,44,23
1520724847,39,10
1520726921,42,8
1520728814,34,10
1520730995,48,10
1520733016,21,10
1520734828,31,260
1520737002,40,11
1520738914,26,11
1520740883,36,8
1520742754,53,11
1520744705,38,22
1520746589,38,17
1520748517,22,9
1520750671,24,11
1520752588,20,22
1520754507,11,21
1520756422,16,24
1520758360,20,16
1520760261,21,17
1520762179,16,12
1520764112,17,9
1520766113,16,29
1520768195,33,12
1520770129,22,19
1520772027,16,11
1520773967,20,11
1520776232,23,22
1520778279,12,12
1520780203,8,15
1520782107,20,144
1520784133,27,19
1520785973,28,52
1520787954,23,22
1520789799,14,26
1520791736,28,45
1520793875,23,47
1520796045,15,62
1520797946,22,32
1520799895,21,41
1520801792,28,31
1520803743,19,25
1520805675,27,22
1520807562,17,31
1520809478,19,46
1520811638,12,37
1520813564,24,42
1520815479,211,32
1520817406,17,42
1520819330,21,22
1520821256,18,32
1520823163,14,30
1520825088,16,31
1520827008,14,27
1520828931,13,61
1520830889,22,37
1520832767,13,39
1520834672,23,29
1520836603,13,28
1520838504,11,18
1520840459,17,9
1520842352,28,16
1520844525,30,20
1520846443,25,22
1520848376,24,16
1520850288,24,20
1520852207,20,16
1520854103,26,27
1520856083,29,27
1520857958,22,17
1520859879,23,20
1520861800,12,15
1520863724,20,10
1520865642,15,12
1520867799,28,11
1520869718,36,27
1520871653,14,20
1520873786,20,32
1520876653,22,22
1520878744,21,38
1520880751,19,18
1520882680,21,16
1520884583,14,16
1520887863,24,46
1520889878,11,17
1520892105,11,32
1520893966,24,19
1520896157,15,22
1520898019,19,9
1520900196,9,32
1520902104,9,209
1520904020,10,13
1520905970,11,18
1520908011,9,18
1520910101,14,17
1520911941,15,13
1520914121,9,13
1520916029,11,14
1520917960,9,21
1520919878,9,12
1520921787,12,24
1520923715,15,10
1520925629,31,17
1520927574,12,19
1520929497,8,28
1520931386,33,26
1520933304,17,24
1520935297,37,21
1520937154,27,21
1520939081,69,22
1520941004,82,32
1520942910,30,21
1520944831,10,22
1520946753,33,20
1520948691,69,17
1520950600,45,25
1520952524,30,13
1520954427,65,15
1520956343,41,48
1520958272,35,14
1520960214,69,17
1520962111,64,14
1520964076,16,15
1520966036,56,20
1520968132,32,31
1520970272,19,17
1520972435,11,12
1520974361,19,19
1520976277,18,11
1520978184,21,16
1520980099,16,16
1520982131,37,20
1520983970,43,21
1520985878,10,15
1520987783,30,10
1520989718,26,7
1520991621,14,11
1520993554,4,9
1520995462,9,16
1520997388,17,18
1520999302,22,12
1521001228,12,15
1521003159,12,10
1521005068,12,11
1521006978,17,11
1521008906,13,18
1521010895,11,10
1521012765,20,32
1521014671,4069,8
1521016610,14,12
1521018527,22,30
1521020443,19,23
1521022361,33,36
1521024528,34,47
1521026439,31,87
1521028349,28,54
1521030268,32,12
1521032360,38,16
1521034340,35,66
1521036185,25,36
1521038176,27,48
1521039986,18,39
1521041799,29,60
1521043628,41,27
1521045477,426,36
1521047490,59,77
1521049458,34,42
1521051274,22,20
1521053311,20,57
1521055114,43,13
1521056988,39,15
1521058924,20,7
1521060762,25,17
1521062828,27,17
1521064893,27,6
1521066742,19,28
1521068545,19,30
1521071088,28,45
1521072987,24,10
1521074861,28,40
1521076819,19,13
1521078746,33,11
1521080696,23,9
1521082564,17,10
1521084501,20,21
1521086366,17,11
1521088338,32,14
1521090244,22,5
1521092179,27,12
1521094113,19,13
1521096015,24,12
1521097863,12,6
1521099860,41,640
1521101673,39,3463
1521103481,21,11
1521105480,23,27
1521107558,30,27
1521109464,18,24
1521111392,19,42
1521113297,20,26
1521116516,40,56
1521118600,29,35
1521120966,26,44
1521122933,20,25
1521125011,26,25
1521127233,26,42
1521129178,8,29
1521131074,28,37
1521133323,18,457
1521135159,13,35
1521137109,18,29
1521138994,15,24
1521140920,13,36
1521142825,16,33
1521144750,12,32
1521146676,15,21
1521148596,16,31
1521150507,9,19
1521152434,5,19
1521154354,24,22
1521156432,20,19
1521158559,29,26
1521160637,14,32
1521162686,13,22
1521164994,15,27
1521166831,15,23
1521168794,14,19
1521170663,9,22
1521172643,21,16
1521174501,18,34
1521176533,14,25
1521178358,20,23
1521180301,23,23
1521182189,17,28
1521184178,22,13
1521186023,13,37
1521187997,18,40
1521189875,20,22
1521191824,25,28
1521193706,15,27
1521195704,15,18
1521197551,27,25
1521199476,18,21
1521201480,20,23
1521203326,17,33
1521205282,22,24
1521207154,25,26
1521209064,17,16
1521210995,36,26
1521212900,58,18
1521215074,69,17
1521216992,57,16
1521218914,65,24
1521220834,59,13
1521222758,62,16
1521224679,40,20
1521226596,45,12
1521228513,77,19
1521230496,47,12
1521232362,69,13
1521234283,45,14
1521236204,50,11
1521238131,61,8
1521240032,46,24
1521241905,42,10
1521243857,43,35
1521245688,45,10
1521247495,48,13
1521249438,40,12
1521251320,60,14
1521253442,52,16
1521255375,38,10
1521257362,62,13
1521259326,48,12
1521261308,54,15
1521263295,62,13
1521265099,34,21
1521266926,33,19
1521268877,49,19
1521270758,59,19
1521272737,50,21
1521274579,46,14
1521276560,34,22
1521278433,35,22
1521280392,56,18
1521282273,37,14
1521284272,56,23
1521286098,57,19
1521288133,37,24
1521289965,61,17
1521291993,36,25
1521293797,47,30
1521295833,50,23
1521297639,71,46
1521299695,58,71
1521301590,34,54
1521303523,110,67
1521305430,118,60
1521307358,76,58
1521309285,133,56
1521311192,82,42
1521313118,116,45
1521315043,54,72
1521316975,25,47
1521318890,51,68
1521320925,34,54
1521323067,37,51
1521325006,51,56
1521326947,41,46
1521328893,55,44
1521330751,16,37
1521332661,28,45
1521334576,24,50
1521336495,36,48
1521338490,27,52
1521340337,33,48
1521342274,22,34
1521344431,37,69
1521346352,30,46
1521348290,29,53
1521350189,34,48
1521352105,29,32
1521354022,29,46
1521356077,41,71
1521358368,36,55
1521360271,48,43
1521362198,53,39
1521364125,51,46
1521366043,47,38
1521367949,44,54
1521369874,53,45
1521371791,54,61
1521373700,57,44
1521375636,56,46
1521377579,47,55
1521379475,45,40
1521381379,48,48
1521383312,60,68
1521385281,59,53
1521387150,41,51
1521389075,53,46
1521390995,52,166
1521392951,43,76
1521394841,55,119
1521396751,38,92
1521398681,34,99
1521400607,31,105
1521402745,47,20
1521404663,46,52
1521406583,32,36
1521408498,17,32
1521410490,38,43
1521413736,50,102
1521415696,33,23
1521417596,19,14
1521419548,34,27
1521421443,30,23
1521423637,43,40
1521425558,38,32
1521427483,26,23
1521429397,31,31
1521431423,29,36
1521433484,41,28
1521435397,32,27
1521437322,53,31
1521439306,37,41
1521441152,31,22
1521443084,46,42
1521444999,33,31
1521446907,65,51
1521449088,52,55
1521450996,55,56
1521452924,38,44
1521454829,50,41
1521456756,50,57
1521458669,43,62
1521460595,47,42
1521462506,44,62
1521464500,42,48
1521466353,37,48
1521468288,36,49
1521470193,45,61
1521472123,45,70
1521474037,42,37
1521475965,36,47
1521477887,35,58
1521480063,44,49
1521481951,43,61
1521483904,62,33
1521485788,45,29
1521487753,395,36
1521490715,239,59
1521492826,49,45
1521494677,47,16
1521496578,23,34
1521498496,40,30
1521500539,30,32
1521502371,21,24
1521504518,16,22
1521506418,11,32
1521508344,16,37
1521510271,27,30
1521512473,21,40
1521514493,21,26
1521516496,22,41
1521518307,26,24
1521520356,18,30
1521522164,37,36
1521524235,49,53
1521526241,37,36
1521528044,31,36
1521530149,43,47
1521532102,49,30
1521533927,39,57
1521535933,70,52
1521537857,135,47
1521539773,51,34
1521541591,102,62
1521543401,46,36
