DateTime,Entries,UniqueIPs
1520557008,274,274
1520558903,273,273
1520560931,274,274
1520562788,273,273
1520564683,267,267
1520566598,263,263
1520568522,266,266
1520570420,270,270
1520572359,272,272
1520574279,272,272
1520576203,271,271
1520578128,267,267
1520580046,270,270
1520581941,269,269
1520583880,273,273
1520585792,272,272
1520587956,270,270
1520589880,269,269
1520591786,278,278
1520593726,275,275
1520595617,275,275
1520597552,232,232
1520599456,232,232
1520601374,235,235
1520603471,232,232
1520605455,229,229
1520607671,224,224
1520609548,218,218
1520611469,216,216
1520613391,219,219
1520615310,221,221
1520617235,208,208
1520619144,210,210
1520621086,212,212
1520622993,212,212
1520624902,213,213
1520626820,214,214
1520628760,215,215
1520630669,210,210
1520632597,209,209
1520635557,207,207
1520637446,204,204
1520639441,202,202
1520641284,201,201
1520643159,196,196
1520645147,195,195
1520647333,191,191
1520649287,189,189
1520651309,190,190
1520653215,190,190
1520655439,188,188
1520657312,183,183
1520659264,183,183
1520661160,184,184
1520663084,185,185
1520664997,184,184
1520666931,185,185
1520668896,187,187
1520670784,191,191
1520672670,192,192
1520674626,194,194
1520676521,193,193
1520678451,195,195
1520680370,193,193
1520682314,199,199
1520684202,200,200
1520686150,197,197
1520688194,196,196
1520689995,194,194
1520691880,194,194
1520693806,192,192
1520695711,197,197
1520697704,200,200
1520699552,203,203
1520701502,203,203
1520703665,205,205
1520705549,235,235
1520707487,242,242
1520709391,257,257
1520711313,260,260
1520713224,263,263
1520715185,269,269
1520717066,268,268
1520718891,268,268
1520720702,270,270
1520722640,279,279
1520724848,286,286
1520726922,284,284
1520728816,284,284
1520730997,284,284
1520733018,283,283
1520737004,285,285
1520738915,282,282
1520740884,282,282
1520742755,283,283
1520744706,281,281
1520746590,283,283
1520748518,284,284
1520750672,282,282
1520752589,278,278
1520754508,277,277
1520756423,271,271
1520758362,267,267
1520760262,262,262
1520762180,261,261
1520764113,263,263
1520766114,251,251
1520768196,252,252
1520770130,257,257
1520772028,261,261
1520773968,263,263
1520776233,267,267
1520778281,268,268
1520780204,265,265
1520782109,268,268
1520784134,272,272
1520785974,276,276
1520787955,276,276
1520789800,274,274
1520791737,252,252
1520793876,232,232
1520796047,212,212
1520797947,212,212
1520799896,210,210
1520801793,206,206
1520803744,210,210
1520805677,207,207
1520807563,200,200
1520809479,195,195
1520811639,189,189
1520813565,190,190
1520815480,191,191
1520817408,191,191
1520819331,198,198
1520821258,201,201
1520823164,205,205
1520825090,207,207
1520827009,210,210
1520828932,207,207
1520830890,209,209
1520832768,212,212
1520834673,211,211
1520836604,212,212
1520838505,211,211
1520840460,211,211
1520842353,213,213
1520844526,214,214
1520846444,223,223
1520848377,228,228
1520850290,228,228
1520852208,229,229
1520854104,227,227
1520856084,220,220
1520857959,219,219
1520859880,225,225
1520861801,223,223
1520863725,226,226
1520867800,233,233
1520869720,235,235
1520871654,230,230
1520873787,231,231
1520876654,229,229
1520878745,229,229
1520880752,230,230
1520882681,234,234
1520884584,231,231
1520887864,228,228
1520889879,221,221
1520892107,222,222
1520893967,220,220
1520896158,219,219
1520898020,222,222
1520900197,218,218
1520902106,214,214
1520904022,213,213
1520905971,207,207
1520908012,204,204
1520910102,201,201
1520911942,202,202
1520914123,198,198
1520916031,196,196
1520917961,194,194
1520919879,192,192
