DateTime,AddedIPs,RemovedIPs
1520564682,13,10
1520566598,5,13
1520568522,6,13
1520570420,4,9
1520572359,5,8
1520574278,6,5
1520576202,12,9
1520578128,12,4
1520580045,16,10
1520581941,11,26
1520583879,19,27
1520585792,13,16
1520587955,14,21
1520589880,12,7
1520591786,6,13
1520593725,9,9
1520595617,12,16
1520597552,10,16
1520599456,15,10
1520601374,9,18
1520603470,5,15
1520605455,8,17
1520607671,8,9
1520609548,7,7
1520611469,6,14
1520613390,5,7
1520615309,7,10
1520617235,10,6
1520619144,6,19
1520621086,11,6
1520622993,8,5
1520624902,5,8
1520626819,5,6
1520628760,9,8
1520630669,1,6
1520632597,3,3
1520635557,10,12
1520637445,2,9
1520639441,1,0
1520641284,2,0
1520643159,4,7
1520645146,4,10
1520647333,6,5
1520649287,2,7
1520651309,5,10
1520653214,4,6
1520655439,1,9
1520657312,8,3
1520659264,7,7
1520661160,8,12
1520663083,6,12
1520664996,6,11
1520666930,3,11
1520668896,12,9
1520670783,6,15
1520672669,6,19
1520674626,10,11
1520676521,7,16
1520678451,6,7
1520680369,8,8
1520682313,9,15
1520684202,4,11
1520686150,6,9
1520688194,3,11
1520689995,20,4
1520691880,8,9
1520693806,9,10
1520695711,9,7
1520697703,3,7
1520699551,5,3
1520701502,7,7
1520703665,9,11
1520705549,4,6
1520707487,8,10
1520709391,19,7
1520711313,16,6
1520713224,23,6
1520715185,21,7
1520717066,12,4
1520718890,13,4
1520720701,15,7
1520722640,19,6
1520724848,18,2
1520726922,22,0
1520728815,21,5
1520730997,22,5
1520733017,13,6
1520734829,18,3
1520737003,22,4
1520738914,17,5
1520740884,23,3
1520742755,36,4
1520744706,22,7
1520746590,26,10
1520748518,10,5
1520750672,14,4
1520752589,6,7
1520754508,3,7
1520756423,5,11
1520758361,11,7
1520760262,9,9
1520762180,9,7
1520764113,5,4
1520766114,8,9
1520768196,11,7
1520770130,5,8
1520772027,6,5
1520773968,7,3
1520776233,3,17
1520778280,5,9
1520780204,0,9
1520782108,4,7
1520784134,4,2
1520785974,5,5
1520787955,4,11
1520789800,2,7
1520791737,5,9
1520793876,3,8
1520796046,5,22
1520797947,2,16
1520799896,3,26
1520801793,3,19
1520803743,2,14
1520805676,6,13
1520807563,4,13
1520809479,7,22
1520811639,4,20
1520813565,2,22
1520815480,6,18
1520817407,7,19
1520819331,0,14
1520821257,1,19
1520823164,7,17
1520825089,8,21
1520827009,2,16
1520828932,5,38
1520830890,7,21
1520832768,2,22
1520834672,10,16
1520836604,8,18
1520838505,9,6
1520840460,9,3
1520842353,12,4
1520844526,17,11
