DateTime,Entries,UniqueIPs
1520564682,497,497
1520566598,489,489
1520568522,482,482
1520570420,477,477
1520572359,474,474
1520574278,475,475
1520576202,478,478
1520578128,486,486
1520580045,492,492
1520581941,477,477
1520583879,469,469
1520585792,466,466
1520587955,459,459
1520589880,464,464
1520591786,457,457
1520593725,457,457
1520595617,453,453
1520597552,447,447
1520599456,452,452
1520601374,443,443
1520603470,433,433
1520605455,424,424
1520607671,423,423
1520609548,423,423
1520611469,415,415
1520613390,413,413
1520615309,410,410
1520617235,414,414
1520619144,401,401
1520621086,406,406
1520622993,409,409
1520624902,406,406
1520626819,405,405
1520628760,406,406
1520630669,401,401
1520632597,401,401
1520635557,399,399
1520637445,392,392
1520639441,393,393
1520641284,395,395
1520643159,392,392
1520645146,386,386
1520647333,387,387
1520649287,382,382
1520651309,377,377
1520653214,375,375
1520655439,367,367
1520657312,372,372
1520659264,372,372
1520661160,368,368
1520663083,362,362
1520664996,357,357
1520666930,349,349
1520668896,352,352
1520670783,343,343
1520672669,330,330
1520674626,329,329
1520676521,320,320
1520678451,319,319
1520680369,319,319
1520682313,313,313
1520684202,306,306
1520686150,303,303
1520688194,295,295
1520689995,311,311
1520691880,310,310
1520693806,309,309
1520695711,311,311
1520697703,307,307
1520699551,309,309
1520701502,309,309
1520703665,307,307
1520705549,305,305
1520707487,303,303
1520709391,315,315
1520711313,325,325
1520713224,342,342
1520715185,356,356
1520717066,364,364
1520718890,373,373
1520720701,381,381
1520722640,394,394
1520724848,410,410
1520726922,432,432
1520728815,448,448
1520730997,465,465
1520733017,472,472
1520734829,487,487
1520737003,505,505
1520738914,517,517
1520740884,537,537
1520742755,569,569
1520744706,584,584
1520746590,600,600
1520748518,605,605
1520750672,615,615
1520752589,614,614
1520754508,610,610
1520756423,604,604
1520758361,608,608
1520760262,608,608
1520762180,610,610
1520764113,611,611
1520766114,610,610
1520768196,614,614
1520770130,611,611
1520772027,612,612
1520773968,616,616
1520776233,602,602
1520778280,598,598
1520780204,589,589
1520782108,586,586
1520784134,588,588
1520785974,588,588
1520787955,581,581
1520789800,576,576
1520791737,572,572
1520793876,567,567
