DateTime,AddedIPs,RemovedIPs
1520122617,0,2
1520124508,1,1
1520126453,1,1
1520130287,1,0
1520132237,0,2
1520134126,1,1
1520136092,1,1
1520137968,1,0
1520139932,1,0
1520143788,0,1
1520145874,1,2
1520147803,2,0
1520149715,0,1
1520151713,1,0
1520153551,1,0
1520155527,1,1
1520159367,1,1
1520161322,0,2
1520167098,2,0
1520168925,1,12
1520174751,0,1
1520182668,1,1
1520184535,0,1
1520186509,2,0
1520188354,2,2
1520194356,0,2
1520198442,2,0
1520202287,1,0
1520204199,0,1
1520206368,1,1
1520208547,1,1
1520210477,1,0
1520212390,1,1
1520216229,1,1
1520218154,1,1
1520220074,0,1
1520223896,0,2
1520225842,1,1
1520227740,0,1
1520229764,1,0
1520231847,0,1
1520233774,0,1
1520237618,3,0
1520239501,0,1
1520241455,1,2
1520247190,1,0
1520249118,1,0
1520251019,1,0
1520252981,0,2
1520254895,1,0
1520256816,1,1
1520258716,1,0
1520260879,1,0
1520262792,0,1
1520264708,1,0
1520266866,0,1
1520268813,0,1
1520272691,2,2
1520274705,0,1
1520276763,0,2
1520278608,6,0
1520280599,8,1
1520284865,1,2
1520288724,0,1
1520292569,2,1
1520294686,0,1
1520298535,2,2
1520302369,1,1
1520306215,1,1
1520308175,1,0
1520312002,0,1
1520315890,2,0
1520317721,2,0
1520319777,1,0
1520323970,1,1
1520325880,1,1
1520327811,0,1
1520329716,1,0
1520331645,1,0
1520333566,1,1
1520337385,0,2
1520339332,1,0
1520341290,2,0
1520343170,1,1
1520345421,0,2
1520347250,0,1
1520353019,0,1
1520358774,0,1
1520360910,1,1
1520364777,0,2
1520366952,1,12
1520376515,64,0
1520378673,1,2
1520384492,2,0
1520386356,0,1
1520388289,0,1
1520390212,0,1
1520394030,0,1
1520395953,0,1
1520401711,0,1
1520403635,1,2
1520405553,0,1
1520407469,1,0
1520409405,1,1
1520411310,1,1
1520415159,1,1
1520417326,1,2
1520421157,0,1
1520425001,1,0
1520426910,0,2
1520428832,1,1
1520430757,1,0
1520432683,0,1
1520436510,1,0
1520438501,1,0
1520440363,1,1
1520442277,1,1
1520444434,1,1
1520446456,0,1
1520452120,1,0
1520455966,1,0
1520461960,0,63
1520465798,1,0
1520467992,1,0
1520469950,0,1
1520472081,1,1
1520474111,1,0
1520477914,1,0
1520481786,1,0
1520483602,1,0
1520485583,1,1
1520489425,1,1
1520493306,1,1
1520495318,1,0
1520497516,1,2
1520499470,2,0
1520501480,1,1
1520503893,0,1
1520507788,1,0
1520509959,1,0
1520511886,1,0
1520513794,0,1
1520517890,0,1
1520523998,1,2
1520526025,0,1
1520528191,2,1
1520530115,1,1
1520532087,0,1
1520539722,1,0
1520541622,2,0
1520543542,5,0
1520545476,1,0
1520551241,0,1
1520553143,0,1
1520557009,1,0
1520558903,2,1
1520560931,1,0
1520564683,1,1
1520566599,1,1
1520570421,0,1
1520574279,1,1
1520578128,1,0
1520580046,1,1
1520581941,1,1
1520583882,0,1
1520585793,0,2
1520587956,2,0
1520589881,0,1
1520591787,0,1
1520593726,0,1
1520595618,2,0
1520597553,0,1
1520599457,2,1
1520605456,1,0
1520609549,1,2
