DateTime,Entries,UniqueIPs
1520122617,39,39
1520124508,39,39
1520126453,39,39
1520130287,40,40
1520132237,38,38
1520134126,38,38
1520136092,38,38
1520137968,39,39
1520139932,40,40
1520143788,39,39
1520145874,38,38
1520147803,40,40
1520149715,39,39
1520151713,40,40
1520153551,41,41
1520155527,41,41
1520159367,41,41
1520161322,39,39
1520167098,41,41
1520168925,30,30
1520174751,29,29
1520182668,29,29
1520184535,28,28
1520186509,30,30
1520188354,30,30
1520194356,28,28
1520198442,30,30
1520202287,31,31
1520204199,30,30
1520206368,30,30
1520208547,30,30
1520210477,31,31
1520212390,31,31
1520216229,31,31
1520218154,31,31
1520220074,30,30
1520223896,28,28
1520225842,28,28
1520227740,27,27
1520229764,28,28
1520231847,27,27
1520233774,26,26
1520237618,29,29
1520239501,28,28
1520241455,27,27
1520247190,28,28
1520249118,29,29
1520251019,30,30
1520252981,28,28
1520254895,29,29
1520256816,29,29
1520258716,30,30
1520260879,31,31
1520262792,30,30
1520264708,31,31
1520266866,30,30
1520268813,29,29
1520272691,29,29
1520274705,28,28
1520276763,26,26
1520278608,32,32
1520280599,39,39
1520284865,38,38
1520288724,37,37
1520292569,38,38
1520294686,37,37
1520298535,37,37
1520302369,37,37
1520306215,37,37
1520308175,38,38
1520312002,37,37
1520315890,39,39
1520317721,41,41
1520319777,42,42
1520323970,42,42
1520325880,42,42
1520327811,41,41
1520329716,42,42
1520331645,43,43
1520333566,43,43
1520337385,41,41
1520339332,42,42
1520341290,44,44
1520343170,44,44
1520345421,42,42
1520347250,41,41
1520353019,40,40
1520358774,39,39
1520360910,39,39
1520364777,37,37
1520366952,26,26
1520376515,90,90
1520378673,89,89
1520384492,91,91
1520386356,90,90
1520388289,89,89
1520390212,88,88
1520394030,87,87
1520395953,86,86
1520401711,85,85
1520403635,84,84
1520405553,83,83
1520407469,84,84
1520409405,84,84
1520411310,84,84
1520415159,84,84
1520417326,83,83
1520421157,82,82
1520425001,83,83
1520426910,81,81
1520428832,81,81
1520430757,82,82
1520432683,81,81
1520436510,82,82
1520438501,83,83
1520440363,83,83
1520442277,83,83
1520444434,83,83
1520446456,82,82
1520452120,83,83
1520455966,84,84
1520461960,21,21
1520465798,22,22
1520467992,23,23
1520469950,22,22
1520472081,22,22
1520474111,23,23
1520477914,24,24
1520481786,25,25
1520483602,26,26
1520485583,26,26
1520489425,26,26
1520493306,26,26
1520495318,27,27
1520497516,26,26
1520499470,28,28
1520501480,28,28
1520503893,27,27
1520507788,28,28
1520509959,29,29
1520511886,30,30
1520513794,29,29
1520517890,28,28
1520523998,27,27
1520526025,26,26
1520528191,27,27
1520530115,27,27
1520532087,26,26
1520539722,27,27
1520541622,29,29
1520543542,34,34
1520545476,35,35
1520551241,34,34
1520553143,33,33
1520557009,34,34
1520558903,35,35
1520560931,36,36
1520564683,36,36
1520566599,36,36
1520570421,35,35
1520574279,35,35
1520578128,36,36
1520580046,36,36
1520581941,36,36
1520583882,35,35
1520585793,33,33
1520587956,35,35
1520589881,34,34
1520591787,33,33
1520593726,32,32
1520595618,34,34
1520597553,33,33
1520599457,34,34
1520605456,35,35
1520609549,34,34
1520613391,35,35
1520617236,34,34
1520621087,36,36
1520622993,37,37
1520624903,35,35
1520626820,33,33
1520630669,29,29
1520632598,28,28
1520635558,29,29
1520641285,30,30
1520643160,29,29
1520645147,27,27
1520647334,28,28
1520651310,27,27
1520653215,26,26
1520661161,25,25
1520663084,26,26
1520664997,26,26
1520666931,26,26
1520668897,25,25
1520672670,23,23
1520674627,22,22
1520676522,23,23
1520680370,24,24
1520682315,24,24
1520684203,23,23
1520686150,23,23
1520688195,22,22
1520691881,21,21
1520695712,20,20
1520699552,19,19
1520707488,18,18
1520717067,17,17
1520724849,17,17
1520726923,16,16
1520733018,15,15
1520744707,19,19
1520748520,18,18
1520752590,17,17
1520754509,16,16
1520758364,15,15
1520760263,14,14
1520762181,15,15
1520764114,16,16
1520766115,16,16
1520768197,16,16
1520772028,18,18
1520773968,20,20
1520782109,21,21
1520784135,20,20
1520787956,21,21
1520789800,22,22
1520793877,22,22
1520797948,23,23
1520801793,24,24
