DateTime,Entries,UniqueIPs
1520560932,216,216
1520562789,214,214
1520564684,216,216
1520566600,212,212
1520568524,207,207
1520570422,207,207
1520572361,233,233
1520574280,231,231
1520576204,231,231
1520578130,232,232
1520580047,236,236
1520581942,235,235
1520583883,236,236
1520585793,231,231
1520587957,231,231
1520589881,230,230
1520591787,229,229
1520593727,228,228
1520595619,229,229
1520597554,228,228
1520599458,232,232
1520601376,230,230
1520603472,229,229
1520605457,230,230
1520607673,232,232
1520609550,229,229
1520611471,229,229
1520613392,231,231
1520615311,236,236
1520617237,237,237
1520619146,234,234
1520621087,232,232
1520622994,235,235
1520624903,239,239
1520626821,236,236
1520628762,231,231
1520630670,221,221
1520632599,221,221
1520635559,219,219
1520637447,216,216
1520639442,214,214
1520641286,211,211
1520643161,211,211
1520645148,209,209
1520647335,209,209
1520649289,208,208
1520651311,208,208
1520653216,210,210
1520655441,209,209
1520657313,203,203
1520659266,185,185
1520661162,185,185
1520663085,183,183
1520664998,181,181
1520666932,178,178
1520668899,182,182
1520670785,180,180
1520672671,183,183
1520674628,182,182
1520676523,180,180
1520678452,177,177
1520680371,176,176
1520682316,174,174
1520684204,173,173
1520686152,172,172
1520688196,172,172
1520689997,167,167
1520691882,164,164
1520693808,165,165
1520695713,165,165
1520697705,168,168
1520699553,165,165
1520701504,161,161
1520703667,158,158
1520705550,156,156
1520707488,160,160
1520709393,157,157
1520711315,158,158
1520713225,160,160
1520715186,161,161
1520717067,163,163
1520718892,159,159
1520720703,157,157
1520722641,165,165
1520724850,175,175
1520726924,178,178
1520728817,182,182
1520730999,191,191
1520733019,188,188
1520734831,189,189
1520737005,194,194
1520738916,192,192
1520740886,195,195
1520742756,196,196
1520744707,196,196
1520746591,199,199
1520748520,200,200
1520750673,199,199
1520752590,198,198
1520754509,199,199
1520756425,196,196
1520758366,195,195
1520760264,196,196
1520762182,195,195
1520764114,196,196
1520766116,196,196
1520768197,199,199
1520770132,200,200
1520772029,197,197
1520773969,194,194
1520776235,195,195
1520778282,193,193
1520780206,194,194
1520782110,197,197
1520784135,201,201
1520785975,202,202
1520787956,205,205
1520789801,207,207
1520791738,207,207
1520793877,207,207
1520796048,207,207
1520797948,210,210
1520799897,211,211
1520801794,214,214
1520803745,217,217
1520805678,218,218
1520807564,215,215
1520809480,210,210
1520811640,205,205
1520813566,206,206
1520815481,374,374
1520817409,369,369
1520819332,372,372
1520821259,379,379
1520823165,375,375
1520825091,374,374
1520827010,373,373
1520828933,372,372
1520830891,370,370
1520832769,368,368
1520834674,369,369
1520836605,368,368
1520838506,364,364
1520840462,363,363
1520842354,369,369
1520844527,371,371
1520846445,372,372
1520848378,374,374
1520850291,375,375
1520852209,378,378
1520854105,375,375
1520856085,381,381
1520857960,384,384
1520859881,386,386
1520863726,389,389
1520865644,389,389
1520867802,388,388
1520869721,387,387
1520871655,388,388
1520873788,386,386
1520876655,389,389
1520878747,393,393
1520880753,387,387
1520882682,384,384
