DateTime,AddedIPs,RemovedIPs
1520394034,2,2
1520395958,1,0
1520399800,1,1
1520403638,1,2
1520409410,1,0
1520411313,1,2
1520415163,0,1
1520419232,2,1
1520423083,2,0
1520425005,3,1
1520428836,3,0
1520430761,2,0
1520432687,3,2
1520434592,1,2
1520436515,1,0
1520438506,1,3
1520440368,1,1
1520442281,0,1
1520444439,2,0
1520446461,2,0
1520448280,0,1
1520450205,3,0
1520452124,1,1
1520454040,1,0
1520455971,2,1
1520461965,1,0
1520463872,0,2
1520465802,3,0
1520467996,1,1
1520469953,1,0
1520472085,1,0
1520474115,0,9
1520475944,1,1
1520479755,1,1
1520481790,0,2
1520483606,1,0
1520485587,0,1
1520487433,1,0
1520489428,1,1
1520491305,1,0
1520493309,1,0
1520495321,0,1
1520497519,1,1
1520501483,2,0
1520503896,1,0
1520505876,0,2
1520507792,4,0
1520509963,1,3
1520511890,5,3
1520513798,2,1
1520515956,0,4
1520517895,2,1
1520519966,0,3
1520521945,0,1
1520524002,2,2
1520526028,1,0
1520528194,0,1
1520530118,3,1
1520532091,1,1
1520533955,4,2
1520535864,0,3
1520537786,0,1
1520539725,1,0
1520541626,0,3
1520543545,1,0
1520547410,0,1
1520551245,0,2
1520553147,0,1
1520555088,0,1
1520557012,0,1
1520558907,0,1
1520560936,1,0
1520562792,0,1
1520564687,1,0
1520566603,2,1
1520570424,2,1
1520572363,1,0
1520576206,2,1
1520578132,1,1
1520580050,1,1
1520581945,2,0
1520583886,0,1
1520587959,0,2
1520591790,5,0
1520593730,1,2
1520595622,1,4
1520597556,0,2
1520599460,2,4
1520601378,5,0
1520603475,1,0
1520605459,0,1
1520607675,1,1
1520609553,1,2
1520611473,0,1
1520613395,1,1
1520615314,1,2
1520617240,0,2
1520619148,1,2
1520621090,0,2
1520622997,2,0
1520626824,1,1
1520630673,0,1
1520632602,1,0
1520635562,1,0
1520637449,2,0
1520641288,2,0
1520645151,1,0
1520647338,1,1
1520649291,1,1
1520651313,2,0
1520653219,1,1
1520655443,1,0
1520657316,3,1
1520659268,2,1
1520663088,0,1
1520665000,0,1
1520666935,1,2
1520668901,2,1
1520670787,1,1
1520674630,1,0
1520678455,1,5
1520680374,2,2
1520682320,2,1
1520686154,1,4
1520688199,2,5
1520690000,1,0
1520691885,1,0
1520693811,2,1
1520695715,1,1
1520701506,1,2
1520703668,2,0
1520705552,1,1
1520707490,1,0
1520709395,1,1
1520713227,2,1
1520715188,1,0
1520718893,1,1
1520720705,2,0
1520722644,0,1
1520724852,4,1
1520726927,1,0
1520728819,1,2
1520731001,1,0
1520733021,2,1
1520734833,0,2
1520737007,2,2
1520738919,0,1
1520740888,0,1
1520742759,0,2
1520744710,0,2
1520746594,2,0
1520750676,1,0
1520752593,0,1
1520754512,2,2
1520756428,3,3
1520758369,1,0
1520762184,0,1
1520764116,1,0
1520766118,1,2
1520768199,2,1
1520770134,3,1
1520772031,1,0
1520773972,2,2
1520776237,4,1
1520778284,1,2
1520780208,1,2
1520782112,3,2
1520784137,2,0
1520785977,1,1
1520787958,2,1
1520789803,0,1
1520791740,4,2
1520793879,0,1
1520796050,0,1
1520799899,0,2
1520801796,2,1
1520803747,1,0
1520805681,1,1
1520807567,0,2
1520809483,2,0
1520811643,0,3
1520813569,0,3
1520815484,2,0
1520817412,0,1
1520819335,1,1
1520821262,1,0
1520823168,1,1
1520825094,1,0
1520827013,1,0
1520828936,0,1
1520830894,1,0
1520832772,2,2
1520836608,3,1
1520840464,1,0
1520842356,1,3
1520844530,2,2
1520846447,1,0
1520850294,0,1
1520852212,2,1
1520854107,0,3
1520856088,1,3
1520857962,0,1
1520859884,2,1
1520861804,0,3
1520863729,0,2
1520865646,1,1
1520867804,0,3
1520869724,1,2
1520871657,0,1
1520873790,0,3
1520876657,2,1
1520878749,1,3
1520884588,2,0
1520887869,0,1
1520889884,0,1
1520892111,2,0
1520893971,1,1
1520896162,0,3
1520898024,1,0
1520900202,0,2
1520902110,2,1
1520904026,2,0
1520905975,0,1
1520908016,3,0
1520910106,0,2
1520914127,1,1
1520916035,2,1
1520917965,2,1
1520919883,1,2
1520921793,2,2
1520923720,3,1
1520927579,1,1
1520929503,1,2
1520931391,3,1
1520933310,1,1
1520937159,0,2
1520939086,1,0
1520941009,1,1
1520944836,0,2
1520948697,0,1
1520952529,3,1
1520954432,2,0
1520956348,2,1
1520958277,1,0
1520960219,2,0
1520962116,2,2
1520964081,1,0
1520966041,4,0
1520968137,0,1
1520970278,2,1
1520972440,0,1
1520974366,2,0
1520976282,1,0
1520978190,2,2
1520980104,1,0
1520982136,1,0
1520983975,0,1
1520985883,1,0
1520987788,0,2
1520989723,1,1
1520991628,1,1
1520995466,1,2
1520997393,1,0
1520999307,0,1
1521003164,2,3
1521005073,1,1
1521006982,2,2
1521008910,1,2
1521010899,0,1
1521014675,0,1
1521016614,1,1
1521018531,1,3
1521020447,1,0
1521022365,1,0
1521024533,1,1
1521026444,1,1
1521028353,1,0
1521032365,1,0
1521034345,4,0
1521038181,1,0
1521039992,2,3
1521041804,0,2
1521043633,0,1
1521045483,0,3
1521047496,1,0
1521049463,1,3
1521051279,0,3
1521053317,1,1
1521055120,0,1
1521058929,2,0
1521060768,2,2
1521062833,1,1
1521064899,0,2
1521066749,2,1
1521068550,0,1
1521071094,2,0
1521072992,0,1
1521074866,1,1
1521078752,1,1
1521080701,0,2
1521082570,1,1
1521088343,3,1
1521090249,0,2
1521092183,0,1
1521094118,0,1
1521096019,1,1
1521097868,2,0
1521099866,1,0
1521103486,0,2
1521105486,1,0
1521107562,0,2
1521111397,0,1
1521113302,2,2
1521118605,0,1
1521120971,0,4
1521125016,1,2
1521127239,0,1
1521133329,2,1
1521135165,0,2
1521137114,1,0
1521140924,1,0
1521144755,2,2
1521146680,1,3
1521148601,0,1
1521152439,2,0
1521154359,0,2
1521156437,1,0
1521158564,0,1
1521160642,2,1
1521162691,2,0
1521164999,1,1
1521168798,2,1
1521174506,0,3
1521176537,1,0
1521178363,1,0
1521180306,1,0
1521182196,1,1
1521184183,2,2
1521186029,2,0
1521188001,1,1
1521191828,1,1
1521193711,2,0
1521195709,3,0
1521199480,1,1
1521201486,2,0
1521205288,2,0
1521207159,1,0
1521209068,1,0
1521210999,1,1
1521212905,1,0
1521215079,1,0
1521216997,1,2
1521218919,2,0
1521220839,0,2
1521224684,2,1
1521226600,2,1
1521228518,1,0
1521230501,1,1
1521232369,0,1
1521238137,1,1
1521240037,1,1
1521241911,1,0
1521243862,0,1
1521245693,6,0
1521247500,0,2
1521249443,0,1
1521251325,1,0
1521253447,4,1
1521255380,0,2
1521259332,1,0
1521261313,0,1
1521265103,2,1
1521266931,1,0
1521268882,1,1
1521270762,1,3
1521272742,1,1
1521274584,1,0
1521276565,1,1
1521280397,2,4
1521282278,0,2
1521284276,0,1
1521286102,1,0
1521288138,1,3
1521289971,1,0
1521291998,3,2
1521293802,1,1
1521295839,1,2
1521297644,1,0
1521299700,0,2
1521303528,2,1
1521305434,6,1
1521307363,4,0
1521309289,3,0
1521311196,12,3
1521313123,1,1
1521315047,5,2
1521316979,2,1
1521318895,5,0
1521320930,2,1
1521323072,1,0
1521325011,1,2
1521326952,1,0
1521328897,1,0
1521330756,1,1
1521332666,0,3
1521334580,1,0
1521338495,1,4
1521340343,0,1
1521342279,2,0
1521344436,1,1
1521346357,0,1
1521348295,2,1
1521350194,0,1
1521352111,2,1
1521354027,0,1
1521356082,1,1
1521358374,1,1
