DateTime,AddedIPs,RemovedIPs
1520564687,13,26
1520566603,16,17
1520568526,14,24
1520570424,21,21
1520572363,12,25
1520574282,12,31
1520576207,29,33
1520578132,15,25
1520580051,11,26
1520581945,10,46
1520583887,15,24
1520585796,15,26
1520587960,14,28
1520589884,7,16
1520591790,10,13
1520593730,21,15
1520595622,10,15
1520597556,15,30
1520599460,7,18
1520601378,16,12
1520603475,10,21
1520605459,12,20
1520607676,26,21
1520609553,33,18
1520611474,45,21
1520613396,36,17
1520615314,40,21
1520617240,35,17
1520619149,33,15
1520621091,22,27
1520622997,37,14
1520624907,24,14
1520626824,29,19
1520628766,22,9
1520630674,27,14
1520632602,16,25
1520635562,18,21
1520637450,15,6
1520639445,6,11
1520641288,10,13
1520643164,9,9
1520645151,7,13
1520647338,9,17
1520649291,5,17
1520651314,13,15
1520653219,12,12
1520655443,15,21
1520657316,10,11
1520659268,21,12
1520661164,11,21
1520663088,26,15
1520665000,14,17
1520666935,10,10
1520668901,9,11
1520670788,11,15
1520672674,17,12
1520674630,15,12
1520676525,15,8
1520678455,25,8
1520680375,16,19
1520682320,9,11
1520684207,11,14
1520686155,10,12
1520688199,11,14
1520690000,11,19
1520691885,8,11
1520693811,11,13
1520695715,21,12
1520697708,6,21
1520699556,15,28
1520701506,11,28
1520703669,19,28
1520705552,9,33
1520707490,34,31
1520709395,12,39
1520711317,8,41
1520713227,8,43
1520715188,12,41
1520717069,11,50
1520718894,11,19
1520720706,12,15
1520722644,9,9
1520724852,23,13
1520726927,12,14
1520728819,11,9
1520731001,18,8
1520733021,19,9
1520734833,7,1
1520737007,15,10
1520738919,22,8
1520740889,16,17
1520742759,9,17
1520744711,23,11
1520746594,14,16
1520748524,14,18
1520750676,8,19
1520752594,15,11
1520754512,6,12
1520756428,13,8
1520758370,15,16
1520760266,8,11
1520762185,13,11
1520764117,11,21
1520766118,7,21
1520768200,24,18
1520770134,14,10
1520772031,11,10
1520773972,11,9
1520776237,15,15
1520778285,15,6
1520780208,18,14
1520782112,12,14
1520784138,15,8
1520785978,9,11
1520787959,13,10
1520789804,11,10
1520791741,13,11
1520793879,13,43
1520796051,14,9
1520797950,8,7
1520799900,14,9
1520801796,8,10
1520803747,12,11
1520805681,11,13
1520807567,6,14
1520809483,10,10
1520811643,13,24
1520813569,12,19
1520815484,11,16
1520817412,16,17
1520819335,11,15
1520821262,12,11
1520823169,22,13
1520825094,16,14
1520827014,13,16
1520828937,26,9
1520830895,12,19
1520832772,18,16
1520834677,17,17
1520836608,14,10
1520838508,8,18
1520840464,24,7
1520842357,7,10
1520844530,5,14
1520846447,13,12
1520848381,5,10
1520850294,7,12
1520852212,13,9
1520854107,7,22
1520856088,15,17
1520857963,21,17
1520859884,35,9
1520861805,32,12
1520863729,29,19
1520865647,30,13
1520867804,39,22
1520869724,60,20
1520871658,34,11
1520873791,22,10
1520876658,33,21
1520878749,28,14
1520880756,33,6
1520882685,19,9
1520884588,17,10
1520887869,27,19
1520889884,14,12
1520892111,30,8
1520893972,14,7
1520896162,22,11
1520898024,10,12
1520900202,16,15
1520902110,15,18
1520904026,14,16
1520905976,12,18
1520908016,13,23
1520910106,13,12
1520911947,11,14
1520914127,11,12
1520916035,20,24
1520917965,15,12
1520919883,15,17
1520921793,14,18
1520923720,13,10
1520925635,5,9
1520927579,8,14
1520929503,10,5
1520931392,6,9
1520933310,10,8
1520935303,12,6
1520937160,9,11
1520939087,10,14
1520941009,10,13
1520942916,14,12
1520944837,8,9
1520946758,9,22
1520948697,13,28
1520950605,11,19
1520952529,15,12
1520954432,17,14
1520956349,9,53
1520958277,13,15
1520960220,10,11
1520962116,12,13
1520964082,7,23
1520966042,15,20
1520968138,6,22
1520970278,17,11
1520972441,14,15
1520974367,9,9
1520976282,7,16
1520978190,8,26
1520980104,10,10
1520982136,7,12
1520983976,6,16
1520985884,10,13
1520987788,14,21
1520989723,13,12
1520991628,13,14
1520993559,10,20
1520995467,9,15
1520997393,51,11
1520999307,9,19
1521001233,11,17
1521003164,16,27
1521005073,10,25
1521006982,22,20
1521008911,11,24
1521010900,16,17
1521012769,10,17
1521014675,19,21
1521016614,10,13
1521018531,14,20
1521020447,12,11
1521022365,12,15
1521024533,14,19
1521026444,4705,12
1521028354,16,11
1521030273,15,11
1521032365,22,7
1521034346,36,11
1521036190,22,13
1521038181,29,8
1521039992,18,10
1521041804,34,9
1521043633,15,10
1521045484,18,10
1521047497,16,18
1521049464,17,12
1521051280,12,9
1521053317,28,6
1521055120,11,9
1521056993,25,10
1521058930,12,6
1521060768,12,6
1521062833,8,7
1521064899,14,14
1521066749,13,6
1521068550,21,6
1521071094,17,13
1521072993,12,13
1521074867,15,7
1521076825,14,11
1521078752,11,9
1521080702,10,12
1521082570,11,5
1521084507,15,45
1521086371,12,12
1521088343,7,11
1521090250,10,7
1521092184,9,11
1521094118,13,18
1521096020,21,9
1521097869,12,17
1521099866,7,33
1521101680,3,9
1521103487,14,8
