DateTime,AddedIPs,RemovedIPs
1520564687,3,10
1520566604,5,9
1520568527,0,9
1520570425,5,1
1520572364,4,9
1520574283,2,14
1520576207,3,11
1520578133,3,10
1520580051,6,10
1520581946,0,10
1520583889,7,4
1520585796,4,12
1520587960,6,3
1520589885,2,5
1520591791,3,7
1520593731,1,7
1520595622,1,11
1520597557,5,6
1520599461,4,4
1520601379,5,9
1520603476,3,9
1520605460,2,1
1520607676,3,9
1520609553,13,4
1520611474,10,5
1520613396,12,4
1520615315,20,4
1520617240,9,3
1520619149,14,6
1520621091,9,4
1520622998,14,3
1520624907,14,4
1520626825,11,7
1520628767,13,17
1520630674,8,4
1520632603,13,0
1520635564,4,8
1520637450,5,3
1520639445,2,5
1520641289,4,4
1520643164,2,5
1520645152,1,5
1520647339,1,3
1520649292,4,3
1520651314,5,4
1520653219,7,5
1520655444,8,3
1520657317,6,2
1520659269,7,6
1520661165,1,0
1520663089,4,3
1520665001,4,5
1520666935,3,3
1520668902,8,2
1520670788,3,7
1520672675,2,3
1520674631,7,3
1520676526,2,3
1520678456,3,2
1520680375,2,1
1520682321,5,1
1520684208,2,5
1520686155,3,4
1520688200,2,6
1520690001,1,2
1520691886,6,2
1520693812,6,1
1520695716,1,10
1520697708,2,10
1520699556,5,11
1520701507,6,20
1520703669,9,13
1520705553,1,13
1520707491,3,8
1520709396,2,14
1520711317,4,17
1520713228,2,12
1520715189,6,13
1520717070,3,9
1520718894,2,14
1520720706,3,2
1520722645,1,3
1520724853,2,3
1520726928,6,1
1520728820,4,6
1520731002,1,3
1520733022,2,0
1520734834,5,2
1520737008,6,7
1520738920,2,3
1520740889,5,11
1520742760,3,5
1520744711,3,7
1520746595,4,3
1520748525,5,1
1520750677,4,5
1520752594,2,3
1520754513,5,5
1520756429,5,8
1520758371,9,1
1520760267,7,2
1520762185,5,6
1520764117,4,2
1520766119,2,2
1520768200,3,5
1520770135,3,4
1520772032,6,2
1520773972,2,3
1520776238,7,1
1520778285,1,6
1520780209,2,4
1520782113,4,1
1520784138,6,1
1520785978,2,5
1520787959,3,6
1520789804,2,10
1520791741,7,1
1520793880,7,4
1520796051,2,4
1520797951,7,5
1520799900,6,4
1520801797,4,3
1520803747,4,7
1520805682,0,1
1520807567,4,3
1520809483,3,1
1520811644,6,2
1520813570,4,6
1520815485,9,3
1520817413,7,1
1520819336,3,3
1520821263,4,4
1520823169,4,6
1520825095,3,3
1520827014,0,5
1520828937,3,3
1520830895,1,2
1520832773,1,5
1520834678,4,4
1520836609,7,4
1520838509,1,1
1520840465,7,4
1520842357,8,3
1520844530,0,10
1520846448,11,4
1520848382,7,4
1520850296,2,5
1520852213,3,1
1520854108,6,3
1520856089,3,4
1520857963,5,6
1520859885,7,3
1520861805,4,2
1520863729,6,4
1520865647,7,1
1520867805,13,4
1520869725,12,3
1520871658,2,7
1520873791,13,3
1520876658,14,3
1520878750,3,8
1520880756,8,6
1520882686,10,0
1520884589,6,10
1520887870,12,5
1520889885,10,5
1520892112,8,1
1520893972,5,2
1520896163,6,3
1520898025,4,6
1520900203,13,8
1520902111,6,7
1520904027,10,3
1520905976,3,3
1520908017,3,4
1520910107,13,4
1520911947,7,0
1520914128,12,1
1520916036,5,2
1520917966,3,1
1520919883,10,1
1520921793,2,3
1520923721,2,6
1520925635,6,4
1520927580,4,9
1520929504,5,14
1520931392,5,1
1520933310,6,11
1520935304,7,4
1520937160,3,5
1520939087,5,3
1520941010,3,5
1520942917,5,3
1520944837,4,3
1520946759,9,10
1520948697,7,3
1520950606,5,8
1520952530,1,2
1520954433,3,9
1520956349,9,14
1520958278,3,4
1520960220,3,10
1520962117,7,8
1520964082,7,5
1520966042,2,8
1520968138,3,8
1520970279,4,8
1520972441,0,4
1520974367,3,5
1520976283,1,11
1520978191,3,5
1520980105,3,4
1520982137,3,7
1520983976,2,4
1520985884,2,4
1520987789,2,8
1520989724,3,6
1520991629,4,8
1520993560,7,5
1520995467,3,12
1520997394,3,9
1520999308,5,10
1521001234,6,10
1521003164,4,8
1521005074,3,5
1521006983,5,12
1521008911,12,4
1521010900,2,5
1521012770,3,6
1521014676,4,4
1521016615,1,5
1521018532,0,4
1521020448,4,7
1521022366,2,3
1521024534,2,5
1521026445,3,5
1521028354,3,2
1521030274,7,2
