DateTime,AddedIPs,RemovedIPs
1520284872,1,1
1520286782,1,0
1520288730,1,1
1520290605,1,0
1520292574,0,4
1520294691,1,3
1520296586,1,1
1520298541,1,1
1520300490,2,0
1520306221,0,2
1520308181,2,1
1520310047,1,2
1520312008,1,0
1520313886,0,1
1520315896,0,2
1520317726,1,0
1520322048,1,3
1520323975,1,0
1520325886,0,4
1520327816,0,1
1520329721,0,1
1520331650,1,0
1520333571,2,0
1520335478,0,1
1520337390,3,0
1520339337,1,3
1520341295,1,1
1520343175,0,1
1520345425,0,1
1520347255,2,2
1520349164,0,1
1520351094,0,1
1520354938,1,1
1520358781,6,0
1520360915,1,0
1520362885,0,1
1520364784,1,0
1520366958,1,0
1520368835,1,2
1520370779,2,1
1520372667,3,0
1520374586,0,1
1520376520,3,1
1520378678,1,0
1520382518,2,0
1520384511,1,0
1520386364,1,1
1520388294,0,3
1520392124,1,0
1520394036,1,0
1520395960,1,1
1520397884,2,1
1520399802,0,1
1520401717,2,0
1520409414,1,2
1520411315,7,2
1520413307,1,0
1520415165,0,1
1520419234,7,1
1520421163,0,2
1520423085,1,2
1520425007,0,2
1520426916,1,1
1520428839,2,0
1520434594,1,0
1520436517,0,1
1520438508,0,2
1520444441,0,8
1520446463,0,1
1520448282,0,1
1520450208,0,1
1520452126,1,0
1520454042,1,0
1520455973,1,1
1520457869,1,2
1520460094,4,0
1520461967,1,1
1520463874,2,0
1520467998,2,0
1520472087,2,0
1520474117,0,2
1520475946,1,1
1520477920,1,0
1520479757,0,1
1520481792,0,1
1520483608,0,1
1520487435,1,1
1520489430,1,1
1520497521,0,1
1520499475,0,1
1520501485,1,0
1520503898,1,0
1520505878,0,9
1520507794,0,1
1520509965,1,1
1520511892,1,0
1520515958,1,2
1520517897,2,0
1520519968,0,1
1520524004,2,0
1520526030,2,0
1520528196,1,1
1520530120,2,1
1520532093,2,0
1520533957,1,0
1520535866,1,7
1520537788,0,1
1520541627,1,2
1520543547,0,1
1520545481,1,2
1520547412,1,1
1520549319,2,2
1520551247,3,1
1520553148,1,0
1520555090,0,2
1520558909,0,1
1520560937,1,0
1520564688,0,4
1520566604,3,0
1520570425,1,1
1520572365,0,2
1520574283,1,0
1520576208,1,0
1520578133,2,0
1520580052,1,0
1520581946,1,0
1520585797,1,0
1520587961,2,1
1520589885,2,0
1520593731,2,0
1520595623,1,0
1520597557,0,1
1520601379,1,0
1520603476,1,3
1520605461,1,1
1520609554,1,1
1520611475,0,1
1520613397,0,1
1520615315,1,2
1520617241,0,2
1520619150,0,1
1520621092,2,0
1520622999,2,1
1520624908,0,1
1520626825,2,0
1520628767,0,3
1520630675,0,1
1520632603,1,0
1520635564,0,2
1520637451,1,4
1520641290,3,0
1520643165,1,0
1520647339,2,0
1520651315,2,1
1520653220,1,1
1520655445,2,1
1520661165,0,2
1520663089,0,1
1520665001,0,1
1520666936,1,1
1520668902,2,1
1520672675,3,1
1520674632,0,3
1520676527,0,1
1520680376,1,1
1520682321,0,4
1520684208,1,0
1520686156,4,0
1520688200,0,3
1520690001,0,2
1520691886,0,1
1520693812,1,1
1520695716,1,0
1520699557,1,2
1520701507,1,1
1520705554,1,0
1520707492,0,2
1520709396,0,1
1520713228,0,1
1520715189,1,0
1520717070,3,0
1520718895,1,2
1520722646,11,1
1520724853,0,2
1520726928,0,2
1520728820,1,1
1520731002,2,0
1520733022,1,1
1520734834,1,1
1520737008,1,1
1520738920,0,1
1520740890,1,2
1520744712,1,1
1520746596,1,0
1520754514,0,1
1520756429,1,0
1520758373,0,1
1520760268,1,0
1520766119,0,1
1520768201,0,1
1520772033,0,2
1520773973,1,0
1520776238,2,0
1520778286,1,1
1520782114,0,2
1520785979,1,1
1520787960,2,1
1520791742,3,2
1520793881,5,0
1520796052,0,1
1520797951,1,0
1520799901,2,1
1520801798,1,3
1520807568,2,0
1520809484,0,12
1520813570,2,0
1520817414,2,1
1520819336,1,1
1520821263,2,1
1520825095,1,1
1520827015,2,0
1520830896,1,1
1520832773,0,3
1520842358,0,1
1520846449,0,3
1520850296,1,1
1520852213,2,0
1520854109,0,1
1520856089,1,1
1520859885,0,1
1520861806,3,2
1520865648,0,1
1520867806,8,0
1520871659,0,1
1520876659,1,1
1520878750,0,2
1520880757,1,6
1520882686,1,0
1520884589,0,1
1520887870,2,3
1520889886,2,0
1520892113,2,1
1520893973,2,2
1520896164,1,0
1520898026,1,1
1520900203,1,2
1520902111,3,2
1520904027,0,1
1520905977,1,0
1520908017,1,2
1520910107,1,0
1520911948,0,2
1520914128,1,1
1520916036,2,0
1520917967,1,0
1520925636,1,0
1520927580,2,0
1520929504,1,1
1520933311,1,0
1520937161,3,2
1520939088,0,2
1520946759,0,1
1520950606,0,1
1520952531,2,10
1520958279,0,1
1520962117,1,0
1520964083,0,1
1520966043,3,0
1520970279,0,1
1520972442,2,0
1520974368,1,3
1520976284,0,1
1520978192,1,2
1520980105,0,1
1520982137,0,2
1520983977,1,0
1520985885,1,0
1520987790,2,3
1520989725,1,0
1520993560,0,1
1520995468,2,1
1520997395,1,1
1520999309,1,0
1521001234,1,1
1521003165,2,1
1521008912,1,0
1521012771,0,1
1521014676,0,1
1521018533,1,0
1521020449,1,1
1521024534,1,2
1521030274,1,1
1521034347,1,0
1521036191,0,1
1521039994,0,3
1521041806,2,1
1521047498,2,1
1521049465,1,0
1521051281,0,2
1521053318,1,0
1521055121,2,0
1521056995,2,0
1521058931,1,2
1521060770,12,0
1521062835,2,0
1521064901,2,1
1521068552,6,1
1521071096,2,1
1521072994,0,1
1521074868,0,1
1521076827,6,1
1521078753,1,0
1521080703,2,0
1521082572,3,2
1521084509,2,1
1521086373,2,1
1521090251,0,2
1521092185,1,0
1521094120,0,1
1521097870,1,1
1521101681,1,0
1521105487,1,3
1521109471,1,0
1521111398,0,1
1521113303,2,0
1521116524,2,0
1521120973,2,1
1521127240,2,1
1521129185,2,1
1521133330,0,1
1521135167,1,1
1521137116,0,1
1521139000,0,1
1521140926,3,2
1521146682,0,1
1521148602,1,17
1521150513,0,1
1521152441,1,0
1521154360,0,5
1521156439,0,2
1521158566,1,0
1521162692,2,2
1521165000,0,1
1521166837,2,3
1521168800,1,2
1521170669,0,1
1521172649,2,1
1521174507,0,2
1521176539,1,2
1521178365,2,0
1521180308,1,1
1521184185,1,0
1521188003,0,1
1521189881,1,1
1521191830,0,1
1521195711,2,1
1521197557,1,0
1521199482,0,1
1521201487,0,1
1521203332,1,2
1521207160,0,1
1521212906,0,3
1521215080,2,1
1521216999,2,0
1521220840,0,2
1521224686,2,0
1521226602,0,3
1521228520,3,3
1521230503,5,0
1521232371,3,0
1521234290,1,0
1521236211,1,0
1521238138,1,1
1521240039,0,1
1521241913,1,1
1521243863,1,0
1521245695,3,0
1521247503,2,1
1521249444,0,1
1521251327,1,0
1521253449,1,3
1521255381,0,1
1521257368,0,2
1521259334,0,2
1521261315,1,0
1521265105,1,2
1521266932,0,1
1521268883,1,0
1521272743,2,1
1521276566,1,0
1521278439,2,0
1521282279,0,1
1521284278,1,0
1521286104,1,0
1521288140,1,1
1521289973,0,3
1521292000,1,0
1521293804,2,0
1521295840,1,2
1521299703,2,0
1521301597,0,2
1521303529,0,2
1521305435,1,0
1521309291,1,1
1521311198,0,2
1521313124,0,1
1521315049,1,4
1521316981,0,5
1521318896,2,1
1521320931,0,1
1521323073,0,3
1521326953,0,2
1521328899,0,1
1521330757,1,0
1521332668,1,3
1521334582,1,1
1521336501,1,0
1521340345,1,1
1521342281,1,0
1521346359,1,0
1521348297,1,2
1521352113,0,1
1521354029,0,1
1521356084,0,1
1521358375,1,1
1521362206,1,0
1521364131,0,1
1521366049,1,1
1521367955,1,0
1521369880,2,0
1521371797,2,1
1521375642,1,1
1521377586,0,1
1521379483,1,0
1521381385,2,2
1521383318,0,1
1521385288,1,1
1521389081,3,0
1521391001,1,1
1521394848,1,1
1521400614,2,2
1521402751,1,0
1521404669,1,2
1521406589,1,1
1521408505,0,1
1521410497,4,0
1521413744,2,0
1521415703,1,0
1521418597,1,1
1521420505,1,1
1521422428,1,1
1521424587,3,1
1521426506,0,1
1521428497,1,0
1521432270,1,2
1521434191,0,1
1521436099,1,0
1521444025,2,1
1521447864,1,0
1521449788,0,1
1521455546,3,0
1521457476,2,3
1521459375,0,1
1521461565,0,1
1521463465,1,0
1521465394,0,1
1521467304,4,1
1521469229,3,0
1521471144,1,1
1521474988,1,1
1521476912,0,2
1521478920,2,0
1521480753,1,1
1521482659,1,1
1521484590,1,0
1521486492,0,1
1521490725,1,1
1521492834,1,1
1521496586,1,2
1521498504,0,1
1521500547,0,1
1521502379,1,1
1521504185,1,1
1521506202,0,2
1521508107,2,0
1521510027,2,0
1521511950,1,1
1521513890,1,0
1521515785,4,0
1521517708,0,1
1521519620,1,2
1521523477,0,1
1521529310,1,0
1521531137,1,1
1521534975,0,2
1521536910,2,0
1521538817,1,0
1521540765,2,0
1521542656,0,4
1521544577,1,0
