DateTime,Entries,UniqueIPs
1520284872,65,65
1520286782,66,66
1520288730,66,66
1520290605,67,67
1520292574,63,63
1520294691,61,61
1520296586,61,61
1520298541,61,61
1520300490,63,63
1520306221,61,61
1520308181,62,62
1520310047,61,61
1520312008,62,62
1520313886,61,61
1520315896,59,59
1520317726,60,60
1520322048,58,58
1520323975,59,59
1520325886,55,55
1520327816,54,54
1520329721,53,53
1520331650,54,54
1520333571,56,56
1520335478,55,55
1520337390,58,58
1520339337,56,56
1520341295,56,56
1520343175,55,55
1520345425,54,54
1520347255,54,54
1520349164,53,53
1520351094,52,52
1520354938,52,52
1520358781,58,58
1520360915,59,59
1520362885,58,58
1520364784,59,59
1520366958,60,60
1520368835,59,59
1520370779,60,60
1520372667,63,63
1520374586,62,62
1520376520,64,64
1520378678,65,65
1520382518,67,67
1520384511,68,68
1520386364,68,68
1520388294,65,65
1520392124,66,66
1520394036,67,67
1520395960,67,67
1520397884,68,68
1520399802,67,67
1520401717,69,69
1520409414,68,68
1520411315,73,73
1520413307,74,74
1520415165,73,73
1520419234,79,79
1520421163,77,77
1520423085,76,76
1520425007,74,74
1520426916,74,74
1520428839,76,76
1520434594,77,77
1520436517,76,76
1520438508,74,74
1520444441,66,66
1520446463,65,65
1520448282,64,64
1520450208,63,63
1520452126,64,64
1520454042,65,65
1520455973,65,65
1520457869,64,64
1520460094,68,68
1520461967,68,68
1520463874,70,70
1520467998,72,72
1520472087,74,74
1520474117,72,72
1520475946,72,72
1520477920,73,73
1520479757,72,72
1520481792,71,71
1520483608,70,70
1520487435,70,70
1520489430,70,70
1520497521,69,69
1520499475,68,68
1520501485,69,69
1520503898,70,70
1520505878,61,61
1520507794,60,60
1520509965,60,60
1520511892,61,61
1520515958,60,60
1520517897,62,62
1520519968,61,61
1520524004,63,63
1520526030,65,65
1520528196,65,65
1520530120,66,66
1520532093,68,68
1520533957,69,69
1520535866,63,63
1520537788,62,62
1520541627,61,61
1520543547,60,60
1520545481,59,59
1520547412,59,59
1520549319,59,59
1520551247,61,61
1520553148,62,62
1520555090,60,60
1520558909,59,59
1520560937,60,60
1520564688,56,56
1520566604,59,59
1520570425,59,59
1520572365,57,57
1520574283,58,58
1520576208,59,59
1520578133,61,61
1520580052,62,62
1520581946,63,63
1520585797,64,64
1520587961,65,65
1520589885,67,67
1520593731,69,69
1520595623,70,70
1520597557,69,69
1520601379,70,70
1520603476,68,68
1520605461,68,68
1520609554,68,68
1520611475,67,67
1520613397,66,66
1520615315,65,65
1520617241,63,63
1520619150,62,62
1520621092,64,64
1520622999,65,65
1520624908,64,64
1520626825,66,66
1520628767,63,63
1520630675,62,62
1520632603,63,63
1520635564,61,61
1520637451,58,58
1520641290,61,61
1520643165,62,62
1520647339,64,64
1520651315,65,65
1520653220,65,65
1520655445,66,66
1520661165,64,64
1520663089,63,63
1520665001,62,62
1520666936,62,62
1520668902,63,63
1520672675,65,65
1520674632,62,62
1520676527,61,61
1520680376,61,61
1520682321,57,57
1520684208,58,58
1520686156,62,62
1520688200,59,59
1520690001,57,57
1520691886,56,56
1520693812,56,56
1520695716,57,57
1520699557,56,56
1520701507,56,56
1520705554,57,57
1520707492,55,55
1520709396,54,54
1520713228,53,53
1520715189,54,54
1520717070,57,57
1520718895,56,56
1520722646,66,66
1520724853,64,64
1520726928,62,62
1520728820,62,62
1520731002,64,64
1520733022,64,64
1520734834,64,64
1520737008,64,64
1520738920,63,63
1520740890,62,62
1520744712,62,62
1520746596,63,63
1520754514,62,62
1520756429,63,63
1520758373,62,62
1520760268,63,63
1520766119,62,62
1520768201,61,61
1520772033,59,59
1520773973,60,60
1520776238,62,62
1520778286,62,62
1520782114,60,60
1520785979,60,60
1520787960,61,61
1520791742,62,62
1520793881,67,67
1520796052,66,66
1520797951,67,67
1520799901,68,68
1520801798,66,66
1520807568,68,68
1520809484,56,56
1520813570,58,58
1520817414,59,59
1520819336,59,59
1520821263,60,60
1520825095,60,60
1520827015,62,62
1520830896,62,62
1520832773,59,59
1520842358,58,58
