DateTime,AddedIPs,RemovedIPs
1520564689,6,3
1520566605,43,7
1520568528,71,2
1520570426,73,1
1520572365,22,0
1520574284,2,2
1520576208,3,4
1520578134,7,1
1520580053,4,3
1520581947,2,2
1520583890,11,0
1520585798,4,1
1520587961,2,1
1520589886,4,2
1520591792,3,2
1520593732,2,2
1520595624,12,2
1520597558,16,2
1520599462,15,1
1520601380,0,2
1520603477,4,6
1520605461,4,3
1520607677,6,10
1520609555,5,2
1520611476,7,3
1520613397,6,1
1520615316,8,6
1520617242,4,10
1520619150,8,1
1520621092,17,4
1520622999,70,1
1520624908,73,4
1520626826,49,5
1520628768,12,2
1520630675,6,4
1520632604,3,4
1520635565,4,4
1520637451,14,4
1520639446,4,3
1520641290,1,4
1520643165,3,101
1520645153,6,4
1520647340,3,5
1520649293,10,4
1520651315,6,4
1520653220,1,36
1520655445,1,72
1520657318,1,56
1520659270,2,15
1520661166,7,1
1520663089,5,5
1520665002,4,7
1520666936,3,5
1520668903,5,5
1520670789,4,12
1520672676,1,2
1520674632,2,2
1520676527,1,4
1520678457,4,2
1520680376,4,3
1520682322,3,9
1520684209,5,10
1520686156,5,10
1520688201,3,3
1520690002,4,3
1520691887,8,4
1520693813,2,3
1520695717,2,5
1520697709,4,6
1520699557,9,6
1520701508,11,4
1520703670,6,4
1520705554,6,8
1520707492,6,22
1520709397,21,71
1520711318,50,81
1520713229,56,61
1520715190,62,15
1520717071,16,5
1520718895,3,4
1520720707,25,4
1520722646,9,3
1520724854,2,11
1520726929,2,7
1520728821,0,1
1520731003,14,5
1520733023,2,6
1520734835,10,9
1520737009,2,5
1520738921,3,6
1520740890,2,1
1520742761,6,2
1520744712,1,5
1520746596,19,7
1520748526,12,4
1520750678,3,5
1520752596,4,2
1520754514,3,7
1520756430,2,4
1520758373,3,2
1520760268,2,2
1520762186,2,0
1520764118,5,5
1520766120,2,2
1520768201,3,4
1520770136,6,6
1520772033,11,6
1520773973,2,3
1520776239,0,5
1520778286,6,10
1520780210,5,4
1520782114,9,3
1520784139,5,6
1520785979,6,10
1520787960,2,11
1520789805,1,5
1520791743,2,4
1520793881,6,9
1520796052,1,21
1520797952,2,53
1520799901,2,59
1520801798,2,63
1520803749,4,15
1520805684,4,9
1520807569,4,22
1520809485,4,4
1520811645,14,0
1520813571,9,4
1520815486,3,0
1520817414,4,15
1520819337,2,1
1520821264,3,15
1520823171,32,2
1520825096,7,3
1520827015,4,4
1520828938,0,3
1520830901,2,1
1520832774,0,17
1520834679,3,20
1520836610,1,2
1520838510,3,4
1520840466,0,2
1520842358,1,3
1520844531,2,3
1520846449,11,1
1520848383,2,2
1520850297,1,5
1520852214,4,3
1520854109,7,2
1520856090,10,4
1520857964,5,10
1520859886,2,8
1520861807,8,0
1520863731,4,4
1520865648,2,6
1520867806,3,5
1520869726,3,12
1520871659,1,7
1520873792,4,2
1520876659,7,7
1520878751,8,2
1520880757,7,5
1520882687,0,3
1520884590,4,2
1520887871,3,3
1520889886,4,2
1520892113,6,4
1520893973,1,1
1520896164,4,3
1520898026,9,11
1520900204,3,10
1520902112,12,5
1520904028,6,4
1520905977,52,2
1520908018,64,7
1520910108,64,23
1520911948,14,3
1520914129,25,2
1520916037,3,2
1520917967,4,2
1520919884,8,1
1520921795,2,2
1520923722,3,1
1520925636,2,3
1520927581,1,1
1520929505,2,4
1520931393,2,1
1520933311,2,9
1520935305,3,3
1520937162,12,1
1520939088,49,3
1520941011,45,8
1520942918,39,6
1520944838,12,4
1520946760,5,6
1520948698,2,5
1520950607,5,2
1520952531,5,4
1520954434,3,2
1520956350,2,3
1520958279,8,2
1520960221,4,5
1520962118,3,5
1520964083,6,1
1520966044,6,5
1520968139,4,3
1520970280,3,4
1520972442,2,5
1520974369,9,3
1520976284,7,4
1520978192,3,3
1520980106,3,0
1520982138,5,4
1520983977,17,3
1520985885,43,7
1520987790,63,8
1520989725,64,5
1520991630,32,17
1520993561,12,40
1520995468,5,37
1520997395,2,33
1520999309,36,19
1521001235,33,11
1521003166,31,3
1521005076,5,3
1521006983,2,2
1521008912,6,1
1521010901,6,2
1521012771,7,1
1521014677,7,2
1521016616,2,4
1521018533,1,3
1521020449,6,3
1521022367,3,1
1521024535,6,32
1521026446,11,45
1521028356,5,40
1521030275,3,27
1521032367,3,15
1521034348,2,4
1521036192,7,3
1521038183,43,5
1521039994,17,3
1521041806,26,1
1521043635,31,4
1521045485,48,11
