DateTime,Entries,UniqueIPs
1520564689,299,299
1520566605,335,335
1520568528,404,404
1520570426,476,476
1520572365,498,498
1520574284,498,498
1520576208,497,497
1520578134,503,503
1520580053,504,504
1520581947,504,504
1520583890,515,515
1520585798,518,518
1520587961,519,519
1520589886,521,521
1520591792,522,522
1520593732,522,522
1520595624,532,532
1520597558,546,546
1520599462,560,560
1520601380,558,558
1520603477,556,556
1520605461,557,557
1520607677,553,553
1520609555,556,556
1520611476,560,560
1520613397,565,565
1520615316,567,567
1520617242,561,561
1520619150,568,568
1520621092,581,581
1520622999,650,650
1520624908,719,719
1520626826,763,763
1520628768,773,773
1520630675,775,775
1520632604,774,774
1520635565,774,774
1520637451,784,784
1520639446,785,785
1520641290,782,782
1520643165,684,684
1520645153,686,686
1520647340,684,684
1520649293,690,690
1520651315,692,692
1520653220,657,657
1520655445,586,586
1520657318,531,531
1520659270,518,518
1520661166,524,524
1520663089,524,524
1520665002,521,521
1520666936,519,519
1520668903,519,519
1520670789,511,511
1520672676,510,510
1520674632,510,510
1520676527,507,507
1520678457,509,509
1520680376,510,510
1520682322,504,504
1520684209,499,499
1520686156,494,494
1520688201,494,494
1520690002,495,495
1520691887,499,499
1520693813,498,498
1520695717,495,495
1520697709,493,493
1520699557,496,496
1520701508,503,503
1520703670,505,505
1520705554,503,503
1520707492,487,487
1520709397,437,437
1520711318,406,406
1520713229,401,401
1520715190,448,448
1520717071,459,459
1520718895,458,458
1520720707,479,479
1520722646,485,485
1520724854,476,476
1520726929,471,471
1520728821,470,470
1520731003,479,479
1520733023,475,475
1520734835,476,476
1520737009,473,473
1520738921,470,470
1520740890,471,471
1520742761,475,475
1520744712,471,471
1520746596,483,483
1520748526,491,491
1520750678,489,489
1520752596,491,491
1520754514,487,487
1520756430,485,485
1520758373,486,486
1520760268,486,486
1520762186,488,488
1520764118,488,488
1520766120,488,488
1520768201,487,487
1520770136,487,487
1520772033,492,492
1520773973,491,491
1520776239,486,486
1520778286,482,482
1520780210,483,483
1520782114,489,489
1520784139,488,488
1520785979,484,484
1520787960,475,475
1520789805,471,471
1520791743,469,469
1520793881,466,466
1520796052,446,446
1520797952,395,395
1520799901,338,338
1520801798,277,277
1520803749,266,266
1520805684,261,261
1520807569,243,243
1520809485,243,243
1520811645,257,257
1520813571,262,262
1520815486,265,265
1520817414,254,254
1520819337,255,255
1520821264,243,243
1520823171,273,273
1520825096,277,277
1520827015,277,277
1520828938,274,274
1520830901,275,275
1520832774,258,258
1520834679,241,241
1520836610,240,240
1520838510,239,239
1520840466,237,237
1520842358,235,235
1520844531,234,234
1520846449,244,244
1520848383,244,244
1520850297,240,240
1520852214,241,241
1520854109,246,246
1520856090,252,252
1520857964,247,247
1520859886,241,241
1520861807,249,249
1520863731,249,249
1520865648,245,245
1520867806,243,243
1520869726,234,234
1520871659,228,228
1520873792,230,230
1520876659,230,230
1520878751,236,236
1520880757,238,238
1520882687,235,235
1520884590,237,237
1520887871,237,237
1520889886,239,239
1520892113,241,241
1520893973,241,241
1520896164,242,242
1520898026,240,240
1520900204,233,233
1520902112,240,240
1520904028,242,242
1520905977,292,292
1520908018,349,349
1520910108,390,390
1520911948,401,401
1520914129,424,424
1520916037,425,425
1520917967,427,427
1520919884,434,434
1520921795,434,434
1520923722,436,436
1520925636,435,435
1520927581,435,435
1520929505,433,433
1520931393,434,434
1520933311,427,427
1520935305,427,427
1520937162,438,438
1520939088,484,484
1520941011,521,521
1520942918,554,554
1520944838,562,562
1520946760,561,561
1520948698,558,558
1520950607,561,561
1520952531,562,562
1520954434,563,563
1520956350,562,562
1520958279,568,568
1520960221,567,567
1520962118,565,565
1520964083,570,570
1520966044,571,571
1520968139,572,572
1520970280,571,571
1520972442,568,568
1520974369,574,574
1520976284,577,577
1520978192,577,577
1520980106,580,580
1520982138,581,581
1520983977,595,595
1520985885,631,631
1520987790,686,686
1520989725,745,745
1520991630,760,760
1520993561,732,732
1520995468,700,700
1520997395,669,669
1520999309,686,686
1521001235,708,708
1521003166,736,736
1521005076,738,738
1521006983,738,738
1521008912,743,743
1521010901,747,747
1521012771,753,753
1521014677,758,758
1521016616,756,756
1521018533,754,754
1521020449,757,757
1521022367,759,759
1521024535,733,733
1521026446,699,699
1521028356,664,664
1521030275,640,640
1521032367,628,628
1521034348,626,626
1521036192,630,630
1521038183,668,668
1521039994,682,682
1521041806,707,707
1521043635,734,734
1521045485,771,771
1521047499,772,772
1521049466,777,777
1521051281,777,777
1521053319,779,779
1521055122,778,778
1521056995,781,781
1521058932,786,786
1521060770,786,786
1521062835,785,785
1521064901,782,782
1521066751,784,784
1521068552,784,784
1521071097,758,758
1521072995,718,718
1521074869,652,652
1521076827,595,595
1521078754,561,561
1521080704,558,558
1521082572,562,562
1521084509,555,555
1521086373,504,504
1521088345,456,456
1521090252,427,427
1521092186,424,424
1521094120,425,425
1521096022,418,418
1521097871,417,417
1521099868,415,415
1521101682,412,412
1521103488,412,412
1521105488,414,414
1521107565,410,410
1521109472,437,437
1521111399,478,478
1521113304,514,514
1521116525,565,565
1521118607,566,566
1521120973,563,563
1521122940,548,548
1521125018,503,503
1521127241,478,478
1521129185,449,449
1521131081,404,404
1521133331,385,385
1521135167,391,391
1521137116,398,398
1521139000,409,409
1521140927,432,432
1521142832,436,436
1521144757,443,443
1521146682,466,466
1521148603,466,466
1521150513,475,475
1521152441,481,481
1521154361,499,499
1521156439,501,501
1521158566,501,501
1521160644,511,511
1521162693,515,515
1521165001,518,518
1521166837,515,515
1521168800,517,517
1521170670,524,524
1521172649,526,526
1521174507,528,528
1521176540,530,530
1521178365,532,532
1521180309,533,533
1521182198,533,533
1521184186,533,533
1521186031,537,537
1521188003,550,550
1521189881,546,546
1521191830,545,545
1521193713,552,552
1521195711,527,527
1521197557,491,491
1521199483,438,438
1521201488,390,390
1521203333,373,373
1521205290,375,375
1521207161,380,380
1521211001,377,377
1521212907,378,378
1521215081,387,387
1521217000,387,387
1521218921,385,385
1521220841,382,382
1521222765,381,381
1521224686,380,380
1521226603,369,369
1521228520,374,374
1521230504,410,410
1521232371,425,425
1521234291,414,414
1521236211,411,411
1521238139,404,404
1521240040,397,397
1521241913,386,386
1521243864,389,389
1521245695,391,391
1521247504,383,383
1521249445,379,379
1521251327,374,374
1521253449,376,376
1521255382,373,373
1521257369,370,370
1521259334,369,369
1521261316,365,365
1521263302,364,364
1521265105,361,361
1521266933,362,362
1521268884,362,362
1521270764,361,361
1521272744,353,353
1521274586,340,340
1521276567,343,343
1521278440,341,341
1521280399,338,338
1521282280,334,334
1521284278,331,331
1521286104,333,333
1521288140,332,332
1521289973,331,331
1521292000,331,331
1521293804,330,330
1521295841,331,331
1521297646,333,333
1521299703,332,332
1521301597,328,328
1521303530,325,325
1521305436,323,323
1521307365,328,328
1521309291,321,321
1521311198,308,308
1521313125,299,299
1521315049,278,278
1521316981,245,245
1521318897,204,204
1521320932,204,204
1521323074,203,203
1521325013,201,201
1521326954,199,199
1521328900,192,192
1521330758,186,186
1521332668,182,182
1521334582,184,184
1521336501,182,182
