DateTime,AddedIPs,RemovedIPs
1521021872,0,4
1521022575,4,3
1521023547,8,3
1521024512,11,3
1521025482,4,7
1521026423,13,7
1521027869,4,4
1521028572,7,1
1521029322,3,6
1521030020,6,4
1521030740,5,4
1521032686,13,11
1521033374,8,0
1521034094,10,2
1521035065,8,17
1521035772,4,0
1521036515,4,18
1521037213,6,15
1521037948,4,32
1521038905,6,0
1521039614,4,13
1521040354,10,11
1521041054,4,12
1521041779,3,18
1521042485,33,17
1521043519,26,9
1521044205,24,7
1521045451,77,29
1521046366,105,4
1521047315,19,6
1521048265,142,4
1521049222,37,2
1521049933,29,8
1521050666,11,10
1521051622,5,10
1521052585,10,7
1521053293,2,2
1521054036,7,5
1521054994,20,5
1521055953,7,12
1521056657,10,0
1521057375,7,8
1521058357,2,6
1521059057,7,3
1521059786,22,5
1521060744,11,15
1521061712,1,0
1521062662,5,12
1521063635,5,12
1521064582,12,0
1521065553,3,10
1521066254,5,0
1521066976,13,3
1521067694,14,5
1521068435,13,6
1521069393,15,7
1521070954,11,15
1521071616,7,9
1521072505,30,0
1521073225,1,7
1521073943,5,8
1521074673,6,5
1521075670,3,7
1521076607,6,9
1521077731,31,4
1521078505,6,0
1521079211,7,3
1521079939,6,6
1521080679,6,9
1521081374,10,11
1521082335,7,8
1521083309,9,9
1521084258,10,11
1521084969,7,13
1521085699,2,6
1521086665,12,5
1521087370,9,4
1521088092,12,5
1521088810,4,5
1521089550,18,3
1521090506,7,12
1521091207,11,0
1521091943,2,6
1521092654,10,10
1521093381,15,4
1521094096,5,4
1521094821,13,3
1521095543,5,4
1521096260,5,4
1521096971,9,3
1521097713,5,2
1521098666,7,1
1521099620,15,2
1521100338,7,3
1521101074,3,4
1521102018,19,7
1521102741,12,0
1521103464,9,12
1521104437,6,6
1521105384,16,7
1521106343,8,9
1521107058,2,5
1521107769,4,4
1521108491,9,0
1521109217,17,3
1521109939,3,3
1521110665,7,3
1521111374,18,2
1521112108,13,2
1521112815,10,11
1521113541,9,0
1521114255,8,3
1521115005,21,12
1521116930,27,15
1521117635,5,0
1521118581,5,0
1521119306,3,3
1521120013,9,6
1521120752,6,19
1521121469,9,12
1521122172,8,0
1521122914,3,9
1521123865,6,7
1521124825,8,2
1521125782,6,2
1521126754,6,16
1521127455,5,5
1521128175,7,10
1521129153,6,5
1521152412,414,159
1521153135,8,0
1521153863,3,10
1521154828,2,10
1521155533,14,8
1521157179,9,14
1521242203,356,588
1521242891,28,0
1521243621,6,8
1521244579,5,2
1521245544,4,6
1521246503,14,3
