DateTime,AddedIPs,RemovedIPs
1521023547,91,113
1521024512,180,68
1521025482,41,79
1521026423,97,206
1521027138,41,34
1521027869,60,109
1521028572,68,42
1521029322,32,28
1521030020,61,46
1521030740,53,45
1521032686,158,282
1521033374,185,114
1521034094,55,148
1521035065,52,80
1521035772,74,82
1521036515,91,120
1521037213,94,79
1521037948,61,366
1521038905,67,148
1521039614,37,181
1521040354,197,69
1521041054,70,58
1521041779,59,36
1521042485,146,62
1521043519,116,140
1521044205,112,94
1521045451,256,74
1521046366,230,129
1521047315,127,101
1521048265,420,81
1521049222,106,126
1521049933,123,325
1521050666,138,217
1521051622,344,155
1521052585,223,66
1521053293,35,55
1521054036,78,81
1521054994,107,49
1521055953,65,67
1521056657,48,97
1521057375,81,60
1521058357,33,38
1521059057,48,30
1521059786,72,42
1521060744,49,119
1521061712,86,71
1521062662,57,42
1521063635,43,65
1521064582,63,82
1521065553,34,41
1521066254,48,61
1521066976,69,69
1521067694,72,44
1521068435,41,33
1521069393,63,69
1521070954,71,103
1521071616,33,43
1521072505,101,63
1521073225,28,38
1521073943,42,73
1521074673,39,55
1521075670,34,43
1521076607,54,74
1521077731,108,61
1521078505,33,38
1521079211,44,64
1521079939,43,62
1521080679,41,36
1521081374,49,59
1521082335,47,51
1521083309,52,47
1521084258,37,42
1521084969,41,66
1521085699,52,28
1521086665,45,54
1521087370,27,28
1521088092,59,43
1521088810,43,68
1521089550,53,37
1521090506,40,108
1521091207,122,59
1521091943,37,57
1521092654,67,86
1521093381,85,146
1521094096,84,136
1521094821,88,121
1521095543,141,69
1521096260,144,67
1521096971,62,45
1521097713,43,38
1521098666,42,51
1521099620,69,58
1521100338,59,66
1521101074,50,58
1521102018,109,52
1521102741,59,59
1521103464,45,75
1521104437,57,58
1521105384,58,50
1521106343,80,73
1521107058,29,42
1521107769,44,57
1521108491,67,36
1521109217,56,40
1521109939,36,28
1521110665,47,76
1521111374,96,99
1521112108,114,60
1521112815,66,84
1521113541,50,51
1521114255,61,65
1521115005,98,60
1521116930,104,106
1521117635,67,32
1521118581,26,105
1521119306,71,62
1521120013,91,43
1521120752,32,35
1521121469,46,96
1521122172,93,59
1521122914,51,81
1521123865,74,969
1521124825,63,265
1521125782,52,72
1521126754,74,66
1521127455,57,131
1521128175,139,47
1521129153,58,75
1521152412,1374,436
1521153135,69,51
1521153863,45,36
1521154828,29,1140
1521155533,413,53
1521157179,264,67
1521242203,762,1113
1521242891,321,75
1521243621,169,58
1521244579,140,75
1521245544,69,99
1521246503,135,58
1521247215,77,80
1521247944,74,56
1521248660,58,70
1521249376,79,53
1521250348,91,53
1521251304,79,76
1521252265,86,91
1521253218,94,67
1521254253,81,65
1521255156,53,60
1521256112,71,59
1521256811,66,58
1521257547,42,47
1521258259,54,45
1521258977,51,51
1521259951,75,66
1521260655,55,50
1521261634,56,55
1521262334,60,36
1521263065,49,63
1521264021,69,78
1521264739,71,48
1521265469,53,62
1521266172,60,55
1521266911,50,40
1521267858,56,192
1521268573,176,58
1521269302,53,66
1521270026,69,42
1521270743,38,72
1521271699,98,53
1521272660,55,68
1521273626,75,71
1521274336,62,70
1521275064,92,45
1521275773,61,58
1521276498,53,54
1521277474,96,81
1521278420,152,61
1521279135,53,56
1521279858,59,52
1521280572,56,89
1521281316,69,51
1521282258,50,55
1521283221,75,76
1521284178,69,90
1521285145,76,52
1521285855,71,48
1521286585,64,93
1521287295,105,54
1521288024,68,63
1521288993,82,63
1521289947,65,48
1521290904,70,69
1521291617,51,62
1521292354,63,61
1521293059,72,80
1521293779,88,61
1521294739,76,63
1521295711,56,64
1521296661,91,53
1521297622,49,71
1521298600,78,83
1521299550,78,104
1521300502,94,66
1521301215,64,49
1521301945,66,61
1521302660,48,56
1521303377,44,78
1521304355,209,112
1521305057,95,162
1521305780,88,93
1521306497,37,33
1521307213,84,48
1521308191,79,119
1521309139,75,68
1521310107,61,62
1521310812,39,63
1521311550,63,47
1521312258,67,57
1521312973,56,42
1521313944,60,69
1521314896,63,53
1521315865,68,83
1521316829,71,52
1521317784,66,64
1521318744,63,66
1521319455,32,45
1521320172,64,83
1521320910,75,64
1521321861,67,74
