DateTime,Entries,UniqueIPs
1520916159,10632,10632
1520917002,10634,10634
1520917853,10636,10636
1520918077,10636,10636
1520919646,10632,10632
1520920576,10533,10533
1520921451,10535,10535
1520922507,10538,10538
1520923726,10535,10535
1520924864,10534,10534
1520925255,8244,8244
1520926213,10531,10531
1520928097,10445,10445
1520928879,10463,10463
1520929864,10462,10462
1520930774,10465,10465
1520931872,10432,10432
1520933820,10385,10385
1520934951,10500,10500
1520935847,10599,10599
1520937604,10761,10761
1520938900,10852,10852
1520939741,10863,10863
1520941238,10864,10864
1520942681,10796,10796
1520943559,10802,10802
1520944788,10796,10796
1520946515,10798,10798
1520948562,10776,10776
1520950467,10765,10765
1520951738,10768,10768
1520952821,10777,10777
1520953851,10781,10781
1520954882,10805,10805
1520954911,10806,10806
1520955954,10575,10575
1520957198,10568,10568
1520957680,10572,10572
1520958518,10573,10573
1520960632,10577,10577
1520961599,10579,10579
1520962544,10568,10568
1520963736,10569,10569
1520964616,8244,8244
1520966740,10571,10571
1520967896,10557,10557
1520968837,10573,10573
1520970043,10559,10559
1520970947,10539,10539
1520971850,10547,10547
1520972916,10558,10558
1520975459,10487,10487
1520977531,8244,8244
1520978490,10519,10519
1520979350,10534,10534
1520980237,10535,10535
1520981142,10536,10536
1520982215,10540,10540
1520983249,10543,10543
1520984560,10544,10544
1520986252,10575,10575
1520988156,10507,10507
1520989430,10508,10508
1520990444,10528,10528
1520992550,10417,10417
1520993453,10418,10418
1520993672,10419,10419
1520994526,10446,10446
1520995551,10449,10449
1520997050,10428,10428
1520998462,10420,10420
1521000434,10417,10417
1521001241,10419,10419
1521002445,10410,10410
1521004551,10432,10432
1521005485,10433,10433
1521006150,10438,10438
1521006992,10440,10440
1521007852,10451,10451
1521008897,8244,8244
1521010588,10402,10402
1521011457,10405,10405
1521013205,10406,10406
1521014370,10410,10410
1521015274,10513,10513
1521016254,10403,10403
1521016989,10417,10417
1521017980,10419,10419
1521018947,10448,10448
1521019724,10485,10485
1521020742,10479,10479
1521022477,10505,10505
1521023616,10517,10517
1521024938,10528,10528
1521025843,10540,10540
1521026733,8244,8244
1521027643,10546,10546
1521029193,8244,8244
1521029698,10553,10553
1521030669,10543,10543
1521032579,10546,10546
1521033643,10560,10560
1521034969,10424,10424
1521036867,10417,10417
1521037843,10413,10413
1521038746,10413,10413
1521040253,10411,10411
1521043003,10273,10273
1521043846,10269,10269
1521045945,10267,10267
1521046898,10269,10269
1521048647,10266,10266
1521049549,10266,10266
1521051052,10265,10265
1521052108,10267,10267
1521053004,10193,10193
1521053967,10192,10192
1521054828,10206,10206
1521055706,10207,10207
1521056847,10202,10202
1521057899,10199,10199
1521058841,10201,10201
1521060038,10211,10211
1521061174,8244,8244
1521062143,10197,10197
1521063338,10197,10197
1521065448,10196,10196
1521067324,8244,8244
1521068205,10199,10199
1521069270,10198,10198
1521070258,10197,10197
1521070963,10198,10198
1521072659,10195,10195
1521073827,10197,10197
1521074704,8244,8244
1521076256,10200,10200
1521077738,10201,10201
1521079731,10193,10193
1521081761,10191,10191
1521083248,10193,10193
1521085208,10198,10198
1521087041,10192,10192
1521088987,10193,10193
