DateTime,Entries,UniqueIPs
1520389850,82,82
1520394220,81,81
1520395819,83,83
1520397665,85,85
1520400527,86,86
1520403363,87,87
1520404634,87,87
1520406984,89,89
1520410542,89,89
1520412058,89,89
1520414156,91,91
1520415130,90,90
1520419382,91,91
1520421357,90,90
1520430073,89,89
1520432251,90,90
1520435760,91,91
1520438149,88,88
1520439055,87,87
1520440973,88,88
1520442954,89,89
1520444033,88,88
1520448184,87,87
1520449005,88,88
1520452218,86,86
1520453687,86,86
1520464568,88,88
1520466377,84,84
1520467858,84,84
1520469783,88,88
1520474197,88,88
1520476343,89,89
1520478957,88,88
1520480856,90,90
1520484056,94,94
1520485727,94,94
1520494302,95,95
1520497856,96,96
1520498769,97,97
1520500548,88,88
1520502950,88,88
1520504117,89,89
1520507344,90,90
1520508864,89,89
1520511049,90,90
1520514941,92,92
1520515854,91,91
1520519584,90,90
1520521832,89,89
1520523045,82,82
1520525441,81,81
1520526672,84,84
1520527353,87,87
1520530558,87,87
1520532404,89,89
1520534563,87,87
1520536524,89,89
1520538381,88,88
1520541586,87,87
1520547295,88,88
1520548787,88,88
1520550510,89,89
1520552786,85,85
1520556058,87,87
1520560645,86,86
1520563368,87,87
1520565347,85,85
1520568912,85,85
1520569906,86,86
1520570759,88,88
1520571704,88,88
1520574197,89,89
1520575853,88,88
1520576770,90,90
1520578939,91,91
1520583280,90,90
1520588499,89,89
1520589397,91,91
1520590252,92,92
1520593454,93,93
1520600504,92,92
1520604115,93,93
1520605842,91,91
1520608487,93,93
1520610987,79,79
1520611857,79,79
1520613121,82,82
1520614980,83,83
1520616053,84,84
1520616965,85,85
1520619280,84,84
1520622959,83,83
1520630932,84,84
1520631837,84,84
1520632954,85,85
1520635265,81,81
1520636180,82,82
1520638983,82,82
1520640948,79,79
1520642608,80,80
1520645855,79,79
1520648125,83,83
1520650882,81,81
1520654145,80,80
1520656325,80,80
1520658077,82,82
1520660461,81,81
1520662520,82,82
1520664225,82,82
1520665386,84,84
1520667767,85,85
1520668586,85,85
1520669727,86,86
1520670519,87,87
1520672202,88,88
1520676882,89,89
1520680252,93,93
1520681417,92,92
1520683694,91,91
1520686876,90,90
1520687745,91,91
1520690198,92,92
1520695869,81,81
1520696752,79,79
1520698536,87,87
1520700391,86,86
1520702078,87,87
1520703100,89,89
1520703962,91,91
1520705012,90,90
1520707402,87,87
1520709280,88,88
1520710225,89,89
1520714603,91,91
1520716255,91,91
1520717515,90,90
1520720129,88,88
1520722642,87,87
1520726211,85,85
1520728892,88,88
1520736083,89,89
1520738157,88,88
1520739775,89,89
1520741764,87,87
1520743623,86,86
1520746863,86,86
1520749259,88,88
1520750494,87,87
1520753971,88,88
1520757976,89,89
1520759683,90,90
1520762208,91,91
1520764331,92,92
1520771810,91,91
1520773858,92,92
1520776124,96,96
1520779400,95,95
1520781699,96,96
1520782859,85,85
1520784963,88,88
1520785928,86,86
1520787367,87,87
1520789943,89,89
1520792112,91,91
1520795392,90,90
1520799400,91,91
1520801019,90,90
1520806536,92,92
1520809856,95,95
1520810724,97,97
1520811708,94,94
1520813758,95,95
1520814773,96,96
1520817303,99,99
1520818987,98,98
1520820423,97,97
1520823823,97,97
1520825889,96,96
1520826950,95,95
1520830248,97,97
1520831697,97,97
1520833584,97,97
1520835572,97,97
1520838883,96,96
1520840601,95,95
1520841411,96,96
1520842244,97,97
1520843780,96,96
1520845668,97,97
1520846520,98,98
1520849716,97,97
1520851296,97,97
1520857906,95,95
1520858781,97,97
1520860008,97,97
1520864022,100,100
1520866601,103,103
1520867455,99,99
1520868362,100,100
1520869299,93,93
1520870886,92,92
1520871835,96,96
1520874213,93,93
1520876758,92,92
1520880077,91,91
1520883342,90,90
1520884547,91,91
1520885455,90,90
1520889034,91,91
1520894569,92,92
1520896477,93,93
1520897445,90,90
1520901212,91,91
1520902240,93,93
1520903462,94,94
1520905406,96,96
1520908983,95,95
1520914492,96,96
1520916167,95,95
1520917863,97,97
1520919663,95,95
1520920582,95,95
1520924878,96,96
1520930781,98,98
1520933848,97,97
1520934956,98,98
1520937616,99,99
1520938913,100,100
1520939747,101,101
1520942702,100,100
1520943573,101,101
1520946521,99,99
1520951746,97,97
1520952827,98,98
1520953857,97,97
1520955968,92,92
1520957685,95,95
1520959561,94,94
1520960687,93,93
1520961619,94,94
1520962564,93,93
1520965856,93,93
