DateTime,Entries,UniqueIPs
1520957648,25852,25852
1520958488,25915,25915
1520960589,25810,25810
1520961576,25873,25873
1520962513,25726,25726
1520963707,25806,25806
1520964616,8244,8244
1520965830,25762,25762
1520966709,25835,25835
1520967857,25750,25750
1520968808,25834,25834
1520970008,25742,25742
1520970966,25681,25681
1520971810,25741,25741
1520972887,25815,25815
1520975408,25677,25677
1520977513,25642,25642
1520978462,25640,25640
1520979307,25707,25707
1520980108,25768,25768
1520981107,25673,25673
1520982183,25661,25661
1520983207,25756,25756
1520984411,25795,25795
1520984527,25801,25801
1520986209,25840,25840
1520988128,25743,25743
1520989387,25730,25730
1520990407,25816,25816
1520992510,25588,25588
1520993411,25647,25647
1520994487,25724,25724
1520995508,25624,25624
1520997007,25579,25579
1520998440,25550,25550
1521000400,25546,25546
1521001208,25588,25588
1521002407,25473,25473
1521004507,25543,25543
1521005447,25479,25479
1521006127,25545,25545
1521006967,25414,25414
1521007807,25470,25470
1521008888,25555,25555
1521010567,25271,25271
1521011424,25341,25341
1521013202,8244,8244
1521014340,25332,25332
1521015247,25478,25478
1521016209,25289,25289
1521016954,25316,25316
1521017944,25306,25306
1521018908,25407,25407
1521019687,25500,25500
1521020706,25375,25375
1521022447,25444,25444
1521023590,25414,25414
1521024907,25527,25527
1521025808,25485,25485
1521026710,25563,25563
1521027607,25442,25442
1521029170,25475,25475
1521029666,25518,25518
1521030637,25476,25476
1521032550,25478,25478
1521033607,25570,25570
1521034935,25381,25381
1521036847,25371,25371
1521037814,25312,25312
1521038707,25345,25345
1521040207,25411,25411
1521042981,25413,25413
1521043809,25360,25360
1521045908,25372,25372
1521047707,25464,25464
1521048613,25413,25413
1521049510,25431,25431
1521051008,25485,25485
1521052087,25618,25618
1521052968,25487,25487
1521053938,25421,25421
1521054804,25520,25520
1521055686,25604,25604
1521057868,25495,25495
1521058807,25566,25566
1521060006,25536,25536
1521061162,25490,25490
1521062107,25563,25563
1521063307,25504,25504
1521064566,25509,25509
1521065406,25568,25568
