DateTime,AddedIPs,RemovedIPs
1520917005,11,20
1520917859,21,3
1520918081,3,4
1520919652,34,29
1520920579,22,17
1520921456,18,1
1520922510,12,6
1520923729,26,15
1520924869,31,18
1520926222,25,24
1520927129,10,9
1520928105,2,7
1520928882,7,2
1520929878,6,9
1520930778,10,6
1520931877,9,16
1520932843,16,5
1520933823,5,15
1520934954,13,4
1520935850,21,13
1520937608,28,43
1520938904,23,16
1520939745,8,6
1520941242,15,24
1520942685,22,15
1520943569,4,5
1520944791,17,23
1520946520,8,15
1520947710,7,3
1520948568,5,17
1520951744,34,49
1520952824,12,8
1520953854,15,19
1520954890,16,4
1520955958,18,20
1520957209,21,15
1520957683,3,1
1520958522,16,3
1520959559,18,18
1520960673,16,17
1520961609,13,4
1520962548,14,27
1520963742,13,1
1520965852,39,53
1520966744,12,0
1520967901,8,25
1520968842,14,1
1520970047,8,22
1520970950,10,13
1520971853,5,0
1520972920,6,0
1520975462,41,22
1520977541,27,24
1520978494,8,22
1520979354,7,2
1520980249,9,26
1520981151,7,6
1520982221,11,17
1520983254,60,2
1520984565,58,11
1520986257,10,15
1520988160,21,17
1520989435,10,9
1520991644,18,25
1520992554,5,13
1520993458,7,2
1520994529,2,3
1520995558,7,33
1520997054,8,18
1520998466,10,16
1521000445,20,31
1521001245,4,2
1521002453,7,22
1521004555,13,11
1521005489,7,28
1521006153,9,7
1521006995,5,43
1521007857,7,1
1521010184,18,36
1521010591,7,12
1521011462,6,3
1521013208,27,23
1521014373,23,16
1521015277,21,7
1521016258,15,19
1521016992,11,5
1521017984,24,18
1521018951,18,3
1521019731,12,4
1521020745,12,33
1521022481,18,12
1521023625,11,19
1521024942,14,4
1521025848,8,27
1521027647,20,31
1521029702,37,11
1521030674,10,16
1521032588,22,24
1521033650,17,1
1521034974,15,24
1521036871,42,26
1521037848,15,23
1521038751,11,8
1521040259,19,21
1521043006,36,17
1521043852,14,18
1521045952,31,19
1521046918,8,16
1521047741,10,2
1521048658,7,20
1521049554,12,10
1521051059,23,16
1521053009,47,17
1521053979,8,17
1521054831,16,3
1521055709,9,4
1521056857,20,18
1521057903,15,10
1521058848,13,7
1521060043,16,28
1521061178,47,42
1521062149,13,3
1521063344,13,23
1521064239,15,2
1521065451,16,10
1521067331,21,24
1521068208,10,1
1521069273,13,12
1521070263,11,18
1521070971,12,2
1521072663,17,16
1521073833,8,20
1521074715,14,8
1521076506,23,12
1521077744,17,21
1521079736,22,25
1521081765,25,16
1521083259,27,7
1521085219,34,16
1521085372,2,0
1521086193,11,32
1521087045,11,4
1521088990,20,55
1521090157,9,27
1521091247,10,0
1521093331,27,55
1521094256,9,0
1521094480,2,0
1521095462,16,34
1521096165,9,9
1521097852,15,8
1521098750,6,2
1521099658,9,10
1521101461,17,9
1521101682,4,0
1521102634,11,22
1521103542,4,1
1521104191,14,26
1521105271,11,1
1521107464,23,41
1521108872,18,21
1521110565,14,18
1521111908,13,13
1521113800,23,20
1521115839,27,14
1521117337,17,16
1521119226,26,17
1521120044,11,6
1521120531,5,3
1521121772,13,12
1521123272,19,11
1521124966,17,11
1521126882,14,24
1521127724,7,1
1521128728,10,19
1521131479,23,46
1521132341,10,13
1521133853,16,12
1521135768,12,33
1521136580,4,0
1521137442,5,14
1521138655,11,23
1521139551,7,7
1521140195,13,13
1521141050,8,1
1521141943,11,4
1521143796,20,39
1521144649,5,2
1521146264,20,16
1521148263,39,26
1521149473,16,19
1521150343,9,2
1521151804,14,11
1521152912,8,1
1521152941,2,0
1521154182,14,112
1521155109,5,8
1521156038,14,3
1521157243,14,16
1521159349,13,13
1521160248,8,13
1521160964,6,4
1521162872,8,16
1521163911,7,4
1521164749,4,3
1521166484,12,13
1521167466,11,17
1521168353,6,12
1521170083,29,13
1521171062,0,9
1521171767,6,4
1521173674,12,11
1521174656,4,9
1521175552,7,5
1521177305,13,8
1521178253,3,7
1521179161,7,8
1521180463,13,14
1521181853,12,17
1521182802,15,11
1521183408,8,2
1521184481,4,24
1521186174,12,31
1521187083,12,27
1521188095,9,3
1521189279,15,26
1521191686,28,20
1521192665,9,18
1521193556,9,4
1521195035,19,16
1521196111,11,7
1521197156,14,24
1521198905,13,24
1521199737,12,1
1521200552,14,32
1521201392,12,3
1521202251,10,9
1521203145,11,0
1521204177,12,19
1521204995,7,1
1521206913,15,34
1521207764,18,28
1521209458,15,15
1521212152,55,41
1521213057,15,18
1521213880,18,3
1521214953,25,30
1521216947,33,10
1521218566,30,21
1521220253,16,16
1521221331,12,2
1521222589,11,34
1521224443,16,29
1521225643,25,25
1521227449,33,15
1521228341,19,3
1521229376,16,15
1521231056,15,48
1521232241,16,25
1521233167,24,2
1521233790,14,18
1521234626,8,4
1521234881,7,0
1521236206,26,26
1521237390,15,16
1521238255,9,1
1521242086,63,31
1521243061,27,17
1521243949,14,3
1521244902,13,21
1521245752,21,2
1521246922,24,34
1521248475,47,16
1521249349,5,2
1521250847,22,18
1521252649,29,21
1521252871,2,0
1521257108,38,38
1521258044,6,21
1521258930,12,10
1521259835,8,3
1521260747,10,5
1521261761,14,23
1521263449,19,7
1521267043,21,45
1521268952,21,21
1521270881,11,10
1521271860,9,13
1521274256,31,17
1521275467,8,20
1521276341,6,7
1521277592,16,13
1521278446,7,0
1521279764,12,20
1521280673,3,2
1521281747,12,14
1521282733,22,14
1521283556,11,10
1521285047,26,12
1521286999,13,13
1521287790,10,21
1521288641,12,0
1521289695,9,1
1521291913,26,34
1521292851,11,2
1521293335,5,1
1521294557,10,11
1521296106,5,8
1521297018,5,13
1521297779,7,6
1521299329,10,14
1521300304,5,0
1521301368,6,18
1521303358,13,21
1521304530,7,14
1521305448,4,1
1521306439,12,7
1521308792,18,9
1521312197,41,46
1521314076,13,14
1521315004,8,17
1521316005,8,8
1521316910,15,20
1521317754,19,2
1521318893,20,36
1521322257,41,29
1521324647,25,17
1521326143,20,14
1521327296,9,9
1521328259,9,1
1521330343,23,14
1521331160,6,4
1521332144,15,2
1521333022,12,8
1521333954,15,3
1521334599,15,11
1521335462,19,0
1521337247,20,24
1521339054,12,13
1521340965,22,22
1521342481,15,10
1521345097,19,9
1521345399,3,8
1521346254,4,2
1521346481,1,0
1521347601,7,13
1521349852,14,13
1521351778,24,21
1521353397,16,19
1521355364,10,16
1521356190,4,25
1521357058,7,4
1521358523,15,28
1521360644,26,20
1521361604,12,4
1521363409,25,17
1521364260,5,19
1521365135,15,3
1521366180,15,16
1521367508,25,10
1521368448,23,5
1521369348,11,18
1521371705,34,22
1521372519,5,2
1521374560,33,44
1521375418,8,0
1521376244,18,16
1521377159,8,17
1521377792,5,11
1521378643,6,1
1521379880,6,19
1521380742,3,17
1521381967,15,26
1521383311,15,2
1521384137,7,34
1521385143,11,33
1521386005,4,1
1521387019,11,26
1521387954,9,12
1521389333,6,20
1521390780,18,19
1521392143,8,6
1521393051,7,16
1521394853,14,32
1521396136,17,19
1521396882,15,5
1521398458,21,51
1521400209,19,13
1521401143,8,2
1521404079,44,48
1521405098,39,22
1521405966,15,15
1521406606,8,1
1521409274,51,46
1521411052,15,19
1521413858,42,72
1521414987,15,3
1521416037,12,29
1521417335,9,49
1521418248,11,4
1521419661,16,19
1521420632,17,3
1521421733,23,23
1521422919,23,6
1521423995,13,24
1521424597,9,9
1521425720,10,2
1521426927,16,18
1521429321,25,21
1521430851,23,24
1521432904,21,13
1521434272,13,22
1521435799,9,14
1521436883,13,5
1521438165,18,17
1521440122,24,14
1521441059,10,14
1521442550,22,17
1521443686,13,1
1521444726,20,13
1521445588,4,2
1521446568,12,17
1521448567,18,10
1521449808,19,9
1521450657,11,2
1521451524,12,3
1521452472,10,37
1521453414,12,2
1521454563,10,21
1521455494,6,15
1521456437,11,2
1521457857,11,18
1521458907,10,2
1521459793,13,20
1521461250,11,15
1521462098,9,1
1521463212,17,22
1521464547,10,13
1521465479,8,0
1521466135,5,1
1521466959,8,12
1521468878,18,14
1521470474,20,13
1521472251,13,9
1521473336,8,1
1521474396,7,13
1521475466,15,8
1521476482,13,2
1521477404,15,16
1521477804,6,1
1521478597,7,5
1521479461,4,20
1521480357,15,0
1521482707,32,37
1521483279,10,1
1521484118,13,1
1521486229,32,38
1521488170,18,36
1521490890,58,28
1521491766,19,20
1521492645,19,4
1521494078,40,10
1521495705,38,18
1521497618,41,13
1521499213,20,24
1521501338,50,11
1521502287,16,22
1521504661,48,29
1521505683,17,2
1521506785,18,22
1521507826,14,19
1521508874,26,3
1521510069,28,20
1521511387,17,17
1521512084,19,2
1521512933,11,1
1521513962,23,22
1521515207,22,18
1521516039,14,1
1521517267,11,14
1521519286,49,9
1521520365,23,8
1521522557,33,34
1521523512,8,0
1521524474,16,7
1521525399,21,5
1521526495,23,1
1521527507,22,14
1521528162,15,0
1521530117,34,24
1521531303,22,23
1521533697,45,23
1521536197,43,32
1521537338,27,19
1521538316,16,39
1521540938,51,30
1521541850,31,12
1521542574,25,10
1521543590,15,19
1521544527,27,7
