DateTime,AddedIPs,RemovedIPs
1520320561,0,2
1520322641,0,1
1520323625,0,1
1520329495,0,1
1520330997,0,1
1520333453,2,0
1520334877,1,0
1520336164,1,2
1520338255,0,1
1520340055,0,1
1520342088,0,1
1520344608,2,0
1520346768,0,1
1520349303,3,0
1520350208,0,1
1520353807,1,0
1520355412,0,1
1520356440,1,0
1520358065,1,0
1520362793,1,1
1520366011,2,1
1520367304,1,1
1520372762,1,0
1520374095,1,0
1520376173,1,0
1520378176,0,1
1520379749,0,1
1520380667,1,0
1520381548,0,1
1520384227,0,1
1520385386,2,0
1520386362,1,0
1520389845,0,1
1520390582,1,0
1520398569,2,0
1520400526,1,0
1520403362,0,1
1520404632,0,5
1520406003,1,0
1520408481,1,0
1520412057,0,1
1520415125,0,1
1520417685,1,0
1520419381,0,1
1520426747,0,1
1520427810,0,1
1520430068,2,0
1520432244,1,0
1520433277,0,1
1520433766,2,0
1520434871,1,0
1520439054,0,2
1520446241,1,0
1520448183,0,1
1520449004,1,2
1520450078,1,0
1520453686,1,0
1520454936,0,2
1520457365,0,1
1520458253,3,1
1520459790,1,1
1520460653,1,0
1520464562,2,0
1520467857,1,1
1520469782,0,1
1520471738,0,1
1520474196,1,0
1520476328,1,0
1520478956,1,0
1520479863,0,1
1520480845,1,0
1520482504,1,0
1520485716,1,0
1520493273,1,0
1520495171,1,1
1520496149,0,1
1520502949,1,2
1520507338,0,1
1520512205,0,1
1520514935,0,1
1520515850,0,2
1520517402,0,1
1520519570,1,0
1520521013,2,0
1520523044,0,1
1520525428,0,2
1520526660,2,0
1520527352,1,1
1520529337,2,0
1520532391,0,1
1520533323,1,0
1520534562,0,1
1520536512,0,1
1520538370,0,1
1520539499,1,0
1520540478,1,1
1520541585,0,1
1520544697,0,3
1520545574,2,0
1520546539,0,1
1520551722,1,0
1520556057,1,2
1520556949,0,1
1520559088,0,1
1520560644,1,1
1520566294,0,2
1520568911,0,2
1520569899,0,2
1520571698,1,0
1520572590,1,0
1520579714,1,0
1520581394,0,1
1520584879,1,0
1520587277,0,1
1520589396,1,0
1520598603,0,1
1520600496,0,1
1520601395,1,0
1520602980,0,1
1520604113,0,1
1520606853,1,0
1520608486,1,0
1520611856,1,0
1520613115,1,1
1520614974,0,1
1520616963,1,0
1520619279,1,1
1520620978,0,2
1520622958,0,1
1520624592,2,0
1520626562,3,1
1520628058,1,1
1520630144,1,0
1520631831,1,2
1520635258,0,2
1520636179,2,1
1520638982,1,1
1520642601,3,0
1520643411,1,1
1520648117,0,2
1520650878,0,2
1520654144,0,1
1520656320,1,1
1520658068,0,2
1520662519,0,1
1520665385,0,1
1520667766,1,0
1520668585,0,1
1520672202,0,3
1520683687,3,1
1520686875,0,1
1520690197,1,2
1520690538,1,0
1520693804,1,0
1520696751,1,0
1520698533,1,1
1520702078,1,0
1520703093,0,1
1520705005,0,1
1520705962,1,0
1520707396,1,0
1520709279,1,0
1520714597,0,1
1520717509,1,2
1520720122,1,0
1520722641,0,1
1520728880,2,0
1520729775,0,1
1520732458,1,1
1520749258,1,0
1520750486,0,1
1520753970,3,1
1520757076,10,1
1520759682,7,0
1520764330,0,1
1520768301,0,1
1520769862,1,0
1520771809,0,1
1520772667,1,0
1520776123,1,0
1520779393,2,0
1520782858,0,1
1520785913,1,0
1520788503,5,0
1520789942,1,0
1520791010,0,1
1520792111,0,1
1520795391,0,2
1520799386,0,1
1520800317,0,1
1520801012,0,1
1520804730,4,0
1520806527,1,2
1520807321,1,0
1520811700,1,1
1520813754,1,0
1520817302,1,0
1520818986,1,0
1520820414,1,0
1520821290,1,0
1520825887,2,0
1520830247,0,1
1520831696,0,1
1520835571,1,0
1520838882,0,1
1520845649,0,1
1520849460,1,0
1520852186,1,0
1520854325,0,1
1520855740,1,0
1520862179,2,1
1520867454,0,2
1520869298,0,1
1520871834,1,0
1520874890,1,0
1520876757,0,2
1520880074,0,1
1520880952,1,0
1520883341,1,0
1520887598,0,1
1520889033,1,0
1520892872,1,0
1520897442,1,2
1520901210,2,1
1520905405,0,1
1520907276,2,1
1520910873,1,0
1520914491,1,0
1520916166,1,0
1520917006,1,0
1520917860,0,1
1520922604,0,1
1520923732,1,0
1520924874,0,1
1520926226,0,5
1520927139,1,15
1520928109,1,0
1520933842,1,0
1520937615,1,0
1520938911,0,1
1520946520,0,1
