DateTime,Entries,UniqueIPs
1520919625,5101,5101
1520920568,5089,5089
1520921427,5093,5093
1520922499,5106,5106
1520923718,5079,5079
1520924839,5066,5066
1520926974,5078,5078
1520928022,5061,5061
1520928866,5065,5065
1520929855,5042,5042
1520930760,5046,5046
1520931857,5038,5038
1520932816,5057,5057
1520933811,5045,5045
1520934944,5060,5060
1520935833,5032,5032
1520937596,5028,5028
1520938884,5022,5022
1520939727,5038,5038
1520941225,5028,5028
1520942662,5025,5025
1520943540,5037,5037
1520944780,5031,5031
1520946500,5028,5028
1520947699,5042,5042
1520948546,5017,5017
1520950459,5016,5016
1520951725,4993,4993
1520952814,5009,5009
1520953834,4993,4993
1520954903,5011,5011
1520955941,5004,5004
1520957173,4979,4979
1520957667,4985,4985
1520958505,4998,4998
1520960607,4959,4959
1520961591,4969,4969
1520962531,4943,4943
1520963719,4968,4968
1520966725,4951,4951
1520967880,4916,4916
1520968824,4940,4940
1520970027,4914,4914
1520970983,4898,4898
1520971827,4914,4914
1520972904,4925,4925
1520975431,4907,4907
1520978477,4865,4865
1520979329,4874,4874
1520980218,4859,4859
1520981133,4861,4861
1520982201,4849,4849
1520983231,4858,4858
1520984545,4843,4843
1520986228,4844,4844
1520988144,4807,4807
1520989405,4802,4802
1520990425,4811,4811
1520992528,4791,4791
1520993430,4806,4806
1520994507,4818,4818
1520995532,4801,4801
1520997035,4796,4796
1521001226,4801,4801
1521002430,4804,4804
1521004526,4822,4822
1521005475,4825,4825
1521006142,4832,4832
1521006984,4799,4799
1521007830,4816,4816
1521010154,4806,4806
1521010580,4769,4769
1521011442,4782,4782
1521014357,4768,4768
1521015266,4780,4780
1521016233,4766,4766
1521016976,4766,4766
1521017965,4756,4756
1521018927,4775,4775
1521019708,4783,4783
1521020724,4766,4766
1521022465,4778,4778
1521023603,4772,4772
1521024924,4799,4799
1521025826,4800,4800
1521026727,4822,4822
1521027626,4795,4795
1521029188,4819,4819
1521029682,4835,4835
1521030662,4818,4818
1521032566,4818,4818
1521033626,4851,4851
1521034957,4834,4834
1521036860,4836,4836
1521037830,4819,4819
1521038729,4822,4822
1521040229,4844,4844
1521042995,4879,4879
1521043825,4862,4862
1521045929,4863,4863
1521046878,4868,4868
1521047725,4885,4885
1521048638,4871,4871
1521049532,4883,4883
1521051034,4902,4902
1521052100,4965,4965
1521052984,4930,4930
1521053951,4928,4928
1521054821,4941,4941
1521055698,4957,4957
1521056834,4908,4908
1521057884,4907,4907
1521058824,4923,4923
1521060020,4909,4909
1521062126,4927,4927
1521063325,4915,4915
1521064583,4913,4913
1521065434,4928,4928
1521068197,4961,4961
1521069262,4947,4947
1521070245,4945,4945
1521070946,4964,4964
1521072631,4967,4967
1521073754,4984,4984
1521076228,4974,4974
1521077724,4975,4975
1521079708,4970,4970
1521081748,4974,4974
1521083231,4970,4970
1521085195,4963,4963
1521086181,4956,4956
1521087026,4966,4966
1521088940,4964,4964
1521090128,4964,4964
1521091218,5011,5011
1521092433,5003,5003
1521093320,4992,4992
1521094227,5004,5004
1521094464,5007,5007
1521095441,5000,5000
1521096145,5013,5013
1521097834,5037,5037
1521098727,5050,5050
1521099630,5034,5034
1521100520,5006,5006
1521101428,5016,5016
1521101665,5025,5025
1521102555,5037,5037
1521103524,5019,5019
1521104180,5006,5006
1521105259,5017,5017
1521107453,5006,5006
1521108861,5003,5003
1521109737,5016,5016
1521110540,4990,4990
1521111879,4995,4995
1521112825,5010,5010
1521113789,4998,4998
1521116425,5024,5024
1521117320,5007,5007
1521119204,5018,5018
1521120025,5023,5023
1521120507,5030,5030
1521121761,5015,5015
1521123260,5021,5021
1521124946,5027,5027
1521126859,5035,5035
1521127704,5055,5055
1521128704,5059,5059
1521131461,5043,5043
1521132324,5063,5063
1521133827,5062,5062
1521135748,5081,5081
1521136571,5088,5088
1521137430,5091,5091
1521138634,5070,5070
1521139528,5085,5085
1521140179,5087,5087
1521141033,5097,5097
1521141921,5115,5115
1521143785,5094,5094
1521144626,5118,5118
1521146253,5137,5137
1521148234,5147,5147
1521149455,5147,5147
1521150320,5149,5149
1521151780,5171,5171
1521152923,5187,5187
1521154158,5171,5171
1521155087,5166,5166
1521156017,5184,5184
1521157220,5198,5198
1521159324,5216,5216
1521160234,5215,5215
1521160950,5227,5227
1521162860,5238,5238
1521164726,5235,5235
1521166467,5247,5247
1521167443,5228,5228
1521168328,5226,5226
1521170067,5225,5225
1521171048,5202,5202
1521171746,5189,5189
1521173662,5195,5195
1521174637,5175,5175
1521175534,5178,5178
1521177042,5182,5182
1521178230,5173,5173
1521179136,5170,5170
1521180438,5191,5191
1521181840,5181,5181
1521182772,5184,5184
1521183383,5194,5194
1521184464,5199,5199
1521186154,5194,5194
1521187057,5206,5206
1521188066,5215,5215
1521189254,5205,5205
1521191667,5198,5198
1521192641,5172,5172
1521193531,5191,5191
1521194992,5171,5171
1521196100,5197,5197
1521197129,5143,5143
1521198625,5129,5129
1521199709,5155,5155
1521200539,5144,5144
1521201380,5151,5151
1521202230,5143,5143
1521203123,5169,5169
1521204148,5141,5141
1521204985,5168,5168
1521205837,5148,5148
1521206899,5162,5162
1521207746,5141,5141
1521209432,5147,5147
1521211223,5109,5109
1521212133,5129,5129
1521213030,5122,5122
1521213851,5142,5142
1521216070,5084,5084
1521216929,5099,5099
1521218546,5073,5073
1521220226,5090,5090
1521221306,5117,5117
1521222578,5062,5062
1521223509,5060,5060
1521224420,5088,5088
1521225619,5065,5065
1521227433,5072,5072
1521228511,5094,5094
1521229352,5072,5072
1521231030,5092,5092
1521232222,5106,5106
1521233141,5122,5122
1521233779,5103,5103
1521234599,5125,5125
1521234866,5131,5131
1521236173,5090,5090
1521237379,5077,5077
1521238233,5099,5099
1521242070,5097,5097
1521243041,5078,5078
1521243929,5096,5096
1521244875,5087,5087
1521245728,5097,5097
1521248410,5080,5080
1521249324,5093,5093
1521250823,5081,5081
1521252630,5068,5068
1521252860,5069,5069
1521257097,5077,5077
1521258026,5050,5050
1521258919,5034,5034
1521260729,5063,5063
1521261745,5006,5006
1521263426,5001,5001
1521265348,5021,5021
1521267026,5011,5011
1521268941,5013,5013
1521270865,5025,5025
1521271834,5005,5005
1521272726,5029,5029
1521274460,5037,5037
1521275451,5030,5030
1521276320,5025,5025
1521278415,5043,5043
1521279745,5022,5022
1521280663,5034,5034
1521281719,5010,5010
1521282698,4987,4987
1521283530,4990,4990
1521285029,4982,4982
1521286099,4991,4991
1521286978,4967,4967
1521287779,4969,4969
1521288625,4983,4983
1521289671,5011,5011
1521292830,5031,5031
1521293313,5038,5038
1521294529,5002,5002
1521295835,5012,5012
1521296702,5021,5021
1521297630,4991,4991
1521299309,5033,5033
1521300264,5047,5047
1521301217,5024,5024
1521301349,5028,5028
1521303318,5037,5037
1521304510,5019,5019
1521305419,5042,5042
1521306414,5004,5004
1521307734,5029,5029
1521308727,5037,5037
1521310250,5014,5014
1521312157,5022,5022
1521314063,5025,5025
1521314911,5039,5039
1521315982,5009,5009
1521316877,5012,5012
1521317733,5022,5022
1521318883,5020,5020
1521321323,5036,5036
1521322239,5026,5026
1521323133,5048,5048
1521323779,5033,5033
1521324631,5050,5050
1521326119,5014,5014
1521327234,5030,5030
1521328235,5002,5002
1521329308,5020,5020
1521330321,4976,4976
1521331149,4968,4968
1521332126,4987,4987
1521333929,4981,4981
1521334583,4969,4969
1521335438,4978,4978
1521337224,4972,4972
1521339031,4991,4991
1521340949,4996,4996
1521342471,4982,4982
1521345384,4979,4979
1521346233,4995,4995
1521346465,4999,4999
1521347558,4991,4991
1521349827,4973,4973
1521351747,4956,4956
1521353385,4958,4958
1521355347,4929,4929
1521356179,4928,4928
1521357031,4943,4943
1521358502,4933,4933
1521360626,4946,4946
1521361568,4974,4974
