DateTime,Entries,UniqueIPs
1521133892,6344,6344
1521134612,6344,6344
1521135572,6338,6338
1521136292,6337,6337
1521137072,6337,6337
1521137734,6338,6338
1521138452,6339,6339
1521139171,6340,6340
1521139891,6339,6339
1521140852,6338,6338
1521141572,6336,6336
1521142292,6334,6334
1521143012,6332,6332
1521143733,6328,6328
1521144452,6328,6328
1521145171,6336,6336
1521145892,6335,6335
1521146611,6334,6334
1521147332,6329,6329
1521148053,6326,6326
1521149071,6323,6323
1521149973,6320,6320
1521150692,6313,6313
1521151411,6314,6314
1521152132,6311,6311
1521152851,6309,6309
1521153572,6309,6309
1521154292,6315,6315
1521155012,6322,6322
1521156691,6325,6325
1521157892,6319,6319
1521158611,6319,6319
1521159572,6326,6326
1521160592,6322,6322
1521161491,6320,6320
1521162091,6323,6323
1521163052,6319,6319
1521163711,6320,6320
1521164371,6321,6321
1521165332,6320,6320
1521166052,6325,6325
1521166771,6326,6326
1521167492,6328,6328
1521168092,6327,6327
1521168691,6328,6328
1521169412,6327,6327
1521170133,6315,6315
1521171092,6304,6304
1521171812,6303,6303
1521172532,6301,6301
1521173252,6300,6300
1521173972,6295,6295
1521174752,6294,6294
1521175422,6293,6293
1521176373,6297,6297
1521177092,6300,6300
1521177933,6305,6305
1521178773,6309,6309
1521179492,6312,6312
1521180212,6310,6310
1521181052,6309,6309
1521181651,6312,6312
1521182613,6308,6308
1521183572,6307,6307
1521184652,6280,6280
1521185493,6224,6224
1521186452,6223,6223
1521187173,6194,6194
1521187892,6198,6198
1521188493,6164,6164
1521189092,6137,6137
1521189812,6127,6127
1521190533,6108,6108
1521191252,6098,6098
1521192211,5093,5093
1521193171,5089,5089
1521194131,5082,5082
1521195093,5072,5072
1521196051,5075,5075
1521196832,5069,5069
1521197492,5072,5072
1521198211,5074,5074
1521198932,5081,5081
1521199893,5081,5081
1521200611,5086,5086
1521201453,5081,5081
1521202052,5084,5084
1521202772,5091,5091
1521203491,5074,5074
1521204212,5081,5081
1521204933,5078,5078
1521205892,5089,5089
1521206612,5093,5093
1521207332,5099,5099
1521208052,5103,5103
1521208773,5099,5099
1521209492,5100,5100
1521210212,5103,5103
1521210932,5110,5110
1521211651,5110,5110
1521212371,5109,5109
1521213091,5106,5106
1521213812,5105,5105
1521214534,5085,5085
1521215492,5081,5081
1521216452,5076,5076
1521217412,5079,5079
1521218371,5073,5073
1521219333,5085,5085
1521220292,5081,5081
1521221253,5082,5082
1521221972,5085,5085
1521222691,5085,5085
1521223412,5085,5085
1521224131,5083,5083
1521225092,5077,5077
1521225813,5077,5077
1521226531,5076,5076
1521227492,5073,5073
1521228211,5079,5079
1521228932,5077,5077
1521229892,5074,5074
1521230852,5069,5069
1521231573,5056,5056
1521232292,5054,5054
1521233011,5050,5050
1521233731,5046,5046
1521234691,5042,5042
1521235411,5040,5040
1521236132,5038,5038
1521236852,5034,5034
1521237573,5034,5034
1521238533,5034,5034
1521239492,5036,5036
1521240452,5028,5028
1521242131,5020,5020
1521242851,5022,5022
1521243571,5020,5020
1521244532,5019,5019
1521245492,5014,5014
1521246453,5011,5011
1521247171,5014,5014
1521247892,5012,5012
1521248612,5010,5010
1521249331,5006,5006
1521250291,4999,4999
1521251253,4995,4995
1521252212,4996,4996
1521253173,4994,4994
1521254191,4993,4993
1521255092,4995,4995
1521256052,4995,4995
1521256771,4999,4999
1521257492,4993,4993
1521258212,4993,4993
1521258932,4993,4993
1521259891,4992,4992
1521260612,4993,4993
1521261571,4994,4994
1521262234,4990,4990
1521263012,4984,4984
1521263972,4976,4976
1521264692,4974,4974
1521265412,4974,4974
1521266131,4979,4979
1521266852,4980,4980
1521267811,4980,4980
1521268531,4973,4973
1521269251,4975,4975
1521269973,4977,4977
1521270692,4975,4975
1521271652,4979,4979
1521272611,4979,4979
1521273572,4973,4973
1521274293,4974,4974
1521275012,4972,4972
1521275732,4973,4973
1521276452,4981,4981
1521277412,4995,4995
1521278372,5007,5007
1521279092,5005,5005
1521279812,5001,5001
1521280532,5000,5000
1521281252,4996,4996
1521282213,4993,4993
1521283172,4983,4983
1521284133,4972,4972
1521285092,4970,4970
1521285812,4971,4971
1521286533,4969,4969
1521287251,4971,4971
1521287972,4977,4977
1521288933,4964,4964
1521289892,4961,4961
1521290851,4966,4966
1521291572,4967,4967
1521292292,4961,4961
1521293012,4956,4956
1521293731,4948,4948
1521294692,4943,4943
1521295652,4947,4947
