DateTime,Entries,UniqueIPs
1510110119,11692,11982
1510132360,11886,12182
1510154466,12274,12578
1510176511,12452,12761
1510198427,12589,12901
1510220471,12869,13182
1510242759,12569,12868
1510264837,12423,12718
1510286903,12360,12652
1510308747,12391,12684
1510330598,12186,12475
1510352722,12163,12453
1510374766,12238,12530
1510396838,12142,12432
1510418680,12098,12386
1510440729,11932,12222
1510462597,11806,12095
1510484676,11712,12001
1510506743,11744,12034
1510528827,11886,12174
1510550671,11958,12248
1510572750,12131,12425
1510594594,12307,12604
1510616675,12545,12848
1510638658,12797,13100
1510660596,12933,13234
1510682692,12980,13277
1510704750,12999,13300
1510726849,12986,13291
1510748911,12935,13246
1510770881,12923,13232
1510792821,12832,13139
1510814666,12638,12947
1510836672,12722,13031
1510858593,12926,13237
1510880491,12904,13214
1510902507,12892,13204
1510924367,12867,13171
1510946223,13011,13314
1510968263,13080,13385
1510990464,13144,13451
1511012677,13017,13327
1511035046,12781,13085
1511056892,12754,13059
1511078905,12741,13052
1511100752,12795,13104
1511122965,12756,13061
1511144896,12665,12974
1511166754,12720,13028
1511188693,2859,2899
1511210657,2896,2934
1511232505,12857,13170
1511254523,12889,13201
1511276446,12875,13185
1511298521,12936,13250
1511320752,13135,13452
1511342655,13146,13464
1511364518,13272,13589
1511386363,13387,13707
1511408452,13310,13621
1511430531,13329,13644
1511452386,13335,13653
1511474443,13083,13392
1511496475,12852,13155
1511518373,12835,13135
1511540444,12641,12938
1511562500,12374,12666
1511584599,12299,12592
1511606678,12141,12431
1511628751,12019,12309
1511650844,12038,12325
1511672975,11962,12249
1511694994,11844,12132
1511717361,11810,12101
1511739755,11783,12078
1511761964,11721,12013
1511784060,12039,12337
1511805962,12267,12566
1511827986,12742,13053
1511850043,12939,13257
1511871909,13238,13557
1511893972,13564,13894
1511916022,13755,14086
1511937874,13825,14160
1511959802,13854,14185
1511981793,13915,14252
1512003884,13789,14121
1512025967,13879,14213
1512048036,13905,14244
1512070113,13888,14228
1512091968,14004,14344
1512113827,14303,14651
1512136313,14328,14673
1512158217,14137,14472
1512180285,14021,14355
1512202373,13818,14145
1512224459,13628,13948
1512246345,13427,13737
1512268391,13210,13510
1512290678,12802,13091
1512312764,12786,13082
1512334728,12972,13267
1512356911,13033,13332
1512378754,13288,13589
1512400826,13444,13749
1512422934,13650,13962
1512444797,13801,14121
1512466810,13982,14308
1512488670,14048,14375
1512510522,13958,14280
1512532381,13773,14092
1512554454,13471,13791
1512576524,13364,13686
1512602940,13103,13421
1512625244,12789,13101
1512647582,12636,12942
1512669665,12352,12654
1512691704,12308,12608
1512713547,12367,12669
1512735437,12402,12703
1512757489,12227,12525
1512779342,12256,12554
1512801402,12279,12579
1512823487,12206,12506
1512845329,12255,12550
1512867229,12389,12689
1512889289,12526,12830
1512911569,12800,13108
1512933436,12977,13286
1512955469,13124,13431
1512977573,13367,13675
1512999643,13722,14034
1513021717,13827,14142
1513043561,13914,14232
1513065430,13875,14197
1513087288,13654,13974
1513186390,14202,14535
1513208538,14180,14516
1513230550,14106,14448
1513252858,14090,14433
1513274708,14255,14603
1513297317,14613,14971
1513319329,14926,15294
1513341649,15338,15723
1513363966,13981,14317
1513386274,13913,14245
1513408372,13930,14261
1513430452,13957,14292
1513452948,13912,14248
1513475080,13813,14141
1513497184,13768,14093
1513519305,13561,13875
1513541292,13519,13836
1513563164,13716,14037
1513585016,13751,14074
1513606973,13772,14099
1513629167,13755,14086
1513651245,13843,14172
1513673565,13879,14210
1513695973,13919,14246
1513718207,13812,14140
1513740119,13668,13994
1513762079,13670,14001
1513783979,13810,14140
1513806021,13852,14186
1513827883,13739,14070
1513849973,13759,14088
1513872310,13880,14210
1513894162,13991,14323
1513916201,14066,14400
1513938227,14049,14384
1513960124,13968,14305
1513982206,13835,14169
1514004262,13720,14051
1514026112,13542,13865
1514048033,13205,13526
1514070204,12955,13270
1514092107,12762,13068
1514114046,12583,12887
1514136261,12290,12583
1514159255,12265,12558
1514181402,12231,12526
1514203843,12287,12584
1514225791,12205,12501
1514247862,12234,12529
1514269970,12155,12450
