DateTime,AddedIPs,RemovedIPs
1518952086,177,130
1518957843,89,76
1518961923,99,96
1518963846,173,154
1518971525,100,99
1518977284,163,171
1518981125,102,92
1518986887,93,119
1518990725,145,184
1518997205,100,96
1519002964,159,203
1519008723,152,147
1519014485,95,114
1519020243,191,229
1519026005,110,75
1519027924,100,74
1519031764,87,81
1519037764,90,78
1519041844,152,140
1519047844,157,153
1519055523,85,88
1519061763,158,138
1519065604,116,91
1519069445,104,93
1519074724,99,101
1519076644,86,120
1519078805,120,118
1519082884,86,102
1519086963,76,131
1519090805,200,183
1519096564,81,70
1519100644,156,236
1519108325,101,104
1519114085,107,89
1519117925,159,129
1519123683,90,82
1519125844,82,73
1519131843,156,129
1519137604,98,86
1519143364,159,159
1519147443,94,89
1519154165,223,158
1519160164,173,177
1519169043,172,197
1519173604,72,159
1519175523,158,123
1519179362,101,86
1519185126,136,186
1519192815,192,216
1519198803,128,80
1519204564,153,144
1519208643,97,80
1519214883,145,138
1519218963,92,83
1519225215,157,126
1519231444,102,79
1519235283,83,97
1519237207,95,98
1519241286,111,79
1519245366,111,120
1519249205,98,132
1519253286,143,196
1519261684,193,214
1519265525,115,106
1519269844,76,94
1519275622,186,220
1519281363,89,108
1519287604,188,134
1519291683,165,143
1519301284,147,134
1519305124,89,85
1519311617,154,142
1519317603,96,167
1519319523,135,94
1519325524,133,91
1519327444,112,85
1519335364,155,188
1519339444,102,109
1519345443,134,193
1519349286,128,95
1519353124,97,95
1519356965,136,192
1519366804,188,205
1519370643,121,91
1519372564,99,84
1519378323,100,69
1519382163,84,91
1519386244,149,130
1519393923,164,138
1519402084,87,91
1519404005,98,97
1519406164,87,87
1519411925,183,177
1519417926,107,116
1519423684,187,183
1519428486,141,197
1519434244,114,112
1519441924,152,184
1519445764,86,113
1519449844,108,123
1519455362,181,154
1519461364,94,73
1519467363,174,145
1519471442,83,77
1519476483,102,97
1519478642,95,94
1519484885,173,141
1519490884,152,159
1519496644,99,87
1519500725,156,171
1519508403,78,108
1519513687,166,185
1519517764,79,90
1519521603,123,105
1519527365,138,162
1519533363,97,112
1519537204,168,207
1519543443,112,79
1519549214,161,121
1519556884,157,138
1519562644,170,146
1519568404,93,81
1519574163,82,88
1519578247,151,145
1519584243,171,157
1519590004,108,104
1519594324,90,116
1519600324,160,205
1519606324,83,134
1519608243,144,126
1519612325,97,84
1519614244,64,97
1519618085,98,116
1519623844,170,197
1519631523,116,66
1519633445,97,78
1519639218,156,131
1519646884,161,127
1519655284,168,172
1519660324,181,176
1519666323,104,100
1519670163,98,121
1519676889,196,167
1519680724,96,119
1519682643,105,102
1519690325,134,222
1519694163,121,111
1519700164,147,164
1519704020,97,113
1519711683,181,203
1519719605,189,132
1519723445,88,85
1519727765,94,77
1519731605,86,73
1519735685,75,78
1519739764,156,148
1519745764,149,129
1519754644,162,154
1519760645,115,152
1519766643,240,247
1519770485,111,121
1519775284,96,152
1519779364,97,155
1519783214,265,190
1519790883,161,248
1519794724,136,153
1519802643,225,188
1519810326,188,171
1519814163,116,100
1519818004,106,101
1519823764,88,92
1519825683,210,201
1519831442,108,121
1519836003,100,100
1519839844,118,120
1519843922,236,220
1519849926,146,128
1519853763,187,220
1519860485,121,142
1519864564,82,151
1519870323,377,230
1519876083,180,211
1519883764,200,236
1519889524,259,188
1519897203,128,101
1519901045,99,82
1519902963,116,94
1519908724,99,97
1519912564,186,180
1519920243,192,186
1519928164,236,210
1519933923,227,200
1519942569,118,143
1519944965,195,245
1519952882,232,211
1519960563,188,166
1519966326,80,84
1519968244,88,118
1519974009,196,155
1519980004,101,75
1519981923,88,72
1519989603,82,94
1519992486,76,87
1519994403,154,115
1520002083,144,139
1520008084,96,86
1520013845,165,163
1520021524,91,89
1520023444,111,99
