DateTime,Entries,UniqueIPs
1518952086,5907,5907
1518957843,5920,5920
1518961923,5923,5923
1518963846,5942,5942
1518971525,5943,5943
1518977284,5935,5935
1518981125,5945,5945
1518986887,5919,5919
1518990725,5880,5880
1518997205,5884,5884
1519002964,5840,5840
1519008723,5845,5845
1519014485,5826,5826
1519020243,5788,5788
1519026005,5823,5823
1519027924,5849,5849
1519031764,5855,5855
1519037764,5867,5867
1519041844,5879,5879
1519047844,5883,5883
1519055523,5880,5880
1519061763,5900,5900
1519065604,5925,5925
1519069445,5936,5936
1519074724,5934,5934
1519076644,5900,5900
1519078805,5902,5902
1519082884,5886,5886
1519086963,5831,5831
1519090805,5848,5848
1519096564,5859,5859
1519100644,5779,5779
1519108325,5776,5776
1519114085,5794,5794
1519117925,5824,5824
1519123683,5832,5832
1519125844,5841,5841
1519131843,5868,5868
1519137604,5880,5880
1519143364,5880,5880
1519147443,5885,5885
1519154165,5950,5950
1519160164,5946,5946
1519169043,5921,5921
1519173604,5834,5834
1519175523,5869,5869
1519179362,5884,5884
1519185126,5834,5834
1519192815,5810,5810
1519198803,5858,5858
1519204564,5867,5867
1519208643,5884,5884
1519214883,5891,5891
1519218963,5900,5900
1519225215,5931,5931
1519231444,5954,5954
1519235283,5940,5940
1519237207,5937,5937
1519241286,5969,5969
1519245366,5960,5960
1519249205,5926,5926
1519253286,5873,5873
1519261684,5852,5852
1519265525,5861,5861
1519269844,5843,5843
1519275622,5809,5809
1519281363,5790,5790
1519287604,5844,5844
1519291683,5866,5866
1519301284,5879,5879
1519305124,5883,5883
1519311617,5895,5895
1519317603,5824,5824
1519319523,5865,5865
1519325524,5907,5907
1519327444,5934,5934
1519335364,5901,5901
1519339444,5894,5894
1519345443,5835,5835
1519349286,5868,5868
1519353124,5870,5870
1519356965,5814,5814
1519366804,5797,5797
1519370643,5827,5827
1519372564,5842,5842
1519378323,5873,5873
1519382163,5866,5866
1519386244,5885,5885
1519393923,5911,5911
1519402084,5907,5907
1519404005,5908,5908
1519406164,5908,5908
1519411925,5914,5914
1519417926,5905,5905
1519423684,5909,5909
1519428486,5853,5853
1519434244,5855,5855
1519441924,5823,5823
1519445764,5796,5796
1519449844,5781,5781
1519455362,5808,5808
1519461364,5829,5829
1519467363,5858,5858
1519471442,5864,5864
1519476483,5869,5869
1519478642,5870,5870
1519484885,5902,5902
1519490884,5895,5895
1519496644,5907,5907
1519500725,5892,5892
1519508403,5862,5862
1519513687,5843,5843
1519517764,5832,5832
1519521603,5850,5850
1519527365,5826,5826
1519533363,5811,5811
1519537204,5772,5772
1519543443,5805,5805
1519549214,5845,5845
1519556884,5864,5864
1519562644,5888,5888
1519568404,5900,5900
1519574163,5894,5894
1519578247,5900,5900
1519584243,5914,5914
1519590004,5918,5918
1519594324,5892,5892
1519600324,5847,5847
1519606324,5796,5796
1519608243,5814,5814
1519612325,5827,5827
1519614244,5794,5794
1519618085,5776,5776
1519623844,5749,5749
1519631523,5799,5799
1519633445,5818,5818
1519639218,5843,5843
1519646884,5877,5877
1519655284,5873,5873
1519660324,5878,5878
1519666323,5882,5882
1519670163,5859,5859
1519676889,5888,5888
1519680724,5865,5865
1519682643,5868,5868
1519690325,5780,5780
1519694163,5790,5790
1519700164,5773,5773
1519704020,5757,5757
1519711683,5735,5735
1519719605,5792,5792
1519723445,5795,5795
1519727765,5812,5812
1519731605,5825,5825
1519735685,5822,5822
1519739764,5830,5830
1519745764,5850,5850
1519754644,5858,5858
1519760645,5821,5821
1519766643,5814,5814
1519770485,5804,5804
1519775284,5748,5748
1519779364,5690,5690
1519783214,5765,5765
1519790883,5678,5678
1519794724,5661,5661
1519802643,5698,5698
1519810326,5715,5715
1519814163,5731,5731
1519818004,5736,5736
1519823764,5732,5732
1519825683,5741,5741
1519831442,5728,5728
1519836003,5728,5728
1519839844,5726,5726
1519843922,5742,5742
1519849926,5760,5760
1519853763,5727,5727
1519860485,5706,5706
1519864564,5637,5637
1519870323,5784,5784
1519876083,5753,5753
1519883764,5717,5717
1519889524,5788,5788
1519897203,5815,5815
1519901045,5832,5832
1519902963,5854,5854
1519908724,5856,5856
1519912564,5862,5862
1519920243,5868,5868
1519928164,5894,5894
1519933923,5921,5921
1519942569,5896,5896
1519944965,5846,5846
1519952882,5867,5867
1519960563,5889,5889
1519966326,5885,5885
1519968244,5855,5855
1519974009,5896,5896
1519980004,5922,5922
1519981923,5938,5938
1519989603,5926,5926
1519992486,5915,5915
1519994403,5954,5954
1520002083,5959,5959
1520008084,5969,5969
1520013845,5971,5971
1520021524,5973,5973
1520023444,5985,5985
1520025364,5976,5976
1520029205,5955,5955
1520035219,5901,5901
1520041205,5924,5924
1520046965,5885,5885
1520052724,5855,5855
1520056563,5850,5850
1520060413,5866,5866
1520066164,5886,5886
1520068085,5933,5933
1520073845,5913,5913
1520081764,5944,5944
1520089445,5939,5939
1520093524,5942,5942
1520099285,5975,5975
1520103124,5965,5965
1520108884,5956,5956
1520112723,5931,5931
1520116563,5920,5920
1520122564,5889,5889
1520130244,5922,5922
1520134085,5896,5896
1520137925,5866,5866
1520141763,5838,5838
1520145844,5866,5866
1520153524,5912,5912
1520161216,5958,5958
1520166964,5959,5959
1520172724,5966,5966
1520176564,5958,5958
1520182564,5979,5979
1520190245,5992,5992
1520192404,6005,6005
1520198404,5958,5958
1520202243,5926,5926
1520206805,5903,5903
1520212804,5890,5890
1520218564,5836,5836
1520224323,5839,5839
1520228166,5821,5821
1520232246,5827,5827
1520236084,5873,5873
1520239924,5886,5886
1520245684,5890,5890
1520249524,5907,5907
1520257204,5935,5935
1520263204,5950,5950
1520267285,5961,5961
1520273045,5967,5967
1520279045,5997,5997
1520282885,5986,5986
1520292003,5934,5934
1520298008,5939,5939
1520303763,5888,5888
1520313363,5848,5848
1520319123,5882,5882
1520324887,5875,5875
1520328723,5881,5881
1520332804,5899,5899
1520336643,5897,5897
1520342643,5904,5904
1520346485,5972,5972
1520352484,5971,5971
1520354402,5990,5990
1520356324,5996,5996
1520360164,5999,5999
1520366886,6009,6009
1520370723,6016,6016
1520376484,5980,5980
1520378643,5966,5966
1520382484,5905,5905
1520388245,5977,5977
1520394004,5931,5931
1520395924,5917,5917
1520403605,5880,5880
1520407443,5920,5920
1520411286,5928,5928
1520417286,5931,5931
1520423044,5923,5923
1520424964,5931,5931
1520428804,5961,5961
1520440324,5965,5965
1520444885,5960,5960
1520446804,5989,5989
1520452564,6031,6031
1520460245,5995,5995
1520466006,5980,5980
1520469844,5924,5924
1520472005,5936,5936
1520477764,5926,5926
1520483523,5902,5902
1520487363,5877,5877
1520491206,5880,5880
1520495044,5917,5917
1520498884,5944,5944
1520505124,5968,5968
1520508963,5966,5966
1520515446,5975,5975
1520519284,5955,5955
1520525044,5971,5971
1520529124,6004,6004
1520532965,6040,6040
1520537045,6032,6032
1520542816,6027,6027
1520550724,5989,5989
1520554564,5957,5957
1520560323,5968,5968
1520566084,5968,5968
1520571843,5914,5914
1520577604,5911,5911
1520579524,5951,5951
1520585283,5976,5976
1520589363,5978,5978
1520596817,6005,6005
1520600643,6018,6018
1520606643,6018,6018
1520608563,6020,6020
1520612403,6031,6031
1520618163,6038,6038
1520625842,6063,6063
1520631603,6065,6065
1520637844,6045,6045
1520646004,6023,6023
1520650084,5980,5980
1520657763,5944,5944
1520665444,5984,5984
1520669285,5998,5998
1520675045,6037,6037
1520682724,6076,6076
1520688488,6096,6096
1520694243,6111,6111
1520700004,6095,6095
1520704084,6070,6070
1520707925,6111,6111
1520709845,6114,6114
1520715621,6094,6094
1520723524,6063,6063
1520731444,6045,6045
1520737443,6048,6048
1520741284,5993,5993
1520747045,5961,5961
1520748964,5969,5969
1520754963,6000,6000
1520761682,6007,6007
1520763844,6049,6049
1520770083,6087,6087
1520772003,6080,6080
1520773922,6090,6090
1520778244,6115,6115
1520782084,6118,6118
1520791683,6133,6133
1520797923,6162,6162
1520801764,6116,6116
1520808483,6117,6117
1520812322,6101,6101
1520816415,6032,6032
1520822163,5993,5993
1520831764,5970,5970
1520835603,5985,5985
1520839444,6001,6001
1520845442,6025,6025
1520851203,6039,6039
1520853123,6020,6020
1520856963,6028,6028
1520860804,6036,6036
1520866563,6018,6018
1520872563,6014,6014
1520877124,6070,6070
1520881212,6062,6062
1520889363,6081,6081
1520895367,6077,6077
1520897283,6019,6019
1520903044,6004,6004
1520906886,6012,6012
1520912645,5967,5967
1520920322,5992,5992
1520926084,5994,5994
1520929924,6007,6007
1520931844,6012,6012
1520937604,6025,6025
1520943364,6039,6039
1520951042,6041,6041
1520956815,6045,6045
1520964484,6086,6086
1520970244,6109,6109
1520976244,6093,6093
1520982020,6064,6064
1520987764,6034,6034
1520991604,6020,6020
1520995443,6032,6032
1520999284,5991,5991
1521005044,5958,5958
1521010814,5997,5997
1521012726,6014,6014
1521020404,6019,6019
1521022324,6035,6035
1521028324,6052,6052
1521034563,6078,6078
1521040324,6092,6092
1521046329,6072,6072
1521054018,6108,6108
1521057843,6123,6123
1521065525,6096,6096
1521071528,6045,6045
1521079443,6035,6035
1521083283,6026,6026
1521087124,6003,6003
1521092883,6011,6011
1521098644,6027,6027
1521102487,6033,6033
1521109445,6049,6049
1521113284,6048,6048
1521117604,6054,6054
1521125763,6051,6051
1521131524,6096,6096
1521139442,6106,6106
1521143283,6126,6126
1521149044,6100,6100
1521154818,6031,6031
1521160570,5984,5984
1521164405,6004,6004
1521168484,5990,5990
1521176418,5948,5948
1521184083,5983,5983
1521189844,5998,5998
1521195603,6014,6014
1521199445,6007,6007
1521203283,6019,6019
1521209043,6048,6048
1521215044,6069,6069
1521220805,6082,6082
1521226564,6122,6122
1521234244,6112,6112
1521238083,6107,6107
1521244083,6058,6058
1521247925,6011,6011
1521251763,6027,6027
1521259444,5988,5988
1521265444,5962,5962
1521271204,6009,6009
1521276965,6033,6033
1521282726,6058,6058
1521292324,6073,6073
1521298083,6094,6094
1521300003,6104,6104
1521305765,6102,6102
1521309619,6146,6146
1521315365,6141,6141
1521319204,6131,6131
1521323285,6115,6115
1521331220,6096,6096
1521333363,6039,6039
1521337205,6030,6030
1521344884,6012,6012
1521352564,6013,6013
1521358324,6039,6039
1521364084,6074,6074
1521371763,6101,6101
1521375615,6108,6108
1521379443,6118,6118
1521385220,6145,6145
1521389044,6141,6141
1521396724,6136,6136
1521400564,6164,6164
1521408484,6122,6122
1521414020,6056,6056
1521422163,6022,6022
1521427923,6017,6017
1521431764,5985,5985
1521435843,5957,5957
1521441605,5980,5980
1521447364,6005,6005
1521453367,6043,6043
1521462243,6037,6037
1521466084,6048,6048
1521470164,6065,6065
1521477844,6081,6081
1521480005,6075,6075
1521485764,6139,6139
1521491764,6130,6130
1521497524,6108,6108
1521501364,6087,6087
1521505204,6052,6052
1521509045,6069,6069
1521514816,6040,6040
1521520564,6015,6015
1521524405,5998,5998
1521526564,6007,6007
1521534245,6046,6046
1521538084,6047,6047
1521544803,6058,6058
