DateTime,Entries,UniqueIPs
1520464098,11371,11728
1520466049,11378,11734
1520467954,11386,11743
1520469860,11391,11748
1520472026,11387,11744
1520473947,11378,11733
1520475858,11381,11736
1520477799,11377,11732
1520479698,11381,11737
1520481637,11382,11738
1520485471,11390,11746
1520489310,11391,11745
1520491232,11396,11750
1520493147,11392,11746
1520495259,11402,11756
1520497410,11410,11762
1520499405,11411,11763
1520503822,11397,11749
1520505858,11396,11748
1520507766,11397,11749
1520509941,11395,11745
1520511868,11394,11744
1520513776,11397,11747
1520515939,11401,11751
1520517868,11404,11753
1520519783,11401,11750
1520521710,11398,11746
1520525532,11397,11745
1520527706,11401,11749
1520529626,11409,11757
1520531541,11411,11758
1520539460,11385,11732
1520541386,11385,11732
1520543308,11387,11734
1520545214,11387,11735
1520547384,11384,11732
1520549302,11378,11726
1520553132,11375,11722
1520555062,11373,11720
1520556987,11377,11723
1520562767,11366,11711
1520566582,11355,11697
1520568508,11356,11698
1520570415,11353,11696
1520572344,11358,11701
1520574264,11361,11704
1520576189,11371,11714
1520578111,11375,11719
1520580031,11384,11728
1520581936,11387,11732
1520583863,11396,11741
1520585787,11396,11741
1520587937,11404,11749
1520589866,11409,11754
1520591782,11408,11753
1520593711,11410,11755
1520595611,11403,11747
1520597537,11407,11751
1520601368,11395,11739
1520603309,11396,11739
1520605225,11395,11738
1520607154,11394,11737
1520609062,11395,11738
1520610985,11385,11728
1520612906,11392,11735
1520614832,11395,11738
1520616745,11392,11734
1520618663,11398,11740
1520620657,11394,11736
1520622512,11395,11738
1520624428,11398,11741
1520626345,11407,11750
1520628265,11406,11749
1520632094,11390,11733
1520634027,11393,11735
1520635959,11387,11729
1520638466,11382,11724
1520640504,11386,11730
1520642410,11386,11729
1520644349,11381,11724
1520646249,11388,11734
1520650093,11380,11725
1520652019,11389,11734
1520653942,11391,11735
1520655866,11393,11737
1520657789,11387,11729
1520659700,11395,11737
1520661636,11400,11741
1520663544,11402,11743
1520665472,11409,11750
1520667388,11416,11757
1520669312,11412,11752
1520671220,11422,11763
1520673150,11411,11752
1520675061,11420,11761
1520676999,11413,11753
1520678897,11410,11750
1520682744,11399,11739
1520684673,11398,11738
1520686583,11399,11739
1520688511,11405,11746
1520690433,11408,11749
1520694269,11386,11727
1520696189,11380,11718
1520698112,11376,11714
1520700023,11369,11708
1520701946,11365,11703
1520704105,11357,11694
1520706027,11360,11697
1520708024,11367,11704
1520709861,11369,11706
1520711783,11370,11707
1520713703,11381,11718
1520715635,11381,11717
1520717550,11378,11714
1520719706,11382,11718
1520721623,11383,11719
1520723556,11386,11722
1520727621,11382,11718
1520729543,11383,11719
1520731464,11376,11712
1520733383,11384,11720
1520735291,11399,11735
1520737469,11407,11744
1520739392,11413,11750
1520741315,11416,11753
1520743226,11417,11755
1520745146,11438,11776
1520751145,11440,11776
1520753055,11440,11777
1520754981,11441,11779
1520756904,11440,11778
1520758835,11439,11776
1520760737,11445,11782
1520762664,11442,11779
1520764568,11435,11772
1520766746,11428,11765
1520768667,11424,11760
1520770591,11418,11754
1520772502,11420,11757
1520774415,11426,11764
1520776353,11414,11752
1520778263,11423,11761
1520780177,11406,11744
1520784048,11390,11726
1520785945,11392,11728
1520787865,11391,11727
1520789783,11387,11723
1520791702,11388,11723
1520793861,11387,11722
1520796022,11391,11726
1520797934,11381,11715
1520799879,11387,11722
1520801779,11384,11719
1520803715,11389,11724
1520805637,11391,11726
1520807541,11396,11731
1520809463,11396,11731
1520811608,11400,11735
1520813544,11387,11722
1520815460,11390,11726
1520817386,11404,11740
1520819310,11416,11752
1520821237,11420,11756
1520823143,11423,11760
1520825067,11425,11762
1520826988,11428,11767
1520828911,11431,11769
1520830828,11431,11769
1520832746,11421,11759
1520834664,11426,11763
1520836581,11420,11758
1520838495,11421,11760
