DateTime,AddedIPs,RemovedIPs
1520464098,21,25
1520466049,32,23
1520467954,41,28
1520469860,39,41
1520472026,21,41
1520473947,24,20
1520475858,55,20
1520477799,20,58
1520479698,51,21
1520481637,40,49
1520485471,45,37
1520489310,42,44
1520491232,33,46
1520493147,41,32
1520495259,37,37
1520497410,36,42
1520499405,27,38
1520503822,42,26
1520505858,25,41
1520507766,26,29
1520509941,16,24
1520511868,18,18
1520513776,19,18
1520515939,13,18
1520517868,20,14
1520519783,10,20
1520521710,15,8
1520525532,37,15
1520527706,44,32
1520529626,26,44
1520531541,34,31
1520539460,16,34
1520541386,23,19
1520543308,33,20
1520545214,19,35
1520547384,21,18
1520549302,46,19
1520553132,21,48
1520555062,49,22
1520556987,34,43
1520562767,31,34
1520566582,28,30
1520568508,43,22
1520570415,23,46
1520572344,54,25
1520574264,43,55
1520576189,44,43
1520578111,46,44
1520580031,43,47
1520581936,34,43
1520583863,24,35
1520585787,23,27
1520587937,40,22
1520589866,34,39
1520591782,20,39
1520593711,17,20
1520595611,29,17
1520597537,44,24
1520601368,37,44
1520603309,38,32
1520605225,27,43
1520607154,24,27
1520609062,45,29
1520610985,26,42
1520612906,64,21
1520614832,27,66
1520616745,14,28
1520618663,30,16
1520620657,24,31
1520622512,20,21
1520624428,18,24
1520626345,21,18
1520628265,37,17
1520632094,47,35
1520634027,48,47
1520635959,19,50
1520638466,14,21
1520640504,27,13
1520642410,6,31
1520644349,2,7
1520646249,49,3
1520650093,28,40
1520652019,37,30
1520653942,26,36
1520655866,46,27
1520657789,19,49
1520659700,38,19
1520661636,35,35
1520663544,24,37
1520665472,31,25
1520667388,43,27
1520669312,23,35
1520671220,29,31
1520673150,13,33
1520675061,53,11
1520676999,24,55
1520678897,12,23
1520682744,11,13
1520684673,50,8
1520686583,36,48
1520688511,50,37
1520690433,11,51
1520694269,18,13
1520696189,14,19
1520698112,15,13
1520700023,28,17
1520701946,17,25
1520704105,40,16
1520706027,36,39
1520708024,36,38
1520709861,46,37
1520711783,10,47
1520713703,52,7
1520715635,18,53
1520717550,21,18
1520719706,16,21
1520721623,31,17
1520723556,38,30
1520727621,32,37
1520729543,14,34
1520731464,49,11
1520733383,46,47
1520735291,49,46
1520737469,47,50
1520739392,47,51
1520741315,39,40
1520743226,40,41
1520745146,45,42
1520751145,32,46
1520753055,47,31
1520754981,35,47
1520756904,44,35
1520758835,28,45
1520760737,26,28
1520762664,28,26
1520764568,20,31
1520766746,21,16
1520768667,17,24
1520770591,27,19
1520772502,49,23
1520774415,36,44
1520776353,27,39
1520778263,51,29
1520780177,35,51
1520784048,23,33
1520785945,20,27
1520787865,34,19
1520789783,40,35
1520791702,45,35
1520793861,41,46
1520796022,37,40
1520797934,43,42
1520799879,57,39
1520801779,22,60
1520803715,50,26
1520805637,25,49
1520807541,30,21
1520809463,17,30
1520811608,27,20
1520813544,14,26
1520815460,54,15
1520817386,50,48
1520819310,52,49
1520821237,43,53
1520823143,38,42
1520825067,49,42
1520826988,52,47
1520828911,47,55
1520830828,50,44
1520832746,27,49
1520834664,41,29
1520836581,36,42
1520838495,40,35
1520840420,43,42
1520842344,42,38
1520844503,47,45
1520846422,36,50
1520848351,39,35
1520852183,17,43
1520854092,20,18
1520856020,25,20
1520857944,19,20
1520859868,39,16
1520861775,16,42
1520863702,25,14
1520865618,20,26
1520867784,42,20
1520869695,35,40
1520871630,20,38
1520876554,37,22
1520878719,24,39
1520880736,28,21
1520882657,33,26
1520884569,22,33
1520886490,50,22
1520888473,16,51
1520890340,18,18
1520892506,23,16
1520894422,20,24
1520896585,15,21
1520898498,50,12
1520900416,17,51
1520902332,21,20
1520904256,44,19
1520906168,20,45
1520908341,22,18
1520910264,15,24
1520912175,28,14
1520914105,12,28
1520916014,49,12
1520917939,36,48
1520919861,49,34
1520921773,37,50
1520925614,25,38
1520927556,38,26
1520929468,50,35
1520931371,30,52
1520933290,30,33
1520935221,27,29
1520937137,11,24
1520939064,10,15
1520940976,20,12
1520942896,12,20
1520944815,15,11
1520946736,27,13
1520948664,33,26
1520950583,48,29
1520952497,46,44
1520954411,26,51
1520956328,16,29
1520960188,24,18
1520962091,47,22
1520964018,15,47
1520966027,39,16
1520970263,52,36
1520972426,35,49
1520974342,27,39
1520976267,40,28
1520980089,54,36
1520982044,20,55
1520983948,18,23
1520985869,16,17
1520987773,38,18
1520989708,22,38
1520991612,20,22
1520993544,38,17
1520995453,36,33
1520997380,23,40
1520999294,38,23
1521001218,25,40
1521005059,52,29
1521006970,34,44
1521008898,56,34
1521010828,36,61
1521012744,39,35
1521014662,38,37
1521016588,39,37
1521018508,28,39
1521020421,22,28
1521022353,18,24
1521026419,9,22
1521028340,16,10
1521030256,17,17
1521032682,23,16
1521034577,20,19
1521036510,33,21
1521038415,36,33
1521040351,40,34
1521042481,37,39
1521044659,54,36
1521046816,23,58
1521048734,22,24
1521050662,18,20
1521052581,27,21
1521054492,10,25
1521056415,17,11
1521058353,15,17
1521062175,19,17
1521064101,43,15
1521066009,20,44
1521067945,23,18
1521069851,53,25
1521072036,19,53
1521073938,15,19
1521075850,20,18
1521077727,19,18
1521079701,19,18
1521081610,20,20
1521083790,39,18
1521085695,33,34
1521087612,33,35
1521089546,27,36
1521091453,56,30
1521093377,39,53
1521095291,47,38
1521097214,30,50
1521099140,25,26
1521101070,43,25
1521102973,29,43
1521104904,35,28
1521108737,25,40
1521110661,22,27
1521116925,33,23
1521118821,40,30
1521120745,17,41
1521122909,16,17
1521124821,13,15
1521126750,17,14
1521128662,40,15
1521130803,14,42
1521132740,22,13
1521134663,47,19
1521136575,14,48
1521138495,36,14
1521140422,11,37
1521142343,22,12
1521144258,16,21
1521146173,16,15
1521148109,11,14
1521150020,18,15
1521151940,12,16
1521153859,58,12
1521157175,15,55
1521159151,39,19
1521163082,33,36
1521164967,41,34
1521166820,15,42
1521168750,20,17
1521170646,34,16
1521172573,29,38
1521174485,26,29
1521176430,34,24
1521178334,27,36
1521180261,28,22
1521182171,44,32
1521184106,41,38
1521186008,49,45
1521187940,43,46
1521189858,40,43
1521191789,30,45
1521193691,50,30
1521195622,17,50
1521197534,12,20
1521199454,12,13
1521201461,17,9
1521203295,50,18
1521205227,16,49
1521207136,12,15
1521209056,16,8
1521210975,21,14
1521212892,48,20
1521216976,17,52
1521218897,47,16
1521220813,23,46
1521222739,20,26
1521224661,38,22
1521226576,16,36
1521228496,32,15
1521230427,16,34
1521232342,22,17
1521234266,17,22
1521236180,16,19
1521238110,15,14
1521240013,15,16
1521242200,23,14
1521244096,60,22
1521247940,33,52
1521249863,40,40
1521251772,36,39
1521253700,53,35
1521255627,43,49
1521257543,30,43
1521259460,36,30
1521261630,57,40
1521263541,43,59
1521269298,57,42
1521271226,41,57
1521273142,26,43
1521275060,40,27
1521276975,50,38
1521278895,41,52
1521280836,24,43
1521282746,5,23
1521284669,16,8
1521286581,16,14
1521288525,29,16
1521290416,45,24
1521292350,20,50
1521294258,39,18
1521296188,40,34
1521298095,39,39
1521300024,34,42
1521301941,60,36
1521303860,53,57
1521305776,25,52
1521307724,28,27
1521309634,28,30
1521311546,25,31
1521313462,12,21
1521315392,8,14
1521317308,17,9
1521319220,16,17
1521321386,26,18
1521323301,41,21
1521325209,6,45
1521327379,29,7
1521329904,5,25
1521331938,23,7
1521333852,28,22
1521335783,17,28
1521337694,45,16
1521339608,27,42
1521341538,27,31
1521343454,42,29
1521345374,12,42
1521347293,54,9
1521349218,37,51
1521351136,39,42
1521356893,45,34
1521358813,39,45
1521360740,15,40
1521362662,53,19
1521364580,26,54
1521366491,53,25
1521368410,13,51
1521370335,10,18
1521372251,10,10
1521374170,22,10
1521376089,45,20
1521378017,14,46
1521379935,18,15
1521381860,31,15
1521383774,15,32
1521385697,12,14
1521387611,38,13
1521389537,16,32
1521393385,22,22
1521395291,42,21
1521397211,35,42
1521399150,19,34
1521401052,40,18
1521402969,26,41
1521404885,53,26
1521406819,27,55
1521408733,12,25
1521410654,19,12
1521414051,20,19
1521416354,25,16
1521418580,45,27
1521420490,45,45
1521424573,38,46
1521426491,55,35
1521428411,27,55
1521430333,47,31
1521432262,52,44
1521434171,63,51
1521436090,30,65
1521438011,48,27
1521440181,29,50
1521442090,45,28
1521444009,37,44
1521445930,53,43
1521449771,46,48
1521453608,36,49
1521455538,12,40
1521457460,9,12
1521459369,11,9
1521461541,49,10
1521463452,47,42
1521467292,54,48
1521469215,45,53
1521473051,47,47
1521474975,48,46
1521476889,56,48
1521478818,16,56
1521480736,15,19
1521482653,19,17
1521484573,14,18
1521486486,20,14
1521488417,20,20
1521492968,18,23
1521496822,15,16
1521498739,17,15
1521500900,30,17
1521502813,15,29
1521504738,25,15
1521506651,38,24
1521510489,47,38
1521512452,15,48
1521518174,22,16
1521520344,27,19
1521522507,37,26
1521526585,53,38
1521528499,41,51
1521530420,27,46
1521532342,30,24
1521534261,48,31
1521536176,29,47
1521538094,37,30
1521543866,13,42
