DateTime,AddedIPs,RemovedIPs
1516062924,5,5
1516074153,8,6
1516085019,4,5
1516095852,4,4
1516106871,6,4
1516117906,6,6
1516129028,8,13
1516139928,5,6
1516151129,1,7
1516162171,4,7
1516172936,7,2
1516183745,4,4
1516194697,3,10
1516205593,2,4
1516216533,5,6
1516227611,3,5
1516238635,2,6
1516249874,9,6
1516260528,6,4
1516271724,5,8
1516282676,8,1
1516293758,5,7
1516304773,6,3
1516315782,3,8
1516326633,5,5
1516337908,6,7
1516348238,6,5
1516359284,3,6
1516370767,10,8
1516381576,11,2
1516392671,6,7
1516403778,11,6
1516414431,4,3
1516425466,2,3
1516436392,5,6
1516447342,9,3
1516458115,10,6
1516468895,10,9
1516480072,11,6
1516491548,8,8
1516502610,10,6
1516513675,12,4
1516524716,4,5
1516535747,4,9
1516546542,9,7
1516557565,8,6
1516568504,11,6
1516579668,12,8
1516590691,14,6
1516601753,7,6
1516612806,8,5
1516623749,7,4
1516634885,11,8
1516645743,7,8
1516656888,7,12
1516667881,10,2
1516678571,4,2
1516689599,5,8
1516700603,4,4
1516711251,6,3
1516722172,11,1
1516733303,4,4
1516744327,8,4
1516755340,9,5
1516766175,9,8
1516777187,9,6
1516788125,16,2
1516799298,10,6
1516810016,8,3
1516821113,9,11
1516831911,4,3
1516842871,9,5
1516853904,11,6
1516864875,7,2
1516875989,6,9
1516886692,11,5
1516897689,12,5
1516908488,8,7
1516919407,8,9
1516930462,8,1
1516941475,4,4
1516952373,4,10
1516963307,5,3
1516974085,5,5
1516985057,13,10
1516995983,9,7
1517007086,7,5
1517018163,7,8
1517028878,6,4
1517039722,8,5
1517050574,13,8
1517061568,6,2
1517072843,6,4
1517084065,5,6
1517095910,5,9
1517106036,7,6
1517116895,1,6
1517127598,3,4
1517138431,7,5
1517149467,6,6
1517160624,6,4
1517171655,4,9
1517182721,8,5
1517193354,4,5
1517204322,6,8
1517215311,7,4
1517226116,8,3
1517237149,10,9
1517247936,7,5
1517258878,7,7
1517270140,3,5
1517281275,4,4
1517291990,12,4
1517302484,9,4
1517313556,5,5
1517324664,11,5
1517335608,9,3
1517346202,9,1
1517356912,8,6
1517367796,6,5
1517378860,8,3
1517389888,5,4
1517400966,7,7
1517411915,5,6
1517423261,9,7
1517433531,4,7
1517444762,9,5
1517455807,6,7
1517466425,6,5
1517477460,7,7
1517488770,5,5
1517499613,7,8
1517510524,4,5
1517521307,13,6
1517532150,2,9
1517542713,0,4
1517553639,3,7
1517565677,2,4
1517576617,5,4
1517587810,7,5
1517598613,6,6
1517609362,12,9
1517620590,1,8
1517631402,6,2
1517642335,3,8
1517653247,5,3
1517664502,4,3
1517675456,7,2
1517686513,15,4
1517697290,8,4
1517708002,1,7
1517719173,2,6
1517729972,11,3
1517741211,6,10
1517752271,10,6
1517763098,9,6
1517774402,5,3
1517785092,7,4
1517795942,12,2
1517806715,5,8
1517818059,7,6
1517829058,7,4
1517839832,6,3
1517851203,9,8
1517862237,7,6
1517873225,7,14
1517884189,4,9
1517894925,3,4
1517905304,6,8
1517916574,9,8
1517927486,7,7
1517938809,7,5
1517949819,5,8
1517960990,10,7
1517971667,8,2
1517982741,5,1
1517993699,5,2
1518004791,8,2
1518015845,7,6
1518026885,12,5
1518037894,1,12
1518048944,7,6
1518059857,10,6
1518070439,7,7
1518081476,6,4
1518092466,4,4
1518103375,7,8
1518114601,7,4
1518125426,8,4
1518136768,8,2
1518147967,10,8
1518158663,7,10
1518169716,4,2
1518180631,7,5
1518191998,7,4
1518202567,5,11
1518213856,5,9
1518224835,2,4
1518235938,6,3
1518246840,7,6
1518257594,3,1
1518268312,3,6
1518278883,6,4
1518289761,6,5
1518300721,9,2
1518311461,7,3
1518322472,6,6
1518333708,9,1
1518344590,4,7
1518355942,7,13
1518366973,6,7
1518377967,3,11
1518389065,6,10
1518399989,4,5
1518410784,4,5
1518421887,5,5
1518432691,2,8
1518443921,5,11
1518455029,5,1
1518466047,7,5
1518476808,7,9
1518487611,5,10
1518498398,7,10
1518509402,12,6
1518520549,4,3
1518531258,4,7
1518541673,8,10
1518552722,7,12
1518563091,12,9
1518573842,7,3
1518584468,7,4
1518595287,7,6
1518606460,21,7
1518617361,9,2
1518628278,8,7
1518639285,4,6
1518650410,9,7
1518661676,7,4
1518672474,7,9
1518683337,3,6
1518694171,4,4
1518705368,9,4
1518716686,8,4
1518727769,7,4
1518738611,5,3
1518749964,10,5
1518760986,5,5
1518772021,3,1
1518783327,4,3
1518794636,1,6
1518805555,4,3
1518816526,5,7
1518827669,7,3
1518838562,4,4
1518848853,5,5
1518859926,2,6
1518870523,14,7
1518882313,7,9
1518893382,6,6
1518904495,3,8
1518915353,4,8
1518926333,6,6
1518937044,6,5
1518948101,4,2
1518958933,6,9
1518970030,4,6
1518981104,5,6
1518991909,8,3
1519002981,5,4
1519013950,4,9
1519024993,10,5
1519035849,6,3
1519046865,8,7
1519058185,8,9
1519069275,3,10
1519080490,5,6
1519091506,8,11
1519102559,10,5
1519113617,9,3
1519124548,6,4
1519135511,8,9
1519146488,4,12
1519157373,4,7
1519168332,7,9
1519179307,11,5
1519190407,5,9
1519201190,9,7
1519212510,7,9
1519223467,10,8
1519234515,4,4
1519245421,10,11
1519256747,11,13
1519267577,4,8
1519278485,5,4
1519289470,5,6
1519301285,9,10
1519312493,6,6
1519323541,3,7
1519334740,4,11
1519345481,4,4
1519356474,0,2
1519366789,4,8
1519378025,3,7
1519388967,4,13
1519399973,10,9
1519410979,8,6
1519421963,12,8
1519432821,8,6
1519443810,7,8
1519454679,6,9
1519465901,21,12
1519477123,21,6
1519488421,20,9
1519499483,18,10
1519510776,16,8
1519521937,12,5
1519532881,10,8
1519543915,8,4
1519554920,8,8
1519565930,8,5
1519577028,3,7
1519588077,10,11
1519599086,4,6
1519609988,6,7
1519620965,9,7
1519631867,4,8
1519642088,2,13
1519653283,2,8
1519664347,5,6
1519675374,6,3
1519686471,6,4
1519697568,10,4
1519708779,7,10
1519720059,2,5
1519731107,3,8
1519742057,7,10
1519752897,5,4
1519764124,4,4
1519774889,7,2
1519786089,3,5
1519797119,3,5
1519808054,5,4
1519819440,9,6
1519830420,7,9
1519841520,6,10
1519852264,8,8
1519863495,16,3
1519874647,15,9
1519885593,10,6
1519896589,17,12
1519907760,20,9
1519918799,10,9
1519929844,10,11
1519941050,11,7
1519951991,9,10
1519962725,5,7
1519973347,6,5
1519984266,7,7
1519994920,7,6
1520005813,3,6
1520016636,5,8
1520027743,8,4
1520038647,12,12
1520049855,5,4
1520060779,8,3
1520071925,8,10
1520083160,10,3
1520094444,19,6
1520105519,11,8
1520116485,8,5
1520127783,12,3
1520138872,8,6
1520150028,6,2
1520160923,7,5
1520171897,10,5
1520183039,13,5
1520193875,8,8
1520204876,10,11
1520215921,13,6
1520227051,10,6
1520237595,6,7
1520248522,10,8
1520259407,7,5
1520270543,7,9
1520281911,13,10
1520293192,9,4
1520303918,7,4
1520314936,7,4
1520325663,10,6
1520336622,6,6
1520347538,3,8
1520358573,9,8
1520369506,8,11
1520380477,8,6
1520391526,6,9
1520402417,8,3
1520413694,6,5
1520424598,4,13
1520435490,6,6
1520446402,6,10
1520457052,8,7
1520468040,5,2
1520478919,6,7
1520490135,6,4
1520501201,1,4
1520512308,6,6
1520523524,4,4
1520534626,6,6
1520545320,6,9
1520556475,6,13
1520567309,2,7
1520578474,2,5
1520589746,0,10
1520600712,5,7
1520611909,4,3
