DateTime,Entries,UniqueIPs
1516062924,1237,1237
1516074153,1239,1239
1516085019,1238,1238
1516095852,1238,1238
1516106871,1240,1240
1516117906,1240,1240
1516129028,1235,1235
1516139928,1234,1234
1516151129,1228,1228
1516162171,1225,1225
1516172936,1230,1230
1516183745,1230,1230
1516194697,1223,1223
1516205593,1221,1221
1516216533,1220,1220
1516227611,1218,1218
1516238635,1214,1214
1516249874,1217,1217
1516260528,1219,1219
1516271724,1216,1216
1516282676,1223,1223
1516293758,1221,1221
1516304773,1224,1224
1516315782,1219,1219
1516326633,1219,1219
1516337908,1218,1218
1516348238,1219,1219
1516359284,1216,1216
1516370767,1218,1218
1516381576,1227,1227
1516392671,1226,1226
1516403778,1231,1231
1516414431,1232,1232
1516425466,1231,1231
1516436392,1230,1230
1516447342,1236,1236
1516458115,1240,1240
1516468895,1241,1241
1516480072,1246,1246
1516491548,1246,1246
1516502610,1250,1250
1516513675,1258,1258
1516524716,1257,1257
1516535747,1252,1252
1516546542,1254,1254
1516557565,1256,1256
1516568504,1261,1261
1516579668,1265,1265
1516590691,1273,1273
1516601753,1274,1274
1516612806,1277,1277
1516623749,1280,1280
1516634885,1283,1283
1516645743,1282,1282
1516656888,1277,1277
1516667881,1285,1285
1516678571,1287,1287
1516689599,1284,1284
1516700603,1284,1284
1516711251,1287,1287
1516722172,1297,1297
1516733303,1297,1297
1516744327,1301,1301
1516755340,1305,1305
1516766175,1306,1306
1516777187,1309,1309
1516788125,1323,1323
1516799298,1327,1327
1516810016,1332,1332
1516821113,1330,1330
1516831911,1331,1331
1516842871,1335,1335
1516853904,1340,1340
1516864875,1345,1345
1516875989,1342,1342
1516886692,1348,1348
1516897689,1355,1355
1516908488,1356,1356
1516919407,1355,1355
1516930462,1362,1362
1516941475,1362,1362
1516952373,1356,1356
1516963307,1358,1358
1516974085,1358,1358
1516985057,1361,1361
1516995983,1363,1363
1517007086,1365,1365
1517018163,1364,1364
1517028878,1366,1366
1517039722,1369,1369
1517050574,1374,1374
1517061568,1378,1378
1517072843,1380,1380
1517084065,1379,1379
1517095910,1375,1375
1517106036,1376,1376
1517116895,1371,1371
1517127598,1370,1370
1517138431,1372,1372
1517149467,1372,1372
1517160624,1374,1374
1517171655,1369,1369
1517182721,1372,1372
1517193354,1371,1371
1517204322,1369,1369
1517215311,1372,1372
1517226116,1377,1377
1517237149,1378,1378
1517247936,1380,1380
1517258878,1380,1380
1517270140,1378,1378
1517281275,1378,1378
1517291990,1386,1386
1517302484,1391,1391
1517313556,1391,1391
1517324664,1397,1397
1517335608,1403,1403
1517346202,1411,1411
1517356912,1413,1413
1517367796,1414,1414
1517378860,1419,1419
1517389888,1420,1420
1517400966,1420,1420
1517411915,1419,1419
1517423261,1421,1421
1517433531,1418,1418
1517444762,1422,1422
1517455807,1421,1421
1517466425,1422,1422
1517477460,1422,1422
1517488770,1422,1422
1517499613,1421,1421
1517510524,1420,1420
1517521307,1427,1427
1517532150,1420,1420
1517542713,1416,1416
1517553639,1412,1412
1517565677,1410,1410
1517576617,1411,1411
1517587810,1413,1413
1517598613,1413,1413
1517609362,1416,1416
1517620590,1409,1409
1517631402,1413,1413
1517642335,1408,1408
1517653247,1410,1410
1517664502,1411,1411
1517675456,1416,1416
1517686513,1427,1427
1517697290,1431,1431
1517708002,1425,1425
1517719173,1421,1421
1517729972,1429,1429
1517741211,1425,1425
1517752271,1429,1429
1517763098,1432,1432
1517774402,1434,1434
1517785092,1437,1437
1517795942,1447,1447
1517806715,1444,1444
1517818059,1445,1445
1517829058,1448,1448
1517839832,1451,1451
1517851203,1452,1452
1517862237,1453,1453
1517873225,1446,1446
1517884189,1441,1441
1517894925,1440,1440
1517905304,1438,1438
1517916574,1439,1439
1517927486,1439,1439
1517938809,1441,1441
1517949819,1438,1438
1517960990,1441,1441
1517971667,1447,1447
1517982741,1451,1451
1517993699,1454,1454
1518004791,1460,1460
1518015845,1461,1461
1518026885,1468,1468
1518037894,1457,1457
1518048944,1458,1458
1518059857,1462,1462
1518070439,1462,1462
1518081476,1464,1464
1518092466,1464,1464
1518103375,1463,1463
1518114601,1466,1466
1518125426,1470,1470
1518136768,1476,1476
1518147967,1478,1478
1518158663,1475,1475
1518169716,1477,1477
1518180631,1479,1479
1518191998,1482,1482
1518202567,1476,1476
1518213856,1472,1472
1518224835,1470,1470
1518235938,1473,1473
1518246840,1474,1474
1518257594,1476,1476
1518268312,1473,1473
1518278883,1475,1475
1518289761,1476,1476
1518300721,1483,1483
1518311461,1487,1487
1518322472,1487,1487
1518333708,1495,1495
1518344590,1492,1492
1518355942,1486,1486
1518366973,1485,1485
1518377967,1477,1477
1518389065,1473,1473
1518399989,1472,1472
