DateTime,AddedIPs,RemovedIPs
1514618701,1440,1440
1514629501,1455,1455
1514640301,1314,1314
1514651101,1152,1152
1514661901,1141,1141
1514672701,1931,1931
1514683501,3327,3327
1514694301,1572,1572
1514705101,1568,1568
1514715901,1477,1477
1514726701,1237,1237
1514737501,1202,1202
1514748301,1214,1214
1514759101,1999,1999
1514769901,3372,3372
1514780701,1546,1546
1514791501,1569,1569
1514802301,1508,1508
1514813101,1216,1216
1514823901,1266,1266
1514834701,1342,1342
1514845501,2128,2128
1514856301,3545,3545
1514867101,1648,1648
1514877901,1662,1662
1514888701,1563,1563
1514899501,1416,1416
1514910301,1298,1298
1514921101,1739,1739
1514931901,2523,2523
1514942701,3944,3944
1514953501,1844,1844
1514964301,1722,1722
1514975101,1537,1537
1514985901,1450,1450
1514996701,1314,1314
1515007501,1891,1891
1515018301,2685,2685
1515029101,4041,4041
1515039901,1791,1791
1515050701,1672,1672
1515061501,1525,1525
1515072301,1425,1425
1515083101,1308,1308
1515093901,1745,1745
1515104701,2540,2540
1515115501,4046,4046
1515126301,1846,1846
1515137101,1659,1659
1515147901,1515,1515
1515158701,1431,1431
1515169501,1352,1352
1515180301,1821,1821
1515191101,2604,2604
1515201901,3989,3989
1515212701,1792,1792
1515223501,1684,1684
1515234301,1468,1468
1515245101,1425,1425
1515255901,1269,1269
1515266701,1833,1833
1515277501,2577,2577
1515288301,3928,3928
1515299101,1768,1768
1515309901,1619,1619
1515320701,1478,1478
1515331501,1356,1356
1515342301,1265,1265
1515353101,1753,1753
1515363901,2521,2521
1515374701,3925,3925
1515385501,1734,1734
1515396301,1638,1638
1515407101,1501,1501
1515417901,1424,1424
1515428701,1375,1375
1515439501,1868,1868
1515450301,2740,2740
1515461101,4112,4112
1515471901,1764,1764
1515482701,1672,1672
1515493501,1510,1510
1515504301,1399,1399
1515515101,1274,1274
1515525901,1862,1862
1515536701,2618,2618
1515547501,4080,4080
1515558301,1800,1800
1515569101,1786,1786
1515579901,1588,1588
