DateTime,AddedIPs,RemovedIPs
1521054497,63,40
1521055456,40,26
1521056421,54,23
1521057388,41,24
1521058369,42,16
1521059292,44,24
1521060255,51,45
1521061220,33,7
1521062179,18,19
1521063138,21,32
1521064106,86,1131
1521065059,84,16
1521066014,27,18
1521066990,30,33
1521067951,34,6
1521068902,45,39
1521069856,18,7
1521070968,44,55
1521072041,37,19
1521072974,32,3
1521073955,33,33
1521075187,42,22
1521076108,43,2
1521077067,25,31
1521078023,72,11
1521078975,25,6
1521079949,48,33
1521080892,21,0
1521081863,60,13
1521082829,52,22
1521083795,46,25
1521084736,34,3
1521085710,42,39
1521086677,30,3
1521087618,28,29
1521088580,39,5
1521089562,34,22
1521090518,38,40
1521091459,32,6
1521092419,50,26
1521093394,17,9
1521094341,53,2
1521095296,36,24
1521096272,44,21
1521097219,38,13
1521098190,44,32
1521099146,42,21
1521100093,39,10
1521101086,57,35
1521102029,35,9
1521102978,45,17
1521103963,39,13
1521104908,44,11
1521105862,33,24
1521106816,32,10
1521107781,27,11
1521108742,62,15
1521109692,34,17
1521110678,47,7
1521111622,58,25
1521112579,42,9
1521113552,44,4
1521114499,45,8
1521115477,31,5
1521116943,58,17
1521118102,38,0
1521119318,48,27
1521120260,39,84
1521121483,73,35
1521122415,46,14
1521123389,34,23
1521124340,30,23
1521125305,42,11
1521126259,38,20
1521127219,31,16
1521128189,31,17
1521129165,38,19
1521130094,34,16
1521131063,17,15
1521132275,72,10
1521133241,47,6
1521134186,31,9
1521135148,53,52
1521136092,36,5
1521137098,43,26
1521138012,42,1
1521138983,57,36
1521139943,44,10
1521140909,68,37
1521141855,14,2
1521142814,48,20
1521143777,25,11
1521144739,62,24
1521145695,36,15
1521146665,48,14
1521147615,23,5
1521148585,53,47
1521149540,9,0
1521150496,31,18
1521151467,145,1225
1521152424,25,31
1521153375,49,54
1521154344,37,10
1521155297,56,23
1521157200,79,75
1521158172,39,8
1521159158,51,31
1521160097,22,19
1521161084,30,12
1521162164,40,11
1521163090,52,44
1521164432,67,16
1521165379,35,14
1521166427,62,20
1521167549,54,30
1521168497,56,16
1521169580,57,11
1521170653,28,15
1521171614,81,21
1521172582,34,10
1521173538,49,19
1521174490,15,10
1521175465,66,8
1521176438,39,9
1521177371,30,8
1521178347,48,39
1521179292,42,13
1521180268,29,15
1521181210,41,20
1521182177,41,21
1521183129,31,4
1521184111,51,22
1521185050,29,14
1521186013,29,19
1521186967,41,16
1521187950,57,18
1521188891,40,15
1521189866,45,25
1521190817,37,4
1521191794,35,17
1521192738,41,19
1521193697,44,11
1521194657,23,12
1521195629,41,10
1521196570,29,25
1521197541,21,3
1521198492,45,10
1521199458,23,11
1521200409,57,13
1521201469,28,23
1521202573,44,16
1521203537,25,4
1521204489,29,23
1521205457,37,10
1521206411,42,22
1521207381,52,41
1521208334,35,1
1521209297,74,19
1521210267,31,15
1521211214,46,12
1521212175,21,3
1521213147,53,17
1521214093,31,18
1521215065,70,15
1521216020,46,15
1521216982,48,23
1521217946,36,15
1521218902,32,11
1521219857,53,23
1521220818,40,13
1521221774,44,17
1521222748,46,17
1521223699,46,17
1521224668,39,21
1521225613,53,17
1521226584,29,8
1521227552,48,22
1521228502,30,7
1521229460,48,35
1521230433,43,15
1521231376,47,8
1521232350,38,17
1521233295,45,20
1521234271,46,6
1521235211,19,28
1521236191,23,9
1521237137,37,33
1521238118,151,1070
1521239054,14,11
1521240021,65,23
1521242219,70,20
1521243143,28,13
1521244102,33,24
1521245061,32,14
1521246031,28,30
1521246975,36,22
1521247960,30,31
1521248897,31,12
1521249868,17,17
1521250825,42,14
1521251779,28,18
1521252743,34,16
1521253705,23,21
1521254657,37,9
1521255634,35,16
1521256575,23,0
1521257559,40,32
1521258493,23,25
1521259466,31,13
1521260416,23,24
1521261648,43,22
1521262571,14,16
1521263548,46,18
1521264491,12,18
1521265485,42,23
1521266421,22,15
1521267407,40,16
1521268338,33,16
1521269315,25,23
1521270260,28,19
1521271231,29,8
1521272174,34,18
1521273147,17,15
1521274096,39,21
1521275080,24,17
1521276013,33,13
1521276980,9,10
1521277941,42,18
1521278900,16,16
1521279871,29,18
1521280842,19,10
1521281788,52,2
1521282754,24,24
1521283760,22,16
1521284674,20,20
1521285614,36,2
1521286598,34,36
1521287533,23,1
1521288533,46,42
1521289469,10,0
1521290422,27,17
1521291373,17,17
1521292367,30,15
1521293292,10,21
1521294264,63,8
1521295225,14,17
1521296194,41,18
1521297140,25,14
1521298102,28,21
1521299060,36,20
1521300030,30,29
1521300974,44,12
1521301959,29,19
1521302896,39,22
1521303865,24,29
1521304818,48,2
1521305792,15,27
1521306742,50,6
1521307729,34,40
1521308719,46,2
1521309640,28,47
1521310572,25,1
1521311562,46,18
1521312496,30,3
1521313469,36,7
1521314414,23,22
1521315397,40,19
1521316333,36,20
1521317313,46,24
1521318338,26,20
1521319468,59,21
1521320419,33,24
1521321391,20,31
1521322339,30,23
1521323317,122,1127
1521324506,91,11
1521325454,23,14
1521326935,68,16
1521327861,36,20
1521328819,41,3
1521329924,59,21
1521330971,20,14
1521331943,43,15
1521332901,19,2
1521333858,52,19
1521334815,24,12
1521335788,22,10
1521336738,27,1
1521337700,34,9
1521338659,25,5
1521339613,33,2
1521340590,35,3
1521341553,33,25
1521342496,26,1
1521343459,37,81
1521344418,36,5
1521345389,9,7
1521346340,37,11
1521347298,12,15
1521348279,47,17
1521349224,25,12
1521350171,28,11
1521351152,22,6
1521352094,52,27
1521353062,15,6
1521354011,33,16
1521355000,34,13
1521355936,19,10
1521356897,67,6
1521357855,18,18
1521358820,53,25
1521359770,17,1
1521360756,37,20
1521361695,11,25
1521362667,44,15
1521363625,13,6
1521364586,38,16
1521365538,14,12
1521366496,54,4
1521367475,29,25
1521368418,26,4
1521369377,13,7
1521370351,44,18
1521371297,37,5
1521372256,29,13
1521373214,34,19
1521374186,20,17
1521375159,43,20
1521376093,25,2
1521377059,45,16
1521378022,17,12
1521378988,27,27
1521379941,23,9
1521380895,45,14
1521381875,27,0
1521382831,22,12
1521383780,48,17
1521384737,26,11
1521385712,42,9
1521386667,27,4
1521387617,45,4
1521388575,24,1
1521389553,54,8
1521390511,16,6
1521391463,62,5
1521392428,5,3
1521393390,51,8
1521394349,25,8
1521395296,36,2
1521396277,12,0
1521397216,53,5
1521398190,37,2
1521399157,12,2
1521400103,18,1
