DateTime,Entries,UniqueIPs
1521054497,75544,75544
1521055456,75542,75542
1521056421,75455,75455
1521057388,75426,75426
1521058369,75433,75433
1521059292,75485,75485
1521060255,75447,75447
1521061220,75429,75429
1521062179,75823,75823
1521063138,76370,76370
1521064106,76344,76344
1521065059,75248,75248
1521066014,75246,75246
1521066990,75206,75206
1521067951,75179,75179
1521068902,75155,75155
1521069856,75123,75123
1521070968,75077,75077
1521072041,75054,75054
1521072974,75042,75042
1521073955,74996,74996
1521075187,74892,74892
1521076108,74944,74944
1521077067,74932,74932
1521078023,74902,74902
1521078975,74891,74891
1521079949,74894,74894
1521080892,74879,74879
1521081863,74877,74877
1521082829,74865,74865
1521083795,74893,74893
1521084736,74863,74863
1521085710,74867,74867
1521086677,74827,74827
1521087618,74826,74826
1521088580,74816,74816
1521089562,74808,74808
1521090518,74760,74760
1521091459,74733,74733
1521092419,74734,74734
1521093394,74717,74717
1521094341,74706,74706
1521095296,74696,74696
1521096272,74696,74696
1521097219,74659,74659
1521098190,74663,74663
1521099146,74611,74611
1521100093,74590,74590
1521101086,74583,74583
1521102029,74626,74626
1521102978,74567,74567
1521103963,74564,74564
1521104908,74591,74591
1521105862,74589,74589
1521106816,74576,74576
1521107781,74540,74540
1521108742,74564,74564
1521109692,74600,74600
1521110678,74628,74628
1521111622,74653,74653
1521112579,74673,74673
1521113552,74668,74668
1521114499,74692,74692
1521115477,74688,74688
1521116943,74643,74643
1521118102,74680,74680
1521119318,74624,74624
1521120260,74659,74659
1521121483,74603,74603
1521122415,74582,74582
1521123389,74612,74612
1521124340,74575,74575
1521125305,74581,74581
1521126259,74573,74573
1521127219,74600,74600
1521128189,74557,74557
1521129165,74548,74548
1521130094,74571,74571
1521131063,74530,74530
1521132275,74585,74585
1521133241,74568,74568
1521134186,74606,74606
1521135148,74579,74579
1521136092,74606,74606
1521137098,74577,74577
1521138012,74588,74588
1521138983,74647,74647
1521139943,74598,74598
1521140909,74622,74622
1521141855,74631,74631
1521142814,74600,74600
1521143777,74634,74634
1521144739,74624,74624
1521145695,74669,74669
1521146665,74641,74641
1521147615,74666,74666
1521148585,74682,74682
1521149540,75369,75369
1521150496,75661,75661
1521151467,74953,74953
1521152424,74937,74937
1521153375,74911,74911
1521154344,74902,74902
1521155297,74877,74877
1521157200,74890,74890
1521158172,74909,74909
1521159158,74871,74871
1521160097,74830,74830
1521161084,74810,74810
1521162164,74782,74782
1521163090,74777,74777
1521164432,74690,74690
1521165379,74631,74631
1521166427,74654,74654
1521167549,74611,74611
1521168497,74623,74623
1521169580,74606,74606
1521170653,74625,74625
1521171614,74626,74626
1521172582,74646,74646
1521173538,74625,74625
1521174490,74632,74632
1521175465,74625,74625
1521176438,74616,74616
1521177371,74598,74598
1521178347,74633,74633
1521179292,74587,74587
1521180268,74555,74555
1521181210,74563,74563
1521182177,74529,74529
1521183129,74522,74522
1521184111,74464,74464
1521185050,74484,74484
1521186013,74421,74421
1521186967,74382,74382
1521187950,74391,74391
1521188891,74419,74419
1521189866,74353,74353
1521190817,74348,74348
1521191794,74370,74370
1521192738,74329,74329
1521193697,74356,74356
1521194657,74332,74332
1521195629,74364,74364
1521196570,74305,74305
1521197541,74292,74292
1521198492,74279,74279
1521199458,74260,74260
1521200409,74231,74231
1521201469,74265,74265
1521202573,74196,74196
1521203537,74183,74183
1521204489,74221,74221
1521205457,74233,74233
1521206411,74244,74244
1521207381,74243,74243
1521208334,74248,74248
1521209297,74253,74253
1521210267,74256,74256
1521211214,74253,74253
1521212175,74240,74240
1521213147,74246,74246
1521214093,74262,74262
1521215065,74257,74257
1521216020,74233,74233
1521216982,74240,74240
1521217946,74189,74189
1521218902,74189,74189
1521219857,74142,74142
1521220818,74159,74159
1521221774,74143,74143
1521222748,74165,74165
1521223699,74085,74085
1521224668,74103,74103
1521225613,74087,74087
1521226584,74061,74061
1521227552,74081,74081
1521228502,74072,74072
1521229460,74074,74074
1521230433,74072,74072
1521231376,74076,74076
1521232350,74045,74045
1521233295,74047,74047
1521234271,74061,74061
1521235211,74456,74456
1521236191,74834,74834
1521237137,74821,74821
1521238118,73833,73833
1521239054,73805,73805
1521240021,73787,73787
1521242219,73686,73686
1521243143,73718,73718
1521244102,73719,73719
1521245061,73682,73682
1521246031,73665,73665
1521246975,73609,73609
1521247960,73591,73591
1521248897,73514,73514
1521249868,73472,73472
1521250825,73443,73443
1521251779,73382,73382
1521252743,73389,73389
1521253705,73331,73331
1521254657,73371,73371
1521255634,73364,73364
1521256575,73322,73322
1521257559,73291,73291
1521258493,73280,73280
1521259466,73238,73238
1521260416,73219,73219
1521261648,73197,73197
1521262571,73137,73137
1521263548,73155,73155
1521264491,73088,73088
1521265485,73097,73097
1521266421,73019,73019
1521267407,73011,73011
1521268338,72937,72937
1521269315,72929,72929
1521270260,72824,72824
1521271231,72810,72810
1521272174,72709,72709
1521273147,72647,72647
1521274096,72597,72597
1521275080,72541,72541
1521276013,72486,72486
1521276980,72449,72449
1521277941,72457,72457
1521278900,72422,72422
1521279871,72432,72432
1521280842,72421,72421
1521281788,72459,72459
1521282754,72441,72441
1521283760,72446,72446
1521284674,72406,72406
1521285614,72401,72401
1521286598,72398,72398
1521287533,72388,72388
1521288533,72401,72401
1521289469,72395,72395
1521290422,72385,72385
1521291373,72362,72362
1521292367,72369,72369
1521293292,72336,72336
1521294264,72380,72380
1521295225,72341,72341
1521296194,72372,72372
1521297140,72349,72349
1521298102,72347,72347
1521299060,72339,72339
1521300030,72325,72325
1521300974,72321,72321
1521301959,72327,72327
1521302896,72350,72350
1521303865,72335,72335
1521304818,72349,72349
1521305792,72330,72330
1521306742,72359,72359
1521307729,72328,72328
1521308719,72328,72328
1521309640,72302,72302
1521310572,72301,72301
1521311562,72284,72284
1521312496,72269,72269
1521313469,72272,72272
1521314414,72256,72256
1521315397,72269,72269
1521316333,72261,72261
1521317313,72289,72289
1521318338,72285,72285
1521319468,72311,72311
1521320419,72296,72296
1521321391,72579,72579
1521322339,73084,73084
1521323317,73050,73050
1521324506,72252,72252
1521325454,72234,72234
1521326935,72206,72206
1521327861,72251,72251
1521328819,72166,72166
1521329924,72224,72224
1521330971,72130,72130
1521331943,72190,72190
1521332901,72092,72092
1521333858,72155,72155
1521334815,72148,72148
1521335788,72046,72046
1521336738,72077,72077
1521337700,72064,72064
1521338659,72017,72017
1521339613,71972,71972
1521340590,71965,71965
1521341553,71952,71952
1521342496,71930,71930
1521343459,71925,71925
1521344418,71909,71909
1521345389,71893,71893
1521346340,71885,71885
1521347298,71855,71855
1521348279,71844,71844
1521349224,71824,71824
1521350171,71832,71832
1521351152,71818,71818
1521352094,71829,71829
1521353062,71792,71792
1521354011,71804,71804
1521355000,71775,71775
1521355936,71774,71774
1521356897,71802,71802
1521357855,71770,71770
1521358820,71745,71745
1521359770,71729,71729
1521360756,71698,71698
1521361695,71645,71645
1521362667,71667,71667
1521363625,71654,71654
1521364586,71582,71582
1521365538,71598,71598
1521366496,71668,71668
1521367475,71701,71701
1521368418,71700,71700
1521369377,71677,71677
1521370351,71686,71686
1521371297,71696,71696
1521372256,71691,71691
1521373214,71699,71699
1521374186,71674,71674
1521375159,71708,71708
1521376093,71725,71725
1521377059,71765,71765
1521378022,71695,71695
1521378988,71668,71668
1521379941,71653,71653
1521380895,71703,71703
1521381875,71680,71680
1521382831,71694,71694
1521383780,71683,71683
1521384737,71677,71677
1521385712,71641,71641
1521386667,71650,71650
1521387617,71657,71657
1521388575,71640,71640
1521389553,71641,71641
1521390511,71613,71613
1521391463,71654,71654
1521392428,71569,71569
1521393390,71611,71611
1521394349,71605,71605
1521395296,71601,71601
1521396277,71528,71528
1521397216,71572,71572
1521398190,71525,71525
1521399157,71498,71498
1521400103,71418,71418
1521401057,71388,71388
1521402285,71437,71437
1521403220,71408,71408
1521404177,71436,71436
1521405151,71409,71409
1521406125,71439,71439
1521407061,71388,71388
1521408013,71861,71861
1521408993,72349,72349
1521409954,72347,72347
1521410896,71490,71490
1521411856,71522,71522
1521414068,71489,71489
1521414970,71468,71468
1521416372,71447,71447
1521417371,71383,71383
1521418587,71413,71413
1521419534,71370,71370
1521420495,71360,71360
1521421720,71280,71280
1521422658,71305,71305
1521423624,71269,71269
1521424578,71242,71242
1521425546,71240,71240
1521426495,71265,71265
1521427472,71214,71214
1521428416,71200,71200
1521429385,71220,71220
1521430338,71238,71238
1521431410,71191,71191
1521432502,71203,71203
1521433470,71165,71165
1521434416,71173,71173
1521435372,71103,71103
1521436355,71128,71128
1521437309,71065,71065
1521438259,71086,71086
1521439219,71026,71026
1521440186,71058,71058
1521441138,70972,70972
1521442096,70987,70987
1521443070,70929,70929
1521444015,70857,70857
1521444986,70898,70898
1521445937,70920,70920
1521446896,70936,70936
1521447856,70966,70966
1521449077,70992,70992
1521450021,71012,71012
1521450983,71037,71037
1521451935,71055,71055
1521452911,71081,71081
1521453866,70955,70955
1521454815,70830,70830
1521455775,70868,70868
1521456743,70873,70873
1521457697,70778,70778
1521458655,70708,70708
1521459614,70720,70720
1521460582,70678,70678
1521461557,70688,70688
1521462493,70667,70667
1521463458,70672,70672
1521464418,70658,70658
1521465387,70638,70638
1521466339,70622,70622
1521467297,70644,70644
1521468276,70666,70666
1521469221,70634,70634
1521470178,70634,70634
1521471136,70596,70596
1521472110,70641,70641
1521473057,70613,70613
1521474022,70557,70557
1521474980,70548,70548
1521475952,70518,70518
1521476896,70515,70515
1521477874,70500,70500
1521478824,70459,70459
1521480049,70474,70474
1521480975,70386,70386
1521481938,70340,70340
1521482896,70310,70310
1521483892,70264,70264
1521484816,70320,70320
1521485774,70293,70293
1521486740,70309,70309
1521487739,70275,70275
1521488664,70306,70306
1521489635,70263,70263
1521491096,70289,70289
1521492013,70283,70283
1521492973,70302,70302
1521493951,70548,70548
1521494896,71165,71165
1521495858,71476,71476
1521496827,70617,70617
1521497776,70732,70732
1521498755,70770,70770
1521499939,70683,70683
1521500906,70585,70585
1521501856,70580,70580
1521502818,70590,70590
1521503770,70560,70560
1521504753,70591,70591
1521505939,70567,70567
1521507161,70602,70602
1521508096,70601,70601
1521509062,70595,70595
1521510016,70572,70572
1521510997,70549,70549
1521511939,70549,70549
1521512894,70527,70527
1521513879,70508,70508
1521514830,70488,70488
1521515773,70487,70487
1521516752,70476,70476
1521517696,70483,70483
1521518786,70478,70478
1521519866,70436,70436
1521520812,70494,70494
1521521771,70505,70505
1521522746,70415,70415
1521523694,70462,70462
1521524656,70474,70474
1521525624,70408,70408
1521526590,70393,70393
1521527537,70427,70427
1521528504,70415,70415
1521529457,70373,70373
1521530425,70242,70242
1521531376,70288,70288
1521532360,70284,70284
1521533296,70209,70209
1521534268,70221,70221
1521535215,70181,70181
1521536191,70119,70119
1521537146,70150,70150
1521538099,70080,70080
1521539056,70125,70125
1521540047,70046,70046
1521540973,70082,70082
1521541944,70030,70030
1521542898,70071,70071
1521543872,70020,70020
1521544813,70048,70048
