DateTime,AddedIPs,RemovedIPs
1521054497,848,852
1521055456,613,615
1521056421,784,784
1521057388,663,660
1521058369,601,598
1521059292,645,640
1521060255,646,650
1521061220,569,562
1521062179,546,517
1521063138,577,561
1521064106,432,431
1521065059,1624,1665
1521066014,474,488
1521066990,704,707
1521067951,481,459
1521068902,820,824
1521069856,398,391
1521070968,906,922
1521072041,653,651
1521072974,553,555
1521073955,611,610
1521075187,663,661
1521076108,687,698
1521077067,437,452
1521078023,844,853
1521078975,378,366
1521079949,741,732
1521080892,517,522
1521081863,725,724
1521082829,608,603
1521083795,559,561
1521084736,607,605
1521085710,577,563
1521086677,607,590
1521087618,509,517
1521088580,702,714
1521089562,461,457
1521090518,745,760
1521091459,399,400
1521092419,954,953
1521093394,253,241
1521094341,849,847
1521095296,588,581
1521096272,816,833
1521097219,639,633
1521098190,536,532
1521099146,606,614
1521100093,523,506
1521101086,703,697
1521102029,479,456
1521102978,679,679
1521103963,594,582
1521104908,763,769
1521105862,607,609
1521106816,549,561
1521107781,532,548
1521108742,600,590
1521109692,541,546
1521110678,693,687
1521111622,657,657
1521112579,692,697
1521113552,535,540
1521114499,586,588
1521115477,697,699
1521116943,890,883
1521118102,706,685
1521119318,795,776
1521120260,336,330
1521121483,812,831
1521122415,875,882
1521123389,682,682
1521124340,511,520
1521125305,672,676
1521126259,543,550
1521127219,684,677
1521128189,702,706
1521129165,636,617
1521130094,698,696
1521131063,361,375
1521132275,1135,1119
1521133241,619,619
1521134186,589,578
1521135148,646,642
1521136092,695,682
1521137098,788,786
1521138012,485,477
1521138983,690,687
1521139943,597,590
1521140909,807,802
1521141855,334,326
1521142814,891,890
1521143777,407,407
1521144739,936,934
1521145695,652,655
1521146665,747,748
1521147615,529,541
1521148585,895,892
1521149540,745,723
1521150496,591,575
1521151467,1765,1804
1521152424,614,614
1521153375,770,758
1521154344,681,689
1521155297,717,706
1521157200,1393,1384
1521158172,591,600
1521159158,652,652
1521160097,694,703
1521161084,730,733
1521162164,671,695
1521163090,519,516
1521164432,901,912
1521165379,592,606
1521166427,849,853
1521167549,724,726
1521168497,536,529
1521169580,815,813
1521170653,382,381
1521171614,945,930
1521172582,649,652
1521173538,630,629
1521174490,231,244
1521175465,1075,1077
1521176438,639,634
1521177371,583,575
1521178347,693,710
1521179292,602,608
1521180268,660,661
1521181210,501,512
1521182177,705,713
1521183129,474,454
1521184111,797,784
1521185050,353,354
1521186013,731,749
1521186967,511,517
1521187950,967,970
1521188891,585,574
1521189866,565,553
1521190817,683,690
1521191794,469,460
1521192738,602,613
1521193697,562,573
1521194657,446,433
1521195629,744,767
1521196570,604,597
1521197541,448,489
1521198492,607,616
1521199458,306,308
1521200409,812,794
1521201469,522,518
1521202573,726,705
1521203537,771,751
1521204489,588,582
1521205457,531,528
1521206411,536,537
1521207381,729,732
1521208334,453,448
1521209297,728,709
1521210267,643,657
1521211214,834,837
1521212175,267,269
1521213147,856,868
1521214093,380,361
1521215065,857,845
1521216020,535,521
1521216982,707,699
1521217946,575,595
1521218902,569,572
1521219857,702,710
1521220818,425,423
1521221774,769,761
1521222748,437,429
1521223699,821,815
1521224668,608,602
1521225613,663,665
1521226584,484,480
1521227552,740,731
1521228502,600,614
1521229460,648,658
1521230433,563,550
1521231376,598,586
1521232350,584,587
1521233295,555,545
1521234271,721,723
1521235211,452,435
1521236191,674,653
1521237137,410,397
1521238118,1913,1967
1521239054,431,425
1521240021,642,657
1521242219,1269,1243
1521243143,562,561
1521244102,565,575
1521245061,664,659
1521246031,436,451
1521246975,763,760
1521247960,439,460
1521248897,835,856
1521249868,456,489
1521250825,742,767
1521251779,512,508
1521252743,655,666
1521253705,550,536
1521254657,677,690
1521255634,597,600
1521256575,410,401
1521257559,665,678
1521258493,513,524
1521259466,686,697
1521260416,481,491
1521261648,939,958
1521262571,242,240
1521263548,901,909
1521264491,237,246
1521265485,929,917
1521266421,567,558
1521267407,599,593
1521268338,588,591
1521269315,484,485
1521270260,691,689
1521271231,447,461
1521272174,639,656
1521273147,422,440
1521274096,711,727
1521275080,372,370
1521276013,693,692
1521276980,351,358
1521277941,831,817
1521278900,460,481
1521279871,651,670
1521280842,465,462
1521281788,641,620
1521282754,556,555
1521283760,571,578
1521284674,548,570
1521285614,489,479
1521286598,649,646
1521287533,404,414
1521288533,816,819
1521289469,258,254
1521290422,806,834
1521291373,243,245
1521292367,710,709
1521293292,273,270
1521294264,944,923
1521295225,119,129
1521296194,892,899
1521297140,582,597
1521298102,518,528
1521299060,656,666
1521300030,428,423
1521300974,610,618
1521301959,473,469
1521302896,697,702
1521303865,390,400
1521304818,840,816
1521305792,172,175
1521306742,888,899
1521307729,643,642
1521308719,682,679
1521309640,525,522
1521310572,623,632
1521311562,548,553
1521312496,523,522
1521313469,656,657
1521314414,524,529
1521315397,687,696
1521316333,497,511
1521317313,854,858
1521318338,617,614
1521319468,827,825
1521320419,603,601
1521321391,539,542
1521322339,681,661
1521323317,529,528
1521324506,1606,1655
1521325454,350,350
1521326935,1173,1162
1521327861,679,664
1521328819,553,537
1521329924,836,837
1521330971,345,359
1521331943,867,875
1521332901,322,324
1521333858,945,920
1521334815,537,539
1521335788,668,676
1521336738,523,533
1521337700,569,563
1521338659,668,676
1521339613,529,516
1521340590,719,718
1521341553,475,472
1521342496,684,700
1521343459,406,396
1521344418,866,872
1521345389,283,289
1521346340,845,851
1521347298,293,294
1521348279,971,957
1521349224,138,130
1521350171,877,886
1521351152,583,581
1521352094,599,598
1521353062,169,160
1521354011,892,902
1521355000,806,813
1521355936,395,395
1521356897,792,781
1521357855,311,313
