DateTime,Entries,UniqueIPs
1521054497,3131,3131
1521055456,3129,3129
1521056421,3129,3129
1521057388,3132,3132
1521058369,3135,3135
1521059292,3140,3140
1521060255,3136,3136
1521061220,3143,3143
1521062179,3172,3172
1521063138,3188,3188
1521064106,3189,3189
1521065059,3148,3148
1521066014,3134,3134
1521066990,3131,3131
1521067951,3153,3153
1521068902,3149,3149
1521069856,3156,3156
1521070968,3140,3140
1521072041,3142,3142
1521072974,3140,3140
1521073955,3141,3141
1521075187,3143,3143
1521076108,3132,3132
1521077067,3117,3117
1521078023,3108,3108
1521078975,3120,3120
1521079949,3129,3129
1521080892,3124,3124
1521081863,3125,3125
1521082829,3130,3130
1521083795,3128,3128
1521084736,3130,3130
1521085710,3144,3144
1521086677,3161,3161
1521087618,3153,3153
1521088580,3141,3141
1521089562,3145,3145
1521090518,3130,3130
1521091459,3129,3129
1521092419,3130,3130
1521093394,3142,3142
1521094341,3144,3144
1521095296,3151,3151
1521096272,3134,3134
1521097219,3140,3140
1521098190,3144,3144
1521099146,3136,3136
1521100093,3153,3153
1521101086,3159,3159
1521102029,3182,3182
1521102978,3182,3182
1521103963,3194,3194
1521104908,3188,3188
1521105862,3186,3186
1521106816,3174,3174
1521107781,3158,3158
1521108742,3168,3168
1521109692,3163,3163
1521110678,3169,3169
1521111622,3169,3169
1521112579,3164,3164
1521113552,3159,3159
1521114499,3157,3157
1521115477,3155,3155
1521116943,3162,3162
1521118102,3183,3183
1521119318,3202,3202
1521120260,3208,3208
1521121483,3189,3189
1521122415,3182,3182
1521123389,3182,3182
1521124340,3173,3173
1521125305,3169,3169
1521126259,3162,3162
1521127219,3169,3169
1521128189,3165,3165
1521129165,3184,3184
1521130094,3186,3186
1521131063,3172,3172
1521132275,3188,3188
1521133241,3188,3188
1521134186,3199,3199
1521135148,3203,3203
1521136092,3216,3216
1521137098,3218,3218
1521138012,3226,3226
1521138983,3229,3229
1521139943,3236,3236
1521140909,3241,3241
1521141855,3249,3249
1521142814,3250,3250
1521143777,3250,3250
1521144739,3252,3252
1521145695,3249,3249
1521146665,3248,3248
1521147615,3236,3236
1521148585,3239,3239
1521149540,3261,3261
1521150496,3277,3277
1521151467,3238,3238
1521152424,3238,3238
1521153375,3250,3250
1521154344,3242,3242
1521155297,3253,3253
1521157200,3262,3262
1521158172,3253,3253
1521159158,3253,3253
