DateTime,AddedIPs,RemovedIPs
1521053530,6,4
1521054495,18,24
1521055454,20,13
1521056419,19,16
1521057386,15,9
1521058366,21,17
1521059290,15,6
1521060252,19,18
1521061218,9,9
1521062177,17,10
1521063136,18,14
1521064104,8,12
1521065057,12,8
1521066012,6,16
1521066988,10,19
1521067949,15,5
1521068899,19,15
1521069854,12,4
1521070966,11,22
1521072039,14,10
1521072972,21,25
1521073952,17,18
1521075185,12,18
1521076106,17,28
1521077065,8,24
1521078021,23,41
1521078973,12,9
1521079947,20,13
1521080891,5,7
1521081861,38,29
1521082826,27,12
1521083792,21,23
1521084734,15,15
1521085708,22,9
1521086675,18,10
1521087616,14,18
1521088578,15,24
1521089560,17,12
1521090516,14,18
1521091456,15,11
1521092416,22,28
1521093391,9,5
1521094339,24,20
1521095294,17,9
1521096270,20,23
1521097217,16,18
1521098184,17,10
1521099144,17,22
1521100091,22,14
1521101083,28,18
1521102027,17,7
1521102976,21,17
1521103961,17,8
1521104907,13,12
1521105860,9,16
1521106813,15,20
1521107778,4,7
1521108740,35,15
1521109690,3,14
1521110675,16,19
1521111620,19,15
1521112576,16,14
1521113550,20,27
1521114497,25,23
1521115475,12,19
1521116941,24,26
1521118099,22,14
1521119316,18,0
1521120257,10,0
1521121480,36,51
1521122413,12,18
1521123387,14,13
1521124338,15,22
1521125303,16,14
1521126257,16,18
1521127217,14,15
1521128187,15,14
1521129162,15,4
1521130092,13,19
1521131061,3,11
1521132272,25,18
1521133239,23,13
1521134183,16,8
1521135146,15,9
1521136090,16,14
1521137096,6,11
1521138010,22,13
1521138981,27,18
1521139941,14,8
1521140907,25,19
1521141853,7,2
1521142811,20,19
1521143775,12,14
1521144737,13,16
1521145693,4,4
1521146663,16,17
1521147613,7,16
1521148582,20,15
1521149538,9,12
1521150494,23,11
1521151465,17,12
1521152422,7,10
1521153373,18,15
1521154341,8,14
1521155295,27,18
1521157198,30,26
1521158170,14,25
1521159156,21,17
1521160095,1,13
1521161081,14,17
1521162162,21,38
1521163087,22,17
1521164430,32,44
1521165377,7,18
1521166425,23,42
1521167546,18,16
1521168495,25,28
1521169578,27,16
1521170651,10,13
1521171611,39,18
1521172580,14,14
1521173536,27,22
1521174488,8,19
1521175463,26,21
1521176436,13,16
1521177369,14,11
1521178345,15,31
1521179290,17,24
1521180266,14,0
1521181208,24,27
1521182175,18,24
1521183127,15,10
1521184109,29,26
1521185049,18,24
1521186011,10,26
1521186965,22,20
1521187945,20,19
1521188889,19,11
1521189863,18,16
1521190815,18,10
1521191792,20,13
1521192735,16,17
1521193695,11,12
1521194655,17,2
1521195627,14,31
1521196568,12,1
1521197539,11,42
1521198490,15,8
1521199457,14,10
1521200407,27,14
1521201467,10,12
1521202571,13,8
1521203535,8,16
1521204487,6,14
1521205455,10,10
1521206409,15,17
1521207379,17,20
1521208332,16,6
1521209295,26,16
1521210265,8,11
1521211211,19,17
1521212172,11,17
1521213145,22,23
1521214091,20,2
1521215062,22,21
1521216018,25,15
1521216980,13,5
1521217944,11,17
1521218900,15,14
1521219854,16,18
1521220816,16,13
1521221771,16,14
1521222746,15,15
1521223697,13,12
1521224665,13,12
1521225609,19,29
1521226582,16,18
1521227550,17,8
1521228500,10,8
1521229457,19,24
1521230430,24,11
1521231374,21,15
1521232347,14,14
1521233293,21,10
1521234269,15,20
1521235208,14,9
1521236189,20,17
1521237135,18,13
1521238115,17,20
1521239052,7,2
1521240018,24,30
1521242216,44,31
1521243141,10,12
1521244099,10,17
1521245058,10,11
1521246029,15,17
1521246972,13,20
1521247958,12,31
1521248895,15,36
1521249866,4,22
1521250823,10,32
1521251777,7,11
1521252741,17,33
1521253703,7,3
1521254654,17,33
1521255631,14,15
1521256572,9,13
1521257557,13,25
1521258490,7,19
1521259464,8,19
1521260414,11,19
1521261645,12,29
1521262568,4,6
1521263544,19,23
1521264489,4,13
1521265482,21,9
1521266419,10,10
1521267405,20,20
1521268335,8,16
1521269312,10,11
1521270257,11,2
1521271229,11,27
1521272172,8,13
1521273145,8,23
1521274094,16,13
1521275078,13,13
1521276010,13,17
1521276978,1,10
1521277939,14,19
1521278898,2,16
1521279869,14,15
1521280839,5,8
1521281786,28,16
1521282752,8,20
1521283757,11,19
1521284672,3,14
1521285612,17,11
1521286596,15,10
1521287530,7,6
1521288530,19,20
1521289467,5,7
1521290420,11,23
1521291371,9,17
1521292364,13,17
1521293290,2,4
1521294261,26,15
1521295222,11,21
1521296192,20,16
1521297137,6,18
1521298099,8,19
1521299057,15,21
1521300028,16,19
1521300972,20,26
1521301956,11,9
1521302894,19,22
1521303863,7,13
1521304816,30,17
1521305790,4,5
1521306740,19,28
1521307727,9,11
1521308717,27,21
1521309638,16,14
1521310570,10,17
1521311560,17,23
1521312494,7,10
1521313467,12,16
1521314412,7,10
1521315395,10,15
1521316331,14,14
1521317311,14,16
1521318335,10,13
1521319465,16,29
1521320417,8,10
1521321389,7,16
1521322337,22,16
1521323315,11,7
1521324504,17,22
1521325451,10,8
1521326933,24,27
1521327858,17,12
1521328817,24,8
1521329921,20,20
1521330968,3,15
1521331941,16,23
1521332899,7,7
1521333855,23,12
1521334812,10,14
1521335786,2,9
1521336736,11,9
1521337698,13,10
1521338657,1,4
1521339611,17,13
1521340588,15,13
1521341551,8,8
1521342494,7,15
1521343457,9,7
1521344415,8,9
1521345387,2,5
1521346338,17,24
1521347296,3,6
1521348276,14,12
1521349222,14,4
1521350169,6,18
1521351150,1,4
1521352092,19,15
1521353060,11,2
1521354009,6,18
1521354997,12,17
1521355933,6,4
1521356895,23,9
1521357853,5,7
1521358817,7,20
1521359768,1,10
1521360754,13,12
1521361693,5,3
1521362665,10,15
1521363623,9,21
1521364583,12,15
1521366493,20,25
1521367473,11,2
1521368416,7,22
1521369374,8,5
1521370349,11,11
1521371295,16,11
1521372254,10,7
1521373211,12,17
1521374184,7,9
1521375157,10,16
1521376091,13,4
1521377057,16,10
1521378020,8,10
1521378985,5,11
1521379939,2,11
1521380893,16,14
1521381873,10,16
1521382829,8,11
1521383777,23,16
1521384735,12,9
1521385710,16,20
1521386665,16,4
1521387615,19,21
1521388573,15,5
1521389551,16,62
1521390509,6,4
1521391460,17,18
1521392425,1,3
1521393388,21,16
1521394347,12,7
1521395293,21,9
1521396274,3,7
1521397214,31,14
1521398187,12,13
1521399155,7,4
1521400100,14,16
1521401055,10,6
1521402283,24,22
1521403218,13,5
1521404175,16,11
1521405149,13,5
1521406123,13,20
1521407059,1,12
1521408010,26,11
1521408991,12,11
1521409952,5,16
1521410894,17,21
1521411854,8,11
1521414066,33,50
1521414968,12,13
1521416370,25,10
1521417369,14,7
1521418585,18,13
1521419532,9,4
1521420493,13,19
1521421718,17,10
1521422656,11,7
1521423622,12,16
1521424576,7,3
1521425544,17,9
1521426493,6,4
1521427469,14,20
1521428414,10,1
1521429383,16,15
1521430336,6,9
1521431408,19,11
1521432500,18,20
1521433468,7,4
1521434413,17,17
1521435370,20,8
1521436353,13,10
1521437307,3,2
1521438257,14,25
1521439216,4,3
1521440184,9,18
1521441136,3,6
1521442094,22,10
1521443068,2,10
1521444013,20,5
1521444984,14,0
1521445935,11,14
1521446894,12,12
1521447854,11,10
1521449074,12,10
1521450018,14,8
1521450981,13,22
1521451933,10,1
1521452909,12,16
1521453864,9,12
1521454813,11,8
1521455773,11,17
1521456741,4,3
1521457695,26,13
1521458653,3,4
1521459611,22,11
1521460580,9,4
1521461555,16,16
1521462491,5,4
1521463455,17,17
1521464416,8,6
1521465384,18,25
1521466337,11,4
1521467295,13,25
1521468273,24,21
1521469218,11,10
1521470176,20,14
1521471133,8,11
1521472108,29,27
1521473054,10,11
1521474019,19,17
1521474978,12,8
1521475950,24,13
1521476893,15,5
1521477871,15,14
1521478821,15,1
1521480047,14,22
1521480972,14,14
1521481935,10,13
1521482894,22,20
1521483889,10,8
1521484814,19,24
1521485772,11,19
1521486737,27,15
1521487737,17,16
1521488661,11,13
1521489633,13,8
1521491094,20,17
1521492010,14,23
1521492971,5,0
1521493948,20,25
1521494894,10,9
1521495855,14,20
1521496825,19,5
1521497773,12,9
1521498752,21,16
1521499937,10,20
1521500904,22,16
1521501854,6,4
1521502816,12,20
1521503768,8,5
1521504751,21,19
1521505937,17,8
1521507158,18,15
1521508094,11,12
1521509060,18,9
1521510014,11,13
1521510995,5,8
1521511936,25,14
1521512892,5,3
1521513876,8,17
1521514828,13,21
1521515771,17,23
1521516750,12,2
1521517693,8,10
1521518784,10,23
1521519864,9,8
1521520810,23,18
1521521769,8,7
1521522744,13,18
1521523692,6,4
1521524653,15,20
1521525622,17,15
1521526588,5,9
1521527535,11,4
1521528502,15,18
1521529455,11,14
1521530423,10,7
1521531373,14,15
1521532358,9,3
1521533294,15,12
1521534265,9,6
1521535212,16,8
1521536189,13,22
1521537144,10,17
1521538097,4,7
1521539053,14,19
1521540045,10,10
1521540971,11,15
1521541942,16,16
1521542896,12,11
1521543869,7,10
1521544811,14,16
