DateTime,Entries,UniqueIPs
1521053530,1184,1184
1521054495,1178,1178
1521055454,1185,1185
1521056419,1188,1188
1521057386,1194,1194
1521058366,1198,1198
1521059290,1207,1207
1521060252,1208,1208
1521061218,1208,1208
1521062177,1215,1215
1521063136,1219,1219
1521064104,1215,1215
1521065057,1219,1219
1521066012,1209,1209
1521066988,1200,1200
1521067949,1210,1210
1521068899,1214,1214
1521069854,1222,1222
1521070966,1211,1211
1521072039,1215,1215
1521072972,1211,1211
1521073952,1210,1210
1521075185,1204,1204
1521076106,1193,1193
1521077065,1177,1177
1521078021,1159,1159
1521078973,1162,1162
1521079947,1169,1169
1521080891,1167,1167
1521081861,1176,1176
1521082826,1191,1191
1521083792,1189,1189
1521084734,1189,1189
1521085708,1202,1202
1521086675,1210,1210
1521087616,1206,1206
1521088578,1197,1197
1521089560,1202,1202
1521090516,1198,1198
1521091456,1202,1202
1521092416,1196,1196
1521093391,1200,1200
1521094339,1204,1204
1521095294,1212,1212
1521096270,1209,1209
1521097217,1207,1207
1521098184,1214,1214
1521099144,1209,1209
1521100091,1217,1217
1521101083,1227,1227
1521102027,1237,1237
1521102976,1241,1241
1521103961,1250,1250
1521104907,1251,1251
1521105860,1244,1244
1521106813,1239,1239
1521107778,1236,1236
1521108740,1256,1256
1521109690,1245,1245
1521110675,1242,1242
1521111620,1246,1246
1521112576,1248,1248
1521113550,1241,1241
1521114497,1243,1243
1521115475,1236,1236
1521116941,1234,1234
1521118099,1242,1242
1521119316,1260,1260
1521120257,1270,1270
1521121480,1255,1255
1521122413,1249,1249
1521123387,1250,1250
1521124338,1243,1243
1521125303,1245,1245
1521126257,1243,1243
1521127217,1242,1242
1521128187,1243,1243
1521129162,1254,1254
1521130092,1248,1248
1521131061,1240,1240
1521132272,1247,1247
1521133239,1257,1257
1521134183,1265,1265
1521135146,1271,1271
1521136090,1273,1273
1521137096,1268,1268
1521138010,1277,1277
1521138981,1286,1286
1521139941,1292,1292
1521140907,1298,1298
1521141853,1303,1303
1521142811,1304,1304
1521143775,1302,1302
1521144737,1299,1299
1521145693,1299,1299
1521146663,1298,1298
1521147613,1289,1289
1521148582,1294,1294
1521149538,1291,1291
1521150494,1303,1303
1521151465,1308,1308
1521152422,1305,1305
1521153373,1308,1308
1521154341,1302,1302
1521155295,1311,1311
1521157198,1315,1315
1521158170,1304,1304
1521159156,1308,1308
1521160095,1296,1296
1521161081,1293,1293
1521162162,1276,1276
1521163087,1281,1281
1521164430,1269,1269
1521165377,1258,1258
1521166425,1239,1239
1521167546,1241,1241
1521168495,1238,1238
1521169578,1249,1249
1521170651,1246,1246
1521171611,1267,1267
1521172580,1267,1267
1521173536,1272,1272
1521174488,1261,1261
1521175463,1266,1266
1521176436,1263,1263
1521177369,1266,1266
1521178345,1250,1250
1521179290,1243,1243
1521180266,1257,1257
1521181208,1254,1254
1521182175,1248,1248
1521183127,1253,1253
1521184109,1256,1256
1521185049,1250,1250
1521186011,1234,1234
1521186965,1236,1236
1521187945,1237,1237
1521188889,1245,1245
1521189863,1247,1247
1521190815,1255,1255
1521191792,1262,1262
1521192735,1261,1261
1521193695,1260,1260
1521194655,1275,1275
1521195627,1258,1258
1521196568,1269,1269
1521197539,1238,1238
1521198490,1245,1245
1521199457,1249,1249
1521200407,1262,1262
1521201467,1260,1260
1521202571,1265,1265
1521203535,1257,1257
1521204487,1249,1249
1521205455,1249,1249
1521206409,1247,1247
1521207379,1244,1244
1521208332,1254,1254
1521209295,1264,1264
1521210265,1261,1261
1521211211,1263,1263
1521212172,1257,1257
1521213145,1256,1256
1521214091,1274,1274
1521215062,1275,1275
1521216018,1285,1285
1521216980,1293,1293
1521217944,1287,1287
1521218900,1288,1288
1521219854,1286,1286
1521220816,1289,1289
1521221771,1291,1291
1521222746,1291,1291
1521223697,1292,1292
1521224665,1293,1293
1521225609,1283,1283
1521226582,1281,1281
1521227550,1290,1290
1521228500,1292,1292
1521229457,1287,1287
1521230430,1300,1300
1521231374,1306,1306
1521232347,1306,1306
1521233293,1317,1317
1521234269,1312,1312
1521235208,1317,1317
1521236189,1320,1320
1521237135,1325,1325
1521238115,1322,1322
1521239052,1327,1327
1521240018,1321,1321
1521242216,1334,1334
1521243141,1332,1332
1521244099,1325,1325
1521245058,1324,1324
1521246029,1322,1322
1521246972,1315,1315
1521247958,1296,1296
1521248895,1275,1275
1521249866,1257,1257
1521250823,1235,1235
1521251777,1231,1231
1521252741,1215,1215
1521253703,1219,1219
1521254654,1203,1203
1521255631,1202,1202
1521256572,1198,1198
1521257557,1186,1186
1521258490,1174,1174
1521259464,1163,1163
1521260414,1155,1155
1521261645,1138,1138
1521262568,1136,1136
1521263544,1132,1132
