DateTime,AddedIPs,RemovedIPs
1521054497,96,97
1521055456,48,37
1521056421,88,196
1521057388,77,108
1521058369,47,52
1521059292,62,0
1521060255,63,90
1521061220,56,71
1521062179,519,116
1521063138,559,0
1521064106,52,70
1521065059,189,1310
1521066014,41,35
1521066990,52,99
1521067951,49,93
1521068902,77,85
1521069856,31,69
1521070968,96,97
1521072041,69,91
1521072974,45,57
1521073955,48,72
1521075187,62,173
1521076108,65,0
1521077067,29,26
1521078023,85,129
1521078975,34,68
1521079949,62,61
1521080892,47,47
1521081863,59,67
1521082829,56,78
1521083795,37,31
1521084736,44,70
1521085710,50,50
1521086677,38,91
1521087618,36,32
1521088580,59,105
1521089562,38,49
1521090518,57,106
1521091459,37,75
1521092419,75,66
1521093394,40,36
1521094341,79,95
1521095296,40,60
1521096272,82,75
1521097219,57,99
1521098190,48,46
1521099146,72,139
1521100093,55,88
1521101086,74,105
1521102029,45,0
1521102978,65,133
1521103963,60,70
1521104908,82,65
1521105862,58,61
1521106816,49,41
1521107781,64,94
1521108742,79,86
1521109692,48,0
1521110678,75,46
1521111622,78,72
1521112579,73,35
1521113552,60,74
1521114499,77,41
1521115477,66,84
1521116943,96,157
1521118102,55,21
1521119318,73,133
1521120260,36,0
1521121483,78,140
1521122415,83,92
1521123389,60,9
1521124340,48,83
1521125305,70,71
1521126259,58,53
1521127219,75,8
1521128189,57,110
1521129165,69,78
1521130094,65,37
1521131063,39,83
1521132275,95,47
1521133241,69,107
1521134186,71,23
1521135148,56,101
1521136092,82,11
1521137098,92,112
1521138012,46,75
1521138983,66,0
1521139943,68,133
1521140909,84,46
1521141855,29,0
1521142814,69,119
1521143777,34,0
1521144739,105,122
1521145695,70,0
1521146665,69,133
1521147615,55,0
1521148585,190,186
1521149540,736,0
1521150496,383,68
1521151467,187,869
1521152424,65,46
1521153375,62,94
1521154344,60,55
1521155297,89,126
1521157200,142,142
1521158172,64,17
1521159158,58,117
1521160097,48,71
1521161084,58,70
1521162164,63,91
1521163090,59,67
1521164432,90,188
1521165379,64,132
1521166427,84,64
1521167549,89,122
1521168497,33,51
1521169580,90,126
1521170653,40,24
1521171614,107,126
1521172582,59,36
1521173538,64,100
1521174490,14,8
1521175465,111,118
1521176438,67,76
1521177371,62,66
1521178347,71,5
1521179292,62,126
1521180268,57,113
1521181210,46,57
1521182177,75,112
1521183129,62,57
1521184111,76,165
1521185050,30,26
1521186013,68,127
1521186967,57,116
1521187950,99,116
1521188891,62,19
1521189866,70,137
1521190817,93,88
1521191794,51,36
1521192738,66,116
1521193697,78,26
1521194657,38,93
1521195629,84,28
1521196570,62,93
1521197541,51,65
1521198492,90,90
1521199458,29,69
1521200409,119,152
1521201469,57,0
1521202573,83,173
1521203537,63,70
1521204489,53,0
1521205457,53,69
1521206411,65,56
1521207381,86,69
1521208334,45,52
1521209297,80,111
1521210267,61,59
1521211214,89,87
1521212175,18,59
1521213147,75,81
1521214093,33,20
1521215065,95,106
1521216020,54,134
1521216982,88,63
1521217946,72,97
1521218902,68,47
1521219857,91,136
1521220818,52,41
1521221774,74,97
1521222748,70,39
1521223699,75,164
1521224668,70,45
1521225613,60,99
1521226584,44,83
1521227552,82,66
1521228502,69,81
1521229460,55,68
1521230433,47,80
1521231376,75,54
1521232350,53,111
1521233295,52,57
1521234271,124,120
1521235211,438,44
1521236191,489,123
1521237137,61,61
1521238118,192,1201
1521239054,39,73
1521240021,65,106
1521242219,101,241
1521243143,53,0
1521244102,64,53
1521245061,65,126
1521246031,41,55
1521246975,61,93
1521247960,42,66
1521248897,74,109
1521249868,40,92
1521250825,63,63
1521251779,44,95
1521252743,53,33
1521253705,42,106
1521254657,56,50
1521255634,57,81
