DateTime,AddedIPs,RemovedIPs
1521054497,851,851
1521055456,610,610
1521056421,790,790
1521057388,672,672
1521058369,600,600
1521059292,651,651
1521060255,654,654
1521061220,573,573
1521062179,529,529
1521063138,559,559
1521064106,438,438
1521065059,1677,1677
1521066014,480,480
1521066990,716,716
1521067951,478,478
1521068902,831,831
1521069856,398,398
1521070968,930,930
1521072041,663,663
1521072974,548,548
1521073955,613,613
1521075187,669,669
1521076108,690,690
1521077067,441,441
1521078023,838,838
1521078975,370,370
1521079949,737,737
1521080892,526,526
1521081863,708,708
1521082829,605,605
1521083795,550,550
1521084736,606,606
1521085710,571,571
1521086677,607,607
1521087618,510,510
1521088580,712,712
1521089562,457,457
1521090518,763,763
1521091459,397,397
1521092419,961,961
1521093394,245,245
1521094341,860,860
1521095296,589,589
1521096272,828,828
1521097219,642,642
1521098190,539,539
1521099146,615,615
1521100093,515,515
1521101086,692,692
1521102029,477,477
1521102978,680,680
1521103963,595,595
1521104908,772,772
1521105862,616,616
1521106816,560,560
1521107781,558,558
1521108742,596,596
1521109692,550,550
1521110678,706,706
1521111622,670,670
1521112579,703,703
1521113552,539,539
1521114499,591,591
1521115477,708,708
1521116943,893,893
1521118102,700,700
1521119318,799,799
1521120260,341,341
1521121483,803,803
1521122415,888,888
1521123389,692,692
1521124340,517,517
1521125305,686,686
1521126259,550,550
1521127219,692,692
1521128189,712,712
1521129165,644,644
1521130094,703,703
1521131063,377,377
1521132275,1138,1138
1521133241,620,620
1521134186,595,595
1521135148,651,651
1521136092,691,691
1521137098,805,805
1521138012,471,471
1521138983,687,687
1521139943,596,596
1521140909,804,804
1521141855,335,335
1521142814,895,895
1521143777,403,403
1521144739,948,948
1521145695,664,664
1521146665,751,751
1521147615,537,537
1521148585,897,897
1521149540,736,736
1521150496,578,578
1521151467,1812,1812
1521152424,628,628
1521153375,770,770
1521154344,695,695
1521155297,712,712
1521157200,1400,1400
1521158172,594,594
1521159158,649,649
1521160097,707,707
1521161084,738,738
1521162164,675,675
1521163090,513,513
1521164432,893,893
1521165379,606,606
1521166427,841,841
1521167549,726,726
1521168497,518,518
1521169580,815,815
1521170653,383,383
1521171614,929,929
1521172582,654,654
1521173538,625,625
1521174490,233,233
1521175465,1083,1083
1521176438,641,641
1521177371,586,586
1521178347,697,697
1521179292,605,605
1521180268,674,674
1521181210,499,499
1521182177,710,710
1521183129,468,468
1521184111,791,791
1521185050,342,342
1521186013,747,747
1521186967,510,510
1521187950,974,974
1521188891,584,584
1521189866,561,561
1521190817,701,701
1521191794,458,458
1521192738,613,613
1521193697,579,579
1521194657,445,445
1521195629,768,768
1521196570,623,623
1521197541,471,471
1521198492,632,632
1521199458,311,311
1521200409,834,834
1521201469,540,540
1521202573,742,742
1521203537,783,783
1521204489,596,596
1521205457,540,540
1521206411,538,538
1521207381,730,730
1521208334,453,453
1521209297,719,719
1521210267,655,655
1521211214,851,851
1521212175,263,263
1521213147,866,866
1521214093,372,372
1521215065,859,859
1521216020,523,523
1521216982,717,717
1521217946,592,592
1521218902,579,579
1521219857,709,709
1521220818,423,423
1521221774,785,785
1521222748,436,436
1521223699,832,832
1521224668,612,612
1521225613,658,658
1521226584,476,476
1521227552,747,747
1521228502,616,616
1521229460,646,646
1521230433,557,557
1521231376,593,593
1521232350,591,591
1521233295,553,553
1521234271,722,722
1521235211,438,438
1521236191,659,659
1521237137,399,399
1521238118,1969,1969
1521239054,438,438
1521240021,644,644
1521242219,1267,1267
1521243143,570,570
1521244102,574,574
1521245061,675,675
1521246031,446,446
1521246975,765,765
1521247960,442,442
1521248897,858,858
1521249868,478,478
1521250825,755,755
1521251779,522,522
1521252743,662,662
1521253705,559,559
1521254657,674,674
1521255634,602,602
1521256575,407,407
1521257559,668,668
1521258493,518,518
1521259466,699,699
1521260416,481,481
1521261648,952,952
1521262571,240,240
1521263548,912,912
1521264491,238,238
1521265485,928,928
1521266421,566,566
1521267407,595,595
1521268338,588,588
1521269315,482,482
1521270260,696,696
1521271231,448,448
1521272174,649,649
1521273147,426,426
1521274096,729,729
1521275080,368,368
1521276013,695,695
1521276980,359,359
1521277941,837,837
1521278900,473,473
1521279871,668,668
1521280842,470,470
1521281788,625,625
1521282754,559,559
1521283760,574,574
1521284674,561,561
1521285614,483,483
1521286598,649,649
1521287533,418,418
1521288533,820,820
1521289469,257,257
1521290422,829,829
1521291373,237,237
1521292367,712,712
1521293292,277,277
1521294264,944,944
1521295225,110,110
1521296194,901,901
1521297140,594,594
1521298102,525,525
1521299060,661,661
1521300030,422,422
1521300974,611,611
1521301959,474,474
1521302896,698,698
1521303865,399,399
1521304818,827,827
1521305792,173,173
1521306742,894,894
1521307729,651,651
1521308719,673,673
1521309640,521,521
1521310572,632,632
1521311562,547,547
1521312496,524,524
1521313469,658,658
1521314414,533,533
1521315397,699,699
1521316333,508,508
1521317313,863,863
1521318338,620,620
1521319468,829,829
1521320419,609,609
1521321391,539,539
1521322339,660,660
1521323317,530,530
1521324506,1651,1651
1521325454,350,350
1521326935,1183,1183
1521327861,677,677
1521328819,539,539
1521329924,839,839
1521330971,351,351
1521331943,873,873
1521332901,324,324
1521333858,937,937
1521334815,539,539
1521335788,681,681
1521336738,531,531
1521337700,565,565
1521338659,682,682
1521339613,522,522
1521340590,725,725
1521341553,477,477
1521342496,696,696
1521343459,399,399
1521344418,884,884
1521345389,290,290
1521346340,845,845
1521347298,292,292
1521348279,976,976
1521349224,127,127
1521350171,886,886
1521351152,588,588
1521352094,590,590
1521353062,159,159
1521354011,903,903
1521355000,811,811
1521355936,394,394
1521356897,783,783
1521357855,313,313
1521358820,874,874
1521359770,477,477
1521360756,629,629
1521361695,257,257
1521362667,939,939
1521363625,307,307
1521364586,790,790
1521365538,375,375
1521366496,677,677
1521367475,520,520
1521368418,483,483
1521369377,177,177
1521370351,802,802
1521371297,675,675
1521372256,441,441
1521373214,686,686
1521374186,237,237
1521375159,791,791
1521376093,264,264
1521377059,852,852
1521378022,325,325
1521378988,744,744
1521379941,467,467
1521380895,684,684
1521381875,575,575
1521382831,513,513
1521383780,619,619
1521384737,472,472
1521385712,733,733
1521386667,368,368
1521387617,728,728
1521388575,284,284
1521389553,860,860
1521390511,232,232
1521391463,1055,1055
1521392428,221,221
1521393390,905,905
1521394349,671,671
1521395296,540,540
1521396277,129,129
1521397216,981,981
1521398190,632,632
1521399157,530,530
1521400103,822,822
1521401057,384,384
1521402285,1749,1749
1521403220,258,258
1521404177,966,966
1521405151,615,615
1521406125,618,618
1521407061,321,321
1521408013,801,801
1521408993,686,686
1521409954,460,460
1521410896,1628,1628
1521411856,568,568
1521414068,1441,1441
1521414970,611,611
1521416372,870,870
1521417371,363,363
1521418587,1007,1007
1521419534,456,456
1521420495,712,712
1521421720,773,773
1521422658,364,364
1521423624,873,873
1521424578,364,364
1521425546,821,821
1521426495,358,358
1521427472,793,793
1521428416,134,134
1521429385,927,927
1521430338,424,424
1521431410,790,790
1521432502,720,720
1521433470,352,352
1521434416,837,837
1521435372,243,243
1521436355,961,961
1521437309,208,208
1521438259,1027,1027
1521439219,297,297
1521440186,854,854
1521441138,522,522
1521442096,512,512
1521443070,617,617
1521444015,413,413
1521444986,663,663
1521445937,405,405
1521446896,682,682
1521447856,471,471
1521449077,969,969
1521450021,470,470
1521450983,528,528
1521451935,263,263
1521452911,698,698
1521453866,345,345
1521454815,629,629
1521455775,624,624
1521456743,395,395
1521457697,635,635
1521458655,681,681
1521459614,608,608
1521460582,536,536
1521461557,592,592
1521462493,444,444
1521463458,793,793
1521464418,494,494
1521465387,538,538
1521466339,580,580
1521467297,608,608
1521468276,690,690
1521469221,553,553
1521470178,587,587
1521471136,457,457
1521472110,668,668
1521473057,674,674
1521474022,714,714
1521474980,521,521
1521475952,867,867
1521476896,467,467
1521477874,777,777
1521478824,522,522
1521480049,937,937
1521480975,870,870
1521481938,406,406
1521482896,839,839
1521483892,358,358
1521484816,913,913
1521485774,296,296
1521486740,854,854
1521487739,563,563
1521488664,780,780
1521489635,650,650
1521491096,932,932
1521492013,679,679
1521492973,274,274
1521493951,1044,1044
1521494896,649,649
1521495858,612,612
1521496827,435,435
1521497776,1890,1890
1521498755,673,673
1521499939,721,721
1521500906,814,814
1521501856,826,826
1521502818,624,624
1521503770,715,715
1521504753,747,747
1521505939,856,856
1521507161,656,656
1521508096,867,867
1521509062,527,527
1521510016,775,775
1521510997,275,275
1521511939,916,916
1521512894,604,604
1521513879,632,632
1521514830,597,597
1521515773,453,453
1521516752,700,700
1521517696,558,558
1521518786,687,687
1521519866,556,556
1521520812,709,709
1521521771,386,386
1521522746,790,790
1521523694,653,653
1521524656,666,666
1521525624,572,572
1521526590,641,641
1521527537,555,555
1521528504,638,638
1521529457,739,739
1521530425,490,490
1521531376,755,755
1521532360,555,555
1521533296,653,653
1521534268,414,414
1521535215,823,823
1521536191,599,599
1521537146,553,553
1521538099,276,276
1521539056,898,898
1521540047,258,258
1521540973,777,777
1521541944,536,536
1521542898,627,627
1521543872,633,633
1521544813,431,431
