DateTime,AddedIPs,RemovedIPs
1518969619,0,2
1518973219,1,2
1518976817,0,1
1518980417,1,1
1518984017,1,4
1518991222,2,0
1518994822,1,0
1518998423,0,4
1519002022,0,3
1519009217,1,0
1519012814,0,2
1519020022,0,1
1519023615,1,0
1519041615,0,1
1519045217,0,2
1519048820,1,1
1519052421,1,1
1519056016,1,0
1519059618,1,1
1519063222,0,2
1519066822,1,2
1519070421,1,0
1519081222,2,0
1519088422,1,0
1519092021,0,2
1519095618,1,1
1519099218,0,1
1519106420,0,1
1519110015,1,0
1519113615,1,1
1519117215,1,2
1519124414,0,1
1519128019,1,2
1519131623,0,1
1519138815,2,1
1519142419,1,3
1519146019,3,0
1519149618,0,2
1519153227,2,0
1519156820,1,0
1519160418,0,1
1519164017,2,4
1519171218,1,1
1519174820,0,3
1519178423,0,2
1519182021,1,0
1519189222,1,2
1519196415,7,1
1519200014,3,3
1519203618,4,1
1519207218,5,2
1519214418,4,0
1519218015,4,4
1519225216,7,0
1519228816,3,0
1519232416,1,0
1519236016,1,0
1519239616,2,0
1519243216,2,3
1519250417,1,1
1519254020,2,0
1519257620,0,1
1519264820,1,4
1519268417,2,0
1519272019,0,2
1519275618,1,1
1519279220,2,1
1519282824,2,2
1519286424,3,2
1519290025,1,0
1519293618,4,0
1519297222,2,0
1519300818,1,0
1519304417,2,0
1519311617,6,4
1519315216,3,0
1519318817,0,2
1519322417,3,0
1519326016,0,1
1519329616,1,3
1519333216,1,0
1519336822,1,2
1519340416,1,1
1519344023,0,1
1519347621,0,3
1519351222,0,3
1519354823,1,4
1519358417,2,2
1519362023,2,2
1519369222,1,0
1519372829,2,0
1519376423,2,0
1519380027,1,0
1519383623,1,0
1519387224,1,0
1519394418,1,0
1519408822,0,1
1519412437,0,1
1519423216,0,1
1519437616,2,0
1519448418,1,0
1519452019,1,0
1519455620,0,1
1519466429,0,1
1519495219,1,0
1519498823,1,0
1519502423,1,0
1519524017,0,1
1519542017,1,0
1519549217,1,0
1519552818,1,0
1519556420,1,0
1519560019,2,0
1519563619,2,1
1519567219,1,2
1519570819,2,0
1519574419,1,1
1519578019,2,2
1519581617,2,0
1519585217,1,1
1519588819,0,1
1519592427,1,1
1519596019,2,2
1519599622,0,1
1519603217,0,1
1519606817,3,0
1519610416,0,1
1519614021,0,1
1519617617,0,1
1519621217,1,2
1519624816,0,2
1519628419,1,0
1519642822,1,0
1519646422,0,1
1519653625,0,1
1519657219,0,1
1519664419,1,0
1519668019,1,0
1519671616,0,1
1519675217,3,0
1519686017,0,1
1519693225,2,1
1519696817,1,0
1519700417,0,1
1519704025,1,1
1519707626,1,0
1519711221,2,1
1519714824,1,0
1519718417,0,2
1519722023,1,0
1519725619,1,0
1519732825,0,2
1519740020,1,0
1519743619,1,0
1519747220,2,1
1519750819,0,2
1519758017,1,4
1519768817,0,2
1519772417,1,1
1519776017,1,0
1519783217,1,1
1519786817,4,1
1519794017,0,2
1519797617,1,1
1519801219,0,4
1519804816,0,2
1519808420,0,1
1519812020,0,6
1519815619,0,2
1519819218,0,4
1519822821,1,6
1519826428,1,1
1519830018,0,7
1519833619,0,3
1519837215,1,2
1519840816,2,1
1519844415,2,1
1519848018,0,1
1519851618,2,0
1519855215,1,1
1519858816,1,2
1519862415,0,1
1519869616,0,2
1519873215,0,1
1519876815,0,1
1519880415,1,1
1519887615,0,1
1519891214,0,4
1519894815,1,1
1519898416,2,1
1519902015,3,0
1519905616,2,1
1519909219,2,1
1519912817,2,2
1519920015,0,2
1519927215,1,1
1519930815,2,2
1519934419,0,1
1519938017,1,2
1519941616,2,0
1519945222,1,0
1519948814,2,3
1519952416,0,2
1519956016,1,0
1519959617,0,4
1519963222,0,4
1519966815,0,5
1519970419,0,1
1519977620,0,2
1519981217,1,3
1519984828,0,1
1519988424,0,1
1519992024,2,0
1520002817,0,1
1520013618,1,0
1520017217,1,1
1520024420,0,1
1520042414,0,1
1520056825,0,1
1520096421,1,0
1520100023,1,1
1520103615,0,1
1520107214,0,1
1520146819,0,1
1520154021,1,0
1520157617,3,0
1520161217,3,0
1520168417,2,0
1520172015,0,1
1520179215,2,0
1520182817,3,0
1520186422,3,2
1520193616,38,1
1520197217,19,2
1520200829,4,1
1520204417,0,1
1520208030,0,1
1520211619,1,1
1520215224,0,1
1520218818,0,2
1520222423,0,1
1520226019,1,4
1520229619,0,1
1520233220,1,0
1520247617,1,0
1520254820,1,0
1520258419,2,0
1520265617,7,0
1520269221,29,0
1520272822,1,0
1520280020,0,2
1520283620,0,1
1520290819,0,1
1520301624,0,3
1520308831,0,1
1520316027,2,0
1520323225,1,0
1520326828,0,1
1520330440,0,1
1520334027,0,2
1520337620,1,1
1520348419,1,0
1520352018,0,1
1520355618,1,1
1520362818,0,1
1520377222,0,2
1520380824,2,0
1520388021,1,0
1520391618,0,3
1520395220,0,1
1520398823,1,0
1520413218,1,0
1520416818,0,1
1520420418,1,0
1520427621,0,2
1520431219,3,1
1520434821,1,0
1520438420,8,0
1520442019,3,1
1520445621,7,0
1520449222,3,1
1520452828,6,0
1520456428,2,0
1520460022,1,3
1520463622,2,1
1520467221,0,2
1520470821,4,0
1520474420,5,0
1520478021,8,0
1520485224,2,0
1520488826,1,0
1520492424,1,0
1520496022,1,1
1520499623,1,0
1520503221,1,0
1520506825,2,2
1520510424,2,0
1520514025,1,2
1520517621,2,0
1520521223,0,1
1520524825,1,3
1520528421,0,2
1520532023,1,2
1520535620,2,1
1520539220,1,2
1520542820,4,2
1520546420,1,3
1520550021,1,3
1520553620,3,1
1520557220,1,2
1520560820,1,4
1520564420,1,6
1520568019,0,2
1520571620,0,1
1520575220,1,0
1520586020,0,1
1520589621,2,0
1520593222,1,1
1520618427,6,1
1520622027,1,1
1520625624,3,1
1520632822,1,1
1520636420,0,1
1520640020,0,1
1520643620,2,0
1520647220,1,0
1520650822,0,1
1520654422,0,1
1520658022,2,0
1520665224,1,0
1520672426,1,0
1520683232,0,1
1520686821,1,0
1520690421,1,0
1520701221,2,1
1520704821,0,1
1520708421,2,0
1520722839,1,0
1520748031,0,2
1520755228,3,0
1520758829,1,0
1520762425,1,1
1520766021,2,0
1520769621,2,0
1520773221,0,1
1520776820,4,0
1520780421,3,1
1520784021,2,2
1520787621,1,0
1520791225,0,1
1520798431,4,39
1520802021,0,17
1520805624,2,7
1520809226,1,1
1520812828,0,1
1520816424,0,2
1520820026,2,2
1520827226,0,1
1520830824,0,5
1520834423,0,1
1520838018,1,0
1520841619,1,0
1520845219,2,0
1520848818,1,0
