DateTime,Entries,UniqueIPs
1518969619,213,213
1518973219,212,212
1518976817,211,211
1518980417,211,211
1518984017,208,208
1518991222,210,210
1518994822,211,211
1518998423,207,207
1519002022,204,204
1519009217,205,205
1519012814,203,203
1519020022,202,202
1519023615,203,203
1519041615,202,202
1519045217,200,200
1519048820,200,200
1519052421,200,200
1519056016,201,201
1519059618,201,201
1519063222,199,199
1519066822,198,198
1519070421,199,199
1519081222,201,201
1519088422,202,202
1519092021,200,200
1519095618,200,200
1519099218,199,199
1519106420,198,198
1519110015,199,199
1519113615,199,199
1519117215,198,198
1519124414,197,197
1519128019,196,196
1519131623,195,195
1519138815,196,196
1519142419,194,194
1519146019,197,197
1519149618,195,195
1519153227,197,197
1519156820,198,198
1519160418,197,197
1519164017,195,195
1519171218,195,195
1519174820,192,192
1519178423,190,190
1519182021,191,191
1519189222,190,190
1519196415,196,196
1519200014,196,196
1519203618,199,199
1519207218,202,202
1519214418,206,206
1519218015,206,206
1519225216,213,213
1519228816,216,216
1519232416,217,217
1519236016,218,218
1519239616,220,220
1519243216,219,219
1519250417,219,219
1519254020,221,221
1519257620,220,220
1519264820,217,217
1519268417,219,219
1519272019,217,217
1519275618,217,217
1519279220,218,218
1519282824,218,218
1519286424,219,219
1519290025,220,220
1519293618,224,224
1519297222,226,226
1519300818,227,227
1519304417,229,229
1519311617,231,231
1519315216,234,234
1519318817,232,232
1519322417,235,235
1519326016,234,234
1519329616,232,232
1519333216,233,233
1519336822,232,232
1519340416,232,232
1519344023,231,231
1519347621,228,228
1519351222,225,225
1519354823,222,222
1519358417,222,222
1519362023,222,222
1519369222,223,223
1519372829,225,225
1519376423,227,227
1519380027,228,228
1519383623,229,229
1519387224,230,230
1519394418,231,231
1519408822,230,230
1519412437,229,229
1519423216,228,228
1519437616,230,230
1519448418,231,231
1519452019,232,232
1519455620,231,231
1519466429,230,230
1519495219,231,231
1519498823,232,232
1519502423,233,233
1519524017,232,232
1519542017,233,233
1519549217,234,234
1519552818,235,235
1519556420,236,236
1519560019,238,238
1519563619,239,239
1519567219,238,238
1519570819,240,240
1519574419,240,240
1519578019,240,240
1519581617,242,242
1519585217,242,242
1519588819,241,241
1519592427,241,241
1519596019,241,241
1519599622,240,240
1519603217,239,239
1519606817,242,242
1519610416,241,241
1519614021,240,240
1519617617,239,239
1519621217,238,238
1519624816,236,236
1519628419,237,237
1519642822,238,238
1519646422,237,237
1519653625,236,236
1519657219,235,235
1519664419,236,236
1519668019,237,237
1519671616,236,236
1519675217,239,239
1519686017,238,238
1519693225,239,239
1519696817,240,240
1519700417,239,239
1519704025,239,239
1519707626,240,240
1519711221,241,241
1519714824,242,242
1519718417,240,240
1519722023,241,241
1519725619,242,242
1519732825,240,240
1519740020,241,241
1519743619,242,242
1519747220,243,243
1519750819,241,241
1519758017,238,238
1519768817,236,236
1519772417,236,236
1519776017,237,237
1519783217,237,237
1519786817,240,240
1519794017,238,238
1519797617,238,238
1519801219,234,234
1519804816,232,232
1519808420,231,231
1519812020,225,225
1519815619,223,223
1519819218,219,219
1519822821,214,214
1519826428,214,214
1519830018,207,207
1519833619,204,204
1519837215,203,203
1519840816,204,204
1519844415,205,205
1519848018,204,204
1519851618,206,206
1519855215,206,206
1519858816,205,205
1519862415,204,204
1519869616,202,202
1519873215,201,201
1519876815,200,200
1519880415,200,200
1519887615,199,199
1519891214,195,195
1519894815,195,195
1519898416,196,196
1519902015,199,199
1519905616,200,200
1519909219,201,201
1519912817,201,201
1519920015,199,199
1519927215,199,199
1519930815,199,199
1519934419,198,198
1519938017,197,197
1519941616,199,199
1519945222,200,200
1519948814,199,199
1519952416,197,197
1519956016,198,198
1519959617,194,194
1519963222,190,190
1519966815,185,185
1519970419,184,184
1519977620,182,182
1519981217,180,180
1519984828,179,179
1519988424,178,178
1519992024,180,180
1520002817,179,179
1520013618,180,180
1520017217,180,180
1520024420,179,179
1520042414,178,178
1520056825,177,177
1520096421,178,178
1520100023,178,178
1520103615,177,177
1520107214,176,176
1520146819,175,175
1520154021,176,176
1520157617,179,179
1520161217,182,182
1520168417,184,184
1520172015,183,183
1520179215,185,185
1520182817,188,188
1520186422,189,189
1520193616,226,226
1520197217,243,243
1520200829,246,246
1520204417,245,245
1520208030,244,244
1520211619,244,244
1520215224,243,243
1520218818,241,241
1520222423,240,240
1520226019,237,237
1520229619,236,236
1520233220,237,237
1520247617,238,238
1520254820,239,239
1520258419,241,241
1520265617,248,248
1520269221,277,277
1520272822,278,278
1520280020,276,276
1520283620,275,275
1520290819,274,274
1520301624,271,271
1520308831,270,270
1520316027,272,272
1520323225,273,273
1520326828,272,272
1520330440,271,271
1520334027,269,269
1520337620,269,269
1520348419,270,270
1520352018,269,269
1520355618,269,269
1520362818,268,268
1520377222,266,266
1520380824,268,268
1520388021,269,269
1520391618,266,266
1520395220,265,265
1520398823,266,266
1520413218,267,267
1520416818,266,266
1520420418,267,267
1520427621,265,265
1520431219,267,267
1520434821,268,268
1520438420,276,276
1520442019,278,278
1520445621,285,285
1520449222,287,287
1520452828,293,293
1520456428,295,295
1520460022,293,293
1520463622,294,294
1520467221,292,292
1520470821,296,296
1520474420,301,301
1520478021,309,309
1520485224,311,311
1520488826,312,312
1520492424,313,313
1520496022,313,313
1520499623,314,314
1520503221,315,315
1520506825,315,315
1520510424,317,317
1520514025,316,316
1520517621,318,318
1520521223,317,317
1520524825,315,315
1520528421,313,313
1520532023,312,312
1520535620,313,313
1520539220,312,312
1520542820,314,314
1520546420,312,312
1520550021,310,310
1520553620,312,312
1520557220,311,311
1520560820,308,308
1520564420,303,303
1520568019,301,301
1520571620,300,300
1520575220,301,301
1520586020,300,300
1520589621,302,302
1520593222,302,302
1520618427,307,307
1520622027,307,307
1520625624,309,309
1520632822,309,309
1520636420,308,308
1520640020,307,307
1520643620,309,309
1520647220,310,310
1520650822,309,309
1520654422,308,308
1520658022,310,310
1520665224,311,311
1520672426,312,312
1520683232,311,311
1520686821,312,312
1520690421,313,313
1520701221,314,314
1520704821,313,313
1520708421,315,315
1520722839,316,316
1520748031,314,314
1520755228,317,317
1520758829,318,318
1520762425,318,318
1520766021,320,320
1520769621,322,322
1520773221,321,321
1520776820,325,325
1520780421,327,327
1520784021,327,327
1520787621,328,328
1520791225,327,327
1520798431,292,292
1520802021,275,275
1520805624,270,270
1520809226,270,270
1520812828,269,269
1520816424,267,267
1520820026,267,267
1520827226,266,266
1520830824,261,261
1520834423,260,260
1520838018,261,261
1520841619,262,262
1520845219,264,264
1520848818,265,265
1520856020,266,266
1520863221,263,263
1520866829,266,266
1520870422,261,261
1520874026,230,230
1520877620,229,229
1520881228,231,231
1520884822,232,232
1520888419,231,231
1520892020,230,230
1520895618,231,231
1520899219,232,232
1520902821,233,233
1520906419,231,231
1520917216,233,233
1520931618,235,235
1520942423,233,233
1520946024,232,232
1520949624,231,231
1520956820,231,231
1520967619,230,230
1520974817,231,231
1520982016,233,233
1520985616,231,231
1520989223,230,230
1520992816,230,230
1520996422,231,231
1521000017,230,230
1521003619,229,229
1521018022,230,230
1521021623,231,231
1521028820,232,232
1521039617,233,233
1521043216,229,229
1521046816,226,226
1521050416,224,224
1521054018,220,220
1521057615,216,216
1521061216,214,214
1521064823,215,215
1521068417,211,211
1521072017,212,212
1521075617,205,205
1521079219,203,203
1521082816,193,193
1521090017,189,189
1521093615,188,188
1521097214,185,185
1521100814,183,183
1521104416,182,182
1521111614,184,184
1521115214,185,185
1521118814,189,189
1521122415,190,190
1521126015,192,192
1521129615,191,191
1521133215,193,193
1521140417,194,194
1521144022,196,196
1521147622,196,196
1521151218,195,195
1521154817,191,191
1521158418,190,190
1521162021,189,189
1521165618,187,187
1521169219,184,184
1521172820,181,181
1521176423,179,179
1521180018,178,178
1521183618,179,179
1521187216,180,180
1521194417,181,181
1521198016,182,182
1521201617,183,183
1521205220,184,184
1521208821,186,186
1521216025,188,188
1521223219,187,187
1521226818,189,189
1521230417,187,187
1521237618,186,186
1521241214,187,187
1521244814,186,186
1521248421,182,182
1521252018,177,177
1521255616,178,178
1521266420,179,179
1521270017,178,178
1521273621,177,177
1521277221,176,176
1521280826,177,177
1521298821,175,175
1521302414,176,176
1521306014,178,178
1521313213,177,177
1521320415,178,178
1521324016,177,177
1521327614,176,176
1521331216,175,175
1521334817,174,174
1521345618,175,175
1521352814,176,176
1521356419,179,179
1521360014,180,180
1521363614,182,182
1521367214,184,184
1521370814,183,183
1521374414,184,184
1521378014,186,186
1521381614,186,186
1521388817,184,184
1521392417,185,185
1521396015,185,185
1521399617,185,185
1521403218,185,185
1521406815,184,184
1521410417,182,182
1521414014,180,180
1521417619,182,182
1521421214,180,180
1521428416,181,181
1521432016,180,180
1521435614,179,179
1521446415,181,181
1521450018,180,180
1521453620,179,179
1521457218,180,180
1521471636,179,179
1521486016,181,181
1521489614,181,181
1521493214,180,180
1521496815,181,181
1521500415,184,184
1521504014,183,183
1521518414,185,185
1521522016,183,183
