DateTime,AddedIPs,RemovedIPs
1518163214,0,1
1518166817,1,0
1518174017,1,1
1518177620,0,1
1518181223,2,1
1518184819,1,0
1518188419,1,1
1518192020,4,0
1518195617,6,1
1518199218,5,3
1518202818,1,0
1518206419,2,0
1518210022,1,0
1518213620,1,0
1518217219,1,1
1518220817,2,0
1518224417,1,0
1518235217,0,1
1518238816,1,0
1518242417,0,1
1518249620,0,1
1518260418,1,0
1518274819,1,0
1518282015,1,0
1518285616,1,0
1518289214,0,2
1518300015,0,1
1518307215,0,1
1518314419,0,3
1518350425,2,1
1518354021,2,0
1518357622,1,0
1518361219,1,0
1518364817,0,1
1518372020,0,2
1518379216,0,1
1518382822,0,2
1518390017,1,1
1518393617,0,1
1518397221,1,1
1518408017,0,1
1518411621,0,1
1518418817,0,3
1518422415,0,1
1518426015,0,1
1518433218,0,1
1518436814,0,1
1518440414,1,0
1518444014,1,0
1518447625,1,1
1518451224,0,6
1518454821,0,29
1518458425,1,3
1518462014,2,0
1518465616,1,0
1518469221,1,0
1518472819,0,1
1518487217,1,1
1518490822,1,0
1518498023,1,1
1518501621,1,0
1518505218,0,2
1518508817,0,1
1518512417,2,0
1518516024,1,1
1518519619,1,1
1518523220,3,0
1518526818,5,1
1518537620,2,1
1518541215,1,0
1518544814,1,1
1518552015,1,3
1518555615,1,2
1518559215,1,0
1518562831,1,2
1518566419,1,1
1518570019,1,1
1518573621,0,3
1518577219,1,0
1518580822,1,0
1518595215,2,0
1518631214,0,1
1518634814,0,1
1518638417,1,1
1518645619,1,0
1518649218,1,1
1518652824,0,2
1518660021,1,1
1518663615,0,1
1518667214,1,2
1518670817,1,0
1518678014,0,2
1518681617,0,1
1518692421,0,1
1518703218,0,1
1518706821,2,3
1518710419,0,1
1518714013,2,9
1518724823,3,0
1518732022,2,0
1518742821,1,1
1518753615,1,1
1518760815,0,2
1518771615,0,1
1518778813,0,1
1518782420,0,1
1518786014,1,0
1518793212,0,1
1518796813,0,1
1518804013,0,2
1518807614,1,4
1518811212,0,2
1518814812,0,6
1518822015,0,2
1518825613,1,1
1518829214,0,1
1518861611,0,3
1518865214,0,1
1518872413,0,2
1518883212,0,2
1518890411,1,3
1518897611,0,1
1518904816,0,1
1518912019,0,1
1518937214,0,2
1518940818,0,1
1518944418,0,1
1518948021,0,1
1518955222,0,1
1518958818,0,1
1518962418,0,2
1518980413,1,1
1518984013,1,0
1519002019,0,1
1519023610,1,0
1519041610,0,1
1519045218,0,2
1519048817,1,0
1519052412,1,1
1519056012,1,0
1519059614,1,0
1519063221,0,1
1519066818,1,2
1519070417,1,0
1519081218,2,0
1519088419,1,0
1519092020,0,2
1519095614,1,1
1519099213,0,1
1519106416,0,1
1519113611,1,1
1519117210,1,2
1519124410,0,1
1519128011,1,2
1519131610,0,1
1519138810,1,1
1519142410,1,3
1519146019,2,0
1519149612,0,1
1519156815,1,0
1519160414,0,1
1519164013,2,1
1519171214,1,0
1519174820,0,2
1519182017,1,0
1519189216,1,1
1519196412,7,0
1519200011,3,1
1519203611,4,0
1519207214,5,0
1519214418,4,0
1519218011,4,0
1519225212,7,0
1519228811,3,0
1519232412,1,0
1519236013,1,0
1519239612,2,0
1519243212,2,3
1519250413,1,1
1519254020,0,1
1519264819,1,4
1519268417,1,1
1519272016,0,2
1519275614,1,1
1519279221,1,1
1519282821,2,2
1519286420,3,1
1519290021,1,0
1519293615,1,0
1519304413,1,0
1519311613,3,3
1519315212,2,0
1519318814,0,2
1519322412,1,0
1519329611,1,3
1519333215,1,0
1519336812,0,2
1519358414,2,0
1519362021,2,0
1519369219,1,0
1519372825,2,0
1519376420,2,0
1519380025,1,0
1519383619,1,0
1519394414,1,0
1519412425,0,1
1519423212,0,1
1519437612,1,0
1519448413,1,0
1519452016,1,0
1519455616,0,1
1519495215,1,0
1519542013,1,0
1519581613,1,0
1519585214,1,1
1519588815,0,1
1519596016,2,0
1519606813,1,0
1519628415,1,0
1519642818,1,0
1519646418,0,1
1519653620,0,1
1519657215,0,1
