DateTime,AddedIPs,RemovedIPs
1508976098,1,0
1509015707,1,0
1509055306,1,0
1509062512,0,1
1509066104,0,1
1509080498,2,0
1509123700,1,0
1509138103,1,0
1509163303,0,1
1509192105,1,0
1509278508,0,1
1509314512,1,0
1509318114,1,0
1509332506,1,0
1509361304,0,1
1509375699,1,0
1509411706,1,0
1509458510,1,0
1509505317,0,2
1509508901,0,1
1509537704,2,0
1509548521,1,1
1509562912,0,1
1509580909,1,0
1509685319,0,1
1509742910,0,1
1509753722,0,1
1509796924,1,1
1509836510,1,0
1509872504,1,0
1509876107,1,0
1509901312,1,0
1509912113,1,0
1509966119,1,0
1509998516,0,1
1510002111,0,1
1510045324,0,1
1510074118,0,1
1510113729,1,0
1510124530,1,1
1510128129,1,0
1510138940,1,0
1510149732,1,1
1510153339,0,2
1510156928,1,0
1510160533,1,0
1510164130,1,1
1510185722,0,1
1510200123,1,0
1510214530,0,1
1510261323,0,1
1510268524,1,0
1510315315,0,1
1510329721,0,1
1510408909,0,1
1510441319,0,1
1510452119,2,0
1510455730,0,1
1510459326,3,0
1510462890,5,0
1510531332,0,1
1510563700,1,0
1510570926,0,1
1510596106,1,0
1510603315,1,0
1510606921,1,0
1510614121,1,0
1510639323,2,0
1510653721,1,0
1510660918,1,0
1510675318,0,1
1510686118,1,1
1510693326,2,0
1510700531,0,1
1510707721,1,0
1510714909,2,0
1510718521,1,0
1510736515,1,0
1510743705,0,1
1510758115,1,0
1510761709,0,1
1510765323,1,0
1510768925,0,1
1510776113,0,1
1510790525,1,0
1510794124,1,0
1510840927,1,0
1510884121,0,1
1510916494,1,0
1510934489,1,0
1510938083,3,0
1510966922,1,0
1510970515,0,1
1510981319,2,0
1511046120,2,0
1511053329,1,0
1511064136,0,1
1511067728,0,1
1511082133,0,6
1511085732,0,1
1511089330,1,0
1511110937,0,1
1511128936,1,0
1511150547,0,1
1511168532,1,0
1511208138,0,1
1511211716,0,1
1511215326,0,1
1511244129,0,2
1511280133,0,2
1511305328,0,1
1511312530,1,0
1511323331,0,1
1511334121,0,1
1511341323,0,2
1511352122,2,0
1511366528,0,1
1511373725,0,2
1511388126,1,1
1511391731,0,1
1511398928,1,1
1511406159,2,0
1511427746,0,2
1511434939,0,1
1511442146,0,1
1511445752,0,1
1511474525,1,0
1511485328,0,1
1511521341,0,1
1511557329,0,3
1511560932,0,1
1511564526,0,1
1511593323,1,0
1511596929,1,1
1511604123,0,1
1511611330,0,1
1511658145,0,1
1511668939,1,0
1511694123,0,1
1511708529,0,1
1511726542,0,1
1511776900,1,0
1511780503,1,0
1511809335,1,0
1511834535,0,1
1511841725,1,0
1511870522,0,1
1511899331,1,0
1511902935,1,0
1511956946,0,1
1511960495,0,1
1511978542,0,1
1512000143,0,1
1512010951,0,1
1512079350,0,1
1512086554,0,1
1512144149,1,0
1512216114,0,1
1512266558,1,0
1512273719,0,1
1512306149,1,0
1512396139,1,0
1512453724,1,0
1512500553,0,1
1512504153,0,1
1512522154,1,0
1512525740,0,1
