DateTime,AddedIPs,RemovedIPs
1519390961,0,3
1519394542,1,3
1519398142,1,4
1519401771,2,1
1519405419,1,1
1519408998,2,1
1519412596,1,0
1519416202,1,0
1519419826,0,5
1519423395,2,3
1519426968,1,0
1519430603,1,3
1519434205,1,0
1519437785,1,1
1519441388,1,0
1519445007,2,2
1519448561,1,2
1519452182,1,0
1519455791,1,1
1519459393,0,2
1519462955,4,2
1519466581,1,0
1519470195,1,0
1519473791,1,0
1519477414,2,1
1519480994,1,2
1519484588,2,0
1519488171,1,0
1519495356,1,1
1519498960,0,1
1519502573,0,1
1519506182,2,0
1519509817,2,0
1519513421,1,3
1519517024,0,2
1519520594,0,1
1519524204,1,0
1519527812,1,3
1519531410,1,0
1519535021,0,1
1519556567,0,1
1519560211,0,1
1519563818,1,1
1519571029,1,1
1519574624,0,1
1519578222,1,1
1519581815,0,1
1519585419,0,1
1519589009,0,2
1519596207,1,0
1519603417,2,2
1519607003,1,0
1519614213,1,1
1519617815,1,2
1519621425,3,1
1519625020,1,0
1519628564,1,0
1519635807,1,1
1519643020,1,0
1519650218,1,0
1519653817,2,11
1519657426,0,2
1519661019,1,0
1519664626,3,0
1519668210,1,1
1519671794,0,1
1519679019,0,1
1519682621,1,1
1519686207,1,2
1519689804,5,3
1519693408,2,1
1519696995,0,1
1519700611,0,2
1519704212,1,0
1519707817,1,1
1519711410,2,0
1519715016,0,2
1519718559,0,2
1519722174,0,3
1519733009,0,1
1519736621,1,0
1519740214,0,2
1519743782,0,2
1519747384,1,2
1519750975,0,2
1519758155,2,0
1519761767,1,0
1519765423,1,0
1519769005,0,2
1519772616,2,1
1519776205,1,2
1519779803,3,0
1519783396,0,1
1519786977,2,3
1519790561,0,1
1519794192,0,1
1519797806,0,1
1519801421,4,0
1519805017,0,1
1519808572,1,4
1519812193,2,0
1519815823,1,4
1519819409,1,1
1519830187,1,1
1519833791,1,3
1519837384,1,0
1519840977,1,1
1519844555,2,1
1519848150,1,0
1519851772,1,0
1519855392,5,1
1519858998,3,2
1519862587,2,1
1519866213,2,0
1519869815,4,3
1519873392,0,2
1519876979,0,3
1519880614,0,1
1519884167,1,0
1519887772,0,2
1519895005,0,1
1519898568,0,1
1519902161,1,1
1519905800,2,1
1519909399,2,1
1519912994,1,0
1519916608,1,3
1519920196,2,2
1519923777,1,0
1519930991,0,3
1519934567,1,4
1519938177,0,1
1519941782,1,1
1519949014,3,14
1519952618,6,1
1519956190,1,2
1519959834,4,3
1519963438,2,1
1519967010,1,1
1519970612,0,2
1519977804,2,2
1519981394,1,1
1519988570,1,3
1519992142,0,1
1519995750,1,1
1519999345,0,2
1520002943,2,1
1520006541,0,4
1520013748,1,2
1520017367,1,1
1520024576,0,2
1520028185,1,1
1520031789,4,3
1520035469,1,2
1520039002,0,3
1520042575,3,1
1520049756,0,2
1520053401,0,1
1520057052,1,1
1520060600,0,1
1520064191,1,2
1520067794,2,1
1520071393,1,0
1520082155,0,3
1520085763,0,1
1520092993,4,1
1520096590,4,0
1520100219,1,1
1520103804,1,0
1520107431,1,2
1520111020,4,1
1520114576,0,1
1520118179,2,0
1520121796,1,1
1520125369,1,0
1520129008,3,3
1520132613,0,1
1520136192,2,1
1520139765,0,1
1520146973,1,0
1520157755,0,2
1520161388,0,4
1520164965,1,2
1520168546,1,2
1520172170,0,3
1520175813,1,2
1520182972,3,1
1520186618,1,0
1520190158,1,2
1520193757,1,0
1520197357,1,0
1520200998,1,0
1520204607,2,0
1520211805,0,1
1520215367,5,0
1520222620,1,0
1520226247,0,1
1520229825,0,2
1520233387,0,3
1520236952,0,1
1520240538,0,2
1520244142,0,2
1520251403,0,1
1520258550,2,0
1520262218,1,2
1520265797,0,2
1520269413,2,0
1520273015,2,0
1520276613,4,1
1520280221,0,1
1520283806,0,1
1520290966,4,1
1520294656,2,2
1520298218,0,1
1520301850,1,1
1520305412,1,0
1520308994,1,1
1520312603,1,3
1520316169,0,3
1520319751,0,1
1520323348,4,2
1520326948,6,1
1520330551,1,0
1520337811,1,1
1520341426,0,1
1520345024,0,1
1520352213,2,1
1520355809,0,1
1520363036,2,2
1520366564,2,3
1520370203,2,1
1520373816,4,0
1520377417,0,2
1520381011,4,0
1520384598,1,3
1520391764,3,0
1520398958,3,2
1520402569,0,1
1520406175,0,1
1520409785,0,3
1520413419,0,2
1520417019,3,1
1520420618,0,2
1520427823,2,5
1520431422,0,2
1520435021,1,2
1520438621,0,2
1520442157,1,1
1520445793,0,1
1520449414,1,0
1520453020,2,2
1520456621,3,0
1520460207,3,0
1520463815,1,1
1520467414,0,2
1520470995,1,0
1520474587,0,2
1520478189,0,2
1520485367,0,1
1520488970,2,1
1520492547,0,1
1520496168,0,1
1520499780,0,1
1520503411,0,2
1520507018,6,6
1520510612,4,2
1520514201,2,2
1520517764,4,2
1520521412,1,1
1520525007,2,0
1520528612,5,1
1520532217,2,0
1520539418,1,0
1520543014,1,0
1520546589,2,1
1520550209,1,0
1520553814,0,4
1520557408,3,1
1520561020,5,2
1520564613,0,2
1520571800,0,2
1520582585,2,2
1520586203,1,1
1520589814,2,1
1520593388,0,1
1520600598,2,2
1520604208,1,1
1520607820,1,2
1520615005,1,0
1520618578,1,0
1520629387,3,1
1520632968,1,1
1520636577,1,2
1520640166,2,2
1520643775,1,1
1520647362,2,1
1520651003,1,0
1520658194,1,1
1520661796,0,1
1520669008,0,1
1520672613,3,0
1520676203,0,1
1520679794,1,2
1520683391,1,1
1520686986,4,0
1520697793,1,2
1520701411,1,3
1520705015,0,2
1520708608,0,2
1520712214,2,0
1520715812,1,0
1520719418,2,0
1520723016,0,1
1520726620,1,0
1520730167,3,1
1520733792,4,1
1520737394,1,2
1520748204,1,0
1520755384,0,1
1520758976,1,0
1520762593,2,0
1520766194,1,0
1520769799,1,1
1520773410,2,0
1520777006,0,1
1520780570,0,4
1520784162,0,1
1520787772,1,0
1520791362,3,0
1520795011,0,1
1520798574,0,2
1520802198,1,2
1520805792,0,2
1520809375,0,1
1520812979,1,0
1520816561,1,3
1520820157,1,3
1520823757,5,1
1520827348,2,1
1520830961,1,3
1520834575,1,1
1520841800,0,1
1520845369,2,1
1520848968,0,13
1520856222,1,1
1520859812,3,2
1520866955,1,3
1520870585,0,1
1520874200,1,2
1520877784,1,3
1520881386,0,2
1520884992,2,0
1520888561,1,2
1520895747,2,2
1520899375,1,0
1520902998,4,0
1520906596,2,1
1520910188,3,0
1520913773,2,1
1520917378,0,5
1520920954,3,0
1520924551,6,0
1520928171,4,1
1520931803,1,7
1520935409,2,1
1520942605,1,4
1520946224,1,2
1520949816,0,1
1520953415,1,2
1520956999,1,2
1520960608,3,0
1520964209,2,1
1520967780,3,4
1520971371,1,2
1520975003,3,0
1520978619,1,1
1520982209,4,3
1520985797,0,2
1520989418,1,4
1520993005,1,1
1520996603,2,3
1521003760,0,3
1521007406,0,1
1521011014,0,3
1521014602,1,1
1521021793,1,2
1521025386,0,2
1521028979,1,0
1521032565,0,1
1521039815,1,0
1521043398,1,0
1521046984,1,1
1521054201,3,1
1521061405,1,3
1521068578,0,1
1521075806,2,0
1521079411,3,2
1521086602,3,1
1521090194,1,0
1521093775,1,1
1521097414,1,0
1521101014,0,1
1521104604,0,2
1521108216,1,0
1521111813,3,4
1521115405,3,0
1521118999,1,1
1521122584,1,4
1521126160,2,0
1521129780,1,2
1521133400,1,0
1521137015,0,6
1521140610,1,0
1521144221,1,1
1521147798,1,2
1521151399,1,3
1521154972,5,2
1521158571,0,4
1521162183,2,2
1521165787,0,3
1521169401,0,1
1521176590,1,0
1521180191,1,0
1521183766,2,0
1521187365,0,10
1521190976,0,4
1521198207,1,1
1521201802,0,4
1521205407,0,2
1521209021,0,3
1521212621,3,0
1521216217,3,0
1521219816,1,2
1521234218,0,1
1521237831,1,0
1521241413,2,0
1521244979,3,2
1521248615,0,1
1521252217,1,2
1521255819,2,1
1521259411,2,0
1521262956,1,3
1521266581,2,0
1521270200,1,0
1521273816,2,1
1521277402,1,2
1521284597,1,0
1521291776,3,2
1521295401,0,1
1521299018,1,0
1521302616,3,0
1521306196,2,2
1521309808,2,0
1521317019,3,2
1521320622,3,1
1521324154,0,2
1521327782,2,2
1521331389,3,1
1521335002,1,0
1521338614,1,2
1521349390,1,1
1521356615,5,0
1521360198,3,0
1521363783,1,1
1521367384,2,0
1521370975,1,0
1521374617,1,0
1521378206,0,1
1521381811,0,1
1521385363,0,1
1521396205,0,4
1521399815,0,1
1521403426,1,3
1521414219,1,1
1521421375,2,0
1521428610,0,6
1521432211,0,1
1521435814,0,1
1521443013,3,2
1521450203,0,1
1521461015,0,1
1521464620,1,1
1521468189,1,1
1521471792,0,2
1521475378,2,0
1521479006,0,2
1521482592,0,1
1521486195,1,1
1521493377,4,0
1521497010,1,0
1521500601,3,0
1521507775,0,1
1521511391,3,2
1521515012,2,0
1521518616,4,1
1521522224,1,0
1521529412,0,2
1521532993,2,0
1521536581,3,1
1521540216,0,2
