DateTime,Entries,UniqueIPs
1519390961,476,476
1519394542,474,474
1519398142,471,471
1519401771,472,472
1519405419,472,472
1519408998,473,473
1519412596,474,474
1519416202,475,475
1519419826,470,470
1519423395,469,469
1519426968,470,470
1519430603,468,468
1519434205,469,469
1519437785,469,469
1519441388,470,470
1519445007,470,470
1519448561,469,469
1519452182,470,470
1519455791,470,470
1519459393,468,468
1519462955,470,470
1519466581,471,471
1519470195,472,472
1519473791,473,473
1519477414,474,474
1519480994,473,473
1519484588,475,475
1519488171,476,476
1519495356,476,476
1519498960,475,475
1519502573,474,474
1519506182,476,476
1519509817,478,478
1519513421,476,476
1519517024,474,474
1519520594,473,473
1519524204,474,474
1519527812,472,472
1519531410,473,473
1519535021,472,472
1519556567,471,471
1519560211,470,470
1519563818,470,470
1519571029,470,470
1519574624,469,469
1519578222,469,469
1519581815,468,468
1519585419,467,467
1519589009,465,465
1519596207,466,466
1519603417,466,466
1519607003,467,467
1519614213,467,467
1519617815,466,466
1519621425,468,468
1519625020,469,469
1519628564,470,470
1519635807,470,470
1519643020,471,471
1519650218,472,472
1519653817,463,463
1519657426,461,461
1519661019,462,462
1519664626,465,465
1519668210,465,465
1519671794,464,464
1519679019,463,463
1519682621,463,463
1519686207,462,462
1519689804,464,464
1519693408,465,465
1519696995,464,464
1519700611,462,462
1519704212,463,463
1519707817,463,463
1519711410,465,465
1519715016,463,463
1519718559,461,461
1519722174,458,458
1519733009,457,457
1519736621,458,458
1519740214,456,456
1519743782,454,454
1519747384,453,453
1519750975,451,451
1519758155,453,453
1519761767,454,454
1519765423,455,455
1519769005,453,453
1519772616,454,454
1519776205,453,453
1519779803,456,456
1519783396,455,455
1519786977,454,454
1519790561,453,453
1519794192,452,452
1519797806,451,451
1519801421,455,455
1519805017,454,454
1519808572,451,451
1519812193,453,453
1519815823,450,450
1519819409,450,450
1519830187,450,450
1519833791,448,448
1519837384,449,449
1519840977,449,449
1519844555,450,450
1519848150,451,451
1519851772,452,452
1519855392,456,456
1519858998,457,457
1519862587,458,458
1519866213,460,460
1519869815,461,461
1519873392,459,459
1519876979,456,456
1519880614,455,455
1519884167,456,456
1519887772,454,454
1519895005,453,453
1519898568,452,452
1519902161,452,452
1519905800,453,453
1519909399,454,454
1519912994,455,455
1519916608,453,453
1519920196,453,453
1519923777,454,454
1519930991,451,451
1519934567,448,448
1519938177,447,447
1519941782,447,447
1519949014,436,436
1519952618,441,441
1519956190,440,440
1519959834,441,441
1519963438,442,442
1519967010,442,442
1519970612,440,440
1519977804,440,440
1519981394,440,440
1519988570,438,438
1519992142,437,437
1519995750,437,437
1519999345,435,435
1520002943,436,436
1520006541,432,432
1520013748,431,431
1520017367,431,431
1520024576,429,429
1520028185,429,429
1520031789,430,430
1520035469,429,429
1520039002,426,426
1520042575,428,428
1520049756,426,426
1520053401,425,425
1520057052,425,425
1520060600,424,424
