DateTime,AddedIPs,RemovedIPs
1519704784,57,86
1519708385,57,83
1519711982,49,107
1519715573,46,117
1519719175,45,78
1519722775,38,75
1519726378,75,78
1519729979,44,94
1519733574,49,68
1519737178,69,55
1519740767,44,66
1519744365,43,60
1519747969,47,110
1519751565,55,84
1519755163,50,83
1519758765,41,60
1519762363,39,62
1519765958,45,80
1519769557,45,59
1519773160,60,98
1519776753,31,60
1519780347,60,51
1519783944,39,63
1519787553,56,50
1519791150,39,63
1519794754,45,34
1519798352,56,48
1519801958,44,80
1519805552,41,64
1519809157,43,64
1519812752,33,54
1519816352,36,44
1519819947,27,42
1519823551,54,56
1519827139,39,79
1519830740,47,83
1519834341,23,91
1519841543,93,142
1519845130,52,44
1519848745,49,43
1519852331,39,45
1519855947,43,48
1519859541,54,44
1519863136,34,39
1519866740,38,63
1519870332,31,51
1519873930,42,56
1519877525,30,107
1519881127,47,83
1519884739,58,71
1519888332,31,86
1519891927,24,82
1519895523,31,42
1519899132,18,42
1519902715,38,42
1519906327,21,46
1519909912,15,65
1519913514,42,80
1519917112,31,89
1519920708,26,74
1519924304,28,69
1519927907,45,60
1519931510,43,79
1519935100,33,70
1519938707,22,55
1519945966,49,121
1519949493,41,54
1519953094,16,54
1519956691,41,62
1519960432,29,70
1519963891,40,59
1519967488,28,44
1519971084,45,55
1519974703,37,47
1519978303,33,59
1519981886,18,55
1519985478,17,65
1519989085,26,65
1519992685,35,61
1519996276,27,74
1519999875,32,58
1520003466,29,87
1520007079,38,51
1520010676,37,56
1520014272,38,60
1520017872,47,41
1520021475,53,48
1520025075,20,83
1520028671,34,50
1520032432,27,67
1520039454,62,124
1520043059,55,44
1520046655,39,69
1520050267,38,62
1520053923,59,55
1520061058,104,75
1520064658,28,54
1520068260,25,59
1520071860,13,43
1520075516,17,95
1520079043,52,57
1520082649,17,62
1520086245,28,52
1520089864,48,96
1520093457,23,70
1520097041,49,63
1520100646,53,53
1520104254,54,67
1520107873,45,36
1520111441,33,73
1520115038,27,81
1520118640,19,85
1520122239,24,77
1520125847,44,63
1520129425,20,68
1520133033,48,67
1520136631,29,87
1520140230,27,60
1520147418,73,92
1520151023,52,59
1520154623,29,67
1520158210,16,61
1520161881,29,80
1520165408,31,88
1520169014,34,52
1520172608,27,74
1520176232,45,64
1520179810,33,105
1520183404,35,64
1520190599,66,121
1520194203,49,48
1520197795,40,62
1520201394,12,70
1520205050,25,80
1520208970,17,63
1520212196,44,79
1520215786,23,61
1520219389,37,57
1520222991,37,55
1520226657,44,75
1520230177,25,58
1520233773,35,64
1520237372,45,79
1520240989,31,64
1520244576,28,85
1520248165,21,64
1520255364,76,171
1520258960,23,79
1520262559,27,65
1520266162,37,66
1520269808,31,80
1520273355,31,62
1520276957,28,71
1520280557,51,85
1520284161,37,86
1520287751,25,94
1520291345,24,82
1520298540,53,146
1520305734,62,142
1520309328,38,71
1520313000,37,64
1520316521,29,57
1520320121,19,53
1520323730,33,51
1520327338,53,43
1520330932,32,75
1520334523,18,47
1520338119,18,54
1520341726,21,80
1520345335,44,56
1520348911,29,52
1520352518,36,40
1520356122,32,56
1520366921,103,147
1520370522,49,36
1520374133,31,40
1520377718,14,58
1520381318,24,40
1520384911,18,60
1520388517,37,36
1520392112,31,44
1520395715,58,36
1520399315,42,52
1520402913,29,50
1520406511,37,45
1520410115,49,33
1520413708,56,41
1520417312,24,34
1520420921,28,41
1520424511,34,41
1520428115,40,45
1520431709,37,40
1520435318,147,54
1520438920,79,28
1520442532,75,46
1520446129,65,53
1520449727,61,46
1520453332,51,32
1520456944,75,33
1520460528,58,40
1520464125,43,50
1520467729,40,37
1520471327,38,49
1520474925,40,45
1520478518,58,51
1520482123,37,40
1520485720,59,44
1520489316,54,53
1520492921,38,40
1520496528,40,30
1520500131,44,30
1520503730,53,22
1520507328,50,46
1520510927,35,24
1520514527,30,20
1520518135,30,41
1520521728,46,41
1520525327,36,38
1520528932,40,30
1520532533,39,50
1520536127,34,41
1520539729,31,29
1520543329,41,26
1520546935,51,22
1520550532,31,29
1520554137,32,33
1520557738,33,19
1520561332,27,38
1520564936,40,32
1520568529,25,39
1520572137,25,28
1520575718,44,46
1520579337,37,35
1520582932,40,30
1520586533,38,20
1520590132,45,18
1520593741,40,21
1520597335,32,42
1520600930,38,27
1520604528,26,44
1520608132,48,34
1520611737,132,34
1520615342,48,36
1520618943,50,40
1520622542,32,44
1520626142,37,36
1520629747,43,16
1520633345,43,29
1520636946,49,21
1520640556,33,41
1520644178,20,26
1520647735,17,59
1520651336,27,36
1520654940,32,36
1520658537,26,55
1520662139,32,44
1520665740,41,41
1520669337,35,22
1520672941,34,28
1520676542,38,17
1520680144,56,18
1520683740,34,43
1520687344,27,18
1520690945,24,30
1520694535,20,46
1520698142,22,24
1520701737,20,32
1520705337,33,29
1520708937,54,48
1520712540,37,35
1520716139,27,28
1520719745,29,22
1520723336,21,11
1520726942,42,20
1520730547,34,40
1520734138,36,28
1520737745,41,52
1520741345,33,32
1520744932,34,38
1520748538,43,32
1520752143,54,37
1520755744,36,49
1520759341,31,28
1520762937,22,14
1520766540,16,22
1520770137,42,31
1520773739,33,40
1520777341,35,27
1520780938,51,49
1520784545,39,27
1520788145,37,35
1520791744,43,23
1520795346,40,38
1520798944,45,53
1520802543,26,35
1520806145,26,14
1520809743,19,25
1520813347,26,15
1520816943,54,42
1520820552,26,20
1520824145,53,42
1520827739,51,31
1520831347,37,49
1520834947,24,30
1520838548,42,33
1520842147,42,57
1520845746,27,28
1520849339,20,36
1520852939,25,32
1520856543,32,31
1520860147,58,51
1520863755,42,35
1520867350,46,30
1520870947,40,52
1520874548,36,43
1520878150,33,31
1520881745,43,21
1520885354,55,55
1520888944,26,40
1520892545,23,30
1520896147,24,22
1520899744,18,22
1520903344,30,30
1520906942,16,57
1520910537,31,19
1520914145,21,46
1520917741,17,34
1520921333,24,33
1520924936,21,24
1520928545,47,31
1520932138,30,51
1520935742,17,36
1520939343,26,23
1520942944,28,23
1520946543,97,28
1520950146,26,37
1520953748,18,26
1520957347,23,45
1520960934,17,36
1520964552,24,42
1520968143,16,28
1520971744,23,41
1520975340,21,54
1520978935,20,31
1520982544,24,14
1520986141,22,27
1520989745,17,17
1520993339,9,39
1520996932,21,36
1521000539,49,65
1521004130,46,48
1521007732,32,25
1521011342,21,34
1521014931,27,39
1521018532,26,56
1521022133,43,29
1521025729,18,26
1521029333,55,29
1521032937,36,25
1521036537,43,41
1521040136,27,57
1521043742,138,45
1521047338,59,60
1521050937,47,53
1521054541,28,49
1521058137,31,44
1521061740,32,68
1521065345,45,51
1521068940,32,47
1521072538,26,35
1521076137,39,34
1521079748,40,31
1521083338,23,56
1521086928,46,34
1521090529,54,63
1521094127,20,53
1521097722,18,40
1521101325,33,47
1521104923,25,47
1521108523,45,58
1521112114,24,63
1521115721,48,45
1521119315,43,41
1521122922,42,43
1521126543,52,64
1521130126,48,32
1521133725,64,47
1521137325,28,35
1521140928,34,30
1521144525,24,33
1521148125,19,47
1521151715,22,50
1521155323,37,30
1521158921,19,31
1521162521,46,37
1521166119,40,27
1521169721,33,37
1521173317,33,30
1521176917,45,28
1521180518,37,49
1521184118,23,33
1521187729,25,42
1521191332,23,36
1521194926,20,50
1521198526,46,45
1521202123,32,32
1521205728,49,35
1521209319,32,30
1521212919,46,33
1521216522,35,48
1521220121,37,32
1521223721,52,50
1521227324,36,36
1521230924,30,50
1521234516,27,60
1521238110,25,87
1521241712,43,51
1521245312,20,32
1521248909,36,29
1521252511,33,23
1521256116,37,21
1521259711,33,33
1521263319,45,24
1521266920,45,37
1521270516,26,37
1521274120,18,36
1521277707,20,33
1521281312,34,36
1521284911,42,54
1521288512,20,34
1521292107,31,23
1521295715,40,16
1521299323,49,20
1521302916,35,22
1521306516,31,20
1521310112,42,33
1521313713,44,62
1521317314,28,35
1521320914,57,28
1521324525,16,32
1521328123,45,24
1521331721,45,47
1521335328,19,30
1521338922,40,36
1521342511,27,42
1521346119,37,35
1521349721,33,30
1521353316,36,38
1521356920,61,53
1521360517,34,43
1521364117,20,39
1521367721,18,23
1521371319,21,18
1521374914,47,45
1521378515,25,28
1521382119,43,35
1521385732,27,47
