DateTime,Entries,UniqueIPs
1519704784,13248,13248
1519708385,13222,13222
1519711982,13164,13164
1519715573,13093,13093
1519719175,13060,13060
1519722775,13023,13023
1519726378,13020,13020
1519729979,12970,12970
1519733574,12951,12951
1519737178,12965,12965
1519740767,12943,12943
1519744365,12926,12926
1519747969,12863,12863
1519751565,12834,12834
1519755163,12801,12801
1519758765,12782,12782
1519762363,12759,12759
1519765958,12724,12724
1519769557,12710,12710
1519773160,12672,12672
1519776753,12643,12643
1519780347,12652,12652
1519783944,12628,12628
1519787553,12634,12634
1519791150,12610,12610
1519794754,12621,12621
1519798352,12629,12629
1519801958,12593,12593
1519805552,12570,12570
1519809157,12549,12549
1519812752,12528,12528
1519816352,12520,12520
1519819947,12505,12505
1519823551,12503,12503
1519827139,12463,12463
1519830740,12427,12427
1519834341,12359,12359
1519841543,12310,12310
1519845130,12318,12318
1519848745,12324,12324
1519852331,12318,12318
1519855947,12313,12313
1519859541,12323,12323
1519863136,12318,12318
1519866740,12293,12293
1519870332,12273,12273
1519873930,12259,12259
1519877525,12182,12182
1519881127,12146,12146
1519884739,12133,12133
1519888332,12078,12078
1519891927,12020,12020
1519895523,12009,12009
1519899132,11985,11985
1519902715,11981,11981
1519906327,11956,11956
1519909912,11906,11906
1519913514,11868,11868
1519917112,11810,11810
1519920708,11762,11762
1519924304,11721,11721
1519927907,11706,11706
1519931510,11670,11670
1519935100,11633,11633
1519938707,11600,11600
1519945966,11528,11528
1519949493,11515,11515
1519953094,11477,11477
1519956691,11456,11456
1519960432,11415,11415
1519963891,11396,11396
1519967488,11380,11380
1519971084,11370,11370
1519974703,11360,11360
1519978303,11334,11334
1519981886,11297,11297
1519985478,11249,11249
1519989085,11210,11210
1519992685,11184,11184
1519996276,11137,11137
1519999875,11111,11111
1520003466,11053,11053
1520007079,11040,11040
1520010676,11021,11021
1520014272,10999,10999
1520017872,11005,11005
1520021475,11010,11010
1520025075,10947,10947
1520028671,10931,10931
1520032432,10891,10891
1520039454,10829,10829
1520043059,10840,10840
1520046655,10810,10810
1520050267,10786,10786
1520053923,10790,10790
1520061058,10819,10819
1520064658,10793,10793
1520068260,10759,10759
1520071860,10729,10729
1520075516,10651,10651
1520079043,10646,10646
1520082649,10601,10601
1520086245,10577,10577
1520089864,10529,10529
1520093457,10482,10482
1520097041,10468,10468
1520100646,10468,10468
1520104254,10455,10455
1520107873,10464,10464
1520111441,10424,10424
1520115038,10370,10370
1520118640,10304,10304
1520122239,10251,10251
1520125847,10232,10232
1520129425,10184,10184
1520133033,10165,10165
1520136631,10107,10107
1520140230,10074,10074
1520147418,10055,10055
1520151023,10048,10048
1520154623,10010,10010
1520158210,9965,9965
1520161881,9914,9914
1520165408,9857,9857
1520169014,9839,9839
1520172608,9792,9792
1520176232,9773,9773
1520179810,9701,9701
1520183404,9672,9672
1520190599,9617,9617
1520194203,9618,9618
1520197795,9596,9596
1520201394,9538,9538
1520205050,9483,9483
1520208970,9437,9437
1520212196,9402,9402
1520215786,9364,9364
1520219389,9344,9344
1520222991,9326,9326
1520226657,9295,9295
1520230177,9262,9262
1520233773,9233,9233
1520237372,9199,9199
1520240989,9166,9166
1520244576,9109,9109
1520248165,9066,9066
1520255364,8971,8971
1520258960,8915,8915
1520262559,8877,8877
1520266162,8848,8848
1520269808,8799,8799
1520273355,8768,8768
1520276957,8725,8725
1520280557,8691,8691
1520284161,8642,8642
1520287751,8573,8573
1520291345,8515,8515
1520298540,8422,8422
1520305734,8342,8342
1520309328,8309,8309
1520313000,8282,8282
1520316521,8254,8254
1520320121,8220,8220
1520323730,8202,8202
1520327338,8212,8212
1520330932,8169,8169
1520334523,8140,8140
1520338119,8104,8104
1520341726,8045,8045
1520345335,8033,8033
1520348911,8010,8010
1520352518,8006,8006
1520356122,7982,7982
1520366921,7938,7938
1520370522,7951,7951
1520374133,7942,7942
1520377718,7898,7898
1520381318,7882,7882
1520384911,7840,7840
1520388517,7841,7841
1520392112,7828,7828
1520395715,7850,7850
1520399315,7840,7840
1520402913,7819,7819
1520406511,7811,7811
1520410115,7827,7827
1520413708,7842,7842
1520417312,7832,7832
1520420921,7819,7819
1520424511,7812,7812
1520428115,7807,7807
1520431709,7804,7804
1520435318,7897,7897
1520438920,7948,7948
1520442532,7977,7977
1520446129,7989,7989
1520449727,8004,8004
1520453332,8023,8023
1520456944,8065,8065
1520460528,8083,8083
1520464125,8076,8076
1520467729,8079,8079
1520471327,8068,8068
1520474925,8063,8063
1520478518,8070,8070
1520482123,8067,8067
1520485720,8082,8082
1520489316,8083,8083
1520492921,8081,8081
1520496528,8091,8091
1520500131,8105,8105
1520503730,8136,8136
1520507328,8140,8140
1520510927,8151,8151
1520514527,8161,8161
1520518135,8150,8150
1520521728,8155,8155
1520525327,8153,8153
1520528932,8163,8163
1520532533,8152,8152
1520536127,8145,8145
1520539729,8147,8147
1520543329,8162,8162
1520546935,8191,8191
1520550532,8193,8193
1520554137,8192,8192
1520557738,8206,8206
1520561332,8195,8195
1520564936,8203,8203
1520568529,8189,8189
1520572137,8186,8186
1520575718,8184,8184
1520579337,8186,8186
1520582932,8196,8196
1520586533,8214,8214
1520590132,8241,8241
1520593741,8260,8260
1520597335,8250,8250
1520600930,8261,8261
1520604528,8243,8243
1520608132,8257,8257
1520611737,8355,8355
1520615342,8367,8367
1520618943,8377,8377
1520622542,8365,8365
1520626142,8366,8366
