DateTime,AddedIPs,RemovedIPs
1519722847,32,71
1519726448,71,70
1519730051,36,83
1519733644,44,66
1519737258,52,51
1519740845,40,55
1519744446,36,52
1519748041,39,102
1519751637,44,75
1519755242,38,74
1519758836,33,50
1519762434,31,50
1519766033,37,72
1519769631,38,50
1519773234,53,96
1519776833,28,51
1519780424,51,45
1519784026,33,53
1519787632,46,40
1519791227,32,58
1519794829,31,26
1519798431,50,44
1519802036,37,73
1519805629,33,61
1519809229,32,58
1519812832,28,51
1519816432,30,42
1519820021,20,35
1519823622,43,50
1519827223,30,71
1519830818,27,66
1519834417,19,58
1519841617,71,125
1519845207,49,37
1519848820,45,40
1519852419,33,36
1519856018,26,43
1519859610,43,35
1519863207,25,37
1519866815,34,55
1519870416,24,35
1519874014,34,43
1519877607,30,83
1519881217,35,59
1519884821,38,67
1519888413,26,67
1519892011,20,55
1519895612,30,31
1519899209,14,36
1519902806,37,39
1519906412,16,38
1519909989,13,57
1519913593,34,63
1519917190,24,77
1519920792,23,65
1519924386,24,59
1519927994,35,49
1519931591,32,69
1519935188,22,60
1519938786,14,51
1519945994,36,105
1519949582,34,53
1519953179,10,49
1519956776,34,50
1519960486,19,61
1519963972,31,54
1519967571,26,40
1519971166,29,49
1519974784,33,41
1519978372,26,55
1519981964,12,52
1519985557,16,57
1519989158,21,59
1519992757,30,55
1519996355,25,65
1519999957,25,50
1520003550,22,73
1520007159,27,45
1520010754,28,45
1520014354,26,53
1520017953,32,38
1520021560,43,44
1520025153,18,70
1520028747,22,45
1520032530,21,61
1520036242,34,59
1520039540,18,55
1520043140,49,40
1520046739,33,62
1520050349,29,52
1520053952,50,40
1520057855,42,29
1520061143,41,35
1520064740,21,42
1520068333,21,52
1520071944,13,39
1520075551,11,93
1520079122,44,55
1520082723,12,55
1520086329,21,44
1520089944,37,83
1520093529,18,55
1520097128,42,56
1520100727,48,38
1520104329,41,61
1520107925,38,32
1520111526,26,70
1520115124,23,70
1520118720,15,76
1520122321,21,65
1520125924,40,58
1520129509,17,58
1520133115,43,60
1520136703,21,81
1520140302,21,54
1520144167,19,45
1520147498,42,40
1520151104,47,55
1520154699,24,66
1520158300,14,55
1520161908,24,74
1520165490,25,77
1520169095,31,49
1520172689,22,67
1520176304,36,58
1520179888,25,90
1520183483,26,63
1520187331,14,57
1520190680,32,57
1520194283,42,47
1520197877,27,52
1520201483,10,67
1520205090,14,77
1520208931,13,59
1520212273,39,74
1520215871,18,57
1520219464,32,52
1520223067,27,46
1520226675,25,65
1520230258,21,58
1520233849,31,54
1520237453,35,53
1520241061,20,58
1520244642,21,81
1520248239,14,61
1520255438,58,157
1520259036,21,73
1520262642,23,58
1520266246,33,61
1520269846,25,69
1520273428,23,59
1520277034,19,66
1520280633,33,73
1520284233,30,84
1520287821,19,89
1520291425,16,75
1520298615,40,130
1520305805,47,130
1520309415,35,63
1520313022,31,53
1520316604,24,55
1520320194,13,48
1520323810,24,46
1520327413,40,43
1520330997,25,72
1520334593,13,39
1520338190,14,50
1520341799,11,62
1520345389,30,53
1520348989,19,41
1520352595,29,35
1520356194,24,46
1520363396,54,86
1520367001,22,33
1520370602,41,29
1520374206,26,36
1520377798,11,53
1520381393,18,42
1520384989,10,48
1520388592,32,30
1520392187,14,37
1520395788,27,30
1520399396,37,38
1520402987,22,49
1520406590,30,35
1520410186,40,28
1520413785,43,39
1520417389,22,30
1520420998,26,40
1520424598,29,26
1520428195,33,34
1520431794,28,28
1520435406,144,34
1520439003,73,23
1520442614,69,36
1520446215,56,41
1520449811,48,40
1520453415,47,28
1520457017,68,29
1520460604,46,24
1520464202,33,36
1520467807,32,26
1520471401,34,46
1520474998,36,39
1520478594,51,44
1520482198,30,35
1520485788,57,28
1520489392,48,37
1520492990,34,35
1520496597,28,22
1520500199,40,25
1520503803,45,16
1520507409,45,43
1520511003,32,17
1520514603,20,21
1520518210,26,31
1520521803,43,29
1520525398,27,33
1520529014,34,28
1520532612,33,40
1520536211,28,34
1520539808,24,21
1520543412,31,22
1520547015,44,13
1520550618,27,22
1520554217,30,29
1520557814,24,13
1520561411,20,33
1520565014,35,25
1520568606,19,31
1520572209,24,22
1520575807,36,34
1520579410,35,33
1520583008,34,22
1520586612,33,14
1520590214,37,16
1520593820,37,17
1520597410,25,34
1520601011,32,21
1520604612,23,38
1520608216,43,24
1520611816,126,28
1520615421,42,27
1520619022,47,32
1520622623,26,34
1520626222,34,29
1520629829,32,16
1520633425,37,21
1520637021,39,17
1520640626,29,33
1520644223,11,20
1520647815,13,54
1520651417,22,31
1520655015,26,22
1520658612,19,47
1520662217,27,39
1520665815,38,31
1520669414,31,18
1520673025,28,20
1520676627,29,18
1520680230,45,11
1520683828,28,35
1520687426,21,17
1520691028,19,30
1520694622,14,37
1520698220,16,16
1520701810,12,29
1520705412,28,21
1520709016,41,35
1520712616,30,28
1520716220,19,20
1520719824,23,19
1520723418,16,10
1520727019,32,18
1520730619,24,34
1520734216,26,23
1520737807,37,47
1520741424,28,28
1520745018,25,32
1520748618,33,29
1520752221,44,32
1520755821,27,41
1520759415,30,22
1520763024,19,12
1520766621,12,15
1520770219,34,23
1520773820,24,33
1520777420,27,22
1520781024,40,40
1520784614,28,23
1520788222,32,27
1520791826,37,18
1520795430,28,29
1520799024,40,45
1520802625,22,24
1520806225,20,10
1520809824,16,15
1520813423,21,9
1520817025,41,38
1520820625,22,15
1520824222,46,38
1520827814,45,29
1520831424,31,29
1520835020,22,25
1520838624,29,26
1520842226,38,41
1520845819,20,20
1520849418,13,26
1520853026,20,21
1520856630,25,24
1520860233,56,40
1520863832,34,28
1520867431,41,21
1520871027,34,44
1520874630,27,33
1520878231,30,25
1520881833,38,19
1520885437,52,37
1520889029,21,32
1520892628,17,25
1520896229,20,17
1520899829,11,19
1520903424,25,20
1520907026,13,46
1520910626,25,15
1520914224,20,38
1520917815,13,27
1520921417,19,33
1520925016,13,17
1520928622,39,27
1520932217,23,45
1520935822,12,31
1520939427,23,17
1520943026,25,21
1520946632,47,16
1520950231,19,28
1520953833,16,20
1520957433,17,34
1520961018,13,29
1520964640,16,36
1520968232,17,22
1520971836,14,27
1520975426,16,47
1520979028,12,25
1520982625,12,11
1520986221,15,21
1520989831,10,11
1520993422,7,34
1520997015,17,19
1521000621,43,30
1521004216,40,39
1521007817,26,18
1521011422,14,30
1521015019,20,34
1521018618,19,43
1521022221,40,25
1521025816,15,22
1521029419,53,26
1521033028,28,20
1521036626,34,31
1521040224,23,52
1521043827,126,37
1521047429,53,52
1521051027,28,48
1521054631,22,43
1521058231,24,35
1521061828,25,58
1521065431,36,45
1521069033,20,40
1521072631,19,30
1521076224,30,29
1521079840,32,27
1521083432,17,49
1521087017,36,27
1521090605,44,54
1521094206,15,52
1521097803,15,39
1521101407,30,38
1521105000,20,43
1521108603,41,49
1521112204,16,52
1521115801,45,35
1521119397,41,30
1521123006,35,36
1521126607,42,49
1521130212,39,23
1521133805,55,41
1521137410,25,25
1521141012,28,26
1521144622,22,29
1521148206,16,34
1521151806,18,43
1521155399,30,26
1521159007,16,27
1521162606,37,30
1521166208,29,20
1521169811,21,34
1521173405,26,26
1521177006,37,28
1521180601,32,42
1521184200,19,31
1521187812,19,34
1521191415,16,29
1521195016,16,41
1521198614,38,38
1521202201,22,26
1521205802,37,27
1521209404,27,25
