DateTime,Entries,UniqueIPs
1519722847,11301,11301
1519726448,11302,11302
1519730051,11255,11255
1519733644,11233,11233
1519737258,11234,11234
1519740845,11219,11219
1519744446,11203,11203
1519748041,11140,11140
1519751637,11109,11109
1519755242,11073,11073
1519758836,11056,11056
1519762434,11037,11037
1519766033,11002,11002
1519769631,10990,10990
1519773234,10947,10947
1519776833,10924,10924
1519780424,10930,10930
1519784026,10910,10910
1519787632,10916,10916
1519791227,10890,10890
1519794829,10895,10895
1519798431,10901,10901
1519802036,10865,10865
1519805629,10837,10837
1519809229,10811,10811
1519812832,10788,10788
1519816432,10776,10776
1519820021,10761,10761
1519823622,10754,10754
1519827223,10713,10713
1519830818,10674,10674
1519834417,10635,10635
1519841617,10581,10581
1519845207,10593,10593
1519848820,10598,10598
1519852419,10595,10595
1519856018,10578,10578
1519859610,10586,10586
1519863207,10574,10574
1519866815,10553,10553
1519870416,10542,10542
1519874014,10533,10533
1519877607,10480,10480
1519881217,10456,10456
1519884821,10427,10427
1519888413,10386,10386
1519892011,10351,10351
1519895612,10350,10350
1519899209,10328,10328
1519902806,10326,10326
1519906412,10304,10304
1519909989,10260,10260
1519913593,10231,10231
1519917190,10178,10178
1519920792,10136,10136
1519924386,10101,10101
1519927994,10087,10087
1519931591,10050,10050
1519935188,10012,10012
1519938786,9975,9975
1519945994,9906,9906
1519949582,9887,9887
1519953179,9848,9848
1519956776,9832,9832
1519960486,9790,9790
1519963972,9767,9767
1519967571,9753,9753
1519971166,9733,9733
1519974784,9725,9725
1519978372,9696,9696
1519981964,9656,9656
1519985557,9615,9615
1519989158,9577,9577
1519992757,9552,9552
1519996355,9512,9512
1519999957,9487,9487
1520003550,9436,9436
1520007159,9418,9418
1520010754,9401,9401
1520014354,9374,9374
1520017953,9368,9368
1520021560,9367,9367
1520025153,9315,9315
1520028747,9292,9292
1520032530,9252,9252
1520036242,9227,9227
1520039540,9190,9190
1520043140,9199,9199
1520046739,9170,9170
1520050349,9147,9147
1520053952,9157,9157
1520057855,9170,9170
1520061143,9176,9176
1520064740,9155,9155
1520068333,9124,9124
1520071944,9098,9098
1520075551,9016,9016
1520079122,9005,9005
1520082723,8962,8962
1520086329,8939,8939
1520089944,8893,8893
1520093529,8856,8856
1520097128,8842,8842
1520100727,8852,8852
1520104329,8832,8832
1520107925,8838,8838
1520111526,8794,8794
1520115124,8747,8747
1520118720,8686,8686
1520122321,8642,8642
1520125924,8624,8624
1520129509,8583,8583
1520133115,8566,8566
1520136703,8506,8506
1520140302,8473,8473
1520144167,8447,8447
1520147498,8449,8449
1520151104,8441,8441
1520154699,8399,8399
1520158300,8358,8358
1520161908,8308,8308
1520165490,8256,8256
1520169095,8238,8238
1520172689,8193,8193
1520176304,8171,8171
1520179888,8106,8106
1520183483,8069,8069
1520187331,8026,8026
1520190680,8001,8001
1520194283,7996,7996
1520197877,7971,7971
1520201483,7914,7914
1520205090,7851,7851
1520208931,7805,7805
1520212273,7770,7770
1520215871,7731,7731
1520219464,7711,7711
1520223067,7692,7692
1520226675,7652,7652
1520230258,7615,7615
1520233849,7592,7592
1520237453,7574,7574
1520241061,7536,7536
1520244642,7476,7476
1520248239,7429,7429
1520255438,7330,7330
1520259036,7278,7278
1520262642,7243,7243
1520266246,7215,7215
1520269846,7171,7171
1520273428,7135,7135
1520277034,7088,7088
1520280633,7048,7048
1520284233,6994,6994
1520287821,6924,6924
1520291425,6865,6865
1520298615,6775,6775
1520305805,6692,6692
1520309415,6664,6664
1520313022,6642,6642
1520316604,6611,6611
1520320194,6576,6576
1520323810,6554,6554
1520327413,6551,6551
1520330997,6504,6504
1520334593,6478,6478
1520338190,6442,6442
1520341799,6391,6391
1520345389,6368,6368
1520348989,6346,6346
1520352595,6340,6340
1520356194,6318,6318
1520363396,6286,6286
1520367001,6275,6275
1520370602,6287,6287
1520374206,6277,6277
1520377798,6235,6235
1520381393,6211,6211
1520384989,6173,6173
1520388592,6175,6175
1520392187,6152,6152
1520395788,6149,6149
1520399396,6148,6148
1520402987,6121,6121
1520406590,6116,6116
1520410186,6128,6128
1520413785,6132,6132
1520417389,6124,6124
1520420998,6110,6110
1520424598,6113,6113
1520428195,6112,6112
1520431794,6112,6112
1520435406,6222,6222
1520439003,6272,6272
1520442614,6305,6305
1520446215,6320,6320
1520449811,6328,6328
1520453415,6347,6347
1520457017,6386,6386
1520460604,6408,6408
1520464202,6405,6405
1520467807,6411,6411
1520471401,6399,6399
1520474998,6396,6396
1520478594,6403,6403
1520482198,6398,6398
1520485788,6427,6427
1520489392,6438,6438
1520492990,6437,6437
1520496597,6443,6443
1520500199,6458,6458
1520503803,6487,6487
1520507409,6489,6489
1520511003,6504,6504
1520514603,6503,6503
1520518210,6498,6498
1520521803,6512,6512
1520525398,6506,6506
1520529014,6512,6512
1520532612,6505,6505
1520536211,6499,6499
1520539808,6502,6502
1520543412,6511,6511
1520547015,6542,6542
1520550618,6547,6547
1520554217,6548,6548
1520557814,6559,6559
1520561411,6546,6546
1520565014,6556,6556
1520568606,6544,6544
1520572209,6546,6546
1520575807,6548,6548
1520579410,6550,6550
1520583008,6562,6562
1520586612,6581,6581
1520590214,6602,6602
1520593820,6622,6622
1520597410,6613,6613
1520601011,6624,6624
1520604612,6609,6609
1520608216,6628,6628
1520611816,6726,6726
1520615421,6741,6741
1520619022,6756,6756
